open,high,low,close,volume,datetime,symbol
9.45,9.45,9.28,9.28,503,2020-05-21 05:00:00,AMTBB
9.43,9.45,8.6258,8.6258,1885,2020-05-26 05:00:00,AMTBB
9.11,9.11,9.11,9.11,403,2020-05-27 05:00:00,AMTBB
9.42,9.42,9.42,9.42,134,2020-05-28 05:00:00,AMTBB
9.2,9.2,9.005,9.2,1539,2020-05-29 05:00:00,AMTBB
8.81,9.4,8.81,9.4,2044,2020-06-03 05:00:00,AMTBB
9.97,9.97,9.25,9.41,3023,2020-06-04 05:00:00,AMTBB
9.51,9.99,9.45,9.99,9979,2020-06-05 05:00:00,AMTBB
9.9,10.75,9.9,10.505,2673,2020-06-08 05:00:00,AMTBB
10.69,11.5,10.69,11.2613,1306,2020-06-09 05:00:00,AMTBB
10.85,11.31,10.6,10.61,4218,2020-06-10 05:00:00,AMTBB
10.6,11.05,9.8,9.8,7410,2020-06-11 05:00:00,AMTBB
10.5,10.5,10.0,10.0,2114,2020-06-12 05:00:00,AMTBB
10.7,11.49,10.7,11.49,201,2020-06-15 05:00:00,AMTBB
11.5,11.94,11.5,11.94,618,2020-06-16 05:00:00,AMTBB
10.71,11.5,10.6,10.6,2513,2020-06-17 05:00:00,AMTBB
11.02,11.67,11.02,11.67,637,2020-06-18 05:00:00,AMTBB
11.0,11.89,11.0,11.0,2733,2020-06-19 05:00:00,AMTBB
11.51,11.79,10.6901,11.72,2120,2020-06-22 05:00:00,AMTBB
11.79,11.79,11.77,11.77,1344,2020-06-23 05:00:00,AMTBB
10.5,10.8,10.49,10.5,909,2020-06-24 05:00:00,AMTBB
11.01,11.01,11.01,11.01,233,2020-06-25 05:00:00,AMTBB
11.0,11.0,10.95,10.95,708,2020-06-26 05:00:00,AMTBB
11.0,11.0,11.0,11.0,210,2020-06-30 05:00:00,AMTBB
9.7801,11.0,9.7801,10.77,2068,2020-07-01 05:00:00,AMTBB
10.38,10.65,10.38,10.64,1482,2020-07-02 05:00:00,AMTBB
11.2,11.2,11.2,11.2,577,2020-07-06 05:00:00,AMTBB
10.0,10.75,9.75,9.7501,3120,2020-07-07 05:00:00,AMTBB
10.3,10.3,9.6,9.77,6341,2020-07-08 05:00:00,AMTBB
9.705,9.705,9.5,9.5,3023,2020-07-09 05:00:00,AMTBB
9.98,9.98,9.75,9.75,1500,2020-07-10 05:00:00,AMTBB
10.0,10.0,9.5,9.5001,2939,2020-07-13 05:00:00,AMTBB
