open,high,low,close,volume,datetime,symbol
1.05,1.1,0.95,1.1,38000,2020-10-16 05:00:00,FTOCW
1.1,1.19,1.01,1.01,15970,2020-10-19 05:00:00,FTOCW
1.15,1.15,1.0381,1.0381,51414,2020-10-20 05:00:00,FTOCW
1.03,1.05,0.98,1.03,84008,2020-10-21 05:00:00,FTOCW
0.92,1.05,0.92,1.0,6767,2020-10-22 05:00:00,FTOCW
0.9401,1.0,0.94,1.0,19248,2020-10-23 05:00:00,FTOCW
0.94,1.0,0.9,0.9,12999,2020-10-26 05:00:00,FTOCW
0.9001,0.9001,0.861,0.9,8154,2020-10-27 05:00:00,FTOCW
1.0,1.17,0.85,0.94,49441,2020-10-28 05:00:00,FTOCW
0.899899,0.9,0.84,0.88,5610,2020-10-29 05:00:00,FTOCW
0.86,0.9,0.82,0.88,20596,2020-10-30 05:00:00,FTOCW
0.89,0.89,0.820017,0.8301,24106,2020-11-02 06:00:00,FTOCW
0.849899,0.849899,0.82,0.82,4295,2020-11-03 06:00:00,FTOCW
0.88,0.95,0.85,0.874999,4159,2020-11-04 06:00:00,FTOCW
0.85,0.9,0.85,0.85,14738,2020-11-05 06:00:00,FTOCW
0.89,0.95,0.8899,0.9499,2226,2020-11-06 06:00:00,FTOCW
0.9501,0.97,0.9,0.9499,11511,2020-11-09 06:00:00,FTOCW
1.1,1.1,0.911426,0.95,20807,2020-11-10 06:00:00,FTOCW
0.95,0.95,0.95,0.95,2515,2020-11-11 06:00:00,FTOCW
0.9,0.95,0.9,0.95,3976,2020-11-12 06:00:00,FTOCW
0.9005,0.9495,0.885,0.9495,17192,2020-11-13 06:00:00,FTOCW
0.95,0.95,0.93,0.93,1400,2020-11-16 06:00:00,FTOCW
0.95,0.95,0.93,0.95,6795,2020-11-17 06:00:00,FTOCW
0.949899,1.2,0.93,0.99,129540,2020-11-18 06:00:00,FTOCW
1.0,1.115,0.99,1.055,24875,2020-11-19 06:00:00,FTOCW
0.95,1.19,0.88,1.05,11334,2020-11-20 06:00:00,FTOCW
1.06,1.18,0.93,1.07,37938,2020-11-23 06:00:00,FTOCW
1.16,1.2,1.0,1.0,129806,2020-11-24 06:00:00,FTOCW
1.0401,1.15,1.0,1.01,56741,2020-11-25 06:00:00,FTOCW
1.0,1.04,0.93,1.0,236588,2020-11-27 06:00:00,FTOCW
1.07,1.2,1.05,1.2,173395,2020-11-30 06:00:00,FTOCW
1.08,1.25,1.07,1.15,32337,2020-12-01 06:00:00,FTOCW
1.23,1.4,1.23,1.25,55457,2020-12-02 06:00:00,FTOCW
1.25,1.25,1.13,1.2,50128,2020-12-03 06:00:00,FTOCW
1.44,1.44,1.2,1.27,63310,2020-12-04 06:00:00,FTOCW
1.44,1.9,1.3,1.3,92081,2020-12-07 06:00:00,FTOCW
1.55,1.55,1.31,1.31,76728,2020-12-08 06:00:00,FTOCW
1.67,1.67,1.35,1.4,162992,2020-12-09 06:00:00,FTOCW
1.36,1.62,1.36,1.44,249842,2020-12-10 06:00:00,FTOCW
1.55,1.7,1.41,1.6998,481520,2020-12-11 06:00:00,FTOCW
1.84,1.85,1.59,1.62,186500,2020-12-14 06:00:00,FTOCW
1.71,1.715,1.2,1.29,324527,2020-12-15 06:00:00,FTOCW
1.3,1.452,1.25,1.3901,102733,2020-12-16 06:00:00,FTOCW
1.363,1.46,1.36,1.4,87389,2020-12-17 06:00:00,FTOCW
1.4,1.46,1.37,1.43,185629,2020-12-18 06:00:00,FTOCW
1.58,1.58,1.44,1.51,166028,2020-12-21 06:00:00,FTOCW
1.7,1.75,1.58,1.62,295646,2020-12-22 06:00:00,FTOCW
1.8,2.1498,1.6898,1.87,248539,2020-12-23 06:00:00,FTOCW
2.0,2.13,1.87,1.89,169123,2020-12-24 06:00:00,FTOCW
2.11,2.22,1.95,2.09,313038,2020-12-28 06:00:00,FTOCW
2.32,2.32,1.85,1.85,510057,2020-12-29 06:00:00,FTOCW
2.14,2.14,1.92,2.0,124672,2020-12-30 06:00:00,FTOCW
2.05,2.05,1.83,1.9,211515,2020-12-31 06:00:00,FTOCW
