open,high,low,close,volume,datetime,symbol
5.4,5.4218,5.0,5.0,73951,2020-04-30 05:00:00,BLCM
5.0,5.02,4.37,4.56,162325,2020-05-01 05:00:00,BLCM
4.54,4.76,4.53,4.58,84552,2020-05-04 05:00:00,BLCM
4.6,5.4291,4.54,4.89,443846,2020-05-05 05:00:00,BLCM
5.01,5.38,4.91,5.14,186221,2020-05-06 05:00:00,BLCM
5.15,5.75,5.15,5.58,176225,2020-05-07 05:00:00,BLCM
5.7,7.77,5.36,7.36,567788,2020-05-08 05:00:00,BLCM
6.92,7.69,6.92,7.06,196662,2020-05-11 05:00:00,BLCM
7.1,7.4,6.0701,6.11,151963,2020-05-12 05:00:00,BLCM
6.12,6.47,5.53,5.84,87629,2020-05-13 05:00:00,BLCM
5.72,6.265,5.317,6.15,79949,2020-05-14 05:00:00,BLCM
6.0,6.36,5.9626,6.11,76419,2020-05-15 05:00:00,BLCM
6.24,6.53,6.12,6.22,72814,2020-05-18 05:00:00,BLCM
6.23,6.47,6.05,6.05,61004,2020-05-19 05:00:00,BLCM
6.01,6.8,6.0,6.63,102924,2020-05-20 05:00:00,BLCM
6.65,6.86,6.2509,6.81,50400,2020-05-21 05:00:00,BLCM
6.89,7.72,6.85,7.71,159837,2020-05-22 05:00:00,BLCM
8.33,8.65,7.04,7.27,212818,2020-05-26 05:00:00,BLCM
7.27,7.43,6.8,7.37,70711,2020-05-27 05:00:00,BLCM
7.52,7.91,6.88,6.96,109848,2020-05-28 05:00:00,BLCM
6.99,7.8698,6.96,7.63,86856,2020-05-29 05:00:00,BLCM
7.52,8.89,7.35,8.72,165645,2020-06-01 05:00:00,BLCM
8.9,9.4088,8.31,8.61,106736,2020-06-02 05:00:00,BLCM
9.05,9.1,8.33,8.4,86171,2020-06-03 05:00:00,BLCM
8.3,8.94,8.3,8.9,70248,2020-06-04 05:00:00,BLCM
9.05,9.56,8.6,8.78,77464,2020-06-05 05:00:00,BLCM
8.76,9.12,8.51,8.82,89610,2020-06-08 05:00:00,BLCM
8.85,9.174,8.44,8.6,78405,2020-06-09 05:00:00,BLCM
8.61,8.61,7.57,8.29,87921,2020-06-10 05:00:00,BLCM
7.95,7.95,7.05,7.2,121270,2020-06-11 05:00:00,BLCM
7.61,7.7,7.13,7.7,37837,2020-06-12 05:00:00,BLCM
7.82,8.49,7.388,8.42,71422,2020-06-15 05:00:00,BLCM
8.4,9.09,8.4,8.98,81700,2020-06-16 05:00:00,BLCM
8.93,9.0,8.43,8.78,46101,2020-06-17 05:00:00,BLCM
8.78,8.98,8.55,8.97,25388,2020-06-18 05:00:00,BLCM
9.07,9.15,8.61,8.93,111365,2020-06-19 05:00:00,BLCM
8.93,9.09,8.517,9.03,43772,2020-06-22 05:00:00,BLCM
