open,high,low,close,volume,datetime,symbol
5.55,5.55,5.55,5.55,12263,2020-04-30 05:00:00,PTRS
5.75,5.75,5.75,5.75,1000,2020-05-01 05:00:00,PTRS
5.745,6.34,5.745,6.34,283132,2020-05-05 05:00:00,PTRS
6.4,6.85,6.4,6.55,73726,2020-05-06 05:00:00,PTRS
6.675,6.85,6.52,6.55,18944,2020-05-07 05:00:00,PTRS
6.7,6.83,6.68,6.77,4536,2020-05-08 05:00:00,PTRS
6.85,7.05,6.56,6.8,104998,2020-05-11 05:00:00,PTRS
6.83,6.83,6.6,6.74,6246,2020-05-12 05:00:00,PTRS
6.81,6.81,6.48,6.6,33883,2020-05-13 05:00:00,PTRS
6.6,6.6,6.455,6.56,30007,2020-05-14 05:00:00,PTRS
6.59,6.59,6.41,6.42,16177,2020-05-15 05:00:00,PTRS
6.55,6.6,6.4201,6.52,29658,2020-05-18 05:00:00,PTRS
6.55,6.6,6.5,6.6,41056,2020-05-19 05:00:00,PTRS
6.6,7.0,6.52,6.89,18966,2020-05-20 05:00:00,PTRS
6.9,6.9,6.89,6.9,1805,2020-05-21 05:00:00,PTRS
6.9,7.0,6.55,6.97,40168,2020-05-22 05:00:00,PTRS
7.0,7.09,6.594,6.95,30337,2020-05-26 05:00:00,PTRS
7.0,7.0225,6.8,6.95,12735,2020-05-27 05:00:00,PTRS
6.94,6.95,6.93,6.93,2334,2020-05-28 05:00:00,PTRS
6.925,7.0,6.66,7.0,43265,2020-05-29 05:00:00,PTRS
6.9,7.1,6.9,7.0,18302,2020-06-01 05:00:00,PTRS
7.015,7.2,7.015,7.2,31388,2020-06-02 05:00:00,PTRS
7.25,7.25,6.89,7.25,16431,2020-06-03 05:00:00,PTRS
7.18,7.25,7.17,7.2,28150,2020-06-04 05:00:00,PTRS
7.08,7.2,7.02,7.2,33230,2020-06-05 05:00:00,PTRS
7.2,7.49,7.145,7.23,71552,2020-06-08 05:00:00,PTRS
7.48,7.5,7.18,7.46,21204,2020-06-09 05:00:00,PTRS
7.5,7.5,7.35,7.39,40577,2020-06-10 05:00:00,PTRS
7.3,7.3,6.96,6.96,17780,2020-06-11 05:00:00,PTRS
7.18,7.3,7.105,7.23,58372,2020-06-12 05:00:00,PTRS
7.13,7.48,7.06,7.23,118736,2020-06-15 05:00:00,PTRS
7.39,7.39,7.0501,7.38,67043,2020-06-16 05:00:00,PTRS
7.25,7.4,7.195,7.4,151052,2020-06-17 05:00:00,PTRS
7.4,7.49,7.305,7.48,138336,2020-06-18 05:00:00,PTRS
7.44,7.6,7.005,7.02,226928,2020-06-19 05:00:00,PTRS
7.12,7.47,7.01,7.24,82673,2020-06-22 05:00:00,PTRS
7.15,7.6,7.15,7.42,196326,2020-06-23 05:00:00,PTRS
7.48,7.48,7.17,7.29,33432,2020-06-24 05:00:00,PTRS
7.33,7.33,6.99,7.14,57165,2020-06-25 05:00:00,PTRS
7.11,7.23,6.24,6.48,939061,2020-06-26 05:00:00,PTRS
6.43,6.6,6.26,6.47,33995,2020-06-29 05:00:00,PTRS
6.47,6.57,6.17,6.57,25986,2020-06-30 05:00:00,PTRS
6.54,6.79,6.36,6.52,28353,2020-07-01 05:00:00,PTRS
6.52,6.6,6.31,6.6,17562,2020-07-02 05:00:00,PTRS
6.61,6.62,6.31,6.44,13881,2020-07-06 05:00:00,PTRS
6.39,6.61,6.31,6.31,9092,2020-07-07 05:00:00,PTRS
6.26,6.51,6.21,6.51,10224,2020-07-08 05:00:00,PTRS
6.35,6.35,5.5,5.89,110320,2020-07-09 05:00:00,PTRS
6.1,6.1,5.95,6.04,9911,2020-07-10 05:00:00,PTRS
6.03,6.23,5.89,5.96,4518,2020-07-13 05:00:00,PTRS
6.19,6.19,5.99,6.18,3249,2020-07-14 05:00:00,PTRS
6.23,6.83,5.86,6.19,22708,2020-07-15 05:00:00,PTRS
6.24,6.49,6.1,6.29,5465,2020-07-16 05:00:00,PTRS
6.18,6.34,6.18,6.33,3954,2020-07-17 05:00:00,PTRS
6.34,6.39,6.17,6.27,7158,2020-07-20 05:00:00,PTRS
6.16,6.29,5.81,6.14,35585,2020-07-21 05:00:00,PTRS
6.17,6.28,5.95,6.1,12167,2020-07-22 05:00:00,PTRS
6.17,6.25,5.81,6.12,17246,2020-07-23 05:00:00,PTRS
6.18,6.185,5.84,5.91,12535,2020-07-24 05:00:00,PTRS
5.81,6.19,5.81,6.19,2027,2020-07-27 05:00:00,PTRS
6.08,6.11,5.81,6.0,7516,2020-07-28 05:00:00,PTRS
5.91,6.19,5.91,6.04,5906,2020-07-29 05:00:00,PTRS
6.19,6.19,5.93,5.99,4772,2020-07-30 05:00:00,PTRS
6.05,6.09,5.81,5.82,7300,2020-07-31 05:00:00,PTRS
5.83,6.06,5.83,6.06,5225,2020-08-03 05:00:00,PTRS
5.5935,6.08,5.5925,6.07,7584,2020-08-04 05:00:00,PTRS
5.62,6.04,5.6,6.04,18199,2020-08-05 05:00:00,PTRS
5.98,6.05,5.98,6.05,2077,2020-08-06 05:00:00,PTRS
6.21,6.24,6.17,6.18,3746,2020-08-07 05:00:00,PTRS
6.25,6.2799,6.06,6.15,4046,2020-08-10 05:00:00,PTRS
6.165,6.28,6.15,6.27,9651,2020-08-11 05:00:00,PTRS
6.31,6.31,5.78,6.04,12172,2020-08-12 05:00:00,PTRS
6.29,6.29,5.84,6.14,6895,2020-08-13 05:00:00,PTRS
6.22,6.85,6.22,6.66,10563,2020-08-14 05:00:00,PTRS
6.42,6.42,6.42,6.42,1696,2020-08-17 05:00:00,PTRS
6.64,6.64,6.03,6.39,1697,2020-08-18 05:00:00,PTRS
6.64,6.64,6.55,6.64,6202,2020-08-19 05:00:00,PTRS
6.39,6.39,6.11,6.29,4024,2020-08-20 05:00:00,PTRS
