open,high,low,close,volume,datetime,symbol
27.0,27.19,24.85,26.44,4465550,2021-03-19 05:00:00,TIL
26.44,29.49,25.75,26.8,837022,2021-03-22 05:00:00,TIL
26.98,26.98,24.04,26.2,1004376,2021-03-23 05:00:00,TIL
25.92,27.48,24.26,24.38,774239,2021-03-24 05:00:00,TIL
23.38,24.84,22.46,24.23,1553505,2021-03-25 05:00:00,TIL
24.2,28.0,23.41,27.06,293887,2021-03-26 05:00:00,TIL
27.11,27.16,24.56,26.47,204986,2021-03-29 05:00:00,TIL
26.03,26.21,24.0,24.24,68724,2021-03-30 05:00:00,TIL
24.13,26.235,23.6201,25.08,153207,2021-03-31 05:00:00,TIL
25.46,25.98,22.78,23.69,186998,2021-04-01 05:00:00,TIL
24.33,25.1388,23.01,24.63,316711,2021-04-05 05:00:00,TIL
24.41,24.71,23.65,24.36,118067,2021-04-06 05:00:00,TIL
24.43,24.455,22.565,22.66,127592,2021-04-07 05:00:00,TIL
22.44,23.5558,21.93,22.24,175264,2021-04-08 05:00:00,TIL
22.22,23.2499,21.445,22.03,122214,2021-04-09 05:00:00,TIL
22.03,22.77,19.73,21.94,324765,2021-04-12 05:00:00,TIL
20.46,21.73,20.245,20.86,195933,2021-04-13 05:00:00,TIL
20.84,21.27,19.925,20.0,180979,2021-04-14 05:00:00,TIL
20.0,20.565,18.0917,18.68,644885,2021-04-15 05:00:00,TIL
18.59,19.07,17.47,19.0,245258,2021-04-16 05:00:00,TIL
18.93,19.067,17.985,18.49,248590,2021-04-19 05:00:00,TIL
18.51,19.272,18.02,18.81,268182,2021-04-20 05:00:00,TIL
18.98,19.01,17.35,17.61,273445,2021-04-21 05:00:00,TIL
17.46,17.64,16.6,16.8,367373,2021-04-22 05:00:00,TIL
16.91,17.5587,16.17,16.64,133631,2021-04-23 05:00:00,TIL
17.0,17.46,16.41,16.95,273365,2021-04-26 05:00:00,TIL
17.32,17.55,16.51,17.23,133273,2021-04-27 05:00:00,TIL
17.26,18.07,16.65,18.03,136955,2021-04-28 05:00:00,TIL
18.38,19.24,17.9,19.13,244258,2021-04-29 05:00:00,TIL
19.45,20.975,18.75,20.53,191235,2021-04-30 05:00:00,TIL
