open,high,low,close,volume,datetime,symbol
6.59,6.59,6.57,6.57,3400,2021-04-26 11:00:00,CYAD
6.57,6.57,6.57,6.57,700,2021-04-26 11:22:00,CYAD
6.6,6.6,6.58,6.59,1500,2021-04-26 13:44:00,CYAD
6.59,6.5935,6.56,6.58,2800,2021-04-26 13:45:00,CYAD
6.55,6.55,6.55,6.55,890,2021-04-26 13:55:00,CYAD
6.59,6.59,6.54,6.54,1999,2021-04-26 14:22:00,CYAD
6.51,6.51,6.51,6.51,2000,2021-04-26 14:23:00,CYAD
6.53,6.53,6.5,6.51,2100,2021-04-26 14:35:00,CYAD
6.51,6.51,6.5,6.5,1000,2021-04-26 14:44:00,CYAD
6.47,6.47,6.45,6.45,1800,2021-04-26 15:01:00,CYAD
6.42,6.45,6.42,6.45,300,2021-04-26 15:02:00,CYAD
6.48,6.5,6.48,6.5,285,2021-04-26 15:05:00,CYAD
6.48,6.48,6.48,6.48,500,2021-04-26 15:13:00,CYAD
6.48,6.48,6.48,6.48,200,2021-04-26 15:20:00,CYAD
6.48,6.48,6.48,6.48,300,2021-04-26 15:22:00,CYAD
6.48,6.48,6.48,6.48,1100,2021-04-26 15:29:00,CYAD
6.45,6.45,6.43,6.441,1500,2021-04-26 15:59:00,CYAD
6.42,6.43,6.37,6.4,3834,2021-04-26 16:44:00,CYAD
6.32,6.415,6.29,6.29,1900,2021-04-26 17:52:00,CYAD
6.42,6.4302,6.42,6.4302,200,2021-04-26 19:40:00,CYAD
6.42,6.42,6.42,6.42,700,2021-04-27 10:20:00,CYAD
6.42,6.43,6.4,6.4,1470,2021-04-27 13:42:00,CYAD
6.45,6.45,6.438,6.438,200,2021-04-27 15:38:00,CYAD
6.42,6.452,6.41,6.41,3900,2021-04-27 16:06:00,CYAD
6.3979,6.3979,6.3979,6.3979,1300,2021-04-27 16:31:00,CYAD
6.39,6.39,6.39,6.39,100,2021-04-27 16:35:00,CYAD
6.38,6.38,6.38,6.38,200,2021-04-27 17:50:00,CYAD
6.37,6.37,6.32,6.37,1752,2021-04-27 18:08:00,CYAD
6.34,6.34,6.33,6.33,2292,2021-04-27 18:26:00,CYAD
6.4,6.4,6.4,6.4,104,2021-04-28 13:30:00,CYAD
6.43,6.43,6.42,6.42,2000,2021-04-28 13:43:00,CYAD
6.42,6.42,6.42,6.42,200,2021-04-28 13:51:00,CYAD
6.43,6.43,6.4275,6.4275,600,2021-04-28 13:52:00,CYAD
6.41,6.41,6.39,6.41,2900,2021-04-28 14:28:00,CYAD
6.41,6.41,6.37,6.37,2200,2021-04-28 14:48:00,CYAD
6.37,6.37,6.36,6.36,1500,2021-04-28 14:57:00,CYAD
6.3401,6.374,6.33,6.374,5437,2021-04-28 15:04:00,CYAD
6.34,6.34,6.33,6.33,2000,2021-04-28 15:06:00,CYAD
6.38,6.38,6.36,6.36,1600,2021-04-28 15:21:00,CYAD
6.3821,6.3821,6.3821,6.3821,150,2021-04-28 15:28:00,CYAD
6.3,6.302,6.26,6.26,2200,2021-04-28 15:54:00,CYAD
6.2985,6.3,6.2985,6.3,352,2021-04-28 16:40:00,CYAD
6.27,6.27,6.27,6.27,177,2021-04-28 16:51:00,CYAD
6.27,6.27,6.27,6.27,1300,2021-04-28 17:07:00,CYAD
6.286,6.286,6.286,6.286,100,2021-04-28 17:58:00,CYAD
