open,high,low,close,volume,datetime,symbol
175.4,175.4,175.4,175.4,500,2021-04-26 11:00:00,FIVN
177.32,177.77,177.045,177.045,6137,2021-04-26 13:30:00,FIVN
177.09,177.15,176.49,177.09,700,2021-04-26 13:31:00,FIVN
176.8375,176.8375,176.8375,176.8375,100,2021-04-26 13:34:00,FIVN
177.38,177.38,177.38,177.38,100,2021-04-26 13:35:00,FIVN
176.33,176.33,176.0,176.0,800,2021-04-26 13:44:00,FIVN
175.82,175.82,175.82,175.82,225,2021-04-26 13:45:00,FIVN
175.33,175.46,174.67,174.67,900,2021-04-26 13:47:00,FIVN
175.37,175.62,175.36,175.62,1100,2021-04-26 13:48:00,FIVN
175.11,175.11,175.025,175.025,300,2021-04-26 13:49:00,FIVN
174.97,174.97,174.89,174.89,200,2021-04-26 13:50:00,FIVN
174.87,175.26,174.86,175.09,3896,2021-04-26 13:52:00,FIVN
175.29,175.93,175.29,175.93,600,2021-04-26 13:53:00,FIVN
175.6,175.65,175.59,175.65,300,2021-04-26 13:54:00,FIVN
175.94,175.94,175.94,175.94,100,2021-04-26 13:55:00,FIVN
176.15,176.15,176.15,176.15,200,2021-04-26 13:56:00,FIVN
176.2,176.2,176.02,176.02,1000,2021-04-26 13:57:00,FIVN
176.0,176.0,176.0,176.0,100,2021-04-26 13:58:00,FIVN
175.92,175.92,175.92,175.92,100,2021-04-26 13:59:00,FIVN
176.34,177.04,176.34,176.7,700,2021-04-26 14:03:00,FIVN
176.86,176.88,176.505,176.505,2100,2021-04-26 14:04:00,FIVN
176.49,177.06,176.33,176.49,11635,2021-04-26 14:05:00,FIVN
176.5,177.05,176.5,176.83,790,2021-04-26 14:06:00,FIVN
176.825,176.835,176.55,176.55,500,2021-04-26 14:07:00,FIVN
176.62,176.62,176.565,176.565,200,2021-04-26 14:08:00,FIVN
176.65,176.65,176.59,176.61,300,2021-04-26 14:09:00,FIVN
176.49,176.49,176.49,176.49,100,2021-04-26 14:10:00,FIVN
176.33,176.33,176.33,176.33,100,2021-04-26 14:11:00,FIVN
176.17,176.17,175.91,176.0,600,2021-04-26 14:15:00,FIVN
175.99,175.99,175.98,175.98,400,2021-04-26 14:16:00,FIVN
175.92,176.09,175.84,175.84,400,2021-04-26 14:17:00,FIVN
176.47,176.47,176.47,176.47,100,2021-04-26 14:19:00,FIVN
176.67,176.8,176.67,176.8,500,2021-04-26 14:20:00,FIVN
176.81,177.0,176.74,176.885,600,2021-04-26 14:22:00,FIVN
176.805,176.895,176.72,176.77,1090,2021-04-26 14:23:00,FIVN
176.59,176.665,176.59,176.665,230,2021-04-26 14:25:00,FIVN
176.73,176.73,176.725,176.725,500,2021-04-26 14:26:00,FIVN
176.72,176.88,176.72,176.81,790,2021-04-26 14:27:00,FIVN
176.6675,176.6675,176.6675,176.6675,100,2021-04-26 14:28:00,FIVN
176.9,176.91,176.74,176.81,700,2021-04-26 14:29:00,FIVN
176.63,176.635,176.63,176.635,300,2021-04-26 14:30:00,FIVN
176.6,176.72,176.6,176.66,300,2021-04-26 14:31:00,FIVN
176.53,176.53,176.53,176.53,200,2021-04-26 14:32:00,FIVN
176.45,176.45,176.43,176.43,400,2021-04-26 14:33:00,FIVN
176.54,176.685,176.37,176.575,500,2021-04-26 14:34:00,FIVN
176.5,176.5,176.46,176.47,450,2021-04-26 14:36:00,FIVN
176.64,176.91,176.64,176.7,400,2021-04-26 14:37:00,FIVN
176.785,176.785,176.71,176.71,400,2021-04-26 14:39:00,FIVN
176.76,176.95,176.76,176.95,500,2021-04-26 14:40:00,FIVN
176.81,176.81,176.81,176.81,100,2021-04-26 14:41:00,FIVN
177.0575,177.0575,177.0575,177.0575,100,2021-04-26 14:43:00,FIVN
177.24,177.28,177.24,177.28,300,2021-04-26 14:44:00,FIVN
177.45,177.45,177.3225,177.3225,200,2021-04-26 14:49:00,FIVN
177.58,177.645,177.58,177.645,300,2021-04-26 14:50:00,FIVN
177.82,177.84,177.82,177.84,200,2021-04-26 14:51:00,FIVN
177.64,177.64,177.64,177.64,100,2021-04-26 14:53:00,FIVN
177.73,177.77,177.57,177.68,1420,2021-04-26 14:54:00,FIVN
177.68,177.68,177.565,177.57,1128,2021-04-26 14:55:00,FIVN
177.45,177.77,177.45,177.77,1500,2021-04-26 14:56:00,FIVN
177.72,177.795,177.7,177.795,700,2021-04-26 14:57:00,FIVN
177.795,178.0,177.795,178.0,1300,2021-04-26 14:58:00,FIVN
178.075,178.075,178.075,178.075,280,2021-04-26 14:59:00,FIVN
178.41,178.78,178.41,178.72,1800,2021-04-26 15:02:00,FIVN
178.725,178.865,178.65,178.68,1400,2021-04-26 15:03:00,FIVN
178.86,179.0,178.86,179.0,656,2021-04-26 15:05:00,FIVN
178.96,179.14,178.96,179.0,2248,2021-04-26 15:06:00,FIVN
179.03,179.24,179.03,179.24,500,2021-04-26 15:08:00,FIVN
179.07,179.07,178.34,178.34,1500,2021-04-26 15:09:00,FIVN
178.42,178.42,178.42,178.42,100,2021-04-26 15:10:00,FIVN
178.65,178.68,178.63,178.67,767,2021-04-26 15:11:00,FIVN
178.61,178.61,178.56,178.56,400,2021-04-26 15:12:00,FIVN
178.835,178.95,178.835,178.95,200,2021-04-26 15:13:00,FIVN
179.0587,179.0587,178.8783,179.04,12600,2021-04-26 15:14:00,FIVN
179.2,179.2,179.06,179.06,300,2021-04-26 15:16:00,FIVN
179.19,179.23,179.19,179.23,200,2021-04-26 15:17:00,FIVN
179.17,179.19,179.17,179.19,200,2021-04-26 15:18:00,FIVN
179.1,179.1,179.065,179.065,200,2021-04-26 15:19:00,FIVN
179.24,179.5644,179.23,179.5644,400,2021-04-26 15:21:00,FIVN
179.265,179.64,179.265,179.64,754,2021-04-26 15:23:00,FIVN
179.39,179.58,179.37,179.56,1100,2021-04-26 15:24:00,FIVN
179.64,179.7,179.64,179.7,300,2021-04-26 15:25:00,FIVN
179.72,179.95,179.72,179.82,644,2021-04-26 15:26:00,FIVN
179.76,179.93,179.72,179.72,400,2021-04-26 15:27:00,FIVN
179.695,179.695,179.695,179.695,300,2021-04-26 15:28:00,FIVN
179.59,179.76,179.52,179.76,600,2021-04-26 15:29:00,FIVN
179.76,179.76,179.51,179.635,700,2021-04-26 15:30:00,FIVN
179.75,179.75,179.31,179.32,800,2021-04-26 15:32:00,FIVN
179.25,179.37,179.25,179.34,1800,2021-04-26 15:33:00,FIVN
179.34,179.34,179.34,179.34,200,2021-04-26 15:34:00,FIVN
179.63,179.63,179.38,179.38,900,2021-04-26 15:35:00,FIVN
179.47,179.62,179.47,179.52,2100,2021-04-26 15:36:00,FIVN
179.525,179.82,179.525,179.82,500,2021-04-26 15:37:00,FIVN
179.585,179.715,179.58,179.715,300,2021-04-26 15:38:00,FIVN
179.66,179.66,179.66,179.66,100,2021-04-26 15:40:00,FIVN
179.62,179.62,179.62,179.62,200,2021-04-26 15:41:00,FIVN
179.55,179.8,179.52,179.52,1201,2021-04-26 15:42:00,FIVN
179.545,179.59,179.47,179.555,1900,2021-04-26 15:43:00,FIVN
179.64,179.64,179.625,179.625,200,2021-04-26 15:44:00,FIVN
179.6681,179.6681,179.6681,179.6681,100,2021-04-26 15:45:00,FIVN
179.58,179.72,179.58,179.72,600,2021-04-26 15:47:00,FIVN
179.44,179.44,178.96,178.96,200,2021-04-26 15:49:00,FIVN
179.15,179.15,178.96,178.96,300,2021-04-26 15:52:00,FIVN
178.76,178.995,178.76,178.995,200,2021-04-26 15:53:00,FIVN
178.78,178.86,178.645,178.645,300,2021-04-26 15:54:00,FIVN
178.76,178.85,178.68,178.85,721,2021-04-26 15:55:00,FIVN
178.9217,178.9217,178.8303,178.8303,240,2021-04-26 15:56:00,FIVN
178.92,178.94,178.92,178.94,200,2021-04-26 15:58:00,FIVN
179.09,179.09,179.09,179.09,100,2021-04-26 16:00:00,FIVN
179.08,179.1,179.08,179.08,400,2021-04-26 16:02:00,FIVN
179.3,179.34,179.3,179.34,390,2021-04-26 16:05:00,FIVN
179.24,179.24,179.22,179.23,300,2021-04-26 16:06:00,FIVN
179.13,179.13,179.05,179.05,200,2021-04-26 16:08:00,FIVN
179.1,179.12,179.1,179.11,400,2021-04-26 16:09:00,FIVN
179.25,179.25,179.25,179.25,100,2021-04-26 16:11:00,FIVN
178.94,178.94,178.68,178.68,200,2021-04-26 16:12:00,FIVN
178.67,178.67,178.67,178.67,100,2021-04-26 16:14:00,FIVN
178.59,178.59,178.59,178.59,100,2021-04-26 16:16:00,FIVN
178.83,178.97,178.8,178.97,800,2021-04-26 16:17:00,FIVN
179.11,179.11,179.11,179.11,100,2021-04-26 16:19:00,FIVN
179.06,179.32,179.06,179.32,400,2021-04-26 16:20:00,FIVN
179.22,179.22,179.19,179.19,200,2021-04-26 16:21:00,FIVN
179.27,179.27,179.27,179.27,100,2021-04-26 16:23:00,FIVN
179.28,179.4371,179.28,179.4371,400,2021-04-26 16:24:00,FIVN
179.47,179.47,179.47,179.47,100,2021-04-26 16:25:00,FIVN
179.38,179.545,179.38,179.545,316,2021-04-26 16:26:00,FIVN
179.57,179.57,179.57,179.57,200,2021-04-26 16:27:00,FIVN
179.59,179.6,179.59,179.6,200,2021-04-26 16:28:00,FIVN
179.415,179.46,179.38,179.38,1100,2021-04-26 16:29:00,FIVN
179.29,179.31,179.06,179.08,2400,2021-04-26 16:30:00,FIVN
179.07,179.1,178.85,178.85,500,2021-04-26 16:31:00,FIVN
179.07,179.07,179.07,179.07,200,2021-04-26 16:32:00,FIVN
178.91,179.11,178.91,179.11,1100,2021-04-26 16:34:00,FIVN
179.185,179.185,179.185,179.185,100,2021-04-26 16:35:00,FIVN
179.065,179.065,179.065,179.065,100,2021-04-26 16:37:00,FIVN
179.17,179.18,179.04,179.04,800,2021-04-26 16:38:00,FIVN
178.97,178.97,178.97,178.97,100,2021-04-26 16:39:00,FIVN
178.845,178.845,178.845,178.845,100,2021-04-26 16:40:00,FIVN
178.865,178.865,178.865,178.865,100,2021-04-26 16:41:00,FIVN
178.845,178.845,178.845,178.845,100,2021-04-26 16:42:00,FIVN
178.72,178.78,178.71,178.78,500,2021-04-26 16:43:00,FIVN
178.8,178.8,178.8,178.8,200,2021-04-26 16:44:00,FIVN
178.85,178.85,178.74,178.74,500,2021-04-26 16:45:00,FIVN
178.775,178.775,178.775,178.775,100,2021-04-26 16:46:00,FIVN
178.805,178.805,178.805,178.805,100,2021-04-26 16:47:00,FIVN
178.84,178.84,178.76,178.775,300,2021-04-26 16:48:00,FIVN
178.805,178.805,178.805,178.805,200,2021-04-26 16:49:00,FIVN
178.66,178.66,178.63,178.63,200,2021-04-26 16:50:00,FIVN
178.7,178.74,178.7,178.72,400,2021-04-26 16:51:00,FIVN
178.76,179.03,178.655,178.99,26000,2021-04-26 16:53:00,FIVN
179.02,179.1,179.02,179.1,200,2021-04-26 16:54:00,FIVN
179.18,179.18,179.18,179.18,363,2021-04-26 16:55:00,FIVN
179.53,179.53,179.53,179.53,200,2021-04-26 16:56:00,FIVN
179.55,179.55,179.55,179.55,100,2021-04-26 16:58:00,FIVN
179.39,179.39,179.39,179.39,100,2021-04-26 16:59:00,FIVN
179.44,179.45,179.44,179.45,200,2021-04-26 17:00:00,FIVN
179.44,179.44,179.435,179.44,300,2021-04-26 17:01:00,FIVN
179.39,179.44,179.39,179.44,400,2021-04-26 17:05:00,FIVN
179.46,179.47,179.46,179.47,200,2021-04-26 17:06:00,FIVN
179.48,179.49,179.48,179.49,294,2021-04-26 17:07:00,FIVN
179.56,179.56,179.56,179.56,100,2021-04-26 17:09:00,FIVN
179.74,179.83,179.74,179.83,200,2021-04-26 17:10:00,FIVN
179.8,179.93,179.8,179.93,300,2021-04-26 17:11:00,FIVN
180.0,180.0,179.965,179.965,1300,2021-04-26 17:12:00,FIVN
179.97,179.97,179.97,179.97,100,2021-04-26 17:13:00,FIVN
179.53,179.72,179.53,179.63,400,2021-04-26 17:15:00,FIVN
179.53,179.53,179.53,179.53,100,2021-04-26 17:16:00,FIVN
179.63,179.73,179.63,179.73,700,2021-04-26 17:17:00,FIVN
179.68,179.68,179.26,179.435,1800,2021-04-26 17:18:00,FIVN
179.66,179.66,179.39,179.39,200,2021-04-26 17:20:00,FIVN
179.39,179.39,179.39,179.39,100,2021-04-26 17:21:00,FIVN
179.555,179.555,179.47,179.5,600,2021-04-26 17:23:00,FIVN
179.38,179.57,179.38,179.57,200,2021-04-26 17:24:00,FIVN
179.59,179.59,179.59,179.59,200,2021-04-26 17:25:00,FIVN
179.68,179.68,179.68,179.68,400,2021-04-26 17:26:00,FIVN
179.8,179.89,179.8,179.88,400,2021-04-26 17:29:00,FIVN
179.88,179.88,179.8,179.8,300,2021-04-26 17:30:00,FIVN
179.79,179.79,179.79,179.79,100,2021-04-26 17:31:00,FIVN
179.805,179.88,179.805,179.88,200,2021-04-26 17:32:00,FIVN
179.89,179.89,179.89,179.89,100,2021-04-26 17:33:00,FIVN
179.95,180.04,179.95,180.02,300,2021-04-26 17:35:00,FIVN
179.93,179.93,179.93,179.93,100,2021-04-26 17:36:00,FIVN
179.98,179.98,179.89,179.89,400,2021-04-26 17:37:00,FIVN
179.79,179.88,179.79,179.86,600,2021-04-26 17:40:00,FIVN
179.67,179.67,179.63,179.63,200,2021-04-26 17:42:00,FIVN
179.89,179.89,179.89,179.89,100,2021-04-26 17:44:00,FIVN
179.86,179.88,179.86,179.88,200,2021-04-26 17:45:00,FIVN
179.92,179.97,179.92,179.97,300,2021-04-26 17:46:00,FIVN
180.04,180.31,180.04,180.31,300,2021-04-26 17:47:00,FIVN
180.28,180.28,180.28,180.28,100,2021-04-26 17:49:00,FIVN
180.27,180.27,180.27,180.27,100,2021-04-26 17:50:00,FIVN
180.35,180.35,180.34,180.34,300,2021-04-26 17:52:00,FIVN
180.29,180.42,180.29,180.42,200,2021-04-26 17:54:00,FIVN
180.43,180.43,180.43,180.43,100,2021-04-26 17:55:00,FIVN
180.07,180.07,180.07,180.07,100,2021-04-26 17:57:00,FIVN
180.22,180.23,180.22,180.23,200,2021-04-26 17:59:00,FIVN
