open,high,low,close,volume,datetime,symbol
44.94,44.94,44.94,44.94,122,2021-04-26 13:30:00,RUSHB
45.11,45.11,45.11,45.11,100,2021-04-26 13:31:00,RUSHB
45.05,45.05,45.05,45.05,100,2021-04-26 14:57:00,RUSHB
45.27,45.27,45.27,45.27,200,2021-04-26 16:16:00,RUSHB
45.0,45.24,44.99,45.24,1000,2021-04-26 16:42:00,RUSHB
44.99,44.99,44.375,44.375,700,2021-04-26 16:43:00,RUSHB
44.49,44.49,44.44,44.45,599,2021-04-26 16:44:00,RUSHB
44.39,44.39,44.39,44.39,100,2021-04-26 16:45:00,RUSHB
44.17,44.17,44.17,44.17,100,2021-04-26 16:46:00,RUSHB
44.09,44.09,44.09,44.09,100,2021-04-26 16:47:00,RUSHB
44.08,44.08,44.08,44.08,200,2021-04-26 16:48:00,RUSHB
44.07,44.07,44.06,44.06,400,2021-04-26 16:49:00,RUSHB
44.22,44.22,44.22,44.22,200,2021-04-26 16:53:00,RUSHB
44.26,44.32,44.26,44.32,300,2021-04-26 16:54:00,RUSHB
44.54,44.54,44.54,44.54,100,2021-04-26 17:09:00,RUSHB
44.54,44.54,44.54,44.54,100,2021-04-26 17:10:00,RUSHB
44.984,44.984,44.984,44.984,700,2021-04-26 17:18:00,RUSHB
44.55,44.55,44.55,44.55,100,2021-04-26 17:23:00,RUSHB
44.65,44.65,44.65,44.65,100,2021-04-26 17:37:00,RUSHB
44.73,44.73,44.73,44.73,100,2021-04-26 18:03:00,RUSHB
45.165,45.165,45.165,45.165,100,2021-04-26 18:40:00,RUSHB
45.23,45.23,45.23,45.23,100,2021-04-26 19:15:00,RUSHB
45.28,45.28,45.28,45.28,100,2021-04-26 19:24:00,RUSHB
45.09,45.09,45.09,45.09,100,2021-04-26 19:30:00,RUSHB
45.03,45.03,45.03,45.03,100,2021-04-26 19:39:00,RUSHB
45.06,45.06,45.06,45.06,100,2021-04-26 19:56:00,RUSHB
44.98,44.98,44.98,44.98,200,2021-04-26 19:57:00,RUSHB
44.86,44.96,44.84,44.84,350,2021-04-26 19:58:00,RUSHB
44.74,44.81,44.74,44.81,431,2021-04-26 19:59:00,RUSHB
45.07,45.07,45.07,45.07,1028,2021-04-26 20:00:00,RUSHB
45.07,45.07,45.07,45.07,259,2021-04-26 20:01:00,RUSHB
44.0075,44.0075,44.0075,44.0075,100,2021-04-27 13:30:00,RUSHB
45.17,45.17,45.17,45.17,100,2021-04-27 14:33:00,RUSHB
45.22,45.22,45.22,45.22,200,2021-04-27 14:35:00,RUSHB
45.28,45.28,45.17,45.28,500,2021-04-27 15:02:00,RUSHB
45.25,45.25,45.25,45.25,100,2021-04-27 15:54:00,RUSHB
45.31,45.31,45.31,45.31,100,2021-04-27 15:57:00,RUSHB
45.26,45.47,45.26,45.47,1492,2021-04-27 16:00:00,RUSHB
45.275,45.275,45.275,45.275,100,2021-04-27 16:18:00,RUSHB
45.42,45.42,45.42,45.42,200,2021-04-27 16:20:00,RUSHB
45.48,45.48,45.48,45.48,100,2021-04-27 16:21:00,RUSHB
45.38,45.38,45.38,45.38,100,2021-04-27 16:23:00,RUSHB
45.435,45.435,45.435,45.435,100,2021-04-27 16:29:00,RUSHB
45.3825,45.3825,45.3825,45.3825,100,2021-04-27 16:47:00,RUSHB
45.16,45.16,45.16,45.16,100,2021-04-27 16:53:00,RUSHB
