open,high,low,close,volume,datetime,symbol
1.5,1.5,1.5,1.5,650,2021-04-26 12:17:00,BIMI
1.5,1.5,1.5,1.5,136,2021-04-26 12:30:00,BIMI
1.49,1.49,1.49,1.49,3300,2021-04-26 12:58:00,BIMI
1.48,1.48,1.48,1.48,125,2021-04-26 13:13:00,BIMI
1.48,1.48,1.48,1.48,969,2021-04-26 13:16:00,BIMI
1.49,1.49,1.48,1.48,1371,2021-04-26 13:25:00,BIMI
1.46,1.46,1.46,1.46,400,2021-04-26 13:29:00,BIMI
1.48,1.48,1.48,1.48,1789,2021-04-26 13:30:00,BIMI
1.48,1.4805,1.48,1.4805,13825,2021-04-26 13:33:00,BIMI
1.479,1.479,1.479,1.479,6900,2021-04-26 13:34:00,BIMI
1.47,1.47,1.46,1.461,5184,2021-04-26 13:40:00,BIMI
1.46,1.46,1.45,1.45,4419,2021-04-26 13:41:00,BIMI
1.47,1.47,1.46,1.461,700,2021-04-26 13:43:00,BIMI
1.46,1.46,1.46,1.46,650,2021-04-26 13:45:00,BIMI
1.4619,1.4619,1.4619,1.4619,100,2021-04-26 13:48:00,BIMI
1.4689,1.4699,1.4689,1.4699,1500,2021-04-26 13:49:00,BIMI
1.4699,1.4699,1.4699,1.4699,500,2021-04-26 13:51:00,BIMI
1.47,1.47,1.47,1.47,2700,2021-04-26 13:53:00,BIMI
1.47,1.475,1.47,1.475,250,2021-04-26 13:55:00,BIMI
1.47,1.47,1.47,1.47,900,2021-04-26 13:56:00,BIMI
1.48,1.48,1.48,1.48,2500,2021-04-26 14:03:00,BIMI
1.49,1.51,1.49,1.505,2983,2021-04-26 14:04:00,BIMI
1.5085,1.5085,1.5085,1.5085,500,2021-04-26 14:05:00,BIMI
1.5,1.5,1.48,1.48,350,2021-04-26 14:06:00,BIMI
1.49,1.49,1.49,1.49,2000,2021-04-26 14:10:00,BIMI
1.49,1.49,1.49,1.49,183,2021-04-26 14:11:00,BIMI
1.5,1.5,1.5,1.5,6000,2021-04-26 14:15:00,BIMI
1.4983,1.4983,1.4983,1.4983,250,2021-04-26 14:18:00,BIMI
1.491,1.491,1.491,1.491,2500,2021-04-26 14:20:00,BIMI
1.4907,1.4907,1.4907,1.4907,250,2021-04-26 14:24:00,BIMI
1.4919,1.4919,1.4919,1.4919,183,2021-04-26 14:37:00,BIMI
1.5,1.5,1.4997,1.4999,2984,2021-04-26 14:40:00,BIMI
1.5002,1.5002,1.5,1.5,1000,2021-04-26 14:41:00,BIMI
1.5,1.5,1.5,1.5,1083,2021-04-26 14:43:00,BIMI
1.49,1.49,1.49,1.49,828,2021-04-26 14:51:00,BIMI
1.492,1.492,1.492,1.492,1000,2021-04-26 14:53:00,BIMI
1.4901,1.4901,1.4901,1.4901,200,2021-04-26 14:55:00,BIMI
1.49,1.49,1.49,1.49,375,2021-04-26 14:59:00,BIMI
1.5,1.5,1.5,1.5,10000,2021-04-26 15:06:00,BIMI
