open,high,low,close,volume,datetime,symbol
25.85,25.85,25.85,25.85,200,2021-04-26 14:42:00,BSMR
25.805,25.805,25.805,25.805,180,2021-04-26 18:46:00,BSMR
25.85,25.87,25.85,25.855,3652,2021-04-27 16:00:00,BSMR
25.8107,25.8107,25.8107,25.8107,300,2021-04-28 14:30:00,BSMR
25.82,25.83,25.82,25.83,200,2021-04-28 15:32:00,BSMR
25.7945,25.7945,25.7945,25.7945,106,2021-04-28 16:08:00,BSMR
25.785,25.785,25.785,25.785,1000,2021-04-28 16:42:00,BSMR
25.82,25.82,25.82,25.82,500,2021-04-28 16:56:00,BSMR
25.81,25.82,25.81,25.82,900,2021-04-28 18:24:00,BSMR
25.83,25.83,25.83,25.83,100,2021-04-28 18:26:00,BSMR
25.8,25.88,25.8,25.84,11100,2021-04-28 19:22:00,BSMR
25.87,25.87,25.87,25.87,100,2021-04-28 19:23:00,BSMR
25.76,25.76,25.76,25.76,800,2021-04-29 18:46:00,BSMR
25.81,25.81,25.81,25.81,161,2021-05-03 13:30:00,BSMR
25.775,25.775,25.775,25.775,1000,2021-05-03 16:54:00,BSMR
25.82,25.82,25.82,25.82,1000,2021-05-03 17:09:00,BSMR
25.805,25.805,25.805,25.805,100,2021-05-03 17:57:00,BSMR
25.779,25.779,25.751,25.751,4998,2021-05-03 18:55:00,BSMR
25.8,25.8,25.8,25.8,100,2021-05-04 19:36:00,BSMR
25.805,25.809,25.8,25.8025,1844,2021-05-04 19:43:00,BSMR
25.805,25.805,25.805,25.805,700,2021-05-04 19:45:00,BSMR
25.8,25.8,25.8,25.8,200,2021-05-04 19:50:00,BSMR
25.82,25.82,25.82,25.82,100,2021-05-05 14:50:00,BSMR
25.82,25.82,25.82,25.82,100,2021-05-05 15:31:00,BSMR
25.82,25.82,25.82,25.82,1000,2021-05-05 15:57:00,BSMR
25.82,25.83,25.82,25.83,200,2021-05-05 16:07:00,BSMR
25.82,25.82,25.82,25.82,100,2021-05-05 17:55:00,BSMR
25.84,25.84,25.84,25.84,524,2021-05-05 19:54:00,BSMR
25.81,25.81,25.81,25.81,1237,2021-05-07 16:38:00,BSMR
25.84,25.84,25.84,25.84,1000,2021-05-07 18:51:00,BSMR
