open,high,low,close,volume,datetime,symbol
4.94,4.94,4.9,4.9,400,2021-05-03 11:00:00,ATXI
4.89,4.95,4.89,4.95,782,2021-05-03 11:02:00,ATXI
4.95,4.95,4.95,4.95,400,2021-05-03 11:03:00,ATXI
4.84,4.84,4.83,4.83,300,2021-05-03 11:32:00,ATXI
4.89,4.89,4.89,4.89,100,2021-05-03 11:33:00,ATXI
4.91,4.91,4.91,4.91,100,2021-05-03 11:37:00,ATXI
4.92,4.92,4.9,4.9,600,2021-05-03 11:40:00,ATXI
4.84,4.84,4.84,4.84,100,2021-05-03 11:51:00,ATXI
4.89,4.91,4.89,4.91,1568,2021-05-03 12:00:00,ATXI
4.93,4.93,4.93,4.93,458,2021-05-03 12:05:00,ATXI
4.94,4.94,4.94,4.94,500,2021-05-03 12:06:00,ATXI
4.88,4.88,4.88,4.88,112,2021-05-03 12:16:00,ATXI
4.84,4.84,4.83,4.83,200,2021-05-03 12:25:00,ATXI
4.79,4.79,4.64,4.64,2220,2021-05-03 12:26:00,ATXI
4.64,4.64,4.57,4.57,1075,2021-05-03 12:27:00,ATXI
4.5,4.72,4.47,4.6,4294,2021-05-03 12:29:00,ATXI
4.68,4.68,4.41,4.61,1145,2021-05-03 12:30:00,ATXI
4.61,4.61,4.61,4.61,100,2021-05-03 12:31:00,ATXI
4.51,4.62,4.51,4.62,2799,2021-05-03 12:32:00,ATXI
4.62,4.62,4.61,4.61,300,2021-05-03 12:33:00,ATXI
4.61,4.62,4.52,4.54,1920,2021-05-03 12:34:00,ATXI
4.55,4.55,4.52,4.53,903,2021-05-03 12:35:00,ATXI
4.52,4.52,4.5,4.52,3367,2021-05-03 12:36:00,ATXI
4.59,4.61,4.59,4.61,1102,2021-05-03 12:37:00,ATXI
4.59,4.59,4.58,4.58,200,2021-05-03 12:39:00,ATXI
4.55,4.55,4.55,4.55,171,2021-05-03 12:41:00,ATXI
4.54,4.55,4.54,4.55,400,2021-05-03 12:44:00,ATXI
4.55,4.5501,4.55,4.55,1650,2021-05-03 12:45:00,ATXI
4.54,4.54,4.54,4.54,100,2021-05-03 12:47:00,ATXI
4.54,4.54,4.49,4.49,378,2021-05-03 12:48:00,ATXI
4.48,4.48,4.48,4.48,115,2021-05-03 12:49:00,ATXI
4.48,4.48,4.48,4.48,100,2021-05-03 12:50:00,ATXI
4.49,4.49,4.48,4.48,595,2021-05-03 12:52:00,ATXI
4.47,4.47,4.47,4.47,200,2021-05-03 12:53:00,ATXI
4.47,4.47,4.41,4.45,4865,2021-05-03 12:54:00,ATXI
4.42,4.45,4.4,4.41,1001,2021-05-03 12:55:00,ATXI
4.42,4.42,4.41,4.41,600,2021-05-03 12:57:00,ATXI
4.48,4.48,4.48,4.48,100,2021-05-03 13:00:00,ATXI
4.5,4.5,4.49,4.5,1220,2021-05-03 13:01:00,ATXI
4.49,4.49,4.49,4.49,100,2021-05-03 13:03:00,ATXI
4.54,4.54,4.49,4.49,811,2021-05-03 13:09:00,ATXI
4.54,4.55,4.54,4.55,3028,2021-05-03 13:10:00,ATXI
4.54,4.54,4.54,4.54,527,2021-05-03 13:11:00,ATXI
4.54,4.54,4.54,4.54,977,2021-05-03 13:13:00,ATXI
4.64,4.64,4.62,4.62,1000,2021-05-03 13:15:00,ATXI
4.63,4.63,4.63,4.63,920,2021-05-03 13:16:00,ATXI
4.62,4.62,4.62,4.62,300,2021-05-03 13:18:00,ATXI
4.62,4.62,4.62,4.62,200,2021-05-03 13:19:00,ATXI
4.62,4.63,4.59,4.59,3370,2021-05-03 13:20:00,ATXI
4.59,4.59,4.59,4.59,300,2021-05-03 13:21:00,ATXI
4.58,4.58,4.58,4.58,100,2021-05-03 13:23:00,ATXI
4.61,4.62,4.61,4.62,200,2021-05-03 13:25:00,ATXI
4.59,4.59,4.59,4.59,100,2021-05-03 13:28:00,ATXI
4.52,4.52,4.45,4.51,10884,2021-05-03 13:30:00,ATXI
4.53,4.58,4.45,4.5795,8655,2021-05-03 13:31:00,ATXI
4.6,4.64,4.5,4.6206,1148,2021-05-03 13:32:00,ATXI
4.58,4.7484,4.57,4.7286,12026,2021-05-03 13:33:00,ATXI
4.74,4.75,4.63,4.7334,2811,2021-05-03 13:34:00,ATXI
4.71,4.863,4.71,4.79,4013,2021-05-03 13:35:00,ATXI
4.86,4.86,4.85,4.86,1450,2021-05-03 13:36:00,ATXI
4.85,4.88,4.8301,4.8301,12532,2021-05-03 13:37:00,ATXI
4.84,4.9,4.84,4.8962,936,2021-05-03 13:38:00,ATXI
4.89,4.91,4.86,4.87,7242,2021-05-03 13:39:00,ATXI
4.9299,4.9299,4.8801,4.8801,6340,2021-05-03 13:40:00,ATXI
4.93,4.96,4.93,4.96,918,2021-05-03 13:41:00,ATXI
4.95,4.95,4.95,4.95,263,2021-05-03 13:43:00,ATXI
4.9544,4.9544,4.9544,4.9544,100,2021-05-03 13:44:00,ATXI
4.92,4.92,4.84,4.8602,2857,2021-05-03 13:47:00,ATXI
4.84,4.85,4.84,4.85,300,2021-05-03 13:48:00,ATXI
4.8401,4.8478,4.8401,4.8478,200,2021-05-03 13:50:00,ATXI
4.8401,4.8401,4.8401,4.8401,500,2021-05-03 13:51:00,ATXI
4.84,4.84,4.84,4.84,800,2021-05-03 13:52:00,ATXI
4.84,4.85,4.84,4.84,1018,2021-05-03 13:53:00,ATXI
4.84,4.8425,4.84,4.84,1420,2021-05-03 13:54:00,ATXI
4.82,4.85,4.82,4.8473,692,2021-05-03 13:55:00,ATXI
4.83,4.83,4.7801,4.7801,1996,2021-05-03 13:56:00,ATXI
4.8117,4.8117,4.8117,4.8117,200,2021-05-03 14:00:00,ATXI
4.805,4.805,4.7966,4.7966,416,2021-05-03 14:02:00,ATXI
4.83,4.85,4.83,4.85,300,2021-05-03 14:03:00,ATXI
4.86,4.88,4.86,4.88,1300,2021-05-03 14:04:00,ATXI
4.89,4.98,4.89,4.94,3004,2021-05-03 14:05:00,ATXI
4.9444,4.9444,4.94,4.94,1637,2021-05-03 14:06:00,ATXI
4.905,4.905,4.9,4.9,900,2021-05-03 14:07:00,ATXI
4.875,4.9,4.875,4.9,342,2021-05-03 14:08:00,ATXI
4.92,4.92,4.9,4.9092,300,2021-05-03 14:09:00,ATXI
4.9012,4.9012,4.9012,4.9012,600,2021-05-03 14:10:00,ATXI
