open,high,low,close,volume,datetime,symbol
25.97,25.97,25.97,25.97,1000,2021-05-03 16:54:00,BSMQ
25.9732,25.9732,25.9732,25.9732,1500,2021-05-03 16:57:00,BSMQ
25.9695,25.9695,25.9695,25.9695,1000,2021-05-03 17:09:00,BSMQ
25.96,25.96,25.96,25.96,4987,2021-05-03 18:54:00,BSMQ
25.95,25.95,25.95,25.95,100,2021-05-04 13:28:00,BSMQ
25.91,25.91,25.91,25.91,100,2021-05-04 13:35:00,BSMQ
25.95,25.95,25.95,25.95,100,2021-05-04 13:36:00,BSMQ
25.95,25.95,25.95,25.95,100,2021-05-04 13:45:00,BSMQ
25.9576,25.9576,25.9576,25.9576,2000,2021-05-04 13:47:00,BSMQ
25.95,25.95,25.95,25.95,100,2021-05-04 13:54:00,BSMQ
25.95,25.95,25.95,25.95,100,2021-05-04 14:05:00,BSMQ
25.95,25.959,25.9432,25.9432,2000,2021-05-04 14:07:00,BSMQ
25.96,25.96,25.96,25.96,100,2021-05-04 14:17:00,BSMQ
25.95,25.95,25.95,25.95,100,2021-05-04 14:30:00,BSMQ
25.95,25.95,25.95,25.95,100,2021-05-04 14:43:00,BSMQ
25.95,25.95,25.95,25.95,100,2021-05-04 14:57:00,BSMQ
25.95,25.95,25.95,25.95,100,2021-05-04 15:12:00,BSMQ
25.94,25.94,25.94,25.94,100,2021-05-04 15:17:00,BSMQ
25.94,25.94,25.94,25.94,100,2021-05-04 15:18:00,BSMQ
25.94,25.94,25.94,25.94,100,2021-05-04 15:29:00,BSMQ
25.94,25.94,25.94,25.94,100,2021-05-04 15:47:00,BSMQ
25.95,25.95,25.95,25.95,100,2021-05-04 16:06:00,BSMQ
25.95,25.95,25.95,25.95,100,2021-05-04 16:26:00,BSMQ
25.95,25.95,25.95,25.95,100,2021-05-04 16:47:00,BSMQ
25.95,25.95,25.95,25.95,100,2021-05-04 17:09:00,BSMQ
25.95,25.95,25.95,25.95,100,2021-05-04 17:32:00,BSMQ
25.95,25.95,25.95,25.95,100,2021-05-04 17:54:00,BSMQ
25.95,25.95,25.95,25.95,100,2021-05-04 18:15:00,BSMQ
25.95,25.95,25.95,25.95,100,2021-05-04 18:36:00,BSMQ
25.95,25.95,25.95,25.95,100,2021-05-04 18:57:00,BSMQ
25.95,25.95,25.95,25.95,200,2021-05-04 19:03:00,BSMQ
25.95,25.95,25.95,25.95,100,2021-05-04 19:15:00,BSMQ
25.95,25.955,25.95,25.955,200,2021-05-04 19:30:00,BSMQ
25.95,25.95,25.95,25.95,600,2021-05-04 19:35:00,BSMQ
25.95,25.96,25.95,25.95,1733,2021-05-04 19:43:00,BSMQ
25.95,25.95,25.95,25.95,800,2021-05-04 19:44:00,BSMQ
25.95,25.95,25.95,25.95,100,2021-05-04 19:47:00,BSMQ
25.94,25.94,25.94,25.94,100,2021-05-04 19:53:00,BSMQ
25.96,25.96,25.96,25.96,1000,2021-05-05 15:56:00,BSMQ
25.98,25.98,25.98,25.98,1200,2021-05-07 16:38:00,BSMQ
25.9891,25.99,25.9891,25.99,1000,2021-05-07 17:34:00,BSMQ
25.9501,25.97,25.9501,25.97,1256,2021-05-10 19:02:00,BSMQ
25.992,25.992,25.992,25.992,307,2021-05-10 19:26:00,BSMQ
25.955,25.955,25.955,25.955,200,2021-05-11 17:06:00,BSMQ
25.98,25.98,25.98,25.98,432,2021-05-11 17:50:00,BSMQ
25.97,25.97,25.96,25.96,500,2021-05-11 18:10:00,BSMQ
25.9366,25.9366,25.9366,25.9366,1543,2021-05-12 18:49:00,BSMQ
25.9366,25.9366,25.9366,25.9366,1928,2021-05-12 18:51:00,BSMQ
25.94,25.94,25.94,25.94,200,2021-05-12 19:15:00,BSMQ
25.93,25.93,25.93,25.93,200,2021-05-13 13:35:00,BSMQ
25.94,25.94,25.94,25.94,500,2021-05-13 15:25:00,BSMQ
25.94,25.94,25.94,25.94,100,2021-05-13 16:00:00,BSMQ
25.94,25.94,25.94,25.94,100,2021-05-13 19:20:00,BSMQ
25.915,25.915,25.915,25.915,388,2021-05-14 19:17:00,BSMQ
