open,high,low,close,volume,datetime,symbol
132.32,133.18,132.32,132.75,20369,2021-05-03 13:30:00,CDNS
132.53,132.71,132.51,132.51,615,2021-05-03 13:31:00,CDNS
132.41,132.41,132.02,132.02,1300,2021-05-03 13:32:00,CDNS
132.02,132.2311,131.87,132.17,3500,2021-05-03 13:33:00,CDNS
132.28,132.33,132.02,132.02,1178,2021-05-03 13:34:00,CDNS
131.91,131.97,131.63,131.63,1448,2021-05-03 13:35:00,CDNS
131.39,131.66,131.39,131.63,1369,2021-05-03 13:36:00,CDNS
131.59,131.59,131.59,131.59,200,2021-05-03 13:37:00,CDNS
131.58,131.63,131.48,131.54,1600,2021-05-03 13:38:00,CDNS
131.5,131.5,131.21,131.21,700,2021-05-03 13:39:00,CDNS
131.21,131.44,131.21,131.44,1500,2021-05-03 13:40:00,CDNS
131.4,131.4,131.26,131.27,500,2021-05-03 13:41:00,CDNS
131.17,131.17,130.94,130.94,2450,2021-05-03 13:42:00,CDNS
130.94,130.99,130.78,130.82,900,2021-05-03 13:43:00,CDNS
130.89,130.9,130.78,130.78,725,2021-05-03 13:44:00,CDNS
130.87,130.89,130.4,130.51,5068,2021-05-03 13:45:00,CDNS
130.59,130.59,130.42,130.495,400,2021-05-03 13:46:00,CDNS
130.54,130.64,130.42,130.5,2341,2021-05-03 13:47:00,CDNS
130.45,130.63,130.45,130.52,1645,2021-05-03 13:48:00,CDNS
130.52,130.7,130.49,130.7,1275,2021-05-03 13:49:00,CDNS
130.79,130.79,130.72,130.72,300,2021-05-03 13:50:00,CDNS
130.7201,130.8,130.7201,130.74,450,2021-05-03 13:51:00,CDNS
130.535,130.685,130.535,130.68,1713,2021-05-03 13:53:00,CDNS
130.75,130.88,130.75,130.84,300,2021-05-03 13:54:00,CDNS
130.84,130.84,130.75,130.75,600,2021-05-03 13:55:00,CDNS
130.9,130.92,130.83,130.83,500,2021-05-03 13:56:00,CDNS
130.88,130.89,130.88,130.89,400,2021-05-03 13:57:00,CDNS
130.72,130.83,130.7,130.83,600,2021-05-03 13:58:00,CDNS
130.82,130.87,130.79,130.79,950,2021-05-03 13:59:00,CDNS
130.87,130.87,130.64,130.74,800,2021-05-03 14:00:00,CDNS
130.73,131.035,130.63,131.035,5686,2021-05-03 14:01:00,CDNS
131.17,131.32,131.17,131.32,1000,2021-05-03 14:02:00,CDNS
131.26,131.34,131.26,131.31,900,2021-05-03 14:03:00,CDNS
131.355,131.355,131.25,131.32,700,2021-05-03 14:04:00,CDNS
131.35,131.45,131.35,131.38,1887,2021-05-03 14:05:00,CDNS
131.46,131.51,131.39,131.475,3136,2021-05-03 14:06:00,CDNS
131.45,131.65,131.33,131.63,8366,2021-05-03 14:07:00,CDNS
131.59,131.67,131.55,131.67,800,2021-05-03 14:08:00,CDNS
131.55,131.67,131.49,131.67,1571,2021-05-03 14:09:00,CDNS
131.68,131.715,131.68,131.715,300,2021-05-03 14:10:00,CDNS
131.63,131.68,131.62,131.67,1210,2021-05-03 14:11:00,CDNS
131.72,131.78,131.54,131.61,1200,2021-05-03 14:12:00,CDNS
131.57,131.63,131.55,131.63,1361,2021-05-03 14:13:00,CDNS
131.675,131.85,131.675,131.83,4127,2021-05-03 14:14:00,CDNS
131.84,132.0,131.84,131.88,2537,2021-05-03 14:15:00,CDNS
131.88,131.93,131.84,131.93,1700,2021-05-03 14:16:00,CDNS
131.9,131.93,131.77,131.85,1487,2021-05-03 14:17:00,CDNS
131.85,131.88,131.8,131.88,1739,2021-05-03 14:18:00,CDNS
131.88,131.88,131.8001,131.8001,555,2021-05-03 14:19:00,CDNS
131.86,131.99,131.8,131.8,3403,2021-05-03 14:20:00,CDNS
131.725,131.7415,131.4501,131.485,4477,2021-05-03 14:21:00,CDNS
131.52,131.54,131.43,131.43,1371,2021-05-03 14:22:00,CDNS
131.42,131.51,131.42,131.465,1742,2021-05-03 14:23:00,CDNS
131.37,131.41,131.23,131.23,1500,2021-05-03 14:24:00,CDNS
131.1,131.11,131.04,131.11,2000,2021-05-03 14:25:00,CDNS
131.02,131.02,130.59,130.675,3809,2021-05-03 14:26:00,CDNS
130.655,130.88,130.655,130.88,1300,2021-05-03 14:27:00,CDNS
130.88,130.9,130.78,130.8,3644,2021-05-03 14:28:00,CDNS
130.8,130.82,130.77,130.775,3966,2021-05-03 14:29:00,CDNS
130.82,131.01,130.82,130.985,3700,2021-05-03 14:30:00,CDNS
130.99,130.99,130.8,130.8,1822,2021-05-03 14:31:00,CDNS
130.84,131.02,130.84,131.02,600,2021-05-03 14:32:00,CDNS
131.12,131.22,131.12,131.2,800,2021-05-03 14:33:00,CDNS
131.21,131.28,131.21,131.28,500,2021-05-03 14:34:00,CDNS
131.26,131.42,131.215,131.42,700,2021-05-03 14:35:00,CDNS
131.49,131.51,131.38,131.4,907,2021-05-03 14:36:00,CDNS
131.38,131.38,131.25,131.28,1200,2021-05-03 14:37:00,CDNS
131.12,131.15,131.07,131.08,969,2021-05-03 14:38:00,CDNS
131.08,131.08,131.08,131.08,100,2021-05-03 14:39:00,CDNS
131.055,131.14,131.04,131.14,707,2021-05-03 14:40:00,CDNS
131.24,131.24,131.2,131.22,400,2021-05-03 14:41:00,CDNS
