open,high,low,close,volume,datetime,symbol
117.16,117.16,117.16,117.16,407,2021-05-03 13:30:00,CRVL
117.595,117.595,117.595,117.595,100,2021-05-03 13:35:00,CRVL
117.8,118.0,117.8,118.0,400,2021-05-03 13:36:00,CRVL
118.24,118.24,118.24,118.24,100,2021-05-03 13:44:00,CRVL
118.57,118.57,118.54,118.54,200,2021-05-03 14:06:00,CRVL
118.95,118.95,118.95,118.95,100,2021-05-03 14:10:00,CRVL
119.32,119.32,119.32,119.32,100,2021-05-03 14:14:00,CRVL
119.1992,119.1992,118.63,118.63,353,2021-05-03 14:26:00,CRVL
118.57,118.57,118.54,118.54,312,2021-05-03 14:35:00,CRVL
118.01,118.01,118.01,118.01,200,2021-05-03 14:36:00,CRVL
118.28,118.28,118.28,118.28,229,2021-05-03 14:40:00,CRVL
118.09,118.09,118.01,118.01,400,2021-05-03 14:41:00,CRVL
118.07,118.07,118.07,118.07,100,2021-05-03 14:42:00,CRVL
117.51,117.51,117.46,117.51,400,2021-05-03 14:47:00,CRVL
117.48,117.48,117.48,117.48,100,2021-05-03 14:51:00,CRVL
117.63,117.68,117.63,117.68,400,2021-05-03 14:54:00,CRVL
118.23,118.23,118.23,118.23,100,2021-05-03 14:56:00,CRVL
117.975,117.975,117.975,117.975,339,2021-05-03 15:05:00,CRVL
118.37,118.39,118.37,118.39,300,2021-05-03 15:07:00,CRVL
118.7,118.7,118.7,118.7,100,2021-05-03 15:18:00,CRVL
118.5323,118.5323,118.5323,118.5323,166,2021-05-03 15:21:00,CRVL
118.73,118.73,118.4,118.4,827,2021-05-03 15:30:00,CRVL
119.195,119.195,118.81,118.81,200,2021-05-03 15:38:00,CRVL
118.815,118.815,118.815,118.815,300,2021-05-03 15:52:00,CRVL
118.82,118.82,118.82,118.82,100,2021-05-03 15:59:00,CRVL
118.9,118.9,118.5,118.5,400,2021-05-03 16:06:00,CRVL
118.93,118.93,118.93,118.93,100,2021-05-03 16:17:00,CRVL
119.27,119.27,119.27,119.27,200,2021-05-03 16:28:00,CRVL
119.29,119.38,119.29,119.38,300,2021-05-03 16:32:00,CRVL
119.275,119.275,119.275,119.275,100,2021-05-03 17:08:00,CRVL
119.33,119.34,119.33,119.34,200,2021-05-03 17:20:00,CRVL
119.31,119.31,119.31,119.31,100,2021-05-03 17:21:00,CRVL
119.41,119.42,119.41,119.42,200,2021-05-03 17:24:00,CRVL
119.61,119.61,119.57,119.57,400,2021-05-03 17:33:00,CRVL
119.57,119.57,119.57,119.57,100,2021-05-03 17:41:00,CRVL
119.84,119.84,119.84,119.84,100,2021-05-03 17:49:00,CRVL
119.82,119.82,119.82,119.82,100,2021-05-03 17:52:00,CRVL
119.99,119.99,119.99,119.99,100,2021-05-03 17:57:00,CRVL
119.85,119.85,119.85,119.85,100,2021-05-03 17:58:00,CRVL
119.91,119.98,119.91,119.98,200,2021-05-03 18:00:00,CRVL
119.79,119.79,119.73,119.73,500,2021-05-03 18:05:00,CRVL
