open,high,low,close,volume,datetime,symbol
12.84,12.84,12.84,12.84,100,2021-05-03 12:40:00,GHVI
12.84,12.84,12.84,12.84,933,2021-05-03 12:41:00,GHVI
12.67,12.67,12.67,12.67,200,2021-05-03 13:03:00,GHVI
12.67,12.67,12.67,12.67,100,2021-05-03 13:12:00,GHVI
12.67,12.67,12.67,12.67,100,2021-05-03 13:13:00,GHVI
12.73,12.75,12.7001,12.75,7515,2021-05-03 13:30:00,GHVI
12.71,12.71,12.71,12.71,125,2021-05-03 13:31:00,GHVI
12.6701,12.71,12.6701,12.6916,1503,2021-05-03 13:32:00,GHVI
12.72,12.72,12.72,12.72,500,2021-05-03 13:33:00,GHVI
12.67,12.67,12.66,12.66,901,2021-05-03 13:34:00,GHVI
12.64,12.7,12.64,12.7,998,2021-05-03 13:35:00,GHVI
12.675,12.675,12.675,12.675,150,2021-05-03 13:37:00,GHVI
12.647,12.66,12.64,12.64,4317,2021-05-03 13:38:00,GHVI
12.64,12.66,12.64,12.66,1007,2021-05-03 13:39:00,GHVI
12.68,12.73,12.67,12.68,9854,2021-05-03 13:40:00,GHVI
12.715,12.72,12.715,12.7192,300,2021-05-03 13:41:00,GHVI
12.746,12.746,12.746,12.746,394,2021-05-03 13:42:00,GHVI
12.7261,12.7261,12.7,12.7,600,2021-05-03 13:43:00,GHVI
12.69,12.69,12.69,12.69,300,2021-05-03 13:44:00,GHVI
12.6824,12.6824,12.66,12.66,736,2021-05-03 13:45:00,GHVI
12.67,12.67,12.5514,12.5999,20064,2021-05-03 13:46:00,GHVI
12.56,12.6,12.52,12.5997,19044,2021-05-03 13:47:00,GHVI
12.5997,12.65,12.5613,12.65,5980,2021-05-03 13:48:00,GHVI
12.67,12.67,12.67,12.67,100,2021-05-03 13:50:00,GHVI
12.64,12.67,12.64,12.67,899,2021-05-03 13:51:00,GHVI
12.66,12.66,12.52,12.64,13559,2021-05-03 13:52:00,GHVI
12.64,12.6799,12.64,12.64,700,2021-05-03 13:53:00,GHVI
12.641,12.642,12.5,12.64,10770,2021-05-03 13:54:00,GHVI
12.64,12.64,12.64,12.64,700,2021-05-03 13:55:00,GHVI
12.6487,12.6487,12.6264,12.6264,2300,2021-05-03 13:56:00,GHVI
12.6,12.605,12.6,12.605,500,2021-05-03 13:57:00,GHVI
12.57,12.57,12.57,12.57,119,2021-05-03 13:58:00,GHVI
