open,high,low,close,volume,datetime,symbol
10.0,10.0,9.99,9.99,1100,2021-05-10 14:16:00,LHAA
9.99,9.99,9.98,9.98,3224,2021-05-10 14:17:00,LHAA
9.94,9.94,9.94,9.94,500,2021-05-10 14:19:00,LHAA
9.95,9.95,9.95,9.95,500,2021-05-10 14:27:00,LHAA
9.94,9.94,9.91,9.91,300,2021-05-10 15:56:00,LHAA
9.9,9.9,9.9,9.9,1000,2021-05-10 16:13:00,LHAA
9.9,9.9,9.9,9.9,28000,2021-05-10 16:22:00,LHAA
9.94,9.94,9.91,9.91,1100,2021-05-11 13:42:00,LHAA
9.9,9.94,9.9,9.94,902,2021-05-11 13:43:00,LHAA
9.94,9.95,9.92,9.92,2900,2021-05-11 14:07:00,LHAA
9.92,9.92,9.92,9.92,1000,2021-05-11 14:36:00,LHAA
9.91,9.91,9.91,9.91,1000,2021-05-11 16:29:00,LHAA
9.9,9.9,9.85,9.85,1429,2021-05-11 19:54:00,LHAA
9.84,9.84,9.84,9.84,200,2021-05-12 13:36:00,LHAA
9.85,9.85,9.85,9.85,2817,2021-05-12 13:40:00,LHAA
9.85,9.85,9.85,9.85,600,2021-05-12 13:48:00,LHAA
9.85,9.85,9.85,9.85,1000,2021-05-12 13:49:00,LHAA
9.84,9.84,9.84,9.84,100,2021-05-12 13:57:00,LHAA
9.85,9.85,9.85,9.85,1568,2021-05-12 16:44:00,LHAA
9.85,9.85,9.85,9.85,800,2021-05-12 16:48:00,LHAA
9.89,9.89,9.89,9.89,100,2021-05-12 16:49:00,LHAA
9.89,9.89,9.89,9.89,950,2021-05-12 16:52:00,LHAA
9.8713,9.8713,9.8713,9.8713,1286,2021-05-12 17:32:00,LHAA
9.89,9.9,9.89,9.9,2900,2021-05-12 19:49:00,LHAA
9.91,9.91,9.9,9.9,1300,2021-05-13 13:38:00,LHAA
9.9,9.9,9.9,9.9,200,2021-05-13 13:39:00,LHAA
9.9,9.9,9.9,9.9,100,2021-05-13 13:43:00,LHAA
9.9,9.9,9.9,9.9,100,2021-05-13 13:49:00,LHAA
9.9,9.9,9.9,9.9,100,2021-05-13 14:00:00,LHAA
9.9,10.0,9.9,10.0,400,2021-05-13 14:01:00,LHAA
9.9,9.9,9.9,9.9,900,2021-05-13 15:00:00,LHAA
9.9,9.9,9.9,9.9,400,2021-05-13 15:03:00,LHAA
9.9,9.9,9.9,9.9,200,2021-05-13 15:15:00,LHAA
9.9,9.9,9.9,9.9,600,2021-05-13 15:41:00,LHAA
9.9,9.9,9.9,9.9,400,2021-05-13 15:47:00,LHAA
9.9,9.9,9.9,9.9,600,2021-05-13 16:02:00,LHAA
9.9,9.9,9.9,9.9,2100,2021-05-13 16:10:00,LHAA
9.9,9.9,9.9,9.9,1000,2021-05-13 16:16:00,LHAA
9.9,9.9,9.9,9.9,2000,2021-05-13 16:17:00,LHAA
9.9,9.9,9.9,9.9,2000,2021-05-13 16:18:00,LHAA
9.9,9.9,9.9,9.9,300,2021-05-13 17:07:00,LHAA
9.9,9.9,9.9,9.9,2300,2021-05-13 18:24:00,LHAA
9.9,9.9,9.9,9.9,10000,2021-05-13 18:25:00,LHAA
9.9,9.9,9.9,9.9,9800,2021-05-13 18:26:00,LHAA
9.9,9.9,9.9,9.9,2060,2021-05-13 18:27:00,LHAA
9.9,9.9,9.9,9.9,500,2021-05-13 18:38:00,LHAA
9.9,9.9,9.89,9.9,1800,2021-05-13 19:07:00,LHAA
9.9,9.9,9.9,9.9,25000,2021-05-14 13:44:00,LHAA
9.9,9.95,9.9,9.95,1000,2021-05-14 14:28:00,LHAA
9.9,9.93,9.9,9.9,4700,2021-05-14 14:29:00,LHAA
9.9,9.91,9.9,9.91,2000,2021-05-14 14:30:00,LHAA
9.9,9.9,9.9,9.9,600,2021-05-14 17:37:00,LHAA
9.9,9.9,9.9,9.9,300,2021-05-14 17:47:00,LHAA
9.9,9.91,9.9,9.9,2000,2021-05-14 18:30:00,LHAA
9.9,9.91,9.9,9.91,2000,2021-05-14 18:31:00,LHAA
9.9,9.9,9.9,9.9,500,2021-05-14 18:32:00,LHAA
9.9,9.9,9.9,9.9,400,2021-05-14 18:37:00,LHAA
9.9,9.9,9.9,9.9,200,2021-05-14 18:47:00,LHAA
9.9,9.9,9.9,9.9,16800,2021-05-14 18:55:00,LHAA
9.9,9.9,9.9,9.9,6700,2021-05-14 18:56:00,LHAA
9.9,9.9,9.9,9.9,1450,2021-05-14 19:59:00,LHAA
9.9,9.9,9.9,9.9,700,2021-05-17 14:16:00,LHAA
9.9,9.9,9.9,9.9,300,2021-05-17 14:54:00,LHAA
9.9,9.9,9.9,9.9,900,2021-05-17 15:15:00,LHAA
9.9,9.902,9.9,9.9,1000,2021-05-17 16:27:00,LHAA
9.9,9.9,9.9,9.9,100,2021-05-17 17:57:00,LHAA
9.9,9.9,9.9,9.9,100,2021-05-17 19:14:00,LHAA
9.87,9.87,9.87,9.87,1418,2021-05-17 19:54:00,LHAA
9.9,9.9,9.9,9.9,100,2021-05-18 17:51:00,LHAA
9.8951,9.8951,9.8951,9.8951,100,2021-05-18 17:53:00,LHAA
9.9,9.9,9.9,9.9,1200,2021-05-20 14:50:00,LHAA
9.9,9.9004,9.9,9.9004,400,2021-05-20 15:55:00,LHAA
9.9021,9.9021,9.9021,9.9021,100,2021-05-20 17:45:00,LHAA
