open,high,low,close,volume,datetime,symbol
8.33,8.33,8.33,8.33,126,2021-05-10 13:30:00,SNFCA
8.4,8.4,8.33,8.33,930,2021-05-10 14:07:00,SNFCA
8.37,8.37,8.37,8.37,100,2021-05-10 14:11:00,SNFCA
8.35,8.35,8.35,8.35,1425,2021-05-10 14:14:00,SNFCA
8.38,8.38,8.38,8.38,100,2021-05-10 14:15:00,SNFCA
8.245,8.245,8.245,8.245,100,2021-05-10 14:24:00,SNFCA
8.315,8.315,8.315,8.315,474,2021-05-10 14:37:00,SNFCA
8.2475,8.2475,8.2475,8.2475,100,2021-05-10 14:51:00,SNFCA
8.21,8.21,8.21,8.21,100,2021-05-10 14:54:00,SNFCA
8.25,8.25,8.25,8.25,100,2021-05-10 15:13:00,SNFCA
8.26,8.26,8.26,8.26,389,2021-05-10 15:26:00,SNFCA
8.25,8.25,8.25,8.25,100,2021-05-10 15:28:00,SNFCA
8.25,8.2552,8.25,8.25,2990,2021-05-10 15:31:00,SNFCA
8.25,8.25,8.25,8.25,100,2021-05-10 15:45:00,SNFCA
8.25,8.25,8.25,8.25,100,2021-05-10 15:53:00,SNFCA
8.2799,8.2799,8.2799,8.2799,900,2021-05-10 16:01:00,SNFCA
8.25,8.2699,8.25,8.25,1100,2021-05-10 16:02:00,SNFCA
8.25,8.25,8.25,8.25,100,2021-05-10 16:06:00,SNFCA
8.27,8.28,8.2699,8.2699,749,2021-05-10 16:25:00,SNFCA
8.32,8.33,8.3166,8.3166,1200,2021-05-10 16:40:00,SNFCA
8.33,8.33,8.32,8.32,599,2021-05-10 16:57:00,SNFCA
8.33,8.33,8.33,8.33,200,2021-05-10 16:59:00,SNFCA
8.335,8.35,8.335,8.3366,1100,2021-05-10 17:06:00,SNFCA
8.34,8.34,8.34,8.34,100,2021-05-10 17:39:00,SNFCA
8.33,8.33,8.33,8.33,100,2021-05-10 17:43:00,SNFCA
8.35,8.35,8.35,8.35,100,2021-05-10 18:05:00,SNFCA
8.33,8.33,8.33,8.33,1069,2021-05-10 18:06:00,SNFCA
8.29,8.29,8.29,8.29,100,2021-05-10 18:09:00,SNFCA
8.29,8.29,8.29,8.29,200,2021-05-10 18:12:00,SNFCA
8.29,8.29,8.29,8.29,100,2021-05-10 18:13:00,SNFCA
8.29,8.29,8.29,8.29,100,2021-05-10 18:22:00,SNFCA
8.27,8.27,8.27,8.27,100,2021-05-10 18:30:00,SNFCA
8.27,8.27,8.27,8.27,112,2021-05-10 18:33:00,SNFCA
8.27,8.27,8.27,8.27,100,2021-05-10 18:35:00,SNFCA
8.27,8.27,8.27,8.27,100,2021-05-10 18:36:00,SNFCA
8.27,8.27,8.27,8.27,100,2021-05-10 18:38:00,SNFCA
8.285,8.285,8.285,8.285,100,2021-05-10 18:49:00,SNFCA
8.27,8.285,8.27,8.285,250,2021-05-10 18:57:00,SNFCA
8.285,8.285,8.285,8.285,140,2021-05-10 19:06:00,SNFCA
8.285,8.285,8.285,8.285,100,2021-05-10 19:07:00,SNFCA
8.27,8.27,8.27,8.27,100,2021-05-10 19:11:00,SNFCA
8.2737,8.2737,8.2737,8.2737,328,2021-05-10 19:17:00,SNFCA
8.285,8.285,8.285,8.285,100,2021-05-10 19:19:00,SNFCA
8.27,8.3,8.27,8.28,1727,2021-05-10 19:20:00,SNFCA
8.26,8.27,8.26,8.27,200,2021-05-10 19:25:00,SNFCA
8.28,8.28,8.28,8.28,200,2021-05-10 19:27:00,SNFCA
8.3,8.3,8.3,8.3,700,2021-05-10 19:36:00,SNFCA
8.3,8.3,8.3,8.3,100,2021-05-10 19:40:00,SNFCA
