open,high,low,close,volume,datetime,symbol
0.72,0.72,0.72,0.72,174,2021-05-10 11:19:00,TBLT
0.715,0.715,0.715,0.715,400,2021-05-10 12:01:00,TBLT
0.7156,0.7156,0.7155,0.7155,1196,2021-05-10 12:08:00,TBLT
0.716,0.716,0.716,0.716,1250,2021-05-10 12:11:00,TBLT
0.7161,0.7161,0.7161,0.7161,100,2021-05-10 12:14:00,TBLT
0.7161,0.7161,0.7161,0.7161,4800,2021-05-10 12:15:00,TBLT
0.7206,0.7206,0.7206,0.7206,3000,2021-05-10 12:18:00,TBLT
0.7206,0.7206,0.7206,0.7206,643,2021-05-10 12:24:00,TBLT
0.7211,0.7211,0.7211,0.7211,5000,2021-05-10 12:49:00,TBLT
0.7249,0.7249,0.7249,0.7249,2000,2021-05-10 12:51:00,TBLT
0.7211,0.7211,0.7211,0.7211,1200,2021-05-10 12:53:00,TBLT
0.7249,0.7249,0.7249,0.7249,100,2021-05-10 13:04:00,TBLT
0.7249,0.7249,0.7249,0.7249,1630,2021-05-10 13:06:00,TBLT
0.7249,0.7249,0.7249,0.7249,1000,2021-05-10 13:08:00,TBLT
0.7211,0.7211,0.7211,0.7211,200,2021-05-10 13:09:00,TBLT
0.7225,0.7225,0.7225,0.7225,2898,2021-05-10 13:11:00,TBLT
0.7249,0.7249,0.7249,0.7249,850,2021-05-10 13:12:00,TBLT
0.723,0.723,0.72,0.72,1451,2021-05-10 13:24:00,TBLT
0.7164,0.7164,0.7161,0.7161,5249,2021-05-10 13:25:00,TBLT
0.72,0.72,0.72,0.72,200,2021-05-10 13:29:00,TBLT
0.72,0.74,0.7101,0.7161,42258,2021-05-10 13:30:00,TBLT
0.7191,0.7191,0.7102,0.718227,7812,2021-05-10 13:31:00,TBLT
0.7191,0.7191,0.71,0.71,9497,2021-05-10 13:32:00,TBLT
0.71,0.7188,0.7001,0.7001,32884,2021-05-10 13:33:00,TBLT
0.709999,0.71,0.7001,0.7014,5600,2021-05-10 13:34:00,TBLT
0.7003,0.7191,0.7003,0.7181,42841,2021-05-10 13:35:00,TBLT
0.7199,0.7199,0.710899,0.710899,700,2021-05-10 13:36:00,TBLT
0.714901,0.714901,0.7005,0.70525,7820,2021-05-10 13:37:00,TBLT
0.7005,0.709999,0.7,0.7053,41394,2021-05-10 13:38:00,TBLT
0.7001,0.7053,0.7,0.7048,23904,2021-05-10 13:39:00,TBLT
0.7,0.7031,0.6951,0.6951,20511,2021-05-10 13:40:00,TBLT
0.695608,0.7012,0.695608,0.7012,2117,2021-05-10 13:41:00,TBLT
0.7012,0.7012,0.6996,0.7011,6632,2021-05-10 13:42:00,TBLT
0.7011,0.7011,0.6981,0.7,5426,2021-05-10 13:43:00,TBLT
0.6999,0.6999,0.6982,0.6982,3773,2021-05-10 13:44:00,TBLT
0.6981,0.699799,0.6981,0.69895,10208,2021-05-10 13:45:00,TBLT
0.6981,0.6998,0.696,0.6966,13332,2021-05-10 13:46:00,TBLT
0.6973,0.6973,0.6911,0.6973,33908,2021-05-10 13:47:00,TBLT
0.697299,0.6998,0.697,0.699525,539,2021-05-10 13:48:00,TBLT
0.6998,0.7,0.697,0.6994,10334,2021-05-10 13:49:00,TBLT
0.6999,0.7,0.697,0.697,6586,2021-05-10 13:50:00,TBLT
0.697,0.6987,0.6955,0.6987,867,2021-05-10 13:51:00,TBLT
0.695201,0.6987,0.695201,0.6986,3170,2021-05-10 13:52:00,TBLT
0.7,0.7025,0.7,0.702381,1671,2021-05-10 13:53:00,TBLT
0.7001,0.7065,0.7001,0.7005,8300,2021-05-10 13:54:00,TBLT
0.7,0.7013,0.7,0.7001,2819,2021-05-10 13:55:00,TBLT
0.7014,0.7014,0.6989,0.7,2342,2021-05-10 13:56:00,TBLT
0.7,0.701299,0.7,0.701299,696,2021-05-10 13:57:00,TBLT
0.69935,0.7,0.699151,0.7,3630,2021-05-10 13:58:00,TBLT
0.6982,0.7004,0.6953,0.7004,12665,2021-05-10 13:59:00,TBLT
0.7004,0.7004,0.6953,0.6953,1964,2021-05-10 14:00:00,TBLT
0.6994,0.6994,0.6961,0.6961,2067,2021-05-10 14:01:00,TBLT
0.6994,0.6994,0.6961,0.6994,2333,2021-05-10 14:02:00,TBLT
0.69775,0.6994,0.6966,0.6968,1433,2021-05-10 14:03:00,TBLT
0.6993,0.6993,0.6975,0.698401,4969,2021-05-10 14:04:00,TBLT
0.6992,0.6992,0.697677,0.697677,656,2021-05-10 14:05:00,TBLT
0.697677,0.6993,0.697677,0.6992,4325,2021-05-10 14:06:00,TBLT
0.6992,0.6992,0.697,0.6981,4809,2021-05-10 14:07:00,TBLT
0.696,0.696,0.696,0.696,1118,2021-05-10 14:08:00,TBLT
0.6974,0.699,0.6955,0.6955,5973,2021-05-10 14:09:00,TBLT
0.6966,0.6966,0.6964,0.6964,1150,2021-05-10 14:10:00,TBLT
0.6951,0.6999,0.6951,0.699,1740,2021-05-10 14:11:00,TBLT
0.6956,0.6997,0.6956,0.699602,1630,2021-05-10 14:12:00,TBLT
0.6984,0.6984,0.6984,0.6984,2970,2021-05-10 14:13:00,TBLT
0.6969,0.6969,0.695,0.695,43474,2021-05-10 14:14:00,TBLT
0.695,0.6959,0.695,0.6959,3019,2021-05-10 14:15:00,TBLT
0.697051,0.6984,0.697051,0.6982,6995,2021-05-10 14:17:00,TBLT
0.6998,0.6998,0.6983,0.699,8352,2021-05-10 14:18:00,TBLT
0.6993,0.7,0.6992,0.6999,5721,2021-05-10 14:19:00,TBLT
0.6999,0.6999,0.6982,0.6982,6253,2021-05-10 14:20:00,TBLT
0.695,0.6983,0.695,0.698,2921,2021-05-10 14:21:00,TBLT
0.697531,0.697531,0.697531,0.697531,148,2021-05-10 14:22:00,TBLT
0.695,0.6969,0.695,0.695,711,2021-05-10 14:23:00,TBLT
0.696075,0.6969,0.696075,0.6968,536,2021-05-10 14:24:00,TBLT
0.6968,0.6968,0.696146,0.696146,1600,2021-05-10 14:25:00,TBLT
0.6954,0.6961,0.6951,0.6951,6803,2021-05-10 14:26:00,TBLT
0.695,0.6957,0.693084,0.693849,13462,2021-05-10 14:27:00,TBLT
0.6954,0.6954,0.6947,0.6947,948,2021-05-10 14:28:00,TBLT
0.6938,0.6938,0.6938,0.6938,721,2021-05-10 14:29:00,TBLT
0.6938,0.6938,0.6938,0.6938,600,2021-05-10 14:30:00,TBLT
0.6938,0.6938,0.6938,0.6938,721,2021-05-10 14:31:00,TBLT
0.692,0.6937,0.692,0.6921,17013,2021-05-10 14:32:00,TBLT
0.6938,0.6938,0.6938,0.6938,100,2021-05-10 14:33:00,TBLT
0.6938,0.6938,0.6922,0.693627,3002,2021-05-10 14:34:00,TBLT
0.6938,0.6938,0.692,0.6937,3000,2021-05-10 14:35:00,TBLT
0.6933,0.6933,0.69,0.69,58053,2021-05-10 14:36:00,TBLT
0.6901,0.6915,0.69,0.691399,17838,2021-05-10 14:37:00,TBLT
0.6907,0.6907,0.69,0.69,8597,2021-05-10 14:38:00,TBLT
0.69,0.6904,0.69,0.69,45157,2021-05-10 14:39:00,TBLT
0.69,0.6903,0.69,0.69,28166,2021-05-10 14:40:00,TBLT
0.69,0.6904,0.69,0.6904,500,2021-05-10 14:41:00,TBLT
0.6901,0.6903,0.69,0.6903,2513,2021-05-10 14:42:00,TBLT
0.6904,0.6904,0.69,0.69,3780,2021-05-10 14:43:00,TBLT
0.6904,0.6904,0.69,0.6904,18965,2021-05-10 14:44:00,TBLT
0.69,0.69,0.69,0.69,100,2021-05-10 14:45:00,TBLT
0.6904,0.6904,0.69,0.69,4909,2021-05-10 14:46:00,TBLT
0.6904,0.6904,0.69,0.69,875,2021-05-10 14:47:00,TBLT
0.6904,0.6904,0.69,0.69,4799,2021-05-10 14:48:00,TBLT
0.69,0.6904,0.69,0.6904,723,2021-05-10 14:49:00,TBLT
0.6904,0.6904,0.69,0.69,7637,2021-05-10 14:50:00,TBLT
0.690399,0.690399,0.69,0.69,200,2021-05-10 14:51:00,TBLT
0.6902,0.6904,0.69,0.69,10343,2021-05-10 14:52:00,TBLT
0.6902,0.6902,0.6902,0.6902,142,2021-05-10 14:53:00,TBLT
0.6932,0.6932,0.693099,0.693199,20858,2021-05-10 14:54:00,TBLT
0.693199,0.693199,0.693099,0.6931,6600,2021-05-10 14:55:00,TBLT
0.690501,0.6932,0.690501,0.6932,200,2021-05-10 14:56:00,TBLT
0.6932,0.6932,0.6918,0.6932,1548,2021-05-10 14:57:00,TBLT
0.6906,0.6931,0.6905,0.6905,3625,2021-05-10 14:58:00,TBLT
0.6905,0.6948,0.6905,0.6948,10083,2021-05-10 14:59:00,TBLT
0.6909,0.6963,0.6909,0.6963,13259,2021-05-10 15:00:00,TBLT
0.6963,0.6992,0.6953,0.6953,16196,2021-05-10 15:01:00,TBLT
0.6982,0.6982,0.6953,0.6953,600,2021-05-10 15:02:00,TBLT
