open,high,low,close,volume,datetime,symbol
3.52,3.52,3.52,3.52,1035,2021-05-10 13:30:00,ZVO
3.47,3.47,3.47,3.47,100,2021-05-10 13:33:00,ZVO
3.49,3.492,3.46,3.46,3634,2021-05-10 13:43:00,ZVO
3.411,3.411,3.411,3.411,1000,2021-05-10 13:44:00,ZVO
3.47,3.47,3.47,3.47,100,2021-05-10 13:49:00,ZVO
3.43,3.445,3.43,3.445,600,2021-05-10 13:54:00,ZVO
3.41,3.46,3.41,3.435,1500,2021-05-10 13:55:00,ZVO
3.41,3.45,3.41,3.435,2700,2021-05-10 13:56:00,ZVO
3.41,3.44,3.41,3.44,1300,2021-05-10 13:57:00,ZVO
3.435,3.47,3.41,3.44,6900,2021-05-10 13:58:00,ZVO
3.44,3.44,3.44,3.44,100,2021-05-10 13:59:00,ZVO
3.44,3.46,3.44,3.45,2144,2021-05-10 14:01:00,ZVO
3.44,3.47,3.41,3.4101,19300,2021-05-10 14:03:00,ZVO
3.42,3.445,3.42,3.445,200,2021-05-10 14:05:00,ZVO
3.42,3.42,3.42,3.42,100,2021-05-10 14:06:00,ZVO
3.41,3.44,3.41,3.44,500,2021-05-10 14:07:00,ZVO
3.43,3.43,3.43,3.43,100,2021-05-10 14:10:00,ZVO
3.43,3.43,3.43,3.43,100,2021-05-10 14:11:00,ZVO
3.43,3.445,3.43,3.445,300,2021-05-10 14:12:00,ZVO
3.44,3.44,3.44,3.44,400,2021-05-10 14:13:00,ZVO
3.44,3.46,3.44,3.46,400,2021-05-10 14:14:00,ZVO
3.46,3.49,3.46,3.49,1800,2021-05-10 14:15:00,ZVO
3.49,3.49,3.49,3.49,449,2021-05-10 14:16:00,ZVO
3.49,3.49,3.49,3.49,1200,2021-05-10 14:17:00,ZVO
3.49,3.49,3.49,3.49,100,2021-05-10 14:22:00,ZVO
3.49,3.49,3.49,3.49,100,2021-05-10 14:24:00,ZVO
3.49,3.49,3.47,3.47,300,2021-05-10 14:25:00,ZVO
3.47,3.485,3.47,3.485,564,2021-05-10 14:26:00,ZVO
3.48,3.48,3.48,3.48,200,2021-05-10 14:35:00,ZVO
3.47,3.48,3.46,3.46,408,2021-05-10 14:47:00,ZVO
3.46,3.46,3.44,3.46,700,2021-05-10 14:48:00,ZVO
3.48,3.48,3.455,3.455,300,2021-05-10 14:55:00,ZVO
3.48,3.48,3.47,3.47,400,2021-05-10 14:57:00,ZVO
3.48,3.48,3.48,3.48,200,2021-05-10 15:03:00,ZVO
3.45,3.45,3.45,3.45,100,2021-05-10 15:11:00,ZVO
3.465,3.465,3.455,3.46,1188,2021-05-10 15:16:00,ZVO
3.46,3.46,3.46,3.46,200,2021-05-10 15:17:00,ZVO
3.4401,3.4401,3.4401,3.4401,275,2021-05-10 15:44:00,ZVO
3.465,3.465,3.46,3.46,1150,2021-05-10 15:45:00,ZVO
3.4599,3.4599,3.4599,3.4599,5000,2021-05-10 15:51:00,ZVO
3.45,3.465,3.445,3.46,3037,2021-05-10 15:53:00,ZVO
3.4513,3.4513,3.4513,3.4513,161,2021-05-10 16:13:00,ZVO
3.45,3.455,3.45,3.45,1500,2021-05-10 16:21:00,ZVO
3.454,3.454,3.454,3.454,100,2021-05-10 16:24:00,ZVO
3.45,3.45,3.45,3.45,100,2021-05-10 16:25:00,ZVO
3.45,3.45,3.45,3.45,900,2021-05-10 16:27:00,ZVO
3.45,3.45,3.45,3.45,100,2021-05-10 16:28:00,ZVO
3.44,3.44,3.44,3.44,415,2021-05-10 16:30:00,ZVO
3.43,3.44,3.43,3.435,600,2021-05-10 16:47:00,ZVO
3.44,3.46,3.44,3.46,1000,2021-05-10 16:48:00,ZVO
3.45,3.45,3.45,3.45,100,2021-05-10 17:01:00,ZVO
3.44,3.44,3.44,3.44,100,2021-05-10 17:02:00,ZVO
3.45,3.45,3.45,3.45,100,2021-05-10 17:23:00,ZVO
3.43,3.43,3.43,3.43,400,2021-05-10 17:32:00,ZVO
3.42,3.42,3.42,3.42,200,2021-05-10 17:35:00,ZVO
3.44,3.44,3.44,3.44,100,2021-05-10 17:37:00,ZVO
3.43,3.43,3.43,3.43,898,2021-05-10 17:47:00,ZVO
3.44,3.445,3.44,3.44,1066,2021-05-10 17:49:00,ZVO
3.435,3.435,3.435,3.435,100,2021-05-10 17:52:00,ZVO
3.45,3.45,3.45,3.45,100,2021-05-10 18:14:00,ZVO
3.42,3.42,3.42,3.42,100,2021-05-10 18:16:00,ZVO
3.42,3.42,3.38,3.39,2033,2021-05-10 18:22:00,ZVO
3.39,3.39,3.39,3.39,200,2021-05-10 18:27:00,ZVO
3.39,3.4,3.39,3.4,1200,2021-05-10 18:31:00,ZVO
3.37,3.37,3.37,3.37,100,2021-05-10 18:33:00,ZVO
3.3501,3.3501,3.3501,3.3501,100,2021-05-10 18:34:00,ZVO
3.37,3.37,3.37,3.37,100,2021-05-10 18:36:00,ZVO
3.39,3.4,3.36,3.37,11594,2021-05-10 18:38:00,ZVO
3.385,3.4,3.385,3.4,300,2021-05-10 18:39:00,ZVO
3.36,3.375,3.36,3.375,1100,2021-05-10 18:40:00,ZVO
3.37,3.39,3.37,3.38,1300,2021-05-10 18:41:00,ZVO
3.3851,3.4,3.38,3.4,2200,2021-05-10 18:44:00,ZVO
3.385,3.4,3.385,3.4,1274,2021-05-10 18:45:00,ZVO
3.4,3.42,3.4,3.42,1464,2021-05-10 18:46:00,ZVO
3.39,3.41,3.39,3.41,1900,2021-05-10 18:47:00,ZVO
3.38,3.39,3.35,3.38,4262,2021-05-10 18:48:00,ZVO
3.38,3.38,3.38,3.38,370,2021-05-10 18:49:00,ZVO
3.375,3.4,3.365,3.365,2300,2021-05-10 18:52:00,ZVO
3.38,3.4,3.38,3.4,1402,2021-05-10 18:53:00,ZVO
3.38,3.41,3.37,3.41,2400,2021-05-10 18:54:00,ZVO
3.3833,3.41,3.3833,3.41,330,2021-05-10 18:57:00,ZVO
3.37,3.37,3.37,3.37,100,2021-05-10 19:04:00,ZVO
3.4,3.41,3.4,3.41,400,2021-05-10 19:06:00,ZVO
3.41,3.41,3.395,3.395,400,2021-05-10 19:08:00,ZVO
3.39,3.4,3.38,3.39,2098,2021-05-10 19:36:00,ZVO
3.4,3.4,3.4,3.4,220,2021-05-10 19:43:00,ZVO
3.4,3.41,3.4,3.41,2124,2021-05-10 19:44:00,ZVO
3.41,3.41,3.41,3.41,100,2021-05-10 19:45:00,ZVO
3.4,3.42,3.395,3.42,1400,2021-05-10 19:46:00,ZVO
3.409,3.409,3.39,3.39,548,2021-05-10 19:48:00,ZVO
3.39,3.41,3.37,3.39,12167,2021-05-10 19:49:00,ZVO
3.385,3.385,3.385,3.385,200,2021-05-10 19:50:00,ZVO
3.3954,3.3954,3.385,3.385,550,2021-05-10 19:51:00,ZVO
3.3938,3.41,3.385,3.4,2530,2021-05-10 19:54:00,ZVO
3.4,3.4,3.4,3.4,226,2021-05-10 19:55:00,ZVO
3.4,3.4,3.3949,3.3949,418,2021-05-10 19:56:00,ZVO
3.4,3.4,3.4,3.4,474,2021-05-10 19:57:00,ZVO
3.4,3.4,3.39,3.4,2598,2021-05-10 19:58:00,ZVO
3.4,3.41,3.38,3.4,2700,2021-05-10 19:59:00,ZVO
3.39,3.39,3.39,3.39,1888,2021-05-10 20:00:00,ZVO
3.3699,3.3699,3.3699,3.3699,200,2021-05-11 12:17:00,ZVO
3.35,3.35,3.29,3.29,265,2021-05-11 13:28:00,ZVO
3.26,3.26,3.21,3.2101,7804,2021-05-11 13:30:00,ZVO
3.25,3.25,3.241,3.25,5100,2021-05-11 13:32:00,ZVO
3.24,3.278,3.24,3.278,574,2021-05-11 13:33:00,ZVO
3.29,3.29,3.2401,3.2401,300,2021-05-11 13:34:00,ZVO
3.25,3.265,3.25,3.265,600,2021-05-11 13:35:00,ZVO
3.29,3.3,3.29,3.3,500,2021-05-11 13:40:00,ZVO
3.29,3.3,3.29,3.29,700,2021-05-11 13:41:00,ZVO
3.29,3.29,3.29,3.29,600,2021-05-11 13:43:00,ZVO
3.2907,3.3497,3.29,3.3497,1300,2021-05-11 13:44:00,ZVO
3.2869,3.35,3.2869,3.34,2200,2021-05-11 13:46:00,ZVO
3.2801,3.35,3.2801,3.35,1100,2021-05-11 13:47:00,ZVO
3.3,3.31,3.29,3.3,800,2021-05-11 13:50:00,ZVO
