open,high,low,close,volume,datetime,symbol
3.07,3.1,3.05,3.1,3411,2021-05-17 13:30:00,GASS
3.09,3.09,3.09,3.09,350,2021-05-17 13:38:00,GASS
3.0735,3.08,3.0735,3.08,1010,2021-05-17 13:55:00,GASS
3.08,3.11,3.06,3.1,5129,2021-05-17 14:38:00,GASS
3.09,3.09,3.09,3.09,100,2021-05-17 14:57:00,GASS
3.1,3.11,3.1,3.11,1793,2021-05-17 15:08:00,GASS
3.13,3.14,3.13,3.14,845,2021-05-17 15:28:00,GASS
3.14,3.14,3.14,3.14,100,2021-05-17 15:53:00,GASS
3.17,3.17,3.17,3.17,400,2021-05-17 15:54:00,GASS
3.17,3.17,3.17,3.17,125,2021-05-17 15:55:00,GASS
3.15,3.15,3.15,3.15,100,2021-05-17 15:58:00,GASS
3.14,3.15,3.13,3.15,7528,2021-05-17 16:17:00,GASS
3.15,3.15,3.15,3.15,1398,2021-05-17 16:24:00,GASS
3.1427,3.1427,3.1427,3.1427,100,2021-05-17 16:28:00,GASS
3.15,3.18,3.15,3.18,2600,2021-05-17 16:38:00,GASS
3.11,3.14,3.1,3.1,3801,2021-05-17 18:00:00,GASS
3.08,3.08,3.08,3.08,1928,2021-05-17 18:01:00,GASS
3.0999,3.13,3.0999,3.13,2700,2021-05-17 18:04:00,GASS
3.0853,3.0853,3.0853,3.0853,160,2021-05-17 18:12:00,GASS
3.12,3.12,3.12,3.12,1079,2021-05-17 18:29:00,GASS
3.1,3.16,3.1,3.16,5499,2021-05-17 18:30:00,GASS
3.1101,3.1101,3.1101,3.1101,1000,2021-05-17 18:36:00,GASS
3.135,3.135,3.135,3.135,100,2021-05-17 18:37:00,GASS
3.135,3.14,3.135,3.14,700,2021-05-17 19:01:00,GASS
3.15,3.15,3.1401,3.1401,1100,2021-05-17 19:15:00,GASS
3.14,3.16,3.14,3.16,2649,2021-05-17 19:40:00,GASS
3.16,3.16,3.16,3.16,100,2021-05-17 19:41:00,GASS
3.16,3.16,3.16,3.16,100,2021-05-17 19:43:00,GASS
3.16,3.16,3.16,3.16,100,2021-05-17 19:45:00,GASS
3.16,3.16,3.16,3.16,100,2021-05-17 19:50:00,GASS
3.16,3.16,3.16,3.16,100,2021-05-17 19:51:00,GASS
3.146,3.146,3.146,3.146,1000,2021-05-17 19:57:00,GASS
3.16,3.16,3.16,3.16,100,2021-05-17 19:58:00,GASS
3.16,3.16,3.16,3.16,678,2021-05-17 20:00:00,GASS
3.16,3.16,3.16,3.16,556,2021-05-18 13:30:00,GASS
3.18,3.23,3.18,3.23,1560,2021-05-18 13:34:00,GASS
3.18,3.18,3.18,3.18,300,2021-05-18 13:35:00,GASS
3.165,3.18,3.165,3.18,2200,2021-05-18 13:37:00,GASS
3.2,3.2,3.2,3.2,500,2021-05-18 13:38:00,GASS
3.19,3.19,3.19,3.19,200,2021-05-18 13:39:00,GASS
3.22,3.22,3.22,3.22,927,2021-05-18 13:40:00,GASS
3.1721,3.19,3.1721,3.19,1910,2021-05-18 13:55:00,GASS
3.19,3.19,3.19,3.19,100,2021-05-18 14:02:00,GASS
3.2,3.2,3.2,3.2,1300,2021-05-18 14:22:00,GASS
3.2,3.2,3.16,3.2,3905,2021-05-18 14:38:00,GASS
3.16,3.16,3.16,3.16,100,2021-05-18 15:02:00,GASS
3.17,3.2,3.14,3.2,5416,2021-05-18 15:56:00,GASS
3.17,3.2,3.17,3.2,5900,2021-05-18 16:00:00,GASS
3.1899,3.1899,3.1899,3.1899,100,2021-05-18 16:23:00,GASS
3.19,3.19,3.19,3.19,104,2021-05-18 16:38:00,GASS
3.1662,3.1662,3.1662,3.1662,150,2021-05-18 16:49:00,GASS
3.16,3.16,3.16,3.16,100,2021-05-18 16:53:00,GASS
3.15,3.16,3.14,3.16,1519,2021-05-18 17:01:00,GASS
3.16,3.16,3.16,3.16,1200,2021-05-18 17:08:00,GASS
3.16,3.16,3.16,3.16,600,2021-05-18 17:10:00,GASS
3.179,3.18,3.1769,3.18,900,2021-05-18 18:22:00,GASS
3.17,3.17,3.17,3.17,106,2021-05-18 18:39:00,GASS
3.18,3.18,3.18,3.18,100,2021-05-18 18:40:00,GASS
3.1773,3.18,3.1773,3.18,2100,2021-05-18 18:51:00,GASS
3.1784,3.1784,3.1784,3.1784,100,2021-05-18 18:53:00,GASS
3.19,3.19,3.19,3.19,1000,2021-05-18 19:29:00,GASS
3.19,3.19,3.19,3.19,500,2021-05-18 19:42:00,GASS
3.1899,3.2,3.1899,3.2,12377,2021-05-18 19:46:00,GASS
3.19,3.19,3.19,3.19,100,2021-05-18 19:55:00,GASS
3.2,3.2,3.2,3.2,470,2021-05-18 20:00:00,GASS
3.19,3.19,3.19,3.19,149,2021-05-18 21:15:00,GASS
3.19,3.19,3.11,3.11,1383,2021-05-19 13:30:00,GASS
3.0501,3.2,3.0501,3.2,4250,2021-05-19 13:42:00,GASS
3.2064,3.2064,3.2,3.2,1100,2021-05-19 14:02:00,GASS
