open,high,low,close,volume,datetime,symbol
92.25,92.25,92.25,92.25,1220,2021-05-17 13:30:00,NEOG
92.6251,93.09,92.6251,93.06,400,2021-05-17 13:32:00,NEOG
92.23,92.23,91.895,91.895,300,2021-05-17 13:35:00,NEOG
92.87,92.87,92.87,92.87,100,2021-05-17 13:40:00,NEOG
92.12,92.12,91.76,91.76,800,2021-05-17 13:52:00,NEOG
91.88,91.88,91.78,91.78,200,2021-05-17 13:53:00,NEOG
92.02,92.02,91.5,91.5,300,2021-05-17 13:54:00,NEOG
91.91,92.03,91.91,92.03,200,2021-05-17 13:55:00,NEOG
92.14,92.14,92.14,92.14,100,2021-05-17 14:18:00,NEOG
92.07,92.12,91.91,92.01,999,2021-05-17 14:19:00,NEOG
91.96,91.96,91.59,91.615,950,2021-05-17 14:29:00,NEOG
91.85,91.85,91.85,91.85,100,2021-05-17 14:39:00,NEOG
91.67,91.67,91.67,91.67,100,2021-05-17 14:49:00,NEOG
91.91,91.91,91.91,91.91,100,2021-05-17 14:50:00,NEOG
91.8489,91.8489,91.8489,91.8489,100,2021-05-17 14:52:00,NEOG
91.83,91.83,91.83,91.83,100,2021-05-17 14:53:00,NEOG
91.76,91.76,91.76,91.76,200,2021-05-17 14:54:00,NEOG
91.66,91.7057,91.64,91.64,700,2021-05-17 14:55:00,NEOG
91.53,91.53,91.53,91.53,100,2021-05-17 14:58:00,NEOG
91.5,91.5,91.365,91.37,1298,2021-05-17 15:01:00,NEOG
91.25,91.25,91.25,91.25,100,2021-05-17 15:02:00,NEOG
91.335,91.465,91.335,91.465,400,2021-05-17 15:04:00,NEOG
91.485,91.485,91.485,91.485,100,2021-05-17 15:06:00,NEOG
91.5,91.6,91.5,91.6,800,2021-05-17 15:08:00,NEOG
91.45,91.45,91.45,91.45,204,2021-05-17 15:09:00,NEOG
91.37,91.5,91.37,91.5,400,2021-05-17 15:11:00,NEOG
91.53,91.53,91.53,91.53,100,2021-05-17 15:25:00,NEOG
91.48,91.48,91.48,91.48,100,2021-05-17 15:30:00,NEOG
91.39,91.39,91.39,91.39,400,2021-05-17 15:31:00,NEOG
91.425,91.425,91.425,91.425,100,2021-05-17 15:33:00,NEOG
91.51,91.51,91.51,91.51,200,2021-05-17 15:48:00,NEOG
