open,high,low,close,volume,datetime,symbol
127.98,128.305,126.73,126.73,7188,2021-05-17 13:30:00,PTC
127.19,127.19,127.13,127.13,300,2021-05-17 13:32:00,PTC
126.65,126.75,126.65,126.75,200,2021-05-17 13:33:00,PTC
126.745,127.77,126.745,127.66,3700,2021-05-17 13:34:00,PTC
127.715,128.095,127.715,128.095,300,2021-05-17 13:35:00,PTC
128.1,128.3,128.1,128.25,500,2021-05-17 13:36:00,PTC
128.43,128.44,128.335,128.44,300,2021-05-17 13:37:00,PTC
128.5,128.5,128.16,128.16,300,2021-05-17 13:38:00,PTC
128.19,128.19,128.19,128.19,100,2021-05-17 13:39:00,PTC
128.46,128.46,128.46,128.46,100,2021-05-17 13:40:00,PTC
128.515,128.515,128.16,128.31,2020,2021-05-17 13:41:00,PTC
128.29,128.54,128.27,128.52,3309,2021-05-17 13:42:00,PTC
128.77,128.77,128.65,128.65,600,2021-05-17 13:43:00,PTC
128.33,128.47,128.33,128.41,4000,2021-05-17 13:44:00,PTC
128.36,128.59,128.17,128.17,6740,2021-05-17 13:45:00,PTC
128.15,128.575,128.15,128.575,900,2021-05-17 13:46:00,PTC
128.415,128.415,128.415,128.415,100,2021-05-17 13:47:00,PTC
128.405,128.405,128.405,128.405,100,2021-05-17 13:48:00,PTC
128.415,128.415,128.39,128.39,200,2021-05-17 13:49:00,PTC
128.325,128.325,128.325,128.325,100,2021-05-17 13:50:00,PTC
128.26,128.265,128.12,128.26,2818,2021-05-17 13:51:00,PTC
128.25,128.25,127.73,127.73,1622,2021-05-17 13:52:00,PTC
127.8,127.8,127.57,127.57,500,2021-05-17 13:53:00,PTC
127.69,127.77,127.69,127.77,300,2021-05-17 13:54:00,PTC
127.91,127.91,127.9,127.9,200,2021-05-17 13:55:00,PTC
127.86,127.86,127.67,127.67,400,2021-05-17 13:56:00,PTC
127.8,127.96,127.8,127.96,200,2021-05-17 13:57:00,PTC
127.8,127.8,127.8,127.8,100,2021-05-17 13:58:00,PTC
127.85,127.98,127.85,127.87,300,2021-05-17 13:59:00,PTC
127.41,127.515,127.41,127.515,240,2021-05-17 14:00:00,PTC
127.3,127.395,126.88,127.01,1205,2021-05-17 14:01:00,PTC
126.7733,126.7733,126.7733,126.7733,100,2021-05-17 14:02:00,PTC
126.825,126.825,126.825,126.825,100,2021-05-17 14:03:00,PTC
127.045,127.045,126.88,126.93,900,2021-05-17 14:04:00,PTC
127.07,127.71,126.97,127.71,1100,2021-05-17 14:05:00,PTC
127.59,127.59,127.32,127.32,500,2021-05-17 14:06:00,PTC
127.43,127.43,127.388,127.42,500,2021-05-17 14:07:00,PTC
127.37,127.37,127.17,127.17,200,2021-05-17 14:08:00,PTC
127.21,127.21,127.0,127.0,200,2021-05-17 14:09:00,PTC
127.215,127.215,127.215,127.215,100,2021-05-17 14:10:00,PTC
127.13,127.14,127.07,127.07,500,2021-05-17 14:11:00,PTC
127.11,127.38,127.11,127.157,341,2021-05-17 14:12:00,PTC
127.29,127.29,127.23,127.23,200,2021-05-17 14:13:00,PTC
127.15,127.15,126.74,126.74,500,2021-05-17 14:15:00,PTC
127.04,127.28,127.04,127.28,300,2021-05-17 14:16:00,PTC
127.125,127.125,127.055,127.055,200,2021-05-17 14:17:00,PTC
127.06,127.44,127.06,127.44,400,2021-05-17 14:18:00,PTC
127.365,127.365,127.18,127.285,300,2021-05-17 14:19:00,PTC
127.13,127.48,127.13,127.48,400,2021-05-17 14:20:00,PTC
127.37,127.37,127.37,127.37,100,2021-05-17 14:21:00,PTC
127.41,127.41,127.27,127.27,800,2021-05-17 14:22:00,PTC
127.22,127.22,127.13,127.13,200,2021-05-17 14:23:00,PTC
127.13,127.13,127.13,127.13,100,2021-05-17 14:24:00,PTC
127.26,127.38,127.2,127.325,700,2021-05-17 14:25:00,PTC
127.325,127.325,127.22,127.22,590,2021-05-17 14:26:00,PTC
127.22,127.22,126.89,126.89,1300,2021-05-17 14:27:00,PTC
126.97,127.03,126.97,127.03,700,2021-05-17 14:28:00,PTC
127.055,127.055,126.51,126.53,705,2021-05-17 14:29:00,PTC
126.58,126.58,126.58,126.58,200,2021-05-17 14:30:00,PTC
126.35,126.35,126.35,126.35,100,2021-05-17 14:31:00,PTC
126.29,126.29,126.21,126.21,200,2021-05-17 14:32:00,PTC
126.285,126.285,126.2,126.2,300,2021-05-17 14:33:00,PTC
126.39,126.47,126.39,126.42,500,2021-05-17 14:34:00,PTC
126.53,126.86,126.53,126.715,400,2021-05-17 14:36:00,PTC
126.94,127.05,126.92,127.03,1271,2021-05-17 14:37:00,PTC
126.9,126.9,126.9,126.9,100,2021-05-17 14:38:00,PTC
127.22,127.22,127.06,127.14,600,2021-05-17 14:40:00,PTC
127.15,127.25,127.12,127.175,2347,2021-05-17 14:41:00,PTC
127.1,127.1,127.09,127.09,200,2021-05-17 14:42:00,PTC
127.05,127.155,127.04,127.05,523,2021-05-17 14:43:00,PTC
126.96,127.09,126.94,127.09,400,2021-05-17 14:44:00,PTC
127.12,127.12,127.0,127.0,640,2021-05-17 14:45:00,PTC
127.0,127.0,127.0,127.0,300,2021-05-17 14:46:00,PTC
127.04,127.04,126.9,126.9,400,2021-05-17 14:47:00,PTC
126.92,126.92,126.836,126.85,1500,2021-05-17 14:48:00,PTC
126.85,127.12,126.78,127.12,1100,2021-05-17 14:49:00,PTC
127.17,127.18,127.0175,127.0175,800,2021-05-17 14:50:00,PTC
127.165,127.17,127.165,127.17,400,2021-05-17 14:51:00,PTC
127.44,127.44,127.3,127.31,400,2021-05-17 14:52:00,PTC
127.33,127.33,127.33,127.33,200,2021-05-17 14:53:00,PTC
127.325,127.325,127.1,127.16,2438,2021-05-17 14:54:00,PTC
127.12,127.12,126.96,126.96,876,2021-05-17 14:55:00,PTC
127.02,127.02,126.85,126.91,400,2021-05-17 14:56:00,PTC
126.98,126.98,126.98,126.98,200,2021-05-17 14:57:00,PTC
126.88,126.88,126.82,126.82,200,2021-05-17 14:58:00,PTC
126.835,126.835,126.825,126.825,200,2021-05-17 14:59:00,PTC
126.81,126.92,126.81,126.92,1200,2021-05-17 15:00:00,PTC
126.97,126.97,126.82,126.82,716,2021-05-17 15:01:00,PTC
126.74,126.765,126.72,126.72,700,2021-05-17 15:02:00,PTC
126.65,126.65,126.65,126.65,100,2021-05-17 15:03:00,PTC
126.73,126.83,126.66,126.66,1400,2021-05-17 15:04:00,PTC
126.68,126.725,126.5,126.625,800,2021-05-17 15:06:00,PTC
126.54,126.645,126.53,126.645,400,2021-05-17 15:07:00,PTC
126.655,126.73,126.655,126.66,2611,2021-05-17 15:08:00,PTC
126.72,126.8,126.72,126.8,800,2021-05-17 15:09:00,PTC
126.89,126.89,126.725,126.725,644,2021-05-17 15:10:00,PTC
126.79,126.84,126.78,126.84,700,2021-05-17 15:11:00,PTC
126.8,126.89,126.79,126.8,700,2021-05-17 15:12:00,PTC
126.79,126.96,126.77,126.96,1000,2021-05-17 15:13:00,PTC
127.09,127.115,127.0,127.0,953,2021-05-17 15:14:00,PTC
126.99,127.03,126.92,126.92,1800,2021-05-17 15:15:00,PTC
126.96,127.09,126.955,127.09,1733,2021-05-17 15:16:00,PTC
127.125,127.125,127.125,127.125,114,2021-05-17 15:17:00,PTC
127.04,127.04,127.04,127.04,100,2021-05-17 15:18:00,PTC
126.92,127.0282,126.8037,126.87,2582,2021-05-17 15:19:00,PTC
127.0,127.03,127.0,127.0075,700,2021-05-17 15:20:00,PTC
127.09,127.09,126.42,126.67,25946,2021-05-17 15:21:00,PTC
126.7175,127.125,126.7175,127.125,1701,2021-05-17 15:22:00,PTC
127.165,127.265,127.155,127.165,1742,2021-05-17 15:23:00,PTC
127.09,127.09,127.01,127.09,980,2021-05-17 15:24:00,PTC
127.11,127.11,127.11,127.11,104,2021-05-17 15:25:00,PTC
127.165,127.24,127.14,127.24,300,2021-05-17 15:26:00,PTC
127.235,127.235,127.235,127.235,100,2021-05-17 15:27:00,PTC
127.235,127.29,127.15,127.15,805,2021-05-17 15:28:00,PTC
127.19,127.19,127.19,127.19,237,2021-05-17 15:29:00,PTC
