open,high,low,close,volume,datetime,symbol
8.54,8.54,8.54,8.54,308,2021-05-17 13:30:00,WNEB
8.56,8.56,8.56,8.56,100,2021-05-17 13:46:00,WNEB
8.48,8.48,8.48,8.48,100,2021-05-17 13:52:00,WNEB
8.47,8.48,8.47,8.47,560,2021-05-17 13:53:00,WNEB
8.48,8.48,8.48,8.48,806,2021-05-17 13:54:00,WNEB
8.48,8.48,8.47,8.47,800,2021-05-17 13:55:00,WNEB
8.48,8.48,8.48,8.48,200,2021-05-17 13:56:00,WNEB
8.46,8.47,8.46,8.47,200,2021-05-17 14:00:00,WNEB
8.45,8.47,8.45,8.47,200,2021-05-17 14:19:00,WNEB
8.445,8.445,8.445,8.445,200,2021-05-17 14:23:00,WNEB
8.45,8.45,8.45,8.45,1143,2021-05-17 14:25:00,WNEB
8.425,8.425,8.425,8.425,100,2021-05-17 14:28:00,WNEB
8.43,8.43,8.41,8.41,600,2021-05-17 14:32:00,WNEB
8.42,8.42,8.42,8.42,1307,2021-05-17 14:38:00,WNEB
8.45,8.45,8.45,8.45,100,2021-05-17 14:39:00,WNEB
8.49,8.49,8.48,8.48,1600,2021-05-17 14:50:00,WNEB
8.48,8.48,8.48,8.48,100,2021-05-17 14:54:00,WNEB
8.4405,8.4405,8.4,8.4,750,2021-05-17 15:01:00,WNEB
8.43,8.43,8.39,8.39,200,2021-05-17 15:07:00,WNEB
8.41,8.41,8.41,8.41,500,2021-05-17 15:10:00,WNEB
8.43,8.45,8.43,8.44,300,2021-05-17 15:11:00,WNEB
8.5,8.5,8.5,8.5,200,2021-05-17 15:22:00,WNEB
8.5,8.5,8.47,8.47,655,2021-05-17 15:23:00,WNEB
8.5,8.5,8.5,8.5,100,2021-05-17 15:26:00,WNEB
8.46,8.46,8.46,8.46,600,2021-05-17 15:30:00,WNEB
8.45,8.48,8.43,8.43,1100,2021-05-17 15:31:00,WNEB
8.52,8.52,8.5,8.5,300,2021-05-17 15:40:00,WNEB
8.55,8.55,8.55,8.55,100,2021-05-17 15:48:00,WNEB
8.5291,8.5291,8.52,8.52,300,2021-05-17 15:51:00,WNEB
8.51,8.51,8.51,8.51,100,2021-05-17 16:06:00,WNEB
8.51,8.51,8.51,8.51,200,2021-05-17 16:07:00,WNEB
8.53,8.53,8.51,8.51,400,2021-05-17 16:11:00,WNEB
8.51,8.51,8.51,8.51,200,2021-05-17 16:15:00,WNEB
8.55,8.55,8.55,8.55,100,2021-05-17 16:27:00,WNEB
8.55,8.55,8.55,8.55,100,2021-05-17 16:28:00,WNEB
8.57,8.57,8.57,8.57,100,2021-05-17 16:39:00,WNEB
8.56,8.56,8.56,8.56,100,2021-05-17 16:47:00,WNEB
8.57,8.57,8.57,8.57,100,2021-05-17 16:52:00,WNEB
8.54,8.54,8.54,8.54,100,2021-05-17 17:09:00,WNEB
8.52,8.52,8.52,8.52,300,2021-05-17 17:23:00,WNEB
8.54,8.54,8.54,8.54,100,2021-05-17 17:32:00,WNEB
8.52,8.52,8.52,8.52,100,2021-05-17 17:34:00,WNEB
8.54,8.54,8.54,8.54,400,2021-05-17 17:39:00,WNEB
