open,high,low,close,volume,datetime,symbol
32.18,32.8,32.18,32.51,111833,2019-12-31 06:00:00,ATRC
32.74,33.1,32.545,33.07,286226,2020-01-02 06:00:00,ATRC
32.67,32.96,32.07,32.46,156709,2020-01-03 06:00:00,ATRC
32.31,32.96,31.79,32.73,320578,2020-01-06 06:00:00,ATRC
32.72,32.76,32.15,32.58,162298,2020-01-07 06:00:00,ATRC
32.66,32.91,32.17,32.66,261147,2020-01-08 06:00:00,ATRC
33.01,33.88,32.81,33.71,123373,2020-01-09 06:00:00,ATRC
33.78,33.93,33.376,33.81,150469,2020-01-10 06:00:00,ATRC
33.92,33.92,33.115,33.495,633598,2020-01-13 06:00:00,ATRC
33.57,34.39,33.42,33.875,656723,2020-01-14 06:00:00,ATRC
33.81,35.34,33.8,35.3,366697,2020-01-15 06:00:00,ATRC
35.51,36.75,35.45,36.74,558093,2020-01-16 06:00:00,ATRC
37.01,38.26,36.42,38.25,790588,2020-01-17 06:00:00,ATRC
38.44,38.88,37.66,38.65,377884,2020-01-21 06:00:00,ATRC
38.89,39.25,38.03,38.18,327937,2020-01-22 06:00:00,ATRC
38.01,38.44,37.44,37.5,238415,2020-01-23 06:00:00,ATRC
37.88,38.525,37.5,37.57,457567,2020-01-24 06:00:00,ATRC
37.03,38.1,36.6,37.9,468221,2020-01-27 06:00:00,ATRC
38.38,39.35,38.34,39.11,494096,2020-01-28 06:00:00,ATRC
39.2,40.23,39.12,39.98,313401,2020-01-29 06:00:00,ATRC
39.61,40.86,39.61,40.35,248317,2020-01-30 06:00:00,ATRC
40.15,40.61,38.7,38.9,254725,2020-01-31 06:00:00,ATRC
38.81,39.25,38.18,38.66,249812,2020-02-03 06:00:00,ATRC
39.35,39.55,38.46,39.5,342381,2020-02-04 06:00:00,ATRC
39.83,39.95,38.535,38.63,309505,2020-02-05 06:00:00,ATRC
38.83,39.595,38.61,39.27,307658,2020-02-06 06:00:00,ATRC
39.11,40.75,38.94,40.6,602008,2020-02-07 06:00:00,ATRC
40.32,41.59,40.32,41.59,244702,2020-02-10 06:00:00,ATRC
41.89,42.08,41.08,42.04,329597,2020-02-11 06:00:00,ATRC
42.25,42.92,42.02,42.66,228433,2020-02-12 06:00:00,ATRC
42.6,43.58,42.42,43.04,710857,2020-02-13 06:00:00,ATRC
43.14,44.32,42.92,43.84,341068,2020-02-14 06:00:00,ATRC
43.73,44.51,43.11,43.16,562802,2020-02-18 06:00:00,ATRC
42.33,43.04,40.7214,42.17,627205,2020-02-19 06:00:00,ATRC
41.68,41.98,40.52,40.7,348020,2020-02-20 06:00:00,ATRC
40.6,40.6,38.8,39.41,466977,2020-02-21 06:00:00,ATRC
38.16,38.98,37.85,38.43,211418,2020-02-24 06:00:00,ATRC
38.7,38.99,37.82,38.78,616710,2020-02-25 06:00:00,ATRC
38.75,40.03,38.75,39.95,338495,2020-02-26 06:00:00,ATRC
39.18,40.9,38.81,40.005,502549,2020-02-27 06:00:00,ATRC
39.1,39.5808,37.2,38.42,367916,2020-02-28 06:00:00,ATRC
38.2,39.54,38.12,39.11,305288,2020-03-02 06:00:00,ATRC
