open,high,low,close,volume,datetime,symbol
27.02,27.11,25.19,26.29,141037,2019-12-31 06:00:00,ETNB
27.24,27.24,24.39,25.1,45409,2020-01-02 06:00:00,ETNB
24.75,28.99,24.31,26.83,137590,2020-01-03 06:00:00,ETNB
26.18,27.89,25.01,27.13,79197,2020-01-06 06:00:00,ETNB
26.86,27.25,25.87,27.12,63540,2020-01-07 06:00:00,ETNB
26.96,27.43,25.25,25.76,70812,2020-01-08 06:00:00,ETNB
25.91,26.98,25.27,25.62,96974,2020-01-09 06:00:00,ETNB
25.62,27.14,25.15,26.6,26808,2020-01-10 06:00:00,ETNB
26.6,27.5,25.569,27.35,32409,2020-01-13 06:00:00,ETNB
26.93,28.36,26.2,27.32,52600,2020-01-14 06:00:00,ETNB
27.25,28.02,25.93,26.6,61451,2020-01-15 06:00:00,ETNB
26.7,27.01,24.6,25.61,118187,2020-01-16 06:00:00,ETNB
25.63,26.8266,25.63,26.51,23570,2020-01-17 06:00:00,ETNB
26.51,27.87,25.4245,27.6,28053,2020-01-21 06:00:00,ETNB
27.1,29.48,27.095,28.21,42240,2020-01-22 06:00:00,ETNB
28.6,28.9,26.2703,27.92,28592,2020-01-23 06:00:00,ETNB
27.8,27.835,25.8,26.15,13544,2020-01-24 06:00:00,ETNB
25.61,28.69,25.6,27.18,30621,2020-01-27 06:00:00,ETNB
27.72,27.88,27.0,27.34,15868,2020-01-28 06:00:00,ETNB
27.83,34.93,26.76,33.66,94924,2020-01-29 06:00:00,ETNB
34.02,35.712,29.5,30.37,74273,2020-01-30 06:00:00,ETNB
30.52,31.99,25.24,26.72,72888,2020-01-31 06:00:00,ETNB
27.0,28.84,25.261,25.9,49869,2020-02-03 06:00:00,ETNB
26.05,27.9661,25.3972,26.9,54216,2020-02-04 06:00:00,ETNB
27.2,29.0,26.17,26.36,64586,2020-02-05 06:00:00,ETNB
26.45,27.77,25.955,27.53,37418,2020-02-06 06:00:00,ETNB
27.03,27.97,25.7352,25.99,28923,2020-02-07 06:00:00,ETNB
26.0,27.03,25.975,26.79,10861,2020-02-10 06:00:00,ETNB
27.31,28.85,26.32,28.6,23724,2020-02-11 06:00:00,ETNB
28.8,31.19,27.76,29.3,11273,2020-02-12 06:00:00,ETNB
29.54,31.98,27.26,31.05,15502,2020-02-13 06:00:00,ETNB
30.8,33.47,29.6633,32.5,13184,2020-02-14 06:00:00,ETNB
32.5,36.88,32.06,35.96,31191,2020-02-18 06:00:00,ETNB
36.5,39.13,31.7123,36.89,26188,2020-02-19 06:00:00,ETNB
36.0,37.825,35.36,35.51,20992,2020-02-20 06:00:00,ETNB
35.55,35.55,33.165,33.66,6251,2020-02-21 06:00:00,ETNB
32.0,38.85,31.0,36.25,66311,2020-02-24 06:00:00,ETNB
