open,high,low,close,volume,datetime,symbol
150.04,151.59,150.04,151.31,65613,2019-12-31 06:00:00,MORN
151.26,151.45,150.02,151.3,63754,2020-01-02 06:00:00,MORN
150.11,152.38,150.11,151.92,48181,2020-01-03 06:00:00,MORN
151.3,153.96,149.585,153.56,127223,2020-01-06 06:00:00,MORN
153.05,154.41,151.73,151.8,48611,2020-01-07 06:00:00,MORN
151.88,153.62,151.88,152.74,62122,2020-01-08 06:00:00,MORN
153.32,155.7,152.99,153.93,29479,2020-01-09 06:00:00,MORN
153.94,155.89,153.08,155.64,62836,2020-01-10 06:00:00,MORN
155.67,158.15,155.58,158.08,56620,2020-01-13 06:00:00,MORN
157.95,165.88,156.7,157.14,76741,2020-01-14 06:00:00,MORN
157.11,159.47,155.905,158.1,43071,2020-01-15 06:00:00,MORN
158.8,160.72,158.4379,159.97,46820,2020-01-16 06:00:00,MORN
160.41,161.98,158.17,158.68,44591,2020-01-17 06:00:00,MORN
157.83,159.49,157.83,158.85,120868,2020-01-21 06:00:00,MORN
159.71,160.05,158.42,159.04,43758,2020-01-22 06:00:00,MORN
158.92,158.92,157.17,157.17,67317,2020-01-23 06:00:00,MORN
157.31,158.74,156.5,156.69,28723,2020-01-24 06:00:00,MORN
154.38,157.7,154.38,157.14,42118,2020-01-27 06:00:00,MORN
157.69,158.4,156.515,157.17,45384,2020-01-28 06:00:00,MORN
157.65,158.31,155.4101,156.89,45956,2020-01-29 06:00:00,MORN
156.54,159.61,156.1911,159.34,40593,2020-01-30 06:00:00,MORN
159.3,159.43,156.15,156.89,34062,2020-01-31 06:00:00,MORN
156.84,161.24,156.84,160.11,57816,2020-02-03 06:00:00,MORN
161.05,163.89,159.42,159.73,79441,2020-02-04 06:00:00,MORN
160.94,162.47,157.9055,158.69,56925,2020-02-05 06:00:00,MORN
159.08,159.995,157.485,158.83,52800,2020-02-06 06:00:00,MORN
158.73,158.73,156.34,157.39,38434,2020-02-07 06:00:00,MORN
156.94,157.99,156.49,157.85,37452,2020-02-10 06:00:00,MORN
158.0,159.195,156.46,157.22,38832,2020-02-11 06:00:00,MORN
157.78,157.78,155.95,156.32,35991,2020-02-12 06:00:00,MORN
155.95,157.385,154.93,157.1,50731,2020-02-13 06:00:00,MORN
157.79,158.85,156.36,158.24,37662,2020-02-14 06:00:00,MORN
158.2,161.96,157.79,161.84,74407,2020-02-18 06:00:00,MORN
162.47,166.03,162.47,165.72,69676,2020-02-19 06:00:00,MORN
165.61,166.59,162.65,164.72,79831,2020-02-20 06:00:00,MORN
163.74,163.74,157.93,161.56,64681,2020-02-21 06:00:00,MORN
158.28,160.38,156.8,159.09,50150,2020-02-24 06:00:00,MORN
159.19,159.19,154.32,155.18,53322,2020-02-25 06:00:00,MORN
155.36,159.34,154.56,155.13,61929,2020-02-26 06:00:00,MORN
150.69,152.87,146.14,146.14,45570,2020-02-27 06:00:00,MORN
142.97,147.71,140.0,146.9,218037,2020-02-28 06:00:00,MORN
147.13,149.55,144.76,149.44,127312,2020-03-02 06:00:00,MORN
147.5,151.29,142.9,145.0,87413,2020-03-03 06:00:00,MORN
146.97,148.16,143.84,146.37,100237,2020-03-04 06:00:00,MORN
143.67,144.5,139.65,140.33,51393,2020-03-05 06:00:00,MORN
136.61,142.03,135.395,139.47,84887,2020-03-06 06:00:00,MORN
133.31,134.19,130.02,131.42,86244,2020-03-09 05:00:00,MORN
133.54,135.33,130.489,135.29,116689,2020-03-10 05:00:00,MORN
132.78,134.45,125.42,125.42,94096,2020-03-11 05:00:00,MORN
120.29,122.0,114.315,115.09,159081,2020-03-12 05:00:00,MORN
117.17,120.76,113.64,120.46,197661,2020-03-13 05:00:00,MORN
109.97,116.48,107.6662,108.28,104785,2020-03-16 05:00:00,MORN
109.46,124.25,107.645,113.87,188218,2020-03-17 05:00:00,MORN
107.75,111.45,103.0,107.69,165569,2020-03-18 05:00:00,MORN
106.94,113.6199,105.4405,109.91,149626,2020-03-19 05:00:00,MORN
110.53,115.87,105.38,107.02,113134,2020-03-20 05:00:00,MORN
106.5,110.925,102.59,108.06,188967,2020-03-23 05:00:00,MORN
111.18,115.36,107.84,114.41,113585,2020-03-24 05:00:00,MORN
112.42,124.225,112.42,117.27,131177,2020-03-25 05:00:00,MORN
114.54,121.86,114.54,118.48,129960,2020-03-26 05:00:00,MORN
115.01,122.42,114.96,117.08,87253,2020-03-27 05:00:00,MORN
117.9,121.92,114.09,117.32,86229,2020-03-30 05:00:00,MORN
117.0,117.94,115.41,116.25,110779,2020-03-31 05:00:00,MORN
112.95,116.84,110.44,115.77,170834,2020-04-01 05:00:00,MORN
115.44,116.62,111.64,112.5,80413,2020-04-02 05:00:00,MORN
112.94,113.215,109.245,110.6,147473,2020-04-03 05:00:00,MORN
112.63,114.98,110.83,114.63,326699,2020-04-06 05:00:00,MORN
118.66,122.97,116.55,118.81,157872,2020-04-07 05:00:00,MORN
120.95,123.8,118.1553,123.2,86335,2020-04-08 05:00:00,MORN
125.12,125.12,120.35,124.15,174047,2020-04-09 05:00:00,MORN
123.2,124.97,121.5855,123.6,57705,2020-04-13 05:00:00,MORN
124.33,128.98,124.33,128.24,123939,2020-04-14 05:00:00,MORN
125.53,132.9,124.96,130.6,94625,2020-04-15 05:00:00,MORN
131.32,133.3105,129.16,130.42,166275,2020-04-16 05:00:00,MORN
133.71,135.08,132.18,132.45,109911,2020-04-17 05:00:00,MORN
131.69,134.3,131.34,132.34,269194,2020-04-20 05:00:00,MORN
131.53,136.58,128.78,134.88,108637,2020-04-21 05:00:00,MORN
136.85,136.85,133.46,135.89,59264,2020-04-22 05:00:00,MORN
136.67,137.31,135.17,135.49,49625,2020-04-23 05:00:00,MORN
135.61,139.53,135.17,139.29,88129,2020-04-24 05:00:00,MORN
140.76,144.9965,140.76,141.84,84330,2020-04-27 05:00:00,MORN
143.73,146.48,141.4,143.1,85427,2020-04-28 05:00:00,MORN
145.86,147.13,143.54,145.89,126592,2020-04-29 05:00:00,MORN
145.54,165.185,143.4,155.96,198689,2020-04-30 05:00:00,MORN
152.54,154.065,150.27,151.44,178959,2020-05-01 05:00:00,MORN
151.29,151.29,147.27,148.47,181467,2020-05-04 05:00:00,MORN
147.88,150.0,146.025,146.79,227222,2020-05-05 05:00:00,MORN
146.79,148.16,145.02,145.25,86162,2020-05-06 05:00:00,MORN
146.28,148.3,141.06,142.64,141065,2020-05-07 05:00:00,MORN
143.89,145.72,141.44,143.12,77080,2020-05-08 05:00:00,MORN
142.33,146.4,142.33,144.18,77888,2020-05-11 05:00:00,MORN
146.4,147.2,144.27,145.12,100484,2020-05-12 05:00:00,MORN
145.0,147.0,143.85,144.89,164257,2020-05-13 05:00:00,MORN
144.06,145.44,142.78,145.34,84326,2020-05-14 05:00:00,MORN
145.33,149.2,142.84,145.1,129657,2020-05-15 05:00:00,MORN
144.51,146.5,142.79,143.16,82073,2020-05-18 05:00:00,MORN
142.3,145.19,141.46,141.95,101053,2020-05-19 05:00:00,MORN
142.63,144.2,141.14,141.54,96785,2020-05-20 05:00:00,MORN
140.55,143.48,139.345,142.52,95223,2020-05-21 05:00:00,MORN
142.83,142.83,140.79,141.39,48354,2020-05-22 05:00:00,MORN
143.12,143.12,139.49,141.0,100644,2020-05-26 05:00:00,MORN
142.38,144.99,141.4386,144.99,79436,2020-05-27 05:00:00,MORN
147.77,151.76,144.87,150.41,149260,2020-05-28 05:00:00,MORN
150.09,154.02,148.42,153.32,161567,2020-05-29 05:00:00,MORN
152.69,155.65,150.4,153.27,82352,2020-06-01 05:00:00,MORN
153.99,154.92,151.02,152.11,59056,2020-06-02 05:00:00,MORN
153.07,154.52,152.02,153.59,68872,2020-06-03 05:00:00,MORN
152.65,153.87,148.88,149.98,72286,2020-06-04 05:00:00,MORN
152.04,154.38,148.525,150.58,79020,2020-06-05 05:00:00,MORN
150.93,153.64,149.35,152.17,89459,2020-06-08 05:00:00,MORN
152.18,154.62,150.07,154.11,96859,2020-06-09 05:00:00,MORN
153.95,153.95,148.62,149.75,80577,2020-06-10 05:00:00,MORN
148.35,148.78,143.33,143.35,76809,2020-06-11 05:00:00,MORN
145.82,146.84,141.85,144.46,85286,2020-06-12 05:00:00,MORN
143.46,148.1,141.0,147.47,81515,2020-06-15 05:00:00,MORN
149.67,152.29,145.9,146.89,74902,2020-06-16 05:00:00,MORN
146.98,155.0,146.98,150.54,126654,2020-06-17 05:00:00,MORN
148.98,150.88,148.31,150.16,92785,2020-06-18 05:00:00,MORN
151.63,153.37,149.77,151.54,113338,2020-06-19 05:00:00,MORN
150.54,151.91,148.7,150.22,59349,2020-06-22 05:00:00,MORN
151.08,151.5673,148.32,148.51,50969,2020-06-23 05:00:00,MORN
147.4,148.45,143.33,144.2,100839,2020-06-24 05:00:00,MORN
143.89,144.2,141.96,143.89,144684,2020-06-25 05:00:00,MORN
143.26,144.26,141.89,143.2,349574,2020-06-26 05:00:00,MORN
143.42,144.09,139.82,140.63,159451,2020-06-29 05:00:00,MORN
139.57,141.91,139.19,140.97,209543,2020-06-30 05:00:00,MORN
140.37,150.91,140.37,149.42,185402,2020-07-01 05:00:00,MORN
150.54,151.06,144.84,146.02,75012,2020-07-02 05:00:00,MORN
146.27,150.925,146.27,150.13,86901,2020-07-06 05:00:00,MORN
149.95,150.585,148.0559,149.28,82449,2020-07-07 05:00:00,MORN
150.09,151.71,149.14,150.44,50492,2020-07-08 05:00:00,MORN
150.83,151.98,148.55,148.75,44029,2020-07-09 05:00:00,MORN
149.16,150.26,147.0,149.99,53961,2020-07-10 05:00:00,MORN
150.46,153.93,149.48,150.02,88689,2020-07-13 05:00:00,MORN
