open,high,low,close,volume,datetime,symbol
14.85,15.185,14.2,14.35,147682,2019-12-31 06:00:00,REPL
14.61,14.99,14.01,14.62,129660,2020-01-02 06:00:00,REPL
14.4,15.03,14.4,14.91,114361,2020-01-03 06:00:00,REPL
15.0,15.71,14.8138,15.47,234186,2020-01-06 06:00:00,REPL
15.38,16.0,15.065,15.75,136032,2020-01-07 06:00:00,REPL
15.75,16.14,15.34,15.89,113698,2020-01-08 06:00:00,REPL
16.0,16.5966,15.9317,16.46,60387,2020-01-09 06:00:00,REPL
16.55,18.15,16.29,17.77,131651,2020-01-10 06:00:00,REPL
17.92,18.0,17.25,17.81,92356,2020-01-13 06:00:00,REPL
17.81,18.47,17.7,17.98,103448,2020-01-14 06:00:00,REPL
18.04,18.5,17.7338,18.27,68286,2020-01-15 06:00:00,REPL
18.49,19.23,18.3,19.08,86285,2020-01-16 06:00:00,REPL
19.31,19.66,18.815,18.93,368441,2020-01-17 06:00:00,REPL
18.8,18.93,17.98,18.23,208895,2020-01-21 06:00:00,REPL
18.3,18.5,17.542,17.6,460964,2020-01-22 06:00:00,REPL
17.6,18.19,17.25,17.97,83003,2020-01-23 06:00:00,REPL
18.0,18.0,17.08,17.37,86331,2020-01-24 06:00:00,REPL
16.88,17.215,16.47,16.98,80078,2020-01-27 06:00:00,REPL
17.18,18.1,17.13,17.9,74359,2020-01-28 06:00:00,REPL
17.71,18.03,16.54,16.7,44873,2020-01-29 06:00:00,REPL
16.5,16.53,15.49,15.91,71926,2020-01-30 06:00:00,REPL
15.87,16.19,15.6545,15.9,63566,2020-01-31 06:00:00,REPL
16.01,17.07,15.9,16.79,79188,2020-02-03 06:00:00,REPL
17.14,17.84,16.9332,17.65,69739,2020-02-04 06:00:00,REPL
17.98,18.6,17.695,17.93,53427,2020-02-05 06:00:00,REPL
18.1,18.1,16.97,17.02,82255,2020-02-06 06:00:00,REPL
17.11,17.11,16.55,16.75,30847,2020-02-07 06:00:00,REPL
16.52,17.29,16.3731,17.0,39169,2020-02-10 06:00:00,REPL
17.28,19.055,17.15,18.45,111016,2020-02-11 06:00:00,REPL
18.4,18.4,16.6,17.13,208748,2020-02-12 06:00:00,REPL
17.11,17.25,16.655,16.99,82015,2020-02-13 06:00:00,REPL
16.82,17.13,16.5427,16.85,67693,2020-02-14 06:00:00,REPL
16.89,17.18,16.03,16.89,47816,2020-02-18 06:00:00,REPL
16.93,17.13,16.66,17.09,58324,2020-02-19 06:00:00,REPL
17.07,17.41,16.485,16.84,116685,2020-02-20 06:00:00,REPL
16.79,17.065,16.27,16.57,57459,2020-02-21 06:00:00,REPL
15.81,16.58,15.4755,16.53,86744,2020-02-24 06:00:00,REPL
16.66,16.66,15.03,15.67,58711,2020-02-25 06:00:00,REPL
15.77,15.89,14.81,15.11,109859,2020-02-26 06:00:00,REPL
14.72,15.1,14.04,14.04,55425,2020-02-27 06:00:00,REPL
13.75,14.0658,12.98,13.87,146215,2020-02-28 06:00:00,REPL
13.97,14.79,13.527,14.69,92506,2020-03-02 06:00:00,REPL
14.64,15.0,13.995,14.71,196776,2020-03-03 06:00:00,REPL
15.05,15.09,14.61,14.71,96389,2020-03-04 06:00:00,REPL
14.27,14.39,13.16,13.42,93698,2020-03-05 06:00:00,REPL
13.1,13.99,13.05,13.79,48099,2020-03-06 06:00:00,REPL
