open,high,low,close,volume,datetime,symbol
138.66,140.07,138.25,138.87,1142605,2019-12-31 06:00:00,WYNN
142.06,144.3899,141.75,143.6,2983699,2020-01-02 06:00:00,WYNN
140.85,142.27,139.94,141.47,1760543,2020-01-03 06:00:00,WYNN
139.2,141.38,139.05,141.19,1357897,2020-01-06 06:00:00,WYNN
140.82,142.27,140.15,141.86,1724430,2020-01-07 06:00:00,WYNN
140.84,143.77,140.29,142.75,1176172,2020-01-08 06:00:00,WYNN
143.74,143.8693,141.53,142.15,1203968,2020-01-09 06:00:00,WYNN
143.08,148.0,141.85,143.01,2180574,2020-01-10 06:00:00,WYNN
143.85,147.88,143.5,147.21,1820155,2020-01-13 06:00:00,WYNN
149.39,150.74,147.18,150.03,2227451,2020-01-14 06:00:00,WYNN
149.28,150.77,149.08,150.025,1913029,2020-01-15 06:00:00,WYNN
151.0,152.74,150.66,152.21,1639677,2020-01-16 06:00:00,WYNN
152.69,153.41,150.72,151.62,2177760,2020-01-17 06:00:00,WYNN
143.14,145.3,140.38,142.31,5409651,2020-01-21 06:00:00,WYNN
144.24,144.4,139.14,140.09,2903646,2020-01-22 06:00:00,WYNN
134.76,139.99,133.5,139.11,4867659,2020-01-23 06:00:00,WYNN
138.4,138.44,132.11,134.75,3988356,2020-01-24 06:00:00,WYNN
122.92,127.11,121.1,123.89,5826519,2020-01-27 06:00:00,WYNN
125.74,126.3999,121.83,124.97,4260350,2020-01-28 06:00:00,WYNN
125.3,125.8,123.0701,123.85,2324918,2020-01-29 06:00:00,WYNN
122.46,126.81,121.01,126.62,3611581,2020-01-30 06:00:00,WYNN
124.72,126.62,123.55,126.16,2379944,2020-01-31 06:00:00,WYNN
126.57,129.99,126.57,128.58,2503996,2020-02-03 06:00:00,WYNN
128.77,134.88,128.48,132.7,3969214,2020-02-04 06:00:00,WYNN
135.0,135.73,131.2,132.28,2170589,2020-02-05 06:00:00,WYNN
133.6,135.42,132.935,134.19,2544263,2020-02-06 06:00:00,WYNN
129.05,130.75,126.6,126.91,5615960,2020-02-07 06:00:00,WYNN
126.0,128.28,125.0,127.88,2908163,2020-02-10 06:00:00,WYNN
128.6,133.83,127.61,131.99,2948798,2020-02-11 06:00:00,WYNN
136.04,137.28,134.33,136.82,3640197,2020-02-12 06:00:00,WYNN
134.27,135.56,132.4518,133.62,3013599,2020-02-13 06:00:00,WYNN
133.35,133.47,130.77,132.14,1496553,2020-02-14 06:00:00,WYNN
132.23,134.08,130.48,133.46,1581311,2020-02-18 06:00:00,WYNN
134.51,137.58,133.89,136.17,1781001,2020-02-19 06:00:00,WYNN
134.23,135.71,131.45,133.33,1849625,2020-02-20 06:00:00,WYNN
131.51,132.23,126.75,127.95,2853667,2020-02-21 06:00:00,WYNN
121.29,124.65,120.02,120.17,4549103,2020-02-24 06:00:00,WYNN
121.15,121.5,112.96,113.89,4285364,2020-02-25 06:00:00,WYNN
115.44,117.8605,110.27,110.75,4158872,2020-02-26 06:00:00,WYNN
109.21,115.91,103.9,111.16,5670093,2020-02-27 06:00:00,WYNN
