open,high,low,close,volume,datetime,symbol
10.11,10.11,10.11,10.11,114,2020-09-14 13:25:00,BLPH
10.11,10.12,10.11,10.11,2793,2020-09-14 13:30:00,BLPH
10.25,10.2897,10.21,10.2897,949,2020-09-14 13:35:00,BLPH
10.33,10.33,10.33,10.33,200,2020-09-14 13:40:00,BLPH
10.275,10.275,10.21,10.21,1216,2020-09-14 13:50:00,BLPH
10.13,10.13,10.07,10.115,1232,2020-09-14 13:55:00,BLPH
10.15,10.15,10.15,10.15,457,2020-09-14 14:00:00,BLPH
10.16,10.22,10.15,10.22,532,2020-09-14 14:05:00,BLPH
10.2,10.2,10.195,10.195,200,2020-09-14 14:15:00,BLPH
10.16,10.16,10.16,10.16,100,2020-09-14 14:25:00,BLPH
10.19,10.44,10.19,10.405,3448,2020-09-14 14:30:00,BLPH
10.32,10.3216,10.32,10.32,909,2020-09-14 14:40:00,BLPH
10.18,10.2073,10.15,10.2,1500,2020-09-14 15:05:00,BLPH
10.22,10.27,10.22,10.27,1514,2020-09-14 15:10:00,BLPH
10.31,10.39,10.31,10.39,2446,2020-09-14 15:20:00,BLPH
10.39,10.44,10.38,10.44,3490,2020-09-14 15:30:00,BLPH
10.47,10.47,10.47,10.47,107,2020-09-14 15:45:00,BLPH
10.465,10.5,10.465,10.5,200,2020-09-14 15:50:00,BLPH
10.5,10.5,10.49,10.49,200,2020-09-14 15:55:00,BLPH
10.5451,10.5451,10.5451,10.5451,100,2020-09-14 16:00:00,BLPH
10.5466,10.57,10.54,10.54,1200,2020-09-14 16:05:00,BLPH
10.53,10.54,10.52,10.52,839,2020-09-14 16:10:00,BLPH
10.51,10.52,10.51,10.52,300,2020-09-14 16:35:00,BLPH
10.56,10.6,10.56,10.6,472,2020-09-14 16:40:00,BLPH
10.56,10.66,10.56,10.66,2598,2020-09-14 16:45:00,BLPH
10.66,10.66,10.65,10.66,488,2020-09-14 16:50:00,BLPH
10.68,10.68,10.65,10.66,1008,2020-09-14 16:55:00,BLPH
10.65,10.65,10.65,10.65,671,2020-09-14 17:05:00,BLPH
10.6,10.616,10.54,10.581,1922,2020-09-14 17:10:00,BLPH
10.5273,10.54,10.52,10.53,2100,2020-09-14 17:20:00,BLPH
10.5,10.5,10.5,10.5,200,2020-09-14 17:25:00,BLPH
10.5,10.5,10.4998,10.4998,679,2020-09-14 17:30:00,BLPH
10.5,10.515,10.49,10.49,700,2020-09-14 17:35:00,BLPH
10.5,10.5,10.47,10.48,703,2020-09-14 17:40:00,BLPH
10.43,10.434,10.43,10.434,518,2020-09-14 17:45:00,BLPH
10.43,10.43,10.43,10.43,100,2020-09-14 17:50:00,BLPH
10.47,10.47,10.47,10.47,200,2020-09-14 18:10:00,BLPH
10.48,10.59,10.48,10.59,3114,2020-09-14 18:30:00,BLPH
10.6073,10.6701,10.6073,10.67,900,2020-09-14 18:35:00,BLPH
10.69,10.69,10.69,10.69,100,2020-09-14 18:40:00,BLPH
10.66,10.66,10.54,10.57,1915,2020-09-14 18:45:00,BLPH
10.57,10.57,10.57,10.57,100,2020-09-14 18:55:00,BLPH
10.49,10.49,10.49,10.49,304,2020-09-14 19:15:00,BLPH
10.53,10.53,10.53,10.53,100,2020-09-14 19:20:00,BLPH
10.5592,10.5592,10.5592,10.5592,500,2020-09-14 19:35:00,BLPH
10.58,10.6,10.58,10.6,508,2020-09-14 19:40:00,BLPH
10.6,10.6,10.5342,10.57,1002,2020-09-14 19:45:00,BLPH
10.55,10.55,10.55,10.55,200,2020-09-14 19:50:00,BLPH
10.54,10.57,10.5,10.57,2284,2020-09-14 19:55:00,BLPH
10.53,10.53,10.53,10.53,2606,2020-09-14 20:00:00,BLPH
10.75,10.9,10.75,10.7841,3929,2020-09-15 13:30:00,BLPH
10.79,10.91,10.785,10.785,2300,2020-09-15 13:35:00,BLPH
10.86,10.87,10.8,10.8,2077,2020-09-15 13:40:00,BLPH
10.78,10.78,10.71,10.71,504,2020-09-15 13:50:00,BLPH
10.73,10.73,10.69,10.71,492,2020-09-15 14:00:00,BLPH
10.73,10.73,10.73,10.73,100,2020-09-15 14:10:00,BLPH
10.715,10.715,10.69,10.69,1877,2020-09-15 14:15:00,BLPH
10.66,10.66,10.57,10.57,726,2020-09-15 14:20:00,BLPH
10.5522,10.5522,10.54,10.54,480,2020-09-15 14:30:00,BLPH
10.56,10.63,10.56,10.63,1490,2020-09-15 14:35:00,BLPH
10.77,10.85,10.77,10.85,1000,2020-09-15 15:05:00,BLPH
10.8,10.8,10.8,10.8,442,2020-09-15 15:15:00,BLPH
10.75,10.8,10.75,10.8,600,2020-09-15 15:25:00,BLPH
10.84,10.84,10.84,10.84,100,2020-09-15 15:35:00,BLPH
10.81,10.81,10.81,10.81,100,2020-09-15 15:40:00,BLPH
