open,high,low,close,volume,datetime,symbol
3.924,3.925,3.9201,3.925,2900,2020-09-14 15:05:00,DUOT
3.86,3.86,3.85,3.85,1800,2020-09-14 15:10:00,DUOT
3.99,3.99,3.99,3.99,400,2020-09-14 15:30:00,DUOT
4.04,4.04,4.03,4.03,400,2020-09-14 16:00:00,DUOT
4.03,4.03,4.03,4.03,200,2020-09-14 16:10:00,DUOT
4.2,4.2,4.2,4.2,200,2020-09-14 17:25:00,DUOT
4.23,4.23,4.23,4.23,400,2020-09-14 17:35:00,DUOT
4.17,4.17,4.17,4.17,200,2020-09-14 18:10:00,DUOT
4.17,4.17,4.17,4.17,200,2020-09-14 18:45:00,DUOT
4.2,4.2,4.2,4.2,200,2020-09-14 19:00:00,DUOT
4.24,4.24,4.24,4.24,200,2020-09-14 19:55:00,DUOT
4.3,4.3001,4.3,4.3,5844,2020-09-15 13:15:00,DUOT
4.22,4.32,4.22,4.3,2288,2020-09-15 13:30:00,DUOT
4.0301,4.0301,4.0301,4.0301,2000,2020-09-15 13:55:00,DUOT
4.08,4.12,4.08,4.12,400,2020-09-15 14:05:00,DUOT
4.12,4.12,4.12,4.12,400,2020-09-15 14:10:00,DUOT
4.08,4.08,4.0,4.0,18424,2020-09-15 14:15:00,DUOT
3.99,3.99,3.99,3.99,800,2020-09-15 14:45:00,DUOT
3.9,3.9,3.9,3.9,2000,2020-09-15 17:10:00,DUOT
3.93,3.95,3.93,3.95,3342,2020-09-15 17:20:00,DUOT
3.99,3.99,3.99,3.99,200,2020-09-15 17:40:00,DUOT
3.975,4.0,3.975,4.0,8892,2020-09-15 18:20:00,DUOT
4.0,4.0,4.0,4.0,1454,2020-09-15 18:25:00,DUOT
4.04,4.04,4.04,4.04,200,2020-09-15 19:00:00,DUOT
4.0,4.0,4.0,4.0,286,2020-09-15 19:05:00,DUOT
4.04,4.04,4.04,4.04,200,2020-09-15 19:35:00,DUOT
3.98,4.0,3.98,4.0,600,2020-09-15 19:45:00,DUOT
4.03,4.03,3.98,3.98,400,2020-09-15 19:50:00,DUOT
3.9601,3.9998,3.96,3.96,6800,2020-09-15 19:55:00,DUOT
3.89,4.15,3.89,4.15,478,2020-09-16 13:30:00,DUOT
4.06,4.06,4.06,4.06,400,2020-09-16 15:15:00,DUOT
3.99,3.99,3.99,3.99,200,2020-09-16 19:50:00,DUOT
3.98,3.98,3.95,3.95,1400,2020-09-16 19:55:00,DUOT
3.93,3.93,3.93,3.93,8552,2020-09-16 20:00:00,DUOT
3.86,3.86,3.86,3.86,250,2020-09-17 13:30:00,DUOT
4.05,4.05,4.05,4.05,600,2020-09-17 13:45:00,DUOT
3.99,3.99,3.99,3.99,400,2020-09-17 14:50:00,DUOT
3.9,3.9,3.88,3.88,2048,2020-09-17 15:05:00,DUOT
3.88,3.94,3.88,3.94,10176,2020-09-17 16:35:00,DUOT
3.88,3.95,3.88,3.88,12400,2020-09-17 16:45:00,DUOT
3.85,3.85,3.85,3.85,2200,2020-09-17 16:55:00,DUOT
3.64,3.82,3.62,3.82,9916,2020-09-17 17:00:00,DUOT
3.8087,3.8087,3.8087,3.8087,1600,2020-09-17 18:20:00,DUOT
3.815,3.83,3.815,3.83,3200,2020-09-17 18:25:00,DUOT
3.915,3.915,3.915,3.915,1800,2020-09-17 18:30:00,DUOT
