open,high,low,close,volume,datetime,symbol
50.25,50.25,50.25,50.25,158,2020-09-14 08:15:00,LPSN
50.34,50.34,50.3,50.3,406,2020-09-14 08:20:00,LPSN
50.25,50.25,50.25,50.25,200,2020-09-14 08:25:00,LPSN
50.19,50.19,50.19,50.19,662,2020-09-14 08:40:00,LPSN
50.18,50.19,50.18,50.19,460,2020-09-14 10:35:00,LPSN
50.19,50.19,50.19,50.19,100,2020-09-14 11:00:00,LPSN
50.19,50.19,50.19,50.19,100,2020-09-14 11:40:00,LPSN
50.06,50.07,50.06,50.07,200,2020-09-14 12:35:00,LPSN
50.08,50.08,50.04,50.04,399,2020-09-14 13:00:00,LPSN
50.01,50.01,50.01,50.01,436,2020-09-14 13:05:00,LPSN
50.18,50.18,50.1,50.1,618,2020-09-14 13:10:00,LPSN
50.18,50.18,50.18,50.18,100,2020-09-14 13:20:00,LPSN
50.05,50.08,50.04,50.06,1626,2020-09-14 13:25:00,LPSN
50.01,50.16,49.81,50.16,16482,2020-09-14 13:30:00,LPSN
50.05,50.36,49.81,50.29,5322,2020-09-14 13:35:00,LPSN
50.22,50.4,50.185,50.32,1300,2020-09-14 13:40:00,LPSN
50.4016,50.985,50.4016,50.96,9283,2020-09-14 13:45:00,LPSN
50.95,50.965,50.65,50.65,8097,2020-09-14 13:50:00,LPSN
50.61,50.61,50.48,50.56,8463,2020-09-14 13:55:00,LPSN
50.55,50.7,50.375,50.375,6464,2020-09-14 14:00:00,LPSN
50.48,50.48,50.38,50.39,1800,2020-09-14 14:05:00,LPSN
50.495,50.64,50.41,50.48,2615,2020-09-14 14:10:00,LPSN
50.7,50.7,50.53,50.535,618,2020-09-14 14:15:00,LPSN
50.57,50.5884,50.47,50.55,4287,2020-09-14 14:20:00,LPSN
50.49,50.59,50.477,50.55,3686,2020-09-14 14:25:00,LPSN
50.53,50.59,50.35,50.59,1800,2020-09-14 14:30:00,LPSN
50.63,50.66,50.57,50.57,1600,2020-09-14 14:35:00,LPSN
50.51,50.58,50.46,50.55,3888,2020-09-14 14:40:00,LPSN
50.55,50.55,50.27,50.31,4996,2020-09-14 14:45:00,LPSN
50.27,50.39,50.2229,50.355,1200,2020-09-14 14:50:00,LPSN
50.41,50.5,50.3,50.46,3588,2020-09-14 14:55:00,LPSN
50.47,50.5,50.4202,50.47,10367,2020-09-14 15:00:00,LPSN
50.45,50.56,50.45,50.56,2238,2020-09-14 15:05:00,LPSN
50.37,50.39,50.31,50.32,905,2020-09-14 15:10:00,LPSN
50.36,50.37,50.318,50.318,500,2020-09-14 15:15:00,LPSN
50.37,50.43,50.35,50.39,900,2020-09-14 15:20:00,LPSN
50.33,50.34,50.245,50.31,1880,2020-09-14 15:25:00,LPSN
50.27,50.32,50.2,50.32,3740,2020-09-14 15:30:00,LPSN
50.34,50.44,50.33,50.44,620,2020-09-14 15:35:00,LPSN
50.42,50.45,50.39,50.43,720,2020-09-14 15:40:00,LPSN
50.415,50.42,50.35,50.39,1740,2020-09-14 15:45:00,LPSN
50.39,50.43,50.35,50.42,2035,2020-09-14 15:50:00,LPSN
50.33,50.33,50.195,50.195,1300,2020-09-14 15:55:00,LPSN
50.17,50.366,50.17,50.32,1805,2020-09-14 16:00:00,LPSN
50.31,50.31,50.19,50.19,1100,2020-09-14 16:05:00,LPSN
50.23,50.23,50.06,50.06,1000,2020-09-14 16:10:00,LPSN
50.06,50.09,49.88,49.88,2145,2020-09-14 16:15:00,LPSN
49.8,49.86,49.79,49.83,2222,2020-09-14 16:20:00,LPSN
49.94,49.955,49.83,49.87,1210,2020-09-14 16:25:00,LPSN
49.87,49.87,49.69,49.69,1675,2020-09-14 16:30:00,LPSN
49.69,49.7,49.69,49.7,521,2020-09-14 16:35:00,LPSN
49.7,49.755,49.66,49.69,1500,2020-09-14 16:40:00,LPSN
49.66,49.7,49.64,49.69,1600,2020-09-14 16:45:00,LPSN
49.5815,49.71,49.58,49.58,800,2020-09-14 16:50:00,LPSN
49.57,49.6698,49.56,49.6698,806,2020-09-14 16:55:00,LPSN
49.78,49.84,49.78,49.84,300,2020-09-14 17:00:00,LPSN
49.81,49.91,49.81,49.86,1400,2020-09-14 17:05:00,LPSN
49.85,49.85,49.8,49.8,1500,2020-09-14 17:10:00,LPSN
49.75,49.75,49.53,49.53,700,2020-09-14 17:15:00,LPSN
49.58,49.59,49.44,49.52,2511,2020-09-14 17:20:00,LPSN
49.54,49.66,49.54,49.61,1674,2020-09-14 17:25:00,LPSN
49.61,49.67,49.44,49.49,1109,2020-09-14 17:30:00,LPSN
49.53,49.53,49.48,49.48,600,2020-09-14 17:35:00,LPSN
49.58,49.66,49.55,49.63,2100,2020-09-14 17:40:00,LPSN
49.63,49.86,49.63,49.76,1850,2020-09-14 17:45:00,LPSN
49.72,49.75,49.7,49.73,1000,2020-09-14 17:50:00,LPSN
49.71,49.75,49.69,49.69,2050,2020-09-14 17:55:00,LPSN
49.63,49.67,49.63,49.67,500,2020-09-14 18:00:00,LPSN
49.76,49.92,49.76,49.82,2602,2020-09-14 18:05:00,LPSN
49.805,49.835,49.76,49.835,800,2020-09-14 18:10:00,LPSN
49.83,49.86,49.79,49.79,3613,2020-09-14 18:15:00,LPSN
49.8529,49.86,49.8,49.8,3125,2020-09-14 18:20:00,LPSN
49.78,49.79,49.63,49.69,1970,2020-09-14 18:25:00,LPSN
49.69,49.815,49.69,49.76,1600,2020-09-14 18:30:00,LPSN
49.74,49.78,49.74,49.78,400,2020-09-14 18:35:00,LPSN
49.845,49.86,49.71,49.83,2582,2020-09-14 18:40:00,LPSN
49.8,49.83,49.77,49.805,2255,2020-09-14 18:45:00,LPSN
49.86,49.915,49.81,49.81,1700,2020-09-14 18:50:00,LPSN
49.79,49.905,49.67,49.905,2600,2020-09-14 18:55:00,LPSN
49.925,50.041,49.88,49.99,4200,2020-09-14 19:00:00,LPSN
49.99,50.085,49.97,50.06,1300,2020-09-14 19:05:00,LPSN
