open,high,low,close,volume,datetime,symbol
5.14,5.14,5.14,5.14,40,2020-09-14 08:00:00,NCTY
5.49,5.49,5.49,5.49,18,2020-09-14 09:40:00,NCTY
5.3,5.3,5.3,5.3,99,2020-09-14 12:55:00,NCTY
5.25,5.25,5.25,5.25,210,2020-09-14 13:05:00,NCTY
5.398,5.4,5.3565,5.4,1185,2020-09-14 13:30:00,NCTY
5.387,5.4,5.369,5.4,108,2020-09-14 13:35:00,NCTY
5.361,5.778,5.361,5.754,3212,2020-09-14 13:40:00,NCTY
5.478,5.478,5.45,5.45,30,2020-09-14 13:45:00,NCTY
5.498,5.75004,5.498,5.5001,220,2020-09-14 13:50:00,NCTY
5.5,5.5,5.45,5.46,10850,2020-09-14 13:55:00,NCTY
5.451,5.475,5.451,5.475,50,2020-09-14 14:05:00,NCTY
5.487,5.487,5.487,5.487,30,2020-09-14 14:10:00,NCTY
5.475,5.497,5.45,5.4735,938,2020-09-14 14:15:00,NCTY
5.474,5.474,5.474,5.474,40,2020-09-14 14:20:00,NCTY
5.45,5.542,5.275,5.542,5369,2020-09-14 14:25:00,NCTY
5.662,5.6755,5.625,5.639,174,2020-09-14 14:30:00,NCTY
5.612,5.612,5.6,5.6,323,2020-09-14 14:35:00,NCTY
5.51,5.6,5.42,5.6,250,2020-09-14 14:40:00,NCTY
5.565,5.565,5.565,5.565,23,2020-09-14 14:50:00,NCTY
5.539,5.539,5.5,5.5,90,2020-09-14 15:00:00,NCTY
5.564,5.578,5.5,5.578,113,2020-09-14 15:05:00,NCTY
5.501,5.578,5.501,5.578,48,2020-09-14 15:15:00,NCTY
5.52,5.52,5.5,5.5,320,2020-09-14 15:25:00,NCTY
5.499,5.499,5.498,5.498,200,2020-09-14 15:40:00,NCTY
5.431,5.431,5.431,5.431,10,2020-09-14 15:50:00,NCTY
5.432,5.432,5.432,5.432,10,2020-09-14 15:55:00,NCTY
5.431,5.5055,5.431,5.5055,40,2020-09-14 16:15:00,NCTY
5.579,5.579,5.5775,5.5775,20,2020-09-14 16:20:00,NCTY
5.499,5.499,5.499,5.499,40,2020-09-14 16:50:00,NCTY
5.464,5.464,5.464,5.464,10,2020-09-14 17:20:00,NCTY
5.499,5.499,5.499,5.499,12,2020-09-14 17:50:00,NCTY
5.476,5.476,5.476,5.476,161,2020-09-14 18:15:00,NCTY
5.467,5.467,5.467,5.467,116,2020-09-14 18:20:00,NCTY
5.471,5.471,5.471,5.471,30,2020-09-14 18:25:00,NCTY
5.471,5.471,5.471,5.471,130,2020-09-14 18:30:00,NCTY
5.467,5.467,5.467,5.467,10,2020-09-14 18:45:00,NCTY
5.476,5.499,5.476,5.499,90,2020-09-14 18:50:00,NCTY
5.474,5.4865,5.465,5.46501,1270,2020-09-14 18:55:00,NCTY
5.482,5.491,5.465,5.4805,20635,2020-09-14 19:00:00,NCTY
5.499,5.548,5.25,5.452,20079,2020-09-14 19:05:00,NCTY
5.51739,5.51756,5.489,5.489,110,2020-09-14 19:30:00,NCTY
