open,high,low,close,volume,datetime,symbol
29.35,29.7,29.115,29.63,21008,2020-10-01 13:30:00,ACGL
29.59,29.64,29.45,29.535,11289,2020-10-01 13:35:00,ACGL
29.59,29.66,29.545,29.63,10528,2020-10-01 13:40:00,ACGL
29.62,29.67,29.575,29.6,22908,2020-10-01 13:45:00,ACGL
29.59,29.605,29.42,29.42,18030,2020-10-01 13:50:00,ACGL
29.42,29.47,29.41,29.45,21510,2020-10-01 13:55:00,ACGL
29.43,29.45,29.19,29.2,20679,2020-10-01 14:00:00,ACGL
29.19,29.25,29.155,29.2,7452,2020-10-01 14:05:00,ACGL
29.21,29.29,29.21,29.28,6800,2020-10-01 14:10:00,ACGL
29.28,29.34,29.22,29.25,10401,2020-10-01 14:15:00,ACGL
29.255,29.32,29.21,29.27,4359,2020-10-01 14:20:00,ACGL
29.27,29.3,29.215,29.29,5489,2020-10-01 14:25:00,ACGL
29.29,29.33,29.265,29.33,5803,2020-10-01 14:30:00,ACGL
29.38,29.42,29.36,29.37,4580,2020-10-01 14:35:00,ACGL
29.37,29.48,29.37,29.41,7136,2020-10-01 14:40:00,ACGL
29.41,29.43,29.4,29.415,7601,2020-10-01 14:45:00,ACGL
29.41,29.49,29.4,29.42,9684,2020-10-01 14:50:00,ACGL
29.435,29.485,29.4,29.485,7025,2020-10-01 14:55:00,ACGL
29.485,29.535,29.43,29.52,8608,2020-10-01 15:00:00,ACGL
29.51,29.51,29.45,29.46,6943,2020-10-01 15:05:00,ACGL
29.4677,29.49,29.415,29.49,5224,2020-10-01 15:10:00,ACGL
29.49,29.545,29.49,29.52,6196,2020-10-01 15:15:00,ACGL
29.52,29.545,29.52,29.535,7673,2020-10-01 15:20:00,ACGL
29.53,29.53,29.46,29.48,9299,2020-10-01 15:25:00,ACGL
29.49,29.51,29.48,29.51,4494,2020-10-01 15:30:00,ACGL
29.52,29.52,29.415,29.45,6710,2020-10-01 15:35:00,ACGL
29.44,29.475,29.42,29.46,4008,2020-10-01 15:40:00,ACGL
29.47,29.505,29.45,29.47,4844,2020-10-01 15:45:00,ACGL
29.46,29.535,29.453,29.53,5161,2020-10-01 15:50:00,ACGL
29.535,29.57,29.525,29.56,5865,2020-10-01 15:55:00,ACGL
29.545,29.545,29.465,29.54,4100,2020-10-01 16:00:00,ACGL
29.5311,29.59,29.53,29.59,9746,2020-10-01 16:05:00,ACGL
29.58,29.65,29.58,29.63,4006,2020-10-01 16:10:00,ACGL
29.63,29.63,29.545,29.545,5991,2020-10-01 16:15:00,ACGL
29.56,29.615,29.56,29.615,23580,2020-10-01 16:20:00,ACGL
29.61,29.635,29.6,29.635,3299,2020-10-01 16:25:00,ACGL
29.635,29.635,29.575,29.575,2896,2020-10-01 16:30:00,ACGL
29.58,29.6,29.54,29.54,7545,2020-10-01 16:35:00,ACGL
29.53,29.605,29.53,29.605,4437,2020-10-01 16:40:00,ACGL
29.605,29.605,29.505,29.505,5453,2020-10-01 16:45:00,ACGL
29.505,29.51,29.47,29.47,3503,2020-10-01 16:50:00,ACGL
29.475,29.5259,29.475,29.525,8033,2020-10-01 16:55:00,ACGL
29.515,29.515,29.49,29.505,2884,2020-10-01 17:00:00,ACGL
29.505,29.555,29.495,29.545,14221,2020-10-01 17:05:00,ACGL
29.545,29.545,29.47,29.47,12038,2020-10-01 17:10:00,ACGL
29.48,29.5,29.47,29.49,5307,2020-10-01 17:15:00,ACGL
29.495,29.515,29.47,29.49,6314,2020-10-01 17:20:00,ACGL
29.485,29.495,29.47,29.48,6600,2020-10-01 17:25:00,ACGL
29.48,29.495,29.4675,29.49,10221,2020-10-01 17:30:00,ACGL
29.49,29.51,29.465,29.47,7322,2020-10-01 17:35:00,ACGL
29.471,29.475,29.401,29.41,4719,2020-10-01 17:40:00,ACGL
29.41,29.43,29.342,29.345,5250,2020-10-01 17:45:00,ACGL
29.35,29.385,29.345,29.345,5519,2020-10-01 17:50:00,ACGL
29.34,29.35,29.25,29.27,12905,2020-10-01 17:55:00,ACGL
29.29,29.32,29.13,29.23,64631,2020-10-01 18:00:00,ACGL
29.22,29.265,29.19,29.21,8534,2020-10-01 18:05:00,ACGL
29.21,29.21,29.15,29.2,2863,2020-10-01 18:10:00,ACGL
29.18,29.19,29.13,29.19,3781,2020-10-01 18:15:00,ACGL
29.19,29.24,29.16,29.24,5045,2020-10-01 18:20:00,ACGL
29.27,29.33,29.255,29.31,5805,2020-10-01 18:25:00,ACGL
29.32,29.335,29.3,29.335,3647,2020-10-01 18:30:00,ACGL
29.32,29.36,29.32,29.35,4359,2020-10-01 18:35:00,ACGL
29.35,29.37,29.295,29.37,3267,2020-10-01 18:40:00,ACGL
29.365,29.365,29.32,29.34,4466,2020-10-01 18:45:00,ACGL
29.34,29.395,29.34,29.3528,5592,2020-10-01 18:50:00,ACGL
29.36,29.365,29.33,29.34,3961,2020-10-01 18:55:00,ACGL
29.34,29.39,29.32,29.33,16319,2020-10-01 19:00:00,ACGL
29.32,29.32,29.3035,29.32,4481,2020-10-01 19:05:00,ACGL
29.335,29.35,29.315,29.315,4144,2020-10-01 19:10:00,ACGL
29.32,29.32,29.275,29.29,5250,2020-10-01 19:15:00,ACGL
29.285,29.285,29.23,29.275,6489,2020-10-01 19:20:00,ACGL
29.27,29.275,29.245,29.275,7147,2020-10-01 19:25:00,ACGL
29.27,29.28,29.245,29.27,9454,2020-10-01 19:30:00,ACGL
29.27,29.28,29.22,29.255,11843,2020-10-01 19:35:00,ACGL
29.25,29.265,29.225,29.23,5867,2020-10-01 19:40:00,ACGL
29.23,29.29,29.23,29.28,9901,2020-10-01 19:45:00,ACGL
29.28,29.39,29.28,29.39,29382,2020-10-01 19:50:00,ACGL
29.39,29.43,29.36,29.415,56055,2020-10-01 19:55:00,ACGL
29.4,29.4,29.4,29.4,260512,2020-10-01 20:00:00,ACGL
28.86,29.17,28.6,29.17,25727,2020-10-02 13:30:00,ACGL
29.19,29.22,29.1,29.205,3535,2020-10-02 13:35:00,ACGL
29.22,29.22,29.1,29.1,3400,2020-10-02 13:40:00,ACGL
29.06,29.14,29.06,29.14,2700,2020-10-02 13:45:00,ACGL
29.15,29.15,29.03,29.08,3344,2020-10-02 13:50:00,ACGL
29.09,29.15,29.06,29.15,1935,2020-10-02 13:55:00,ACGL
29.24,29.3,29.2,29.24,3169,2020-10-02 14:00:00,ACGL
29.24,29.41,29.24,29.35,4019,2020-10-02 14:05:00,ACGL
29.35,29.36,29.26,29.26,1600,2020-10-02 14:10:00,ACGL
29.28,29.3,29.27,29.3,4854,2020-10-02 14:15:00,ACGL
29.295,29.3,29.215,29.23,1420,2020-10-02 14:20:00,ACGL
29.28,29.365,29.27,29.34,3597,2020-10-02 14:25:00,ACGL
29.33,29.33,29.28,29.325,4944,2020-10-02 14:30:00,ACGL
29.31,29.32,29.21,29.21,3000,2020-10-02 14:35:00,ACGL
29.2,29.22,29.2,29.205,2376,2020-10-02 14:40:00,ACGL
29.2,29.26,29.2,29.25,2600,2020-10-02 14:45:00,ACGL
29.25,29.32,29.25,29.31,4900,2020-10-02 14:50:00,ACGL
29.33,29.33,29.27,29.27,2597,2020-10-02 14:55:00,ACGL
29.25,29.3283,29.24,29.31,2350,2020-10-02 15:00:00,ACGL
29.3,29.34,29.28,29.33,2469,2020-10-02 15:05:00,ACGL
29.32,29.36,29.3,29.32,9081,2020-10-02 15:10:00,ACGL
29.33,29.42,29.29,29.42,3540,2020-10-02 15:15:00,ACGL
29.41,29.48,29.41,29.48,4422,2020-10-02 15:20:00,ACGL
29.49,29.53,29.45,29.5,3710,2020-10-02 15:25:00,ACGL
29.515,29.515,29.41,29.43,3305,2020-10-02 15:30:00,ACGL
29.45,29.4582,29.43,29.44,2614,2020-10-02 15:35:00,ACGL
29.42,29.495,29.42,29.45,2553,2020-10-02 15:40:00,ACGL
29.445,29.505,29.445,29.505,2000,2020-10-02 15:45:00,ACGL
29.505,29.51,29.44,29.44,9895,2020-10-02 15:50:00,ACGL
29.43,29.43,29.35,29.38,5022,2020-10-02 15:55:00,ACGL
29.39,29.44,29.39,29.42,1725,2020-10-02 16:00:00,ACGL
29.39,29.58,29.39,29.58,4516,2020-10-02 16:05:00,ACGL
29.59,29.78,29.59,29.69,14810,2020-10-02 16:10:00,ACGL
29.69,29.78,29.68,29.77,4853,2020-10-02 16:15:00,ACGL
29.795,29.84,29.69,29.71,7398,2020-10-02 16:20:00,ACGL
29.72,29.745,29.71,29.71,4227,2020-10-02 16:25:00,ACGL
29.72,29.76,29.72,29.76,2779,2020-10-02 16:30:00,ACGL
29.76,29.8,29.73,29.78,5741,2020-10-02 16:35:00,ACGL
29.78,29.81,29.77,29.78,16288,2020-10-02 16:40:00,ACGL
29.79,29.79,29.72,29.7569,10783,2020-10-02 16:45:00,ACGL
29.76,29.77,29.71,29.74,10786,2020-10-02 16:50:00,ACGL
29.725,29.82,29.71,29.805,3349,2020-10-02 16:55:00,ACGL
29.82,29.85,29.82,29.83,3110,2020-10-02 17:00:00,ACGL
29.82,29.85,29.81,29.85,4106,2020-10-02 17:05:00,ACGL
29.86,29.9,29.85,29.85,2700,2020-10-02 17:10:00,ACGL
29.86,29.87,29.84,29.865,1600,2020-10-02 17:15:00,ACGL
29.85,29.91,29.85,29.91,1895,2020-10-02 17:20:00,ACGL
29.92,29.94,29.91,29.91,1200,2020-10-02 17:25:00,ACGL
29.89,29.89,29.76,29.77,5362,2020-10-02 17:30:00,ACGL
29.77,29.81,29.77,29.8,3901,2020-10-02 17:35:00,ACGL
29.8,29.8,29.66,29.68,9502,2020-10-02 17:40:00,ACGL
29.66,29.68,29.6,29.6,4623,2020-10-02 17:45:00,ACGL
29.61,29.61,29.57,29.58,1950,2020-10-02 17:50:00,ACGL
29.59,29.62,29.59,29.61,4550,2020-10-02 17:55:00,ACGL
29.625,29.69,29.625,29.67,1400,2020-10-02 18:00:00,ACGL
29.69,29.75,29.69,29.7303,1527,2020-10-02 18:05:00,ACGL
29.755,29.78,29.749,29.765,1817,2020-10-02 18:10:00,ACGL
29.78,29.81,29.78,29.81,6282,2020-10-02 18:15:00,ACGL
29.82,29.845,29.8,29.845,2126,2020-10-02 18:20:00,ACGL
29.84,29.86,29.81,29.81,2851,2020-10-02 18:25:00,ACGL
29.81,29.865,29.79,29.86,3187,2020-10-02 18:30:00,ACGL
29.8582,29.87,29.83,29.845,4145,2020-10-02 18:35:00,ACGL
29.86,29.88,29.84,29.845,4413,2020-10-02 18:40:00,ACGL
29.84,29.89,29.825,29.84,6160,2020-10-02 18:45:00,ACGL
29.84,29.84,29.8,29.8,4225,2020-10-02 18:50:00,ACGL
29.8,29.84,29.77,29.79,5183,2020-10-02 18:55:00,ACGL
29.79,29.79,29.7,29.741,5136,2020-10-02 19:00:00,ACGL
29.74,29.75,29.71,29.75,3400,2020-10-02 19:05:00,ACGL
29.75,29.82,29.71,29.74,10802,2020-10-02 19:10:00,ACGL
29.74,29.8,29.71,29.775,4402,2020-10-02 19:15:00,ACGL
29.77,29.83,29.765,29.83,3903,2020-10-02 19:20:00,ACGL
29.82,29.84,29.77,29.8,9755,2020-10-02 19:25:00,ACGL
29.81,29.865,29.8,29.84,6312,2020-10-02 19:30:00,ACGL
29.85,29.86,29.795,29.82,8288,2020-10-02 19:35:00,ACGL
29.81,29.825,29.73,29.775,9970,2020-10-02 19:40:00,ACGL
29.77,29.775,29.69,29.73,10000,2020-10-02 19:45:00,ACGL
29.74,29.74,29.69,29.71,10363,2020-10-02 19:50:00,ACGL
29.715,29.745,29.7,29.72,25288,2020-10-02 19:55:00,ACGL
29.7,29.7,29.7,29.7,138124,2020-10-02 20:00:00,ACGL
30.02,30.48,29.68,30.27,17463,2020-10-05 13:30:00,ACGL
30.36,30.42,30.2,30.235,12813,2020-10-05 13:35:00,ACGL
30.18,30.18,30.08,30.08,5138,2020-10-05 13:40:00,ACGL
30.11,30.23,30.09,30.23,3782,2020-10-05 13:45:00,ACGL
30.24,30.29,30.07,30.07,6595,2020-10-05 13:50:00,ACGL
30.07,30.15,30.06,30.06,6126,2020-10-05 13:55:00,ACGL
30.04,30.13,29.98,30.0,3794,2020-10-05 14:00:00,ACGL
30.04,30.11,30.0,30.015,5740,2020-10-05 14:05:00,ACGL
30.0,30.04,29.985,30.02,3688,2020-10-05 14:10:00,ACGL
30.0164,30.165,30.015,30.09,6598,2020-10-05 14:15:00,ACGL
