open,high,low,close,volume,datetime,symbol
81.0,81.0,81.0,81.0,531,2020-10-01 12:20:00,MNST
81.02,81.02,81.02,81.02,200,2020-10-01 13:25:00,MNST
81.05,81.05,80.24,80.79,30089,2020-10-01 13:30:00,MNST
80.73,80.95,80.72,80.95,10730,2020-10-01 13:35:00,MNST
80.95,81.19,80.73,80.84,15395,2020-10-01 13:40:00,MNST
80.87,81.13,80.85,81.09,9885,2020-10-01 13:45:00,MNST
81.14,81.22,80.96,80.985,14969,2020-10-01 13:50:00,MNST
80.97,81.03,80.88,80.96,10064,2020-10-01 13:55:00,MNST
80.94,81.15,80.79,81.08,22910,2020-10-01 14:00:00,MNST
81.04,81.155,81.0,81.08,9706,2020-10-01 14:05:00,MNST
81.11,81.21,80.9,81.21,12898,2020-10-01 14:10:00,MNST
81.25,81.25,81.0,81.21,13697,2020-10-01 14:15:00,MNST
81.19,81.2,81.07,81.14,6717,2020-10-01 14:20:00,MNST
81.11,81.11,80.85,80.92,24806,2020-10-01 14:25:00,MNST
80.89,81.15,80.855,81.11,45485,2020-10-01 14:30:00,MNST
81.11,81.13,80.79,80.84,80264,2020-10-01 14:35:00,MNST
80.86,80.9,80.72,80.78,74286,2020-10-01 14:40:00,MNST
80.79,80.87,80.73,80.85,24450,2020-10-01 14:45:00,MNST
80.745,80.83,80.71,80.77,22547,2020-10-01 14:50:00,MNST
80.76,80.78,80.55,80.78,12676,2020-10-01 14:55:00,MNST
80.82,80.85,80.67,80.795,36877,2020-10-01 15:00:00,MNST
80.79,80.88,80.73,80.81,57996,2020-10-01 15:05:00,MNST
80.79,80.9,80.66,80.83,12328,2020-10-01 15:10:00,MNST
80.825,80.9051,80.71,80.74,63212,2020-10-01 15:15:00,MNST
80.74,81.0,80.52,80.99,189749,2020-10-01 15:20:00,MNST
80.98,81.02,80.85,80.95,9540,2020-10-01 15:25:00,MNST
80.98,81.095,80.93,81.06,11359,2020-10-01 15:30:00,MNST
81.09,81.24,81.045,81.06,21644,2020-10-01 15:35:00,MNST
81.06,81.19,81.02,81.14,40391,2020-10-01 15:40:00,MNST
81.15,81.41,81.14,81.36,12577,2020-10-01 15:45:00,MNST
81.39,81.475,81.18,81.25,37904,2020-10-01 15:50:00,MNST
81.23,81.27,81.14,81.14,53940,2020-10-01 15:55:00,MNST
81.15,81.19,81.08,81.18,8202,2020-10-01 16:00:00,MNST
81.16,81.23,81.08,81.08,23326,2020-10-01 16:05:00,MNST
81.08,81.23,81.05,81.2,24137,2020-10-01 16:10:00,MNST
81.18,81.27,81.14,81.2365,43777,2020-10-01 16:15:00,MNST
81.25,81.42,81.22,81.34,125846,2020-10-01 16:20:00,MNST
81.34,81.35,81.24,81.28,29331,2020-10-01 16:25:00,MNST
81.28,81.5,81.25,81.3625,19265,2020-10-01 16:30:00,MNST
81.36,81.42,81.25,81.42,7529,2020-10-01 16:35:00,MNST
81.41,81.5,81.41,81.42,10197,2020-10-01 16:40:00,MNST
81.45,81.5,81.43,81.45,4293,2020-10-01 16:45:00,MNST
81.46,81.46,81.34,81.36,13974,2020-10-01 16:50:00,MNST
81.35,81.36,81.29,81.34,12324,2020-10-01 16:55:00,MNST
81.355,81.42,81.315,81.35,9996,2020-10-01 17:00:00,MNST
81.39,81.44,81.36,81.43,11577,2020-10-01 17:05:00,MNST
81.39,81.58,81.39,81.48,71083,2020-10-01 17:10:00,MNST
81.48,81.59,81.48,81.59,8160,2020-10-01 17:15:00,MNST
81.61,81.65,81.58,81.61,8259,2020-10-01 17:20:00,MNST
81.62,81.6599,81.47,81.52,14830,2020-10-01 17:25:00,MNST
81.55,81.65,81.5,81.54,11920,2020-10-01 17:30:00,MNST
81.52,81.68,81.5008,81.61,9481,2020-10-01 17:35:00,MNST
81.61,81.65,81.44,81.58,19484,2020-10-01 17:40:00,MNST
81.61,81.62,81.51,81.5953,13107,2020-10-01 17:45:00,MNST
81.605,81.68,81.52,81.66,12441,2020-10-01 17:50:00,MNST
81.68,81.7,81.27,81.43,21392,2020-10-01 17:55:00,MNST
81.44,81.59,81.19,81.4,14917,2020-10-01 18:00:00,MNST
81.37,81.37,81.15,81.29,11249,2020-10-01 18:05:00,MNST
81.3,81.42,81.19,81.35,14001,2020-10-01 18:10:00,MNST
81.35,81.37,81.21,81.25,11129,2020-10-01 18:15:00,MNST
81.23,81.32,81.2,81.29,13293,2020-10-01 18:20:00,MNST
81.27,81.43,81.24,81.42,41722,2020-10-01 18:25:00,MNST
81.43,81.61,81.39,81.57,16548,2020-10-01 18:30:00,MNST
81.55,81.65,81.51,81.605,9463,2020-10-01 18:35:00,MNST
81.64,81.64,81.52,81.59,7625,2020-10-01 18:40:00,MNST
81.605,81.65,81.438,81.57,8652,2020-10-01 18:45:00,MNST
81.51,81.66,81.51,81.65,4944,2020-10-01 18:50:00,MNST
81.61,81.76,81.6,81.67,14772,2020-10-01 18:55:00,MNST
81.71,81.74,81.6,81.67,5141,2020-10-01 19:00:00,MNST
81.6662,81.7,81.57,81.66,8068,2020-10-01 19:05:00,MNST
81.67,81.71,81.54,81.57,5030,2020-10-01 19:10:00,MNST
81.57,81.57,81.44,81.46,6125,2020-10-01 19:15:00,MNST
81.41,81.47,81.35,81.35,11526,2020-10-01 19:20:00,MNST
81.29,81.48,81.29,81.43,7250,2020-10-01 19:25:00,MNST
81.41,81.48,81.37,81.48,9464,2020-10-01 19:30:00,MNST
81.47,81.5,81.32,81.41,14542,2020-10-01 19:35:00,MNST
81.45,81.53,81.42,81.46,13197,2020-10-01 19:40:00,MNST
81.46,81.54,81.41,81.49,22181,2020-10-01 19:45:00,MNST
81.48,81.62,81.44,81.54,45711,2020-10-01 19:50:00,MNST
81.51,81.58,81.45,81.47,115300,2020-10-01 19:55:00,MNST
81.48,81.48,81.48,81.48,371997,2020-10-01 20:00:00,MNST
81.48,81.48,81.48,81.48,14986,2020-10-01 20:20:00,MNST
78.77,78.77,78.77,78.77,720,2020-10-02 13:15:00,MNST
80.33,80.83,80.02,80.55,37010,2020-10-02 13:30:00,MNST
80.555,80.74,80.23,80.72,6438,2020-10-02 13:35:00,MNST
80.6,80.655,80.44,80.49,16576,2020-10-02 13:40:00,MNST
80.46,80.53,80.25,80.25,9492,2020-10-02 13:45:00,MNST
80.24,80.405,80.02,80.02,32239,2020-10-02 13:50:00,MNST
80.03,80.36,79.87,80.2,15757,2020-10-02 13:55:00,MNST
80.235,80.585,80.15,80.415,20724,2020-10-02 14:00:00,MNST
80.39,80.41,80.25,80.335,17563,2020-10-02 14:05:00,MNST
80.36,80.43,80.28,80.3,21114,2020-10-02 14:10:00,MNST
80.275,80.385,80.14,80.3454,8827,2020-10-02 14:15:00,MNST
80.31,80.37,80.21,80.25,11798,2020-10-02 14:20:00,MNST
80.265,80.39,80.17,80.37,4900,2020-10-02 14:25:00,MNST
80.39,80.41,80.17,80.41,13968,2020-10-02 14:30:00,MNST
80.37,80.37,80.2,80.21,11288,2020-10-02 14:35:00,MNST
80.18,80.3,80.07,80.14,48383,2020-10-02 14:40:00,MNST
80.155,80.25,80.06,80.175,21442,2020-10-02 14:45:00,MNST
80.135,80.2,79.87,79.9,25818,2020-10-02 14:50:00,MNST
79.89,80.03,79.89,79.99,4128,2020-10-02 14:55:00,MNST
80.06,80.09,79.81,79.81,11760,2020-10-02 15:00:00,MNST
79.8,79.93,79.75,79.895,14601,2020-10-02 15:05:00,MNST
79.87,80.06,79.83,80.05,7404,2020-10-02 15:10:00,MNST
80.02,80.28,79.93,80.19,8888,2020-10-02 15:15:00,MNST
80.17,80.3,80.17,80.19,12436,2020-10-02 15:20:00,MNST
80.22,80.26,80.06,80.06,8424,2020-10-02 15:25:00,MNST
80.13,80.21,79.89,79.9234,10872,2020-10-02 15:30:00,MNST
79.915,79.93,79.73,79.755,7182,2020-10-02 15:35:00,MNST
79.75,79.75,79.44,79.49,11274,2020-10-02 15:40:00,MNST
79.455,79.7,79.38,79.58,7431,2020-10-02 15:45:00,MNST
79.6,79.65,79.19,79.19,13903,2020-10-02 15:50:00,MNST
79.19,79.28,78.72,79.23,63940,2020-10-02 15:55:00,MNST
79.17,79.18,78.76,78.82,23847,2020-10-02 16:00:00,MNST
78.91,79.21,78.74,79.12,19125,2020-10-02 16:05:00,MNST
79.18,79.62,79.04,79.4,15014,2020-10-02 16:10:00,MNST
79.45,79.51,79.3176,79.5,7919,2020-10-02 16:15:00,MNST
79.56,79.66,79.43,79.595,13491,2020-10-02 16:20:00,MNST
79.57,79.64,79.33,79.33,6850,2020-10-02 16:25:00,MNST
79.36,79.41,79.23,79.23,9733,2020-10-02 16:30:00,MNST
79.21,79.44,79.15,79.4,8463,2020-10-02 16:35:00,MNST
79.4,79.4,79.2,79.235,5758,2020-10-02 16:40:00,MNST
79.24,79.33,79.21,79.265,6838,2020-10-02 16:45:00,MNST
79.285,79.455,79.17,79.4,7843,2020-10-02 16:50:00,MNST
79.43,79.43,79.27,79.35,4510,2020-10-02 16:55:00,MNST
79.3,79.52,79.3,79.45,38371,2020-10-02 17:00:00,MNST
79.4,79.4,79.26,79.27,6400,2020-10-02 17:05:00,MNST
79.26,79.37,79.18,79.26,11268,2020-10-02 17:10:00,MNST
79.27,79.35,79.2,79.24,18330,2020-10-02 17:15:00,MNST
79.25,79.6,79.24,79.6,6293,2020-10-02 17:20:00,MNST
79.57,79.59,79.475,79.59,6947,2020-10-02 17:25:00,MNST
79.59,79.61,79.33,79.33,7575,2020-10-02 17:30:00,MNST
79.31,79.51,79.31,79.45,7112,2020-10-02 17:35:00,MNST
79.445,79.445,79.1,79.21,10024,2020-10-02 17:40:00,MNST
79.19,79.27,79.07,79.12,11747,2020-10-02 17:45:00,MNST
79.16,79.21,79.06,79.19,7113,2020-10-02 17:50:00,MNST
79.15,79.2,79.09,79.18,7305,2020-10-02 17:55:00,MNST
79.21,79.4,79.21,79.35,5755,2020-10-02 18:00:00,MNST
79.38,79.48,79.38,79.45,4972,2020-10-02 18:05:00,MNST
79.47,79.57,79.465,79.465,5950,2020-10-02 18:10:00,MNST
79.49,79.57,79.43,79.515,8845,2020-10-02 18:15:00,MNST
79.51,79.635,79.47,79.635,11006,2020-10-02 18:20:00,MNST
79.635,79.67,79.51,79.565,11148,2020-10-02 18:25:00,MNST
79.59,79.63,79.42,79.54,22191,2020-10-02 18:30:00,MNST
79.53,79.6,79.45,79.46,19849,2020-10-02 18:35:00,MNST
79.45,79.62,79.44,79.6,11977,2020-10-02 18:40:00,MNST
79.62,79.7498,79.55,79.62,8231,2020-10-02 18:45:00,MNST
79.63,79.63,79.54,79.61,11367,2020-10-02 18:50:00,MNST
79.64,79.81,79.64,79.75,8921,2020-10-02 18:55:00,MNST
79.75,79.77,79.64,79.74,7351,2020-10-02 19:00:00,MNST
