open,high,low,close,volume,datetime,symbol
7.33,7.33,7.33,7.33,249,2020-10-01 13:30:00,SLGL
7.25,7.25,7.25,7.25,100,2020-10-01 14:20:00,SLGL
7.21,7.21,7.21,7.21,100,2020-10-01 15:00:00,SLGL
7.25,7.25,7.25,7.25,117,2020-10-01 16:55:00,SLGL
7.06,7.06,7.06,7.06,100,2020-10-01 18:20:00,SLGL
7.11,7.11,7.11,7.11,100,2020-10-01 19:55:00,SLGL
7.1,7.1,7.1,7.1,100,2020-10-02 13:35:00,SLGL
7.1,7.1,7.06,7.09,1200,2020-10-02 14:00:00,SLGL
7.08,7.08,7.08,7.08,910,2020-10-02 16:00:00,SLGL
7.068,7.07,7.068,7.07,1200,2020-10-02 16:30:00,SLGL
7.06,7.06,7.06,7.06,200,2020-10-02 16:35:00,SLGL
7.07,7.07,7.07,7.07,100,2020-10-02 17:00:00,SLGL
7.0932,7.1,7.06,7.08,2628,2020-10-02 17:05:00,SLGL
7.1,7.1,7.1,7.1,100,2020-10-02 18:55:00,SLGL
7.122,7.14,7.122,7.14,1295,2020-10-02 19:25:00,SLGL
7.15,7.15,7.15,7.15,100,2020-10-02 19:40:00,SLGL
7.15,7.15,7.15,7.15,211,2020-10-02 19:55:00,SLGL
7.15,7.19,7.1,7.11,700,2020-10-05 13:30:00,SLGL
7.1489,7.1489,7.1489,7.1489,100,2020-10-05 13:50:00,SLGL
7.12,7.12,7.105,7.105,200,2020-10-05 15:25:00,SLGL
7.12,7.12,7.12,7.12,100,2020-10-05 15:35:00,SLGL
7.15,7.15,7.15,7.15,212,2020-10-05 16:15:00,SLGL
7.24,7.24,7.13,7.13,200,2020-10-05 16:50:00,SLGL
7.18,7.18,7.18,7.18,500,2020-10-05 17:40:00,SLGL
7.18,7.18,7.18,7.18,100,2020-10-05 18:05:00,SLGL
7.26,7.26,7.26,7.26,100,2020-10-05 18:55:00,SLGL
7.35,7.35,7.34,7.35,300,2020-10-05 19:05:00,SLGL
7.315,7.315,7.25,7.275,1450,2020-10-05 19:35:00,SLGL
7.2767,7.2767,7.2767,7.2767,200,2020-10-06 13:30:00,SLGL
7.3471,7.3471,7.28,7.28,500,2020-10-06 13:40:00,SLGL
7.26,7.26,7.26,7.26,800,2020-10-06 14:10:00,SLGL
7.24,7.24,7.15,7.185,1000,2020-10-06 14:20:00,SLGL
7.15,7.15,7.15,7.15,2700,2020-10-06 14:55:00,SLGL
7.11,7.11,7.11,7.11,530,2020-10-06 15:00:00,SLGL
7.17,7.2,7.17,7.2,6150,2020-10-06 15:40:00,SLGL
7.2782,7.2782,7.25,7.25,225,2020-10-06 15:45:00,SLGL
7.23,7.23,7.23,7.23,100,2020-10-06 17:35:00,SLGL
7.325,7.35,7.23,7.35,600,2020-10-06 18:05:00,SLGL
7.32,7.32,7.3,7.3,1100,2020-10-06 18:10:00,SLGL
7.365,7.4468,7.365,7.4464,622,2020-10-06 18:45:00,SLGL
7.3,7.3,7.3,7.3,300,2020-10-06 19:20:00,SLGL
7.34,7.385,7.34,7.3627,685,2020-10-06 19:35:00,SLGL
7.24,7.24,7.1,7.1,3300,2020-10-06 19:50:00,SLGL
7.15,7.15,7.12,7.12,200,2020-10-06 19:55:00,SLGL
7.3,7.3,7.3,7.3,5035,2020-10-06 20:00:00,SLGL
7.23,7.23,7.23,7.23,100,2020-10-07 16:20:00,SLGL
7.25,7.25,7.25,7.25,100,2020-10-07 16:25:00,SLGL
7.2372,7.2372,7.23,7.23,785,2020-10-07 17:20:00,SLGL
7.23,7.23,7.23,7.23,100,2020-10-07 17:25:00,SLGL
7.2675,7.2675,7.23,7.23,350,2020-10-07 17:30:00,SLGL
7.301,7.301,7.301,7.301,199,2020-10-07 17:35:00,SLGL
7.18,7.18,7.18,7.18,100,2020-10-07 17:50:00,SLGL
7.255,7.255,7.255,7.255,100,2020-10-07 17:55:00,SLGL
7.28,7.28,7.28,7.28,129,2020-10-07 18:20:00,SLGL
7.24,7.24,7.24,7.24,100,2020-10-07 18:35:00,SLGL
7.34,7.34,7.34,7.34,200,2020-10-07 19:10:00,SLGL
7.35,7.35,7.35,7.35,100,2020-10-08 13:40:00,SLGL
7.3701,7.3701,7.3701,7.3701,350,2020-10-08 13:50:00,SLGL
7.39,7.39,7.39,7.39,100,2020-10-08 14:35:00,SLGL
7.435,7.49,7.435,7.49,1400,2020-10-08 16:25:00,SLGL
7.5,7.5,7.36,7.37,3850,2020-10-08 16:55:00,SLGL
7.39,7.55,7.31,7.49,500,2020-10-08 17:45:00,SLGL
7.35,7.35,7.35,7.35,500,2020-10-08 18:30:00,SLGL
7.36,7.36,7.36,7.36,200,2020-10-09 13:30:00,SLGL
7.21,7.22,7.2,7.22,5300,2020-10-09 13:45:00,SLGL
7.2301,7.2301,7.2301,7.2301,1750,2020-10-09 14:55:00,SLGL
7.31,7.5449,7.31,7.5449,625,2020-10-09 15:15:00,SLGL
7.375,7.375,7.375,7.375,250,2020-10-09 17:25:00,SLGL
7.5,7.5216,7.405,7.5216,910,2020-10-09 18:40:00,SLGL
7.4,7.4,7.4,7.4,150,2020-10-09 19:05:00,SLGL
7.5,7.5,7.5,7.5,1000,2020-10-09 19:10:00,SLGL
7.53,7.53,7.53,7.53,300,2020-10-09 19:20:00,SLGL
7.3668,7.3668,7.3668,7.3668,710,2020-10-09 19:45:00,SLGL
7.52,7.52,7.52,7.52,302,2020-10-09 19:55:00,SLGL
7.44,7.44,7.44,7.44,1000,2020-10-12 14:50:00,SLGL
7.38,7.44,7.38,7.44,300,2020-10-12 16:35:00,SLGL
7.4385,7.4385,7.4385,7.4385,250,2020-10-12 16:40:00,SLGL
7.43,7.43,7.43,7.43,608,2020-10-12 16:50:00,SLGL
7.42,7.43,7.42,7.43,600,2020-10-12 18:20:00,SLGL
7.41,7.42,7.4,7.4,800,2020-10-12 18:25:00,SLGL
7.41,7.41,7.41,7.41,100,2020-10-12 18:40:00,SLGL
7.4101,7.4194,7.4,7.4,577,2020-10-12 18:45:00,SLGL
7.37,7.4059,7.37,7.37,1400,2020-10-12 19:20:00,SLGL
7.4,7.43,7.4,7.43,600,2020-10-12 19:50:00,SLGL
7.43,7.44,7.43,7.44,400,2020-10-12 19:55:00,SLGL
7.49,7.5,7.49,7.5,3159,2020-10-13 13:30:00,SLGL
7.6,7.6,7.59,7.6,950,2020-10-13 13:40:00,SLGL
7.53,7.53,7.47,7.47,1350,2020-10-13 13:45:00,SLGL
7.5,7.5,7.5,7.5,1800,2020-10-13 14:00:00,SLGL
7.5,7.5,7.5,7.5,671,2020-10-13 14:15:00,SLGL
7.5,7.5,7.4999,7.5,1329,2020-10-13 14:35:00,SLGL
7.4222,7.4222,7.4222,7.4222,250,2020-10-13 14:55:00,SLGL
7.5,7.5,7.5,7.5,300,2020-10-13 15:20:00,SLGL
7.5,7.5,7.5,7.5,2055,2020-10-13 15:25:00,SLGL
7.56,7.59,7.56,7.59,200,2020-10-13 15:40:00,SLGL
7.57,7.58,7.57,7.58,500,2020-10-13 15:55:00,SLGL
7.52,7.6,7.52,7.6,975,2020-10-13 16:10:00,SLGL
7.7098,7.78,7.7098,7.75,2108,2020-10-13 16:40:00,SLGL
7.7395,7.7395,7.7395,7.7395,1200,2020-10-13 16:50:00,SLGL
7.74,7.74,7.74,7.74,100,2020-10-13 16:55:00,SLGL
7.79,8.0,7.79,7.89,5105,2020-10-13 17:00:00,SLGL
7.97,8.4,7.94,8.34,10085,2020-10-13 17:05:00,SLGL
8.41,8.41,8.26,8.305,3528,2020-10-13 17:10:00,SLGL
8.2501,8.3,8.2501,8.27,1907,2020-10-13 17:15:00,SLGL
8.29,8.29,8.27,8.29,300,2020-10-13 17:20:00,SLGL
8.295,8.33,8.295,8.33,304,2020-10-13 17:25:00,SLGL
8.32,8.33,8.26,8.26,1013,2020-10-13 17:30:00,SLGL
8.33,8.33,8.28,8.305,652,2020-10-13 17:35:00,SLGL
8.35,8.43,8.35,8.43,1786,2020-10-13 17:40:00,SLGL
8.43,8.46,8.3,8.3,6060,2020-10-13 17:45:00,SLGL
8.2798,8.3,8.15,8.15,650,2020-10-13 17:50:00,SLGL
8.16,8.16,8.16,8.16,400,2020-10-13 18:00:00,SLGL
8.21,8.245,8.195,8.195,350,2020-10-13 18:05:00,SLGL
8.245,8.3,8.245,8.2999,3582,2020-10-13 18:10:00,SLGL
8.3,8.3,8.28,8.3,1442,2020-10-13 18:15:00,SLGL
8.3,8.3,8.26,8.3,1550,2020-10-13 18:20:00,SLGL
8.3,8.3,8.28,8.28,400,2020-10-13 18:25:00,SLGL
8.3,8.3,8.275,8.275,1000,2020-10-13 18:30:00,SLGL
8.23,8.23,8.23,8.23,1190,2020-10-13 18:45:00,SLGL
8.11,8.17,8.09,8.13,2438,2020-10-13 18:50:00,SLGL
8.135,8.135,8.135,8.135,200,2020-10-13 19:10:00,SLGL
8.18,8.1824,8.1,8.1824,1089,2020-10-13 19:15:00,SLGL
8.215,8.215,8.1801,8.215,2187,2020-10-13 19:20:00,SLGL
8.23,8.23,8.23,8.23,500,2020-10-13 19:25:00,SLGL
8.2,8.2,8.2,8.2,400,2020-10-13 19:30:00,SLGL
8.23,8.23,8.23,8.23,100,2020-10-13 19:35:00,SLGL
8.25,8.45,8.25,8.45,3266,2020-10-13 19:40:00,SLGL
8.4113,8.5,8.4113,8.49,2042,2020-10-13 19:45:00,SLGL
8.5,8.5,8.49,8.49,1423,2020-10-13 19:50:00,SLGL
8.49,8.7,8.42,8.7,4192,2020-10-13 19:55:00,SLGL
8.52,8.52,8.52,8.52,307,2020-10-13 20:00:00,SLGL
8.52,8.52,8.52,8.52,100,2020-10-14 11:00:00,SLGL
8.7,8.7,8.7,8.7,100,2020-10-14 12:10:00,SLGL
8.7,8.7,8.7,8.7,1100,2020-10-14 13:25:00,SLGL
8.9,8.9,8.5,8.5,5976,2020-10-14 13:30:00,SLGL
8.4965,8.4965,8.4965,8.4965,100,2020-10-14 13:40:00,SLGL
8.4,8.4,8.35,8.35,800,2020-10-14 13:45:00,SLGL
8.34,8.34,8.34,8.34,350,2020-10-14 13:50:00,SLGL
8.2516,8.27,8.2,8.21,3800,2020-10-14 14:00:00,SLGL
8.04,8.04,8.04,8.04,755,2020-10-14 14:05:00,SLGL
8.195,8.195,8.0401,8.0401,1700,2020-10-14 14:10:00,SLGL
8.185,8.185,8.185,8.185,200,2020-10-14 14:15:00,SLGL
8.05,8.05,8.05,8.05,100,2020-10-14 14:30:00,SLGL
8.145,8.145,8.145,8.145,200,2020-10-14 14:35:00,SLGL
8.16,8.2,8.16,8.2,200,2020-10-14 14:45:00,SLGL
8.2,8.2,8.2,8.2,400,2020-10-14 14:50:00,SLGL
8.2503,8.2503,8.2503,8.2503,300,2020-10-14 14:55:00,SLGL
8.2,8.2,8.18,8.18,200,2020-10-14 15:05:00,SLGL
8.19,8.19,8.085,8.1,2804,2020-10-14 15:15:00,SLGL
8.06,8.06,8.06,8.06,100,2020-10-14 15:20:00,SLGL
8.01,8.033,8.0,8.0,610,2020-10-14 15:25:00,SLGL
8.055,8.1,8.055,8.1,1200,2020-10-14 15:35:00,SLGL
8.01,8.01,8.01,8.01,624,2020-10-14 15:50:00,SLGL
8.0106,8.019,8.0,8.0,1000,2020-10-14 15:55:00,SLGL
8.0,8.0,8.0,8.0,100,2020-10-14 16:00:00,SLGL
7.8661,7.91,7.8661,7.91,200,2020-10-14 16:25:00,SLGL
7.9267,7.9267,7.9267,7.9267,250,2020-10-14 16:35:00,SLGL
7.81,7.81,7.81,7.81,1200,2020-10-14 16:50:00,SLGL
7.86,7.86,7.86,7.86,200,2020-10-14 17:05:00,SLGL
8.0199,8.0199,7.76,7.76,3195,2020-10-14 17:25:00,SLGL
7.875,7.875,7.875,7.875,100,2020-10-14 17:30:00,SLGL
7.74,7.74,7.74,7.74,100,2020-10-14 17:50:00,SLGL
7.81,7.81,7.81,7.81,300,2020-10-14 18:05:00,SLGL
8.01,8.01,8.01,8.01,250,2020-10-14 18:40:00,SLGL
7.945,7.945,7.945,7.945,300,2020-10-14 18:45:00,SLGL
7.89,7.89,7.89,7.89,100,2020-10-14 19:10:00,SLGL
7.9,7.9,7.9,7.9,500,2020-10-14 19:20:00,SLGL
7.98,8.01,7.98,8.01,416,2020-10-14 19:40:00,SLGL
7.94,8.01,7.83,8.0,1700,2020-10-14 19:50:00,SLGL
8.0,8.0,8.0,8.0,200,2020-10-14 19:55:00,SLGL
7.82,7.82,7.82,7.82,1429,2020-10-14 20:00:00,SLGL
7.86,7.86,7.86,7.86,200,2020-10-15 13:50:00,SLGL
8.0105,8.0105,8.0053,8.0053,1300,2020-10-15 15:05:00,SLGL
8.01,8.01,8.01,8.01,500,2020-10-15 15:25:00,SLGL
8.0,8.0,8.0,8.0,560,2020-10-15 16:20:00,SLGL
7.99,7.99,7.99,7.99,100,2020-10-15 16:50:00,SLGL
7.99,8.0,7.99,8.0,572,2020-10-15 17:05:00,SLGL
8.0,8.01,8.0,8.0,2985,2020-10-15 17:20:00,SLGL
8.0925,8.0925,8.0925,8.0925,150,2020-10-15 18:10:00,SLGL
8.0,8.0,8.0,8.0,100,2020-10-15 18:20:00,SLGL
8.2017,8.2017,8.2017,8.2017,150,2020-10-15 19:50:00,SLGL
8.2,8.2,8.2,8.2,171,2020-10-16 13:30:00,SLGL
8.23,8.23,8.23,8.23,100,2020-10-16 14:00:00,SLGL
8.23,8.23,8.2,8.2,200,2020-10-16 14:05:00,SLGL
8.23,8.33,8.23,8.33,300,2020-10-16 14:10:00,SLGL
8.2,8.21,8.2,8.21,200,2020-10-16 14:15:00,SLGL
8.2,8.2,8.2,8.2,100,2020-10-16 14:20:00,SLGL
