open,high,low,close,volume,datetime,symbol
28.0,28.0,28.0,28.0,198,2020-11-02 12:00:00,ATSG
28.3,28.52,28.3,28.365,4875,2020-11-02 14:30:00,ATSG
28.37,28.47,28.28,28.44,2985,2020-11-02 14:35:00,ATSG
28.36,28.39,28.24,28.3282,1500,2020-11-02 14:40:00,ATSG
28.43,28.57,28.34,28.57,3761,2020-11-02 14:45:00,ATSG
28.5771,28.5771,28.29,28.3,1400,2020-11-02 14:50:00,ATSG
28.3,28.38,28.19,28.38,3311,2020-11-02 14:55:00,ATSG
28.37,28.68,28.34,28.38,4912,2020-11-02 15:00:00,ATSG
28.3258,28.5699,28.31,28.5,2001,2020-11-02 15:05:00,ATSG
28.51,28.6,28.5,28.575,1965,2020-11-02 15:10:00,ATSG
28.58,28.67,28.4554,28.53,6145,2020-11-02 15:15:00,ATSG
28.47,28.47,28.44,28.44,2691,2020-11-02 15:20:00,ATSG
28.51,28.51,28.47,28.5,2600,2020-11-02 15:25:00,ATSG
28.55,28.64,28.54,28.6,4350,2020-11-02 15:30:00,ATSG
28.56,28.56,28.49,28.56,3123,2020-11-02 15:35:00,ATSG
28.55,28.5701,28.5,28.5,3574,2020-11-02 15:40:00,ATSG
28.47,28.51,28.46,28.48,800,2020-11-02 15:45:00,ATSG
28.54,28.6,28.52,28.59,7960,2020-11-02 15:50:00,ATSG
28.61,28.67,28.57,28.6,12066,2020-11-02 15:55:00,ATSG
28.5716,28.5716,28.51,28.52,11850,2020-11-02 16:00:00,ATSG
28.48,28.635,28.42,28.61,3665,2020-11-02 16:05:00,ATSG
28.62,28.62,28.565,28.57,1516,2020-11-02 16:10:00,ATSG
28.57,28.57,28.34,28.37,23269,2020-11-02 16:15:00,ATSG
28.34,28.36,28.33,28.3599,1218,2020-11-02 16:20:00,ATSG
28.32,28.32,28.19,28.19,4783,2020-11-02 16:25:00,ATSG
28.27,28.35,28.24,28.32,1828,2020-11-02 16:30:00,ATSG
28.36,28.4,28.36,28.4,1110,2020-11-02 16:35:00,ATSG
28.455,28.455,28.43,28.43,300,2020-11-02 16:40:00,ATSG
28.43,28.48,28.43,28.465,1503,2020-11-02 16:45:00,ATSG
28.45,28.51,28.43,28.46,2800,2020-11-02 16:50:00,ATSG
28.47,28.48,28.42,28.42,2143,2020-11-02 16:55:00,ATSG
28.425,28.425,28.38,28.39,1400,2020-11-02 17:00:00,ATSG
28.35,28.38,28.27,28.3359,4794,2020-11-02 17:05:00,ATSG
28.3799,28.3799,28.33,28.33,1279,2020-11-02 17:10:00,ATSG
28.35,28.38,28.35,28.365,1158,2020-11-02 17:15:00,ATSG
28.35,28.35,28.275,28.295,1400,2020-11-02 17:20:00,ATSG
28.295,28.31,28.275,28.275,1055,2020-11-02 17:25:00,ATSG
28.305,28.35,28.27,28.34,3900,2020-11-02 17:30:00,ATSG
28.34,28.34,28.24,28.24,1300,2020-11-02 17:35:00,ATSG
28.23,28.23,28.15,28.16,2261,2020-11-02 17:40:00,ATSG
28.152,28.23,28.13,28.13,4300,2020-11-02 17:45:00,ATSG
28.14,28.18,28.14,28.17,1000,2020-11-02 17:50:00,ATSG
28.14,28.1681,28.12,28.15,1901,2020-11-02 17:55:00,ATSG
28.125,28.14,28.11,28.14,2500,2020-11-02 18:00:00,ATSG
28.14,28.14,28.1,28.11,5318,2020-11-02 18:05:00,ATSG
28.12,28.13,28.1,28.115,3322,2020-11-02 18:10:00,ATSG
28.115,28.115,28.1,28.11,2900,2020-11-02 18:15:00,ATSG
28.12,28.13,28.115,28.12,1300,2020-11-02 18:20:00,ATSG
28.12,28.12,28.05,28.08,3275,2020-11-02 18:25:00,ATSG
28.12,28.12,28.07,28.115,1200,2020-11-02 18:30:00,ATSG
28.12,28.17,28.12,28.13,2200,2020-11-02 18:35:00,ATSG
28.11,28.17,28.11,28.14,1500,2020-11-02 18:40:00,ATSG
28.16,28.18,28.13,28.16,1200,2020-11-02 18:45:00,ATSG
28.155,28.155,28.05,28.05,1399,2020-11-02 18:50:00,ATSG
28.05,28.09,28.05,28.065,1005,2020-11-02 18:55:00,ATSG
28.06,28.2,28.06,28.125,10200,2020-11-02 19:00:00,ATSG
28.14,28.22,28.14,28.185,4400,2020-11-02 19:05:00,ATSG
28.21,28.23,28.17,28.23,4482,2020-11-02 19:10:00,ATSG
28.24,28.25,28.03,28.09,5257,2020-11-02 19:15:00,ATSG
28.08,28.08,28.0,28.05,6348,2020-11-02 19:20:00,ATSG
28.053,28.1,28.0503,28.1,2146,2020-11-02 19:25:00,ATSG
28.11,28.125,28.08,28.1,1734,2020-11-02 19:30:00,ATSG
28.095,28.14,28.095,28.13,800,2020-11-02 19:35:00,ATSG
28.14,28.14,28.1,28.1,400,2020-11-02 19:40:00,ATSG
28.1,28.23,28.1,28.19,4816,2020-11-02 19:45:00,ATSG
28.2,28.21,28.185,28.19,3976,2020-11-02 19:50:00,ATSG
28.195,28.22,28.19,28.22,2700,2020-11-02 19:55:00,ATSG
28.24,28.26,28.19,28.2325,2200,2020-11-02 20:00:00,ATSG
28.23,28.23,28.21,28.22,500,2020-11-02 20:05:00,ATSG
28.21,28.225,28.19,28.21,1100,2020-11-02 20:10:00,ATSG
28.23,28.31,28.22,28.22,2588,2020-11-02 20:15:00,ATSG
28.24,28.27,28.23,28.245,2600,2020-11-02 20:20:00,ATSG
