open,high,low,close,volume,datetime,symbol
3.09,3.09,3.09,3.09,100,2020-11-02 12:00:00,AUTO
3.15,3.21,3.15,3.17,8056,2020-11-02 14:30:00,AUTO
3.17,3.19,3.17,3.185,654,2020-11-02 14:35:00,AUTO
3.185,3.2,3.185,3.2,268,2020-11-02 14:40:00,AUTO
3.2,3.21,3.17,3.21,3181,2020-11-02 14:45:00,AUTO
3.21,3.215,3.21,3.215,717,2020-11-02 14:50:00,AUTO
3.215,3.25,3.21,3.25,2200,2020-11-02 14:55:00,AUTO
3.2499,3.2499,3.2,3.2088,2205,2020-11-02 15:00:00,AUTO
3.19,3.19,3.19,3.19,100,2020-11-02 15:10:00,AUTO
3.2,3.2,3.15,3.15,20834,2020-11-02 15:30:00,AUTO
3.165,3.17,3.165,3.17,200,2020-11-02 15:35:00,AUTO
3.15,3.15,3.15,3.15,2523,2020-11-02 15:40:00,AUTO
3.16,3.16,3.16,3.16,600,2020-11-02 15:45:00,AUTO
3.16,3.19,3.16,3.19,811,2020-11-02 15:50:00,AUTO
3.1899,3.19,3.1899,3.19,788,2020-11-02 15:55:00,AUTO
3.21,3.22,3.21,3.22,3541,2020-11-02 16:10:00,AUTO
3.2214,3.23,3.2214,3.23,440,2020-11-02 16:15:00,AUTO
3.23,3.23,3.2,3.21,1114,2020-11-02 16:20:00,AUTO
3.2142,3.2142,3.2142,3.2142,262,2020-11-02 16:25:00,AUTO
3.23,3.23,3.23,3.23,200,2020-11-02 16:55:00,AUTO
3.23,3.25,3.23,3.25,438,2020-11-02 17:05:00,AUTO
3.25,3.28,3.25,3.28,2200,2020-11-02 17:10:00,AUTO
3.28,3.28,3.26,3.28,1407,2020-11-02 17:15:00,AUTO
3.28,3.31,3.25,3.31,2168,2020-11-02 17:20:00,AUTO
3.2848,3.4,3.2848,3.39,1991,2020-11-02 17:25:00,AUTO
3.36,3.36,3.29,3.29,1100,2020-11-02 17:30:00,AUTO
3.3499,3.3499,3.3499,3.3499,1000,2020-11-02 17:50:00,AUTO
3.2514,3.2514,3.2514,3.2514,1000,2020-11-02 18:15:00,AUTO
3.2447,3.255,3.23,3.23,4353,2020-11-02 18:35:00,AUTO
3.22,3.22,3.22,3.22,400,2020-11-02 18:50:00,AUTO
3.185,3.185,3.161,3.17,2606,2020-11-02 18:55:00,AUTO
3.21,3.21,3.17,3.21,2070,2020-11-02 19:00:00,AUTO
3.2233,3.2233,3.2,3.2,1100,2020-11-02 19:05:00,AUTO
3.23,3.23,3.1895,3.1895,1100,2020-11-02 19:10:00,AUTO
3.235,3.235,3.2,3.22,488,2020-11-02 19:15:00,AUTO
3.23,3.23,3.23,3.23,100,2020-11-02 19:35:00,AUTO
3.22,3.23,3.22,3.23,300,2020-11-02 19:45:00,AUTO
3.24,3.24,3.24,3.24,300,2020-11-02 19:50:00,AUTO
3.24,3.24,3.22,3.22,300,2020-11-02 19:55:00,AUTO
3.22,3.22,3.22,3.22,100,2020-11-02 20:05:00,AUTO
3.23,3.23,3.23,3.23,142,2020-11-02 20:15:00,AUTO
3.23,3.25,3.225,3.25,1365,2020-11-02 20:25:00,AUTO
3.23,3.23,3.23,3.23,441,2020-11-02 20:45:00,AUTO
3.25,3.25,3.24,3.25,850,2020-11-02 20:50:00,AUTO
3.245,3.28,3.21,3.27,2406,2020-11-02 20:55:00,AUTO
3.28,3.28,3.28,3.28,1134,2020-11-02 21:00:00,AUTO
3.31,3.31,3.3,3.3,200,2020-11-03 14:05:00,AUTO
3.34,3.34,3.21,3.21,1574,2020-11-03 14:30:00,AUTO
