open,high,low,close,volume,datetime,symbol
2.36,2.36,2.35,2.35,252,2020-11-02 09:00:00,DGLY
2.35,2.41,2.35,2.41,500,2020-11-02 09:05:00,DGLY
2.36,2.36,2.36,2.36,100,2020-11-02 09:35:00,DGLY
2.4,2.4,2.4,2.4,100,2020-11-02 09:55:00,DGLY
2.4,2.4,2.4,2.4,398,2020-11-02 10:00:00,DGLY
2.4,2.4,2.4,2.4,627,2020-11-02 10:05:00,DGLY
2.42,2.42,2.42,2.42,250,2020-11-02 10:10:00,DGLY
2.38,2.38,2.38,2.38,100,2020-11-02 10:30:00,DGLY
2.37,2.37,2.37,2.37,275,2020-11-02 10:35:00,DGLY
2.37,2.37,2.37,2.37,150,2020-11-02 10:45:00,DGLY
2.38,2.38,2.38,2.38,170,2020-11-02 11:15:00,DGLY
2.4,2.41,2.4,2.41,533,2020-11-02 11:35:00,DGLY
2.37,2.37,2.37,2.37,227,2020-11-02 11:45:00,DGLY
2.4,2.4,2.4,2.4,100,2020-11-02 11:50:00,DGLY
2.4,2.4,2.37,2.37,4200,2020-11-02 12:00:00,DGLY
2.37,2.37,2.35,2.35,4082,2020-11-02 12:05:00,DGLY
2.36,2.36,2.36,2.36,270,2020-11-02 12:15:00,DGLY
2.36,2.36,2.36,2.36,949,2020-11-02 12:30:00,DGLY
2.35,2.35,2.35,2.35,2000,2020-11-02 12:35:00,DGLY
2.35,2.35,2.35,2.35,484,2020-11-02 12:55:00,DGLY
2.3501,2.39,2.35,2.39,4353,2020-11-02 13:00:00,DGLY
2.3899,2.3899,2.3899,2.3899,100,2020-11-02 13:05:00,DGLY
2.36,2.36,2.36,2.36,150,2020-11-02 13:10:00,DGLY
2.3891,2.39,2.35,2.35,1447,2020-11-02 13:15:00,DGLY
2.35,2.37,2.35,2.37,2831,2020-11-02 13:20:00,DGLY
2.37,2.37,2.37,2.37,1030,2020-11-02 13:25:00,DGLY
2.37,2.37,2.36,2.36,952,2020-11-02 13:30:00,DGLY
2.36,2.36,2.35,2.35,2900,2020-11-02 13:35:00,DGLY
2.3599,2.36,2.3599,2.36,1362,2020-11-02 13:40:00,DGLY
