open,high,low,close,volume,datetime,symbol
5.74,5.74,5.74,5.74,100,2020-11-02 20:40:00,ERYP
5.88,5.88,5.88,5.88,320,2020-11-03 15:45:00,ERYP
6.53,6.53,6.4,6.4,2100,2020-11-04 12:55:00,ERYP
6.39,6.72,6.39,6.72,700,2020-11-04 13:50:00,ERYP
6.64,6.64,6.64,6.64,100,2020-11-04 14:00:00,ERYP
6.54,6.54,6.54,6.54,100,2020-11-04 14:30:00,ERYP
6.54,6.603,6.54,6.54,500,2020-11-04 14:35:00,ERYP
6.54,6.54,6.3,6.3,1800,2020-11-04 14:45:00,ERYP
6.3,6.3,6.3,6.3,400,2020-11-04 15:15:00,ERYP
6.86,6.86,6.7137,6.7137,500,2020-11-04 15:50:00,ERYP
6.5248,6.5248,6.5248,6.5248,100,2020-11-04 16:30:00,ERYP
6.52,6.52,6.52,6.52,500,2020-11-04 17:30:00,ERYP
7.15,7.16,7.15,7.15,300,2020-11-05 13:40:00,ERYP
7.33,7.33,7.0401,7.0401,2836,2020-11-05 14:30:00,ERYP
7.57,7.57,7.57,7.57,100,2020-11-05 14:35:00,ERYP
7.31,7.31,6.633,6.633,600,2020-11-05 14:40:00,ERYP
7.06,7.09,6.65,7.09,400,2020-11-05 14:45:00,ERYP
7.04,7.089,7.04,7.08,1407,2020-11-05 15:45:00,ERYP
7.09,7.34,6.99,7.34,1400,2020-11-05 15:50:00,ERYP
7.24,7.24,7.24,7.24,400,2020-11-05 15:55:00,ERYP
7.4004,7.4004,7.4004,7.4004,1000,2020-11-05 16:00:00,ERYP
6.99,7.03,6.99,7.03,500,2020-11-05 16:15:00,ERYP
7.03,7.48,7.03,7.48,1490,2020-11-05 17:25:00,ERYP
7.47,7.53,7.42,7.5,3535,2020-11-05 18:00:00,ERYP
7.0202,7.316,7.0202,7.316,1000,2020-11-05 18:40:00,ERYP
7.1226,7.1226,7.1226,7.1226,500,2020-11-05 19:15:00,ERYP
6.82,6.82,6.14,6.14,2600,2020-11-06 14:30:00,ERYP
6.13,6.73,5.52,6.6,2431,2020-11-06 14:35:00,ERYP
7.06,7.06,7.06,7.06,800,2020-11-06 14:45:00,ERYP
7.06,7.06,6.791,6.791,1300,2020-11-06 14:50:00,ERYP
7.16,7.16,7.16,7.16,100,2020-11-06 15:35:00,ERYP
7.06,7.06,7.06,7.06,100,2020-11-06 15:55:00,ERYP
7.2,7.2,7.2,7.2,100,2020-11-06 16:45:00,ERYP
7.225,7.5,7.225,7.495,1158,2020-11-06 20:15:00,ERYP
7.495,7.5,7.46,7.4997,994,2020-11-06 20:20:00,ERYP
7.86,7.86,7.86,7.86,300,2020-11-09 12:25:00,ERYP
7.53,7.53,7.53,7.53,156,2020-11-09 15:15:00,ERYP
7.3,7.3,7.3,7.3,220,2020-11-09 15:25:00,ERYP
7.03,7.03,7.03,7.03,100,2020-11-09 16:15:00,ERYP
6.33,6.33,6.33,6.33,100,2020-11-09 18:55:00,ERYP
6.4001,6.4001,6.4001,6.4001,300,2020-11-09 19:10:00,ERYP
6.66,6.91,6.66,6.91,250,2020-11-09 20:25:00,ERYP
7.1,7.1,7.1,7.1,216,2020-11-10 18:50:00,ERYP
7.15,7.15,7.15,7.15,500,2020-11-10 19:30:00,ERYP
7.15,7.15,7.15,7.15,400,2020-11-10 20:00:00,ERYP
7.35,7.35,7.35,7.35,600,2020-11-11 17:10:00,ERYP
7.99,7.99,7.99,7.99,100,2020-11-11 20:20:00,ERYP
7.72,7.72,7.72,7.72,100,2020-11-11 20:55:00,ERYP
7.71,7.71,7.71,7.71,200,2020-11-12 16:40:00,ERYP
7.4,7.4,7.4,7.4,499,2020-11-12 17:00:00,ERYP
7.71,7.71,7.71,7.71,100,2020-11-12 18:20:00,ERYP
7.7,7.7,7.7,7.7,100,2020-11-12 19:50:00,ERYP
7.7,7.705,7.5122,7.5122,900,2020-11-12 20:05:00,ERYP
7.8,7.8,7.8,7.8,500,2020-11-13 16:40:00,ERYP
7.85,7.85,7.85,7.85,883,2020-11-13 19:30:00,ERYP
7.5502,7.5502,7.5502,7.5502,200,2020-11-16 14:35:00,ERYP
7.91,7.91,7.9,7.9,1000,2020-11-16 14:40:00,ERYP
7.99,7.99,7.99,7.99,100,2020-11-16 17:30:00,ERYP
7.9,7.9,7.9,7.9,400,2020-11-16 18:25:00,ERYP
7.99,7.99,7.99,7.99,189,2020-11-16 19:25:00,ERYP
7.9168,7.9168,7.9168,7.9168,277,2020-11-16 20:05:00,ERYP
8.055,8.075,8.03,8.03,400,2020-11-16 20:15:00,ERYP
7.89,7.89,7.89,7.89,100,2020-11-17 17:40:00,ERYP
7.9,7.9,7.9,7.9,500,2020-11-17 20:10:00,ERYP
8.075,8.075,8.07,8.07,200,2020-11-17 20:25:00,ERYP
8.11,8.11,8.1,8.1,2451,2020-11-18 14:55:00,ERYP
8.1,8.1,8.1,8.1,500,2020-11-18 15:00:00,ERYP
8.0,8.0,8.0,8.0,500,2020-11-18 18:00:00,ERYP
8.46,8.46,8.46,8.46,100,2020-11-18 19:25:00,ERYP
8.46,8.46,8.46,8.46,2000,2020-11-18 20:15:00,ERYP
8.0,8.0,8.0,8.0,500,2020-11-19 14:35:00,ERYP
8.12,8.12,8.12,8.12,100,2020-11-19 15:10:00,ERYP
8.11,8.11,8.11,8.11,100,2020-11-19 15:30:00,ERYP
7.61,7.61,7.0201,7.0201,3135,2020-11-19 15:45:00,ERYP
7.48,7.53,7.48,7.53,1100,2020-11-19 15:50:00,ERYP
7.64,7.64,7.64,7.64,436,2020-11-19 16:00:00,ERYP
7.68,7.68,7.68,7.68,135,2020-11-19 17:00:00,ERYP
7.89,7.89,7.89,7.89,100,2020-11-19 17:35:00,ERYP
7.925,7.94,7.925,7.93,400,2020-11-19 20:30:00,ERYP
7.7,7.705,7.7,7.7,400,2020-11-20 20:25:00,ERYP
7.7,7.7,7.7,7.7,130,2020-11-23 14:30:00,ERYP
7.9666,7.9666,7.9666,7.9666,100,2020-11-23 14:35:00,ERYP
7.67,7.67,7.67,7.67,100,2020-11-23 14:55:00,ERYP
7.9685,7.9685,7.9685,7.9685,138,2020-11-23 15:15:00,ERYP
7.55,7.97,7.55,7.68,700,2020-11-24 14:30:00,ERYP
7.93,8.58,7.4,7.6886,3368,2020-11-24 14:35:00,ERYP
7.9229,8.63,7.6375,7.9247,3100,2020-11-24 14:40:00,ERYP
7.8889,7.8889,7.8889,7.8889,500,2020-11-24 14:45:00,ERYP
8.47,8.475,8.47,8.47,400,2020-11-24 20:40:00,ERYP
8.1425,8.31,8.1425,8.31,300,2020-11-24 20:55:00,ERYP
7.98,8.63,7.6852,7.95,700,2020-11-25 14:35:00,ERYP
7.95,8.0115,7.6852,8.0115,1200,2020-11-25 14:40:00,ERYP
7.96,8.6,7.96,7.96,500,2020-11-25 14:45:00,ERYP
7.9599,7.9599,7.9599,7.9599,100,2020-11-25 15:00:00,ERYP
7.9679,7.9679,7.8883,7.8883,350,2020-11-25 15:05:00,ERYP
7.99,8.11,7.7783,7.97,400,2020-11-25 15:10:00,ERYP
7.69,7.69,7.69,7.69,100,2020-11-25 15:20:00,ERYP
7.7777,7.7777,7.7777,7.7777,250,2020-11-25 15:25:00,ERYP
7.97,8.03,7.97,8.03,250,2020-11-25 15:30:00,ERYP
7.97,7.97,7.7516,7.7562,600,2020-11-25 15:35:00,ERYP
7.98,7.98,7.695,7.7719,600,2020-11-25 15:40:00,ERYP
7.7562,7.98,7.7562,7.7562,550,2020-11-25 15:45:00,ERYP
7.98,8.0399,7.98,8.0399,500,2020-11-25 15:50:00,ERYP
8.04,8.04,7.7645,7.7909,700,2020-11-25 15:55:00,ERYP
8.03,8.03,7.7775,7.791,1100,2020-11-25 16:00:00,ERYP
8.01,8.03,7.7908,8.03,900,2020-11-25 16:05:00,ERYP
8.03,8.03,7.596,7.8037,1500,2020-11-25 16:10:00,ERYP
8.03,8.03,7.596,8.03,1500,2020-11-25 16:15:00,ERYP
7.7908,8.13,7.72,8.046,1400,2020-11-25 16:20:00,ERYP
8.0504,8.0504,8.0504,8.0504,100,2020-11-25 16:25:00,ERYP
8.2993,8.2993,8.2993,8.2993,100,2020-11-25 20:05:00,ERYP
7.98,7.98,7.98,7.98,100,2020-11-25 20:55:00,ERYP
8.99,8.99,8.99,8.99,100,2020-11-27 14:20:00,ERYP
9.25,9.25,9.25,9.25,400,2020-11-27 14:55:00,ERYP
8.95,8.95,8.95,8.95,237,2020-11-27 15:15:00,ERYP
9.7,9.7,9.7,9.7,100,2020-11-27 15:20:00,ERYP
9.3776,9.3776,9.3776,9.3776,154,2020-11-27 15:25:00,ERYP
9.63,9.63,9.63,9.63,100,2020-11-27 16:25:00,ERYP
9.6,9.6,9.6,9.6,100,2020-11-27 17:10:00,ERYP
9.57,9.57,9.5255,9.5255,200,2020-11-27 17:40:00,ERYP
9.1613,9.8503,9.1613,9.8503,1483,2020-11-30 14:30:00,ERYP
9.44,9.8,9.44,9.8,939,2020-11-30 14:45:00,ERYP
9.2025,9.2025,9.2025,9.2025,153,2020-11-30 14:55:00,ERYP
9.43,9.44,9.15,9.15,1303,2020-11-30 16:50:00,ERYP
