open,high,low,close,volume,datetime,symbol
66.81,66.81,66.81,66.81,310,2020-11-02 14:30:00,IOSP
68.08,68.08,67.29,67.29,400,2020-11-02 14:35:00,IOSP
67.24,67.24,67.24,67.24,100,2020-11-02 14:40:00,IOSP
67.01,67.01,66.79,66.8,555,2020-11-02 14:45:00,IOSP
66.92,67.2,66.92,67.2,300,2020-11-02 14:50:00,IOSP
67.34,67.5,67.34,67.5,200,2020-11-02 14:55:00,IOSP
67.95,67.95,67.7,67.7,200,2020-11-02 15:00:00,IOSP
67.69,67.77,67.65,67.77,700,2020-11-02 15:05:00,IOSP
67.89,67.89,67.77,67.77,300,2020-11-02 15:10:00,IOSP
67.69,67.7,67.69,67.7,219,2020-11-02 15:15:00,IOSP
67.99,68.0,67.75,67.805,1200,2020-11-02 15:20:00,IOSP
67.71,68.15,67.65,68.15,500,2020-11-02 15:25:00,IOSP
68.13,68.14,67.985,67.985,300,2020-11-02 15:30:00,IOSP
68.075,68.075,67.89,67.9,400,2020-11-02 15:35:00,IOSP
67.835,67.835,67.605,67.605,300,2020-11-02 15:40:00,IOSP
67.605,67.605,67.42,67.44,600,2020-11-02 15:45:00,IOSP
67.53,67.61,67.53,67.59,300,2020-11-02 15:50:00,IOSP
67.625,67.625,67.585,67.6,300,2020-11-02 15:55:00,IOSP
67.6,67.66,67.59,67.65,1100,2020-11-02 16:00:00,IOSP
67.65,67.65,67.59,67.6,600,2020-11-02 16:05:00,IOSP
67.72,67.72,67.72,67.72,100,2020-11-02 16:10:00,IOSP
67.79,68.05,67.79,68.05,700,2020-11-02 16:15:00,IOSP
67.975,67.975,67.975,67.975,100,2020-11-02 16:20:00,IOSP
67.88,67.88,67.88,67.88,100,2020-11-02 16:25:00,IOSP
67.88,67.88,67.88,67.88,100,2020-11-02 16:30:00,IOSP
67.65,67.65,67.65,67.65,100,2020-11-02 16:35:00,IOSP
67.79,68.015,67.79,68.015,800,2020-11-02 16:40:00,IOSP
67.97,67.97,67.97,67.97,100,2020-11-02 16:45:00,IOSP
67.86,67.87,67.86,67.87,200,2020-11-02 16:50:00,IOSP
67.77,67.77,67.535,67.535,200,2020-11-02 17:00:00,IOSP
67.78,67.78,67.78,67.78,100,2020-11-02 17:05:00,IOSP
67.84,67.84,67.84,67.84,100,2020-11-02 17:10:00,IOSP
67.8,67.8,67.65,67.65,403,2020-11-02 17:15:00,IOSP
67.655,67.77,67.54,67.77,800,2020-11-02 17:20:00,IOSP
67.69,67.69,67.69,67.69,100,2020-11-02 17:25:00,IOSP
67.81,67.81,67.65,67.65,331,2020-11-02 17:30:00,IOSP
67.52,67.52,67.52,67.52,100,2020-11-02 17:35:00,IOSP
67.43,67.48,67.36,67.48,500,2020-11-02 17:40:00,IOSP
67.495,67.495,67.495,67.495,100,2020-11-02 17:45:00,IOSP
67.36,67.36,67.32,67.32,300,2020-11-02 17:50:00,IOSP
67.32,67.32,67.32,67.32,100,2020-11-02 17:55:00,IOSP
67.31,67.31,67.31,67.31,100,2020-11-02 18:00:00,IOSP
67.33,67.33,67.185,67.185,300,2020-11-02 18:05:00,IOSP
67.09,67.12,67.09,67.12,200,2020-11-02 18:10:00,IOSP
67.14,67.14,66.875,66.875,200,2020-11-02 18:15:00,IOSP
66.97,66.97,66.97,66.97,500,2020-11-02 18:20:00,IOSP
67.26,67.26,67.26,67.26,100,2020-11-02 18:25:00,IOSP
67.1193,67.1193,67.1193,67.1193,200,2020-11-02 18:30:00,IOSP
67.3,67.3,67.3,67.3,100,2020-11-02 18:35:00,IOSP
67.28,67.28,67.17,67.17,200,2020-11-02 18:40:00,IOSP
67.35,67.35,67.28,67.28,305,2020-11-02 18:50:00,IOSP
67.24,67.24,67.11,67.11,200,2020-11-02 18:55:00,IOSP
67.15,67.275,67.14,67.255,700,2020-11-02 19:00:00,IOSP
67.28,67.295,67.27,67.27,574,2020-11-02 19:05:00,IOSP
67.35,67.35,67.35,67.35,300,2020-11-02 19:10:00,IOSP
67.61,67.68,67.6,67.61,400,2020-11-02 19:15:00,IOSP
67.67,67.76,67.56,67.76,500,2020-11-02 19:20:00,IOSP
67.815,67.815,67.815,67.815,100,2020-11-02 19:25:00,IOSP
67.96,68.035,67.92,68.035,749,2020-11-02 19:35:00,IOSP
68.015,68.015,67.99,67.99,300,2020-11-02 19:40:00,IOSP
68.17,68.17,67.96,67.96,500,2020-11-02 19:45:00,IOSP
67.92,67.92,67.92,67.92,100,2020-11-02 19:50:00,IOSP
67.91,67.91,67.8,67.805,700,2020-11-02 20:00:00,IOSP
67.805,67.805,67.805,67.805,100,2020-11-02 20:05:00,IOSP
67.81,67.88,67.77,67.88,800,2020-11-02 20:10:00,IOSP
68.0,68.0,68.0,68.0,100,2020-11-02 20:15:00,IOSP
68.1,68.165,68.09,68.12,1200,2020-11-02 20:20:00,IOSP
67.99,68.025,67.99,68.025,300,2020-11-02 20:25:00,IOSP
67.8932,68.0,67.87,67.88,985,2020-11-02 20:30:00,IOSP
67.975,67.975,67.77,67.93,800,2020-11-02 20:35:00,IOSP
67.79,67.89,67.76,67.81,1500,2020-11-02 20:40:00,IOSP
67.87,68.2,67.81,68.2,2210,2020-11-02 20:45:00,IOSP
68.24,68.29,68.12,68.21,2601,2020-11-02 20:50:00,IOSP
68.23,68.35,68.17,68.35,9148,2020-11-02 20:55:00,IOSP
68.35,68.35,68.35,68.35,39637,2020-11-02 21:00:00,IOSP
69.7,70.27,68.05,68.47,17414,2020-11-03 14:30:00,IOSP
68.515,68.975,68.045,68.945,700,2020-11-03 14:35:00,IOSP
69.01,69.075,69.01,69.075,200,2020-11-03 14:55:00,IOSP
69.09,69.36,69.085,69.36,1100,2020-11-03 15:00:00,IOSP
69.33,69.59,69.33,69.59,300,2020-11-03 15:05:00,IOSP
69.28,69.28,69.28,69.28,100,2020-11-03 15:10:00,IOSP
69.02,69.02,69.02,69.02,100,2020-11-03 15:15:00,IOSP
68.63,68.63,68.63,68.63,100,2020-11-03 15:30:00,IOSP
68.65,68.65,68.65,68.65,100,2020-11-03 15:40:00,IOSP
68.39,68.62,68.39,68.59,800,2020-11-03 15:45:00,IOSP
68.47,68.62,68.44,68.525,400,2020-11-03 16:00:00,IOSP
68.54,68.57,68.54,68.57,200,2020-11-03 16:05:00,IOSP
68.56,68.56,68.52,68.56,300,2020-11-03 16:10:00,IOSP
68.51,68.51,68.39,68.39,400,2020-11-03 16:15:00,IOSP
68.32,68.32,68.32,68.32,200,2020-11-03 16:20:00,IOSP
68.3,68.38,68.3,68.38,300,2020-11-03 16:25:00,IOSP
68.04,68.15,68.02,68.15,400,2020-11-03 16:50:00,IOSP
68.02,68.02,68.02,68.02,100,2020-11-03 16:55:00,IOSP
67.93,67.93,67.93,67.93,100,2020-11-03 17:00:00,IOSP
68.0,68.0,67.93,67.95,600,2020-11-03 17:05:00,IOSP
68.0,68.0,67.955,67.965,500,2020-11-03 17:10:00,IOSP
67.96,67.96,67.81,67.81,800,2020-11-03 17:15:00,IOSP
67.87,67.95,67.87,67.87,1292,2020-11-03 17:20:00,IOSP
67.89,67.98,67.89,67.98,300,2020-11-03 17:30:00,IOSP
67.97,67.97,67.97,67.97,200,2020-11-03 17:35:00,IOSP
67.9125,67.97,67.895,67.895,300,2020-11-03 17:40:00,IOSP
68.07,68.13,68.07,68.13,600,2020-11-03 17:45:00,IOSP
68.0925,68.0925,68.0925,68.0925,100,2020-11-03 17:50:00,IOSP
68.065,68.065,68.065,68.065,100,2020-11-03 17:55:00,IOSP
67.985,68.0,67.985,67.995,300,2020-11-03 18:00:00,IOSP
67.955,67.955,67.955,67.955,100,2020-11-03 18:10:00,IOSP
67.955,67.955,67.92,67.92,300,2020-11-03 18:15:00,IOSP
68.0,68.04,68.0,68.04,300,2020-11-03 18:20:00,IOSP
68.13,68.2,68.13,68.2,300,2020-11-03 18:30:00,IOSP
68.19,68.19,68.13,68.13,300,2020-11-03 18:35:00,IOSP
68.09,68.09,68.09,68.09,100,2020-11-03 18:40:00,IOSP
68.02,68.02,68.02,68.02,100,2020-11-03 18:50:00,IOSP
68.08,68.1,68.01,68.015,1100,2020-11-03 18:55:00,IOSP
68.225,68.4,68.225,68.34,500,2020-11-03 19:00:00,IOSP
68.38,68.42,68.3,68.42,300,2020-11-03 19:05:00,IOSP
68.565,68.565,68.5,68.5,200,2020-11-03 19:10:00,IOSP
68.54,68.54,68.43,68.43,200,2020-11-03 19:15:00,IOSP
68.41,68.41,68.41,68.41,100,2020-11-03 19:20:00,IOSP
68.45,68.49,68.35,68.49,900,2020-11-03 19:30:00,IOSP
68.63,68.63,68.63,68.63,100,2020-11-03 19:35:00,IOSP
68.63,68.83,68.63,68.79,300,2020-11-03 19:45:00,IOSP
68.83,68.86,68.71,68.79,600,2020-11-03 19:50:00,IOSP
68.7,68.84,68.58,68.58,1104,2020-11-03 20:00:00,IOSP
68.44,68.44,68.44,68.44,100,2020-11-03 20:05:00,IOSP
68.41,68.51,68.41,68.42,1100,2020-11-03 20:10:00,IOSP
68.42,68.63,68.41,68.63,2210,2020-11-03 20:15:00,IOSP
68.7,68.73,68.545,68.545,764,2020-11-03 20:20:00,IOSP
68.5,68.7605,68.5,68.72,1050,2020-11-03 20:25:00,IOSP
68.76,68.76,68.755,68.755,200,2020-11-03 20:30:00,IOSP
68.775,68.775,68.64,68.64,300,2020-11-03 20:35:00,IOSP
68.7,68.94,68.7,68.86,1596,2020-11-03 20:40:00,IOSP
69.05,69.05,68.77,68.955,1914,2020-11-03 20:45:00,IOSP
69.04,69.15,69.04,69.15,1740,2020-11-03 20:50:00,IOSP
69.11,69.11,68.45,68.53,2699,2020-11-03 20:55:00,IOSP
68.63,68.63,68.63,68.63,13462,2020-11-03 21:00:00,IOSP
71.9,71.9,69.47,69.47,2092,2020-11-04 14:30:00,IOSP
69.11,69.84,67.92,67.92,500,2020-11-04 14:35:00,IOSP
67.81,67.87,67.55,67.55,300,2020-11-04 14:40:00,IOSP
68.365,68.365,68.365,68.365,100,2020-11-04 15:05:00,IOSP
68.365,68.365,68.035,68.035,211,2020-11-04 15:10:00,IOSP
68.63,68.63,68.06,68.37,2827,2020-11-04 15:35:00,IOSP
67.995,69.01,67.995,68.81,1500,2020-11-04 15:40:00,IOSP
68.85,69.13,68.85,68.99,704,2020-11-04 15:45:00,IOSP
69.01,69.16,69.01,69.14,400,2020-11-04 15:50:00,IOSP
68.985,69.04,68.86,69.04,700,2020-11-04 15:55:00,IOSP
68.83,68.83,68.83,68.83,150,2020-11-04 16:00:00,IOSP
68.77,68.88,68.585,68.585,600,2020-11-04 16:05:00,IOSP
68.42,68.97,68.42,68.8,1700,2020-11-04 16:10:00,IOSP
68.75,69.13,68.72,69.13,1100,2020-11-04 16:15:00,IOSP
68.25,70.0,68.25,70.0,1260,2020-11-04 16:20:00,IOSP
68.88,68.88,68.88,68.88,100,2020-11-04 16:30:00,IOSP
69.4,69.68,69.22,69.22,500,2020-11-04 16:35:00,IOSP
68.88,69.185,68.85,68.85,300,2020-11-04 16:40:00,IOSP
68.85,68.85,68.85,68.85,100,2020-11-04 16:45:00,IOSP
68.885,68.885,68.885,68.885,100,2020-11-04 16:50:00,IOSP
69.0,69.0,69.0,69.0,100,2020-11-04 16:55:00,IOSP
69.065,69.065,69.065,69.065,100,2020-11-04 17:00:00,IOSP
69.06,69.735,68.85,69.48,1872,2020-11-04 17:05:00,IOSP
69.77,69.98,69.7,69.7,900,2020-11-04 17:10:00,IOSP
69.5001,69.53,69.5001,69.53,200,2020-11-04 17:15:00,IOSP
69.495,69.495,69.495,69.495,100,2020-11-04 17:25:00,IOSP
68.945,68.945,68.945,68.945,100,2020-11-04 17:30:00,IOSP
68.76,69.84,68.76,69.275,3900,2020-11-04 17:45:00,IOSP
69.42,70.09,69.11,70.09,3814,2020-11-04 17:50:00,IOSP
69.93,69.93,69.85,69.875,502,2020-11-04 17:55:00,IOSP
69.37,69.37,69.37,69.37,100,2020-11-04 18:00:00,IOSP
69.875,69.94,69.36,69.9,1200,2020-11-04 18:05:00,IOSP
69.9,69.93,69.9,69.93,200,2020-11-04 18:15:00,IOSP
69.92,70.255,69.8,70.2,2200,2020-11-04 18:20:00,IOSP
70.12,70.23,69.78,69.78,11834,2020-11-04 18:25:00,IOSP
69.78,70.19,69.78,70.19,1171,2020-11-04 18:30:00,IOSP
70.19,70.405,70.185,70.405,538,2020-11-04 18:35:00,IOSP
70.33,70.39,69.81,69.89,2100,2020-11-04 18:40:00,IOSP
69.9,70.18,69.9,70.18,700,2020-11-04 18:45:00,IOSP
70.1325,70.225,70.025,70.2,900,2020-11-04 18:55:00,IOSP
70.18,70.24,69.9,69.9,9744,2020-11-04 19:10:00,IOSP
