open,high,low,close,volume,datetime,symbol
24.05,24.38,24.05,24.22,6173,2020-11-02 14:30:00,SHOO
24.105,24.105,23.91,23.99,400,2020-11-02 14:35:00,SHOO
23.92,23.98,23.835,23.87,5609,2020-11-02 14:40:00,SHOO
23.9,24.33,23.885,24.27,1800,2020-11-02 14:45:00,SHOO
23.99,24.09,23.99,24.09,311,2020-11-02 14:50:00,SHOO
23.95,24.09,23.9,24.03,3600,2020-11-02 14:55:00,SHOO
24.09,24.265,24.09,24.24,1500,2020-11-02 15:00:00,SHOO
24.18,24.28,24.18,24.215,1847,2020-11-02 15:05:00,SHOO
24.25,24.36,24.25,24.36,5263,2020-11-02 15:10:00,SHOO
24.34,24.42,24.3,24.42,1881,2020-11-02 15:15:00,SHOO
24.38,24.5,24.32,24.4996,4797,2020-11-02 15:20:00,SHOO
24.51,24.55,24.34,24.34,3584,2020-11-02 15:25:00,SHOO
24.37,24.38,24.29,24.29,3152,2020-11-02 15:30:00,SHOO
24.29,24.31,24.26,24.29,5326,2020-11-02 15:35:00,SHOO
24.28,24.38,24.27,24.37,3806,2020-11-02 15:40:00,SHOO
24.38,24.43,24.34,24.415,4817,2020-11-02 15:45:00,SHOO
24.43,24.45,24.25,24.28,2510,2020-11-02 15:50:00,SHOO
24.31,24.33,24.26,24.3,2958,2020-11-02 15:55:00,SHOO
24.28,24.43,24.275,24.36,3328,2020-11-02 16:00:00,SHOO
24.35,24.42,24.32,24.405,3514,2020-11-02 16:05:00,SHOO
24.39,24.47,24.38,24.47,3514,2020-11-02 16:10:00,SHOO
24.47,24.48,24.4275,24.4275,1032,2020-11-02 16:15:00,SHOO
24.36,24.41,24.32,24.41,2882,2020-11-02 16:20:00,SHOO
24.4,24.46,24.4,24.44,2312,2020-11-02 16:25:00,SHOO
24.41,24.44,24.41,24.425,3179,2020-11-02 16:30:00,SHOO
24.45,24.51,24.4243,24.48,2855,2020-11-02 16:35:00,SHOO
24.5,24.52,24.48,24.49,3932,2020-11-02 16:40:00,SHOO
24.48,24.49,24.4454,24.4454,2381,2020-11-02 16:45:00,SHOO
24.43,24.48,24.43,24.46,2300,2020-11-02 16:50:00,SHOO
24.445,24.46,24.41,24.425,2475,2020-11-02 16:55:00,SHOO
24.42,24.45,24.385,24.395,3730,2020-11-02 17:00:00,SHOO
24.39,24.42,24.385,24.385,4041,2020-11-02 17:05:00,SHOO
24.36,24.38,24.29,24.31,9305,2020-11-02 17:10:00,SHOO
24.305,24.32,24.27,24.295,2000,2020-11-02 17:15:00,SHOO
24.28,24.285,24.24,24.26,3370,2020-11-02 17:20:00,SHOO
24.26,24.32,24.24,24.32,4767,2020-11-02 17:25:00,SHOO
24.33,24.36,24.325,24.35,2200,2020-11-02 17:30:00,SHOO
24.35,24.35,24.25,24.27,5993,2020-11-02 17:35:00,SHOO
24.24,24.24,24.12,24.12,1600,2020-11-02 17:40:00,SHOO
24.11,24.12,23.99,24.07,6499,2020-11-02 17:45:00,SHOO
24.075,24.12,24.05,24.11,3604,2020-11-02 17:50:00,SHOO
24.1254,24.13,24.11,24.13,3010,2020-11-02 17:55:00,SHOO
24.12,24.15,24.07,24.11,5088,2020-11-02 18:00:00,SHOO
24.08,24.1,24.05,24.1,4037,2020-11-02 18:05:00,SHOO
