open,high,low,close,volume,datetime,symbol
70.65,70.65,70.53,70.53,4544,2020-11-02 14:30:00,VIGI
70.57,70.57,70.52,70.52,3806,2020-11-02 14:35:00,VIGI
70.52,70.52,70.52,70.52,300,2020-11-02 14:40:00,VIGI
70.605,70.63,70.58,70.62,3513,2020-11-02 14:45:00,VIGI
70.63,70.73,70.6224,70.73,1352,2020-11-02 14:50:00,VIGI
70.7225,70.7475,70.72,70.72,1047,2020-11-02 14:55:00,VIGI
70.82,70.82,70.82,70.82,500,2020-11-02 15:00:00,VIGI
70.7,70.7,70.67,70.7,2015,2020-11-02 15:05:00,VIGI
70.72,70.72,70.7066,70.7095,1274,2020-11-02 15:10:00,VIGI
70.69,70.72,70.69,70.7,2908,2020-11-02 15:15:00,VIGI
70.74,70.74,70.74,70.74,100,2020-11-02 15:20:00,VIGI
70.7305,70.7305,70.7305,70.7305,100,2020-11-02 15:25:00,VIGI
70.76,70.76,70.62,70.62,1150,2020-11-02 15:30:00,VIGI
70.6002,70.6002,70.6002,70.6002,100,2020-11-02 15:35:00,VIGI
70.6,70.6521,70.6,70.61,2306,2020-11-02 15:45:00,VIGI
70.64,70.655,70.64,70.65,2400,2020-11-02 15:50:00,VIGI
70.66,70.66,70.6515,70.6515,712,2020-11-02 15:55:00,VIGI
70.64,70.64,70.635,70.635,415,2020-11-02 16:05:00,VIGI
70.658,70.658,70.63,70.63,260,2020-11-02 16:10:00,VIGI
70.6366,70.65,70.635,70.635,828,2020-11-02 16:15:00,VIGI
70.54,70.55,70.54,70.55,600,2020-11-02 16:20:00,VIGI
70.59,70.6542,70.59,70.6542,800,2020-11-02 16:25:00,VIGI
70.63,70.66,70.6,70.65,2800,2020-11-02 16:30:00,VIGI
70.69,70.69,70.665,70.665,250,2020-11-02 16:35:00,VIGI
70.68,70.73,70.6657,70.72,10081,2020-11-02 16:40:00,VIGI
70.72,70.72,70.71,70.72,1200,2020-11-02 16:45:00,VIGI
