open,high,low,close,volume,datetime,symbol
30.2,30.21,30.2,30.21,662,2020-12-16 18:30:00,FICS
30.28,30.28,30.28,30.28,300,2020-12-16 20:15:00,FICS
30.7,30.7,30.7,30.7,400,2020-12-17 18:05:00,FICS
30.689,30.69,30.689,30.69,553,2020-12-17 18:50:00,FICS
30.635,30.635,30.635,30.635,500,2020-12-18 16:50:00,FICS
30.0,30.0,30.0,30.0,340,2020-12-21 15:00:00,FICS
30.34,30.42,30.3195,30.3195,3200,2020-12-22 15:25:00,FICS
30.369,30.39,30.369,30.3777,1000,2020-12-22 15:30:00,FICS
30.42,30.42,30.42,30.42,100,2020-12-22 15:35:00,FICS
30.4,30.4,30.4,30.4,100,2020-12-22 15:50:00,FICS
30.54,30.54,30.54,30.54,200,2020-12-23 17:00:00,FICS
30.53,30.53,30.53,30.53,525,2020-12-23 18:20:00,FICS
30.55,30.55,30.55,30.55,200,2020-12-23 18:30:00,FICS
30.53,30.53,30.53,30.53,100,2020-12-23 19:35:00,FICS
31.099,31.1,31.099,31.1,500,2020-12-29 18:20:00,FICS
31.177,31.177,31.177,31.177,375,2020-12-30 16:30:00,FICS
31.1196,31.1196,31.1196,31.1196,289,2020-12-30 20:30:00,FICS
30.94,31.0,30.931,31.0,3731,2020-12-31 16:15:00,FICS
30.99,30.99,30.9609,30.9609,400,2020-12-31 17:55:00,FICS
