open,high,low,close,volume,datetime,symbol
117.2,117.71,117.2,117.66,991,2020-12-01 14:25:00,GRMN
117.65,118.81,117.25,118.36,24213,2020-12-01 14:30:00,GRMN
118.23,118.63,118.21,118.43,6544,2020-12-01 14:35:00,GRMN
118.34,118.445,118.11,118.11,6598,2020-12-01 14:40:00,GRMN
118.18,118.425,117.85,117.9,5200,2020-12-01 14:45:00,GRMN
117.85,118.43,117.77,118.335,10698,2020-12-01 14:50:00,GRMN
118.4,118.94,118.38,118.83,21262,2020-12-01 14:55:00,GRMN
118.72,119.37,118.72,119.37,11499,2020-12-01 15:00:00,GRMN
119.43,119.57,119.16,119.37,11359,2020-12-01 15:05:00,GRMN
119.4,119.53,119.29,119.52,7904,2020-12-01 15:10:00,GRMN
119.57,119.76,119.57,119.7,2927,2020-12-01 15:15:00,GRMN
119.74,119.875,119.63,119.7,9163,2020-12-01 15:20:00,GRMN
119.7128,119.92,119.7,119.8,7799,2020-12-01 15:25:00,GRMN
119.87,119.99,119.71,119.735,16979,2020-12-01 15:30:00,GRMN
119.7503,119.81,119.34,119.34,5539,2020-12-01 15:35:00,GRMN
119.33,119.56,119.22,119.56,3084,2020-12-01 15:40:00,GRMN
119.51,119.51,119.28,119.34,3006,2020-12-01 15:45:00,GRMN
119.28,119.44,119.19,119.4,4170,2020-12-01 15:50:00,GRMN
119.45,119.57,119.425,119.57,2950,2020-12-01 15:55:00,GRMN
119.66,119.78,119.6,119.65,5230,2020-12-01 16:00:00,GRMN
119.69,119.86,119.54,119.85,8500,2020-12-01 16:05:00,GRMN
119.92,119.97,119.71,119.82,3892,2020-12-01 16:10:00,GRMN
119.75,119.88,119.75,119.81,3256,2020-12-01 16:15:00,GRMN
119.74,119.76,119.63,119.68,1888,2020-12-01 16:20:00,GRMN
119.71,119.71,119.37,119.62,5988,2020-12-01 16:25:00,GRMN
119.64,119.85,119.5208,119.5208,1846,2020-12-01 16:30:00,GRMN
119.565,119.565,119.25,119.41,2055,2020-12-01 16:35:00,GRMN
119.41,119.66,119.41,119.63,3845,2020-12-01 16:40:00,GRMN
119.64,119.7302,119.64,119.69,1895,2020-12-01 16:45:00,GRMN
119.63,119.67,119.5056,119.6,2568,2020-12-01 16:50:00,GRMN
119.53,119.59,119.42,119.485,1746,2020-12-01 16:55:00,GRMN
119.4,119.44,119.34,119.34,1380,2020-12-01 17:00:00,GRMN
119.365,119.53,119.27,119.53,2400,2020-12-01 17:05:00,GRMN
119.51,119.51,119.39,119.4,5212,2020-12-01 17:10:00,GRMN
119.4,119.4954,119.365,119.41,3857,2020-12-01 17:15:00,GRMN
119.33,119.34,119.22,119.22,1167,2020-12-01 17:20:00,GRMN
119.21,119.28,119.13,119.24,4169,2020-12-01 17:25:00,GRMN
119.26,119.32,119.11,119.1404,2923,2020-12-01 17:30:00,GRMN
119.15,119.2,119.15,119.19,1699,2020-12-01 17:35:00,GRMN
119.19,119.2,119.09,119.09,1513,2020-12-01 17:40:00,GRMN
119.08,119.3,119.08,119.3,1900,2020-12-01 17:45:00,GRMN
119.29,119.34,119.22,119.24,2577,2020-12-01 17:50:00,GRMN
119.25,119.28,119.17,119.23,2111,2020-12-01 17:55:00,GRMN
119.21,119.41,119.21,119.33,3244,2020-12-01 18:00:00,GRMN
119.36,119.36,119.18,119.31,1851,2020-12-01 18:05:00,GRMN
119.25,119.31,119.18,119.25,1800,2020-12-01 18:10:00,GRMN
119.23,119.33,119.19,119.19,2870,2020-12-01 18:15:00,GRMN
119.2,119.305,119.2,119.245,1410,2020-12-01 18:20:00,GRMN
119.26,119.39,119.25,119.34,2589,2020-12-01 18:25:00,GRMN
119.2801,119.35,119.28,119.35,1649,2020-12-01 18:30:00,GRMN
119.33,119.42,119.33,119.42,1600,2020-12-01 18:35:00,GRMN
119.33,119.37,119.33,119.35,1300,2020-12-01 18:40:00,GRMN
119.32,119.37,119.27,119.3,3280,2020-12-01 18:45:00,GRMN
119.3,119.4,119.28,119.3708,3995,2020-12-01 18:50:00,GRMN
119.39,119.53,119.37,119.53,2433,2020-12-01 18:55:00,GRMN
119.61,119.72,119.605,119.72,3053,2020-12-01 19:00:00,GRMN
119.725,119.725,119.61,119.6261,2995,2020-12-01 19:05:00,GRMN
119.67,119.8537,119.65,119.8537,2517,2020-12-01 19:10:00,GRMN
119.75,119.77,119.7,119.77,1800,2020-12-01 19:15:00,GRMN
119.7,119.7,119.48,119.5116,1895,2020-12-01 19:20:00,GRMN
119.53,119.55,119.49,119.55,1680,2020-12-01 19:25:00,GRMN
119.52,119.52,119.29,119.29,2134,2020-12-01 19:30:00,GRMN
119.33,119.58,119.33,119.55,3528,2020-12-01 19:35:00,GRMN
119.54,119.67,119.51,119.66,2712,2020-12-01 19:40:00,GRMN
119.67,119.685,119.55,119.68,4900,2020-12-01 19:45:00,GRMN
119.68,119.88,119.65,119.805,8900,2020-12-01 19:50:00,GRMN
119.81,119.93,119.64,119.81,7100,2020-12-01 19:55:00,GRMN
119.76,119.83,119.76,119.78,6750,2020-12-01 20:00:00,GRMN
119.775,119.8,119.65,119.74,18974,2020-12-01 20:05:00,GRMN
119.74,119.83,119.67,119.82,6034,2020-12-01 20:10:00,GRMN
119.79,119.87,119.73,119.75,8747,2020-12-01 20:15:00,GRMN
119.745,119.87,119.74,119.82,8676,2020-12-01 20:20:00,GRMN
119.8,119.805,119.56,119.64,5449,2020-12-01 20:25:00,GRMN
119.64,119.65,119.44,119.65,5513,2020-12-01 20:30:00,GRMN
119.6,119.75,119.59,119.62,8714,2020-12-01 20:35:00,GRMN
119.64,119.64,119.46,119.52,7414,2020-12-01 20:40:00,GRMN
119.53,119.78,119.46,119.78,16154,2020-12-01 20:45:00,GRMN
119.76,119.8,119.6,119.6,33316,2020-12-01 20:50:00,GRMN
119.6,119.88,119.6,119.81,53654,2020-12-01 20:55:00,GRMN
119.8,119.8,119.8,119.8,178909,2020-12-01 21:00:00,GRMN
119.8,119.8,119.8,119.8,9395,2020-12-01 22:10:00,GRMN
119.8,119.8,119.8,119.8,108,2020-12-01 23:20:00,GRMN
119.79,119.79,119.79,119.79,200,2020-12-01 23:25:00,GRMN
117.51,117.51,116.83,116.83,200,2020-12-02 14:00:00,GRMN
120.0,120.0,118.9167,119.398,30458,2020-12-02 14:30:00,GRMN
119.35,119.59,119.02,119.42,5390,2020-12-02 14:35:00,GRMN
119.34,119.56,119.31,119.33,3780,2020-12-02 14:40:00,GRMN
119.41,119.51,119.38,119.44,1500,2020-12-02 14:45:00,GRMN
119.395,119.47,119.3,119.425,1918,2020-12-02 14:50:00,GRMN
119.465,119.6,119.41,119.55,2890,2020-12-02 14:55:00,GRMN
119.64,119.7,119.57,119.57,1877,2020-12-02 15:00:00,GRMN
119.64,119.85,119.52,119.67,4016,2020-12-02 15:05:00,GRMN
119.67,119.68,119.485,119.54,2233,2020-12-02 15:10:00,GRMN
119.44,119.44,119.31,119.42,4623,2020-12-02 15:15:00,GRMN
119.455,119.66,119.455,119.59,6631,2020-12-02 15:20:00,GRMN
119.59,119.6,119.43,119.54,2205,2020-12-02 15:25:00,GRMN
119.51,119.525,119.32,119.43,3413,2020-12-02 15:30:00,GRMN
119.47,119.66,119.47,119.55,6459,2020-12-02 15:35:00,GRMN
119.52,119.52,119.34,119.4,1938,2020-12-02 15:40:00,GRMN
119.49,119.63,119.43,119.435,5300,2020-12-02 15:45:00,GRMN
119.36,119.36,119.12,119.175,6113,2020-12-02 15:50:00,GRMN
119.22,119.27,119.11,119.16,4722,2020-12-02 15:55:00,GRMN
119.23,119.38,119.23,119.3304,4900,2020-12-02 16:00:00,GRMN
119.28,119.28,118.94,118.94,2205,2020-12-02 16:05:00,GRMN
118.9,119.1,118.805,118.805,6596,2020-12-02 16:10:00,GRMN
118.624,118.72,118.56,118.655,5714,2020-12-02 16:15:00,GRMN
118.655,118.77,118.655,118.73,1815,2020-12-02 16:20:00,GRMN
118.7601,118.78,118.56,118.75,2395,2020-12-02 16:25:00,GRMN
118.81,118.83,118.695,118.71,3692,2020-12-02 16:30:00,GRMN
118.875,118.88,118.71,118.76,4110,2020-12-02 16:35:00,GRMN
118.79,118.81,118.71,118.81,1360,2020-12-02 16:40:00,GRMN
118.8,118.8,118.43,118.485,7138,2020-12-02 16:45:00,GRMN
118.44,118.465,118.18,118.18,900,2020-12-02 16:50:00,GRMN
118.2,118.21,118.05,118.08,2256,2020-12-02 16:55:00,GRMN
118.12,118.255,118.1,118.23,3509,2020-12-02 17:00:00,GRMN
118.305,118.305,118.08,118.08,1300,2020-12-02 17:05:00,GRMN
118.06,118.33,118.05,118.12,9260,2020-12-02 17:10:00,GRMN
118.21,118.23,118.13,118.19,1871,2020-12-02 17:15:00,GRMN
118.15,118.16,118.07,118.085,2156,2020-12-02 17:20:00,GRMN
118.1,118.29,118.1,118.21,2533,2020-12-02 17:25:00,GRMN
118.21,118.27,118.17,118.17,1300,2020-12-02 17:30:00,GRMN
118.195,118.22,118.13,118.16,2447,2020-12-02 17:35:00,GRMN
118.18,118.25,118.18,118.23,1413,2020-12-02 17:40:00,GRMN
118.27,118.35,118.22,118.22,2902,2020-12-02 17:45:00,GRMN
118.2,118.21,118.1,118.19,1585,2020-12-02 17:50:00,GRMN
118.22,118.22,118.15,118.15,1204,2020-12-02 17:55:00,GRMN
118.07,118.24,118.07,118.24,1135,2020-12-02 18:00:00,GRMN
118.18,118.18,118.03,118.08,1069,2020-12-02 18:05:00,GRMN
118.03,118.15,118.03,118.11,2706,2020-12-02 18:10:00,GRMN
118.06,118.18,118.051,118.06,1948,2020-12-02 18:15:00,GRMN
118.06,118.07,118.0,118.06,1133,2020-12-02 18:20:00,GRMN
117.97,117.97,117.79,117.9,600,2020-12-02 18:25:00,GRMN
117.9,118.15,117.9,118.07,2500,2020-12-02 18:30:00,GRMN
118.11,118.2,118.11,118.2,1000,2020-12-02 18:35:00,GRMN
118.24,118.25,118.07,118.19,1752,2020-12-02 18:40:00,GRMN
118.22,118.3715,118.22,118.3715,5181,2020-12-02 18:45:00,GRMN
118.28,118.28,118.22,118.2283,623,2020-12-02 18:50:00,GRMN
118.24,118.32,118.17,118.19,1100,2020-12-02 18:55:00,GRMN
118.15,118.29,118.15,118.265,2317,2020-12-02 19:00:00,GRMN
118.27,118.29,118.18,118.195,2201,2020-12-02 19:05:00,GRMN
118.185,118.25,118.15,118.2,2810,2020-12-02 19:10:00,GRMN
118.205,118.41,118.205,118.41,1700,2020-12-02 19:15:00,GRMN
118.3301,118.46,118.29,118.295,2215,2020-12-02 19:20:00,GRMN
118.24,118.27,118.16,118.27,2323,2020-12-02 19:25:00,GRMN
118.27,118.39,118.27,118.39,905,2020-12-02 19:30:00,GRMN
118.39,118.46,118.365,118.42,2400,2020-12-02 19:35:00,GRMN
118.43,118.5,118.42,118.42,2118,2020-12-02 19:40:00,GRMN
118.435,118.47,118.37,118.42,3297,2020-12-02 19:45:00,GRMN
118.445,118.52,118.44,118.51,700,2020-12-02 19:50:00,GRMN
118.48,118.49,118.34,118.45,2006,2020-12-02 19:55:00,GRMN
118.4,118.4899,118.36,118.36,2223,2020-12-02 20:00:00,GRMN
118.39,118.4,118.33,118.34,2600,2020-12-02 20:05:00,GRMN
118.3254,118.435,118.24,118.24,4895,2020-12-02 20:10:00,GRMN
118.22,118.25,118.1,118.16,4005,2020-12-02 20:15:00,GRMN
118.11,118.14,118.01,118.02,3102,2020-12-02 20:20:00,GRMN
118.02,118.04,117.93,117.94,9153,2020-12-02 20:25:00,GRMN
117.96,118.02,117.905,117.98,6050,2020-12-02 20:30:00,GRMN
117.995,118.05,117.86,118.02,6249,2020-12-02 20:35:00,GRMN
118.02,118.15,117.99,118.12,3600,2020-12-02 20:40:00,GRMN
118.1,118.54,118.09,118.5,10187,2020-12-02 20:45:00,GRMN
118.5,118.62,118.24,118.26,19537,2020-12-02 20:50:00,GRMN
118.34,118.53,118.31,118.47,30767,2020-12-02 20:55:00,GRMN
118.48,118.48,118.48,118.48,111668,2020-12-02 21:00:00,GRMN
118.48,118.48,118.48,118.48,19458,2020-12-02 22:20:00,GRMN
119.0,119.0,119.0,119.0,100,2020-12-03 14:00:00,GRMN
118.24,118.82,118.24,118.82,9965,2020-12-03 14:30:00,GRMN
