open,high,low,close,volume,datetime,symbol
4.3,4.3,4.3,4.3,500,2020-12-01 00:00:00,KERN
4.3,4.3,4.3,4.3,270,2020-12-01 00:10:00,KERN
4.2999,4.33,4.2999,4.33,1498,2020-12-01 00:15:00,KERN
4.33,4.33,4.33,4.33,332,2020-12-01 00:20:00,KERN
4.3299,4.3299,4.3299,4.3299,607,2020-12-01 00:25:00,KERN
4.29,4.33,4.29,4.3299,1775,2020-12-01 00:40:00,KERN
4.33,4.33,4.33,4.33,1500,2020-12-01 00:45:00,KERN
4.33,4.34,4.33,4.34,2129,2020-12-01 00:50:00,KERN
4.3,4.3,4.29,4.29,700,2020-12-01 00:55:00,KERN
4.34,4.34,4.34,4.34,800,2020-12-01 09:05:00,KERN
4.34,4.34,4.34,4.34,150,2020-12-01 09:10:00,KERN
4.34,4.34,4.28,4.28,283,2020-12-01 09:20:00,KERN
4.22,4.22,4.22,4.22,100,2020-12-01 09:25:00,KERN
4.16,4.16,4.15,4.15,200,2020-12-01 09:30:00,KERN
4.14,4.14,4.12,4.12,1100,2020-12-01 09:35:00,KERN
4.11,4.12,4.11,4.12,230,2020-12-01 09:40:00,KERN
4.25,4.25,4.25,4.25,200,2020-12-01 09:50:00,KERN
4.25,4.25,4.12,4.12,933,2020-12-01 09:55:00,KERN
4.25,4.28,4.25,4.25,1100,2020-12-01 10:00:00,KERN
4.2,4.2,4.2,4.2,100,2020-12-01 10:35:00,KERN
4.2,4.2,4.2,4.2,100,2020-12-01 11:10:00,KERN
4.16,4.19,4.16,4.18,1621,2020-12-01 12:00:00,KERN
4.25,4.3,4.25,4.3,1623,2020-12-01 12:10:00,KERN
4.3,4.33,4.3,4.33,583,2020-12-01 12:15:00,KERN
4.31,4.31,4.31,4.31,100,2020-12-01 12:20:00,KERN
4.3,4.3,4.3,4.3,721,2020-12-01 12:30:00,KERN
4.33,4.33,4.33,4.33,849,2020-12-01 12:50:00,KERN
4.3001,4.3001,4.3,4.3,840,2020-12-01 12:55:00,KERN
4.33,4.33,4.29,4.29,4108,2020-12-01 13:00:00,KERN
4.29,4.29,4.29,4.29,100,2020-12-01 13:05:00,KERN
4.29,4.2901,4.29,4.29,1200,2020-12-01 13:10:00,KERN
4.32,4.32,4.3,4.3,454,2020-12-01 13:15:00,KERN
4.29,4.29,4.26,4.26,1730,2020-12-01 13:20:00,KERN
4.3,4.3001,4.3,4.3001,1370,2020-12-01 13:25:00,KERN
4.3,4.3,4.2499,4.25,2479,2020-12-01 13:30:00,KERN
4.25,4.25,4.24,4.24,1300,2020-12-01 13:35:00,KERN
4.22,4.2201,4.22,4.2201,490,2020-12-01 13:40:00,KERN
4.22,4.27,4.22,4.26,2285,2020-12-01 13:45:00,KERN
4.3099,4.32,4.2401,4.2401,1090,2020-12-01 13:50:00,KERN
4.25,4.32,4.22,4.32,523,2020-12-01 13:55:00,KERN
4.2201,4.2201,4.21,4.21,2622,2020-12-01 14:00:00,KERN
4.22,4.3,4.22,4.25,1241,2020-12-01 14:05:00,KERN
4.25,4.25,4.25,4.25,900,2020-12-01 14:10:00,KERN
4.3,4.34,4.2901,4.33,7776,2020-12-01 14:20:00,KERN
4.33,4.34,4.33,4.34,1992,2020-12-01 14:25:00,KERN
4.33,4.39,4.15,4.18,135986,2020-12-01 14:30:00,KERN
4.165,4.18,4.08,4.16,79176,2020-12-01 14:35:00,KERN
4.14,4.14,3.9,3.95,186275,2020-12-01 14:40:00,KERN
3.95,4.06,3.95,4.01,68501,2020-12-01 14:45:00,KERN
4.02,4.025,3.96,3.9899,36221,2020-12-01 14:50:00,KERN
3.9899,3.99,3.85,3.9221,79425,2020-12-01 14:55:00,KERN
3.935,3.9856,3.88,3.9393,28273,2020-12-01 15:00:00,KERN
3.93,3.95,3.9,3.9298,31371,2020-12-01 15:05:00,KERN
3.9276,3.94,3.88,3.9294,26663,2020-12-01 15:10:00,KERN
3.9294,3.9801,3.92,3.9601,18284,2020-12-01 15:15:00,KERN
3.97,3.97,3.905,3.9499,40730,2020-12-01 15:20:00,KERN
3.932,4.1,3.93,4.1,154979,2020-12-01 15:25:00,KERN
4.085,4.1,4.02,4.05,61984,2020-12-01 15:30:00,KERN
4.0432,4.0445,3.9,3.9,39085,2020-12-01 15:35:00,KERN
3.905,3.95,3.8999,3.9039,27844,2020-12-01 15:40:00,KERN
3.92,3.93,3.9,3.9182,23286,2020-12-01 15:45:00,KERN
3.92,3.93,3.9,3.9266,16256,2020-12-01 15:50:00,KERN
3.9294,3.9294,3.815,3.87,44786,2020-12-01 15:55:00,KERN
3.8668,3.8668,3.82,3.82,16979,2020-12-01 16:00:00,KERN
3.83,3.84,3.72,3.76,72187,2020-12-01 16:05:00,KERN
3.753,3.87,3.753,3.8256,38926,2020-12-01 16:10:00,KERN
3.825,3.8861,3.82,3.8861,10590,2020-12-01 16:15:00,KERN
3.885,3.89,3.8501,3.875,9857,2020-12-01 16:20:00,KERN
3.87,3.88,3.82,3.865,13975,2020-12-01 16:25:00,KERN
3.86,3.87,3.81,3.8587,20628,2020-12-01 16:30:00,KERN
3.85,3.885,3.85,3.8701,10726,2020-12-01 16:35:00,KERN
3.88,3.94,3.8713,3.9198,21062,2020-12-01 16:40:00,KERN
3.9207,3.925,3.9,3.9085,12307,2020-12-01 16:45:00,KERN
3.9,3.91,3.88,3.89,15287,2020-12-01 16:50:00,KERN
3.885,3.89,3.86,3.8603,24484,2020-12-01 16:55:00,KERN
3.86,3.8786,3.86,3.8786,1277,2020-12-01 17:00:00,KERN
3.89,3.89,3.8801,3.8801,8700,2020-12-01 17:05:00,KERN
3.8801,3.885,3.86,3.8757,18203,2020-12-01 17:10:00,KERN
3.86,3.86,3.81,3.81,9790,2020-12-01 17:15:00,KERN
3.81,3.81,3.8,3.8049,11547,2020-12-01 17:20:00,KERN
3.8,3.82,3.77,3.8041,10256,2020-12-01 17:25:00,KERN
3.8112,3.8112,3.77,3.795,3480,2020-12-01 17:30:00,KERN
3.795,3.8184,3.785,3.8184,16072,2020-12-01 17:35:00,KERN
3.8199,3.82,3.8,3.8168,14794,2020-12-01 17:40:00,KERN
3.81,3.8299,3.8,3.8299,15829,2020-12-01 17:45:00,KERN
3.8293,3.84,3.8293,3.835,4844,2020-12-01 17:50:00,KERN
3.8307,3.84,3.8307,3.84,7625,2020-12-01 17:55:00,KERN
3.838,3.84,3.8199,3.82,19523,2020-12-01 18:00:00,KERN
3.8299,3.83,3.825,3.83,1550,2020-12-01 18:05:00,KERN
3.8299,3.83,3.82,3.8266,4176,2020-12-01 18:10:00,KERN
3.8208,3.83,3.82,3.825,2895,2020-12-01 18:15:00,KERN
3.8215,3.825,3.82,3.8201,2662,2020-12-01 18:20:00,KERN
3.825,3.83,3.8,3.8,4088,2020-12-01 18:25:00,KERN
