open,high,low,close,volume,datetime,symbol
49.17,49.17,49.17,49.17,130,2020-12-01 14:30:00,LRGE
49.36,49.36,49.34,49.34,358,2020-12-01 14:45:00,LRGE
49.26,49.26,49.26,49.26,129,2020-12-01 14:55:00,LRGE
49.23,49.23,49.23,49.23,200,2020-12-01 15:45:00,LRGE
49.33,49.33,49.33,49.33,500,2020-12-01 16:00:00,LRGE
49.36,49.36,49.36,49.36,237,2020-12-01 16:30:00,LRGE
49.38,49.38,49.38,49.38,441,2020-12-01 16:35:00,LRGE
49.42,49.42,49.345,49.345,200,2020-12-01 16:45:00,LRGE
49.39,49.39,49.39,49.39,406,2020-12-01 16:50:00,LRGE
49.5,49.5,49.5,49.5,202,2020-12-01 17:15:00,LRGE
49.5,49.5,49.5,49.5,100,2020-12-01 17:35:00,LRGE
49.47,49.485,49.47,49.47,500,2020-12-01 17:40:00,LRGE
49.4744,49.4744,49.4744,49.4744,300,2020-12-01 17:45:00,LRGE
49.445,49.445,49.445,49.445,118,2020-12-01 18:15:00,LRGE
49.5273,49.5273,49.5273,49.5273,1000,2020-12-01 19:00:00,LRGE
49.49,49.49,49.49,49.49,448,2020-12-01 19:05:00,LRGE
49.57,49.57,49.57,49.57,500,2020-12-01 19:10:00,LRGE
49.495,49.495,49.495,49.495,1084,2020-12-01 19:25:00,LRGE
49.5499,49.5499,49.5499,49.5499,273,2020-12-01 19:40:00,LRGE
49.4,49.45,49.4,49.45,365,2020-12-01 20:05:00,LRGE
49.31,49.31,49.31,49.31,491,2020-12-01 20:45:00,LRGE
49.29,49.29,49.29,49.29,780,2020-12-01 20:55:00,LRGE
49.11,49.11,49.11,49.11,446,2020-12-02 14:30:00,LRGE
48.894,48.988,48.894,48.9296,1875,2020-12-02 14:50:00,LRGE
49.02,49.02,48.9999,48.9999,7820,2020-12-02 14:55:00,LRGE
48.9379,48.9968,48.9379,48.9968,7750,2020-12-02 15:05:00,LRGE
49.184,49.188,49.184,49.188,818,2020-12-02 16:05:00,LRGE
49.19,49.19,49.19,49.19,1491,2020-12-02 16:15:00,LRGE
49.2499,49.2499,49.2499,49.2499,150,2020-12-02 16:35:00,LRGE
49.165,49.165,49.165,49.165,197,2020-12-02 16:45:00,LRGE
49.22,49.24,49.22,49.24,1835,2020-12-02 16:55:00,LRGE
49.22,49.2239,49.21,49.2239,700,2020-12-02 17:30:00,LRGE
49.1975,49.2025,49.19,49.2025,500,2020-12-02 17:40:00,LRGE
49.205,49.205,49.205,49.205,203,2020-12-02 17:55:00,LRGE
49.195,49.195,49.195,49.195,400,2020-12-02 19:00:00,LRGE
49.3582,49.3582,49.3582,49.3582,610,2020-12-02 19:40:00,LRGE
49.29,49.32,49.29,49.32,500,2020-12-02 19:55:00,LRGE
49.31,49.31,49.2894,49.2894,544,2020-12-02 20:10:00,LRGE
49.24,49.24,49.24,49.24,100,2020-12-02 20:25:00,LRGE
49.2,49.23,49.2,49.23,202,2020-12-02 20:30:00,LRGE
