open,high,low,close,volume,datetime,symbol
11.3,11.45,11.0,11.08,1508331,2020-12-31 06:00:00,BLDE
11.1,11.37,10.7,11.2,1640236,2021-01-04 06:00:00,BLDE
11.05,11.2,10.85,10.99,1205770,2021-01-05 06:00:00,BLDE
10.9,11.75,10.9,11.18,2585435,2021-01-06 06:00:00,BLDE
11.3,11.79,11.15,11.18,1151119,2021-01-07 06:00:00,BLDE
11.54,13.11,11.42,12.27,4815066,2021-01-08 06:00:00,BLDE
12.0,13.43,12.0,12.85,2131743,2021-01-11 06:00:00,BLDE
14.58,15.48,14.12,14.45,4424135,2021-01-12 06:00:00,BLDE
14.24,14.3,13.82,14.13,1483849,2021-01-13 06:00:00,BLDE
15.0,15.47,14.56,14.64,2462558,2021-01-14 06:00:00,BLDE
15.12,15.5,13.85,14.13,2188614,2021-01-15 06:00:00,BLDE
14.858,14.87,14.13,14.24,1870803,2021-01-19 06:00:00,BLDE
14.3,14.38,13.66,14.06,1551879,2021-01-20 06:00:00,BLDE
15.44,15.84,14.91,15.16,4008639,2021-01-21 06:00:00,BLDE
14.85,15.59,14.6,14.88,1762988,2021-01-22 06:00:00,BLDE
15.25,15.35,13.85,14.61,2536713,2021-01-25 06:00:00,BLDE
14.7331,14.88,14.41,14.55,1194061,2021-01-26 06:00:00,BLDE
14.05,14.49,13.7,14.0,1837920,2021-01-27 06:00:00,BLDE
14.42,15.2,13.89,14.86,2153581,2021-01-28 06:00:00,BLDE
14.93,15.35,14.19,14.75,1522068,2021-01-29 06:00:00,BLDE
15.06,15.76,14.7,15.46,2217979,2021-02-01 06:00:00,BLDE
15.84,16.18,15.24,15.5,920910,2021-02-02 06:00:00,BLDE
15.425,15.65,14.86,15.19,992414,2021-02-03 06:00:00,BLDE
15.69,15.75,14.77,14.96,1339068,2021-02-04 06:00:00,BLDE
15.08,15.58,14.61,15.12,1727219,2021-02-05 06:00:00,BLDE
15.3,15.8427,15.06,15.25,1648476,2021-02-08 06:00:00,BLDE
15.62,16.0,15.3,15.94,1613310,2021-02-09 06:00:00,BLDE
17.32,17.77,15.94,16.84,3120303,2021-02-10 06:00:00,BLDE
17.58,18.6,17.22,17.41,2294614,2021-02-11 06:00:00,BLDE
18.5,19.12,18.055,18.4,2761430,2021-02-12 06:00:00,BLDE
19.5,19.88,17.72,18.6,2134484,2021-02-16 06:00:00,BLDE
18.09,18.45,16.36,17.98,3285721,2021-02-17 06:00:00,BLDE
17.04,17.6799,16.76,17.41,1390181,2021-02-18 06:00:00,BLDE
18.0,18.24,17.51,17.95,1256296,2021-02-19 06:00:00,BLDE
17.4,17.75,16.78,16.9,1237411,2021-02-22 06:00:00,BLDE
15.23,16.44,13.75,16.37,3782777,2021-02-23 06:00:00,BLDE
15.88,16.76,15.88,16.5,1073733,2021-02-24 06:00:00,BLDE
16.0,16.615,14.633,15.26,1970442,2021-02-25 06:00:00,BLDE
15.26,15.4399,13.83,15.27,2190650,2021-02-26 06:00:00,BLDE
15.5,15.6996,14.55,15.31,1336794,2021-03-01 06:00:00,BLDE
15.08,15.31,14.0922,14.41,2219071,2021-03-02 06:00:00,BLDE
14.2,14.5891,13.2001,13.68,2185593,2021-03-03 06:00:00,BLDE
13.25,13.55,11.5,12.91,3113947,2021-03-04 06:00:00,BLDE
12.34,12.75,11.48,12.6,2185513,2021-03-05 06:00:00,BLDE
12.75,12.77,11.41,11.51,1490371,2021-03-08 06:00:00,BLDE
12.05,12.26,11.42,11.79,1987644,2021-03-09 06:00:00,BLDE
12.1827,12.35,11.06,11.35,3240885,2021-03-10 06:00:00,BLDE
11.76,13.48,11.55,13.4,2047605,2021-03-11 06:00:00,BLDE
12.5,13.2,12.3,12.98,819933,2021-03-12 06:00:00,BLDE
13.04,13.4,12.7053,13.18,550523,2021-03-15 05:00:00,BLDE
13.2,13.73,12.11,12.35,1271110,2021-03-16 05:00:00,BLDE
12.09,12.45,11.55,12.2,1232939,2021-03-17 05:00:00,BLDE
11.95,12.15,11.58,11.81,1046094,2021-03-18 05:00:00,BLDE
11.72,11.985,11.25,11.92,793951,2021-03-19 05:00:00,BLDE
12.18,12.18,11.56,11.81,576223,2021-03-22 05:00:00,BLDE
11.6327,11.65,11.21,11.45,724735,2021-03-23 05:00:00,BLDE
11.362,11.46,10.6372,10.81,1347120,2021-03-24 05:00:00,BLDE
10.36,10.77,10.3353,10.64,1383953,2021-03-25 05:00:00,BLDE
10.71,10.91,10.53,10.74,740297,2021-03-26 05:00:00,BLDE
10.85,10.85,10.31,10.39,1038362,2021-03-29 05:00:00,BLDE
10.25,10.62,10.2,10.56,883439,2021-03-30 05:00:00,BLDE
10.55,10.635,10.25,10.29,981127,2021-03-31 05:00:00,BLDE
10.35,10.53,10.21,10.53,969699,2021-04-01 05:00:00,BLDE
10.43,10.96,10.26,10.71,1830096,2021-04-05 05:00:00,BLDE
10.6,10.8343,10.45,10.72,545654,2021-04-06 05:00:00,BLDE
10.71,10.77,10.36,10.4,625444,2021-04-07 05:00:00,BLDE
10.47,10.48,10.31,10.44,403378,2021-04-08 05:00:00,BLDE
10.49,10.49,10.26,10.4,461366,2021-04-09 05:00:00,BLDE
10.38,10.62,10.225,10.34,492391,2021-04-12 05:00:00,BLDE
10.36,10.36,10.1602,10.31,999844,2021-04-13 05:00:00,BLDE
10.28,10.52,10.11,10.52,999535,2021-04-14 05:00:00,BLDE
10.4,10.45,10.07,10.27,1423436,2021-04-15 05:00:00,BLDE
10.27,10.27,9.96,9.97,1715484,2021-04-16 05:00:00,BLDE
9.98,10.02,9.95,10.02,2175300,2021-04-19 05:00:00,BLDE
10.02,10.05,9.97,9.99,1414815,2021-04-20 05:00:00,BLDE
10.0,10.09,9.975,9.99,837101,2021-04-21 05:00:00,BLDE
10.0,10.07,9.98,10.0,876882,2021-04-22 05:00:00,BLDE
10.06,10.08,10.01,10.06,692480,2021-04-23 05:00:00,BLDE
10.035,10.07,10.02,10.05,667985,2021-04-26 05:00:00,BLDE
10.04,10.06,10.03,10.04,464706,2021-04-27 05:00:00,BLDE
10.04,10.05,10.03,10.04,1234825,2021-04-28 05:00:00,BLDE
10.05,10.06,10.03,10.05,1175148,2021-04-29 05:00:00,BLDE
9.99,10.04,9.62,9.95,1013848,2021-04-30 05:00:00,BLDE
9.9,10.02,9.685,9.99,1190982,2021-05-03 05:00:00,BLDE
9.95,10.0,9.45,10.0,1163238,2021-05-04 05:00:00,BLDE
9.85,10.0,9.63,9.72,458978,2021-05-05 05:00:00,BLDE
9.71,9.71,8.5126,9.01,2292071,2021-05-06 05:00:00,BLDE
9.17,9.18,8.605,8.7,875496,2021-05-07 05:00:00,BLDE
9.73,9.73,7.65,7.72,730963,2021-05-10 05:00:00,BLDE
7.22,8.25,7.05,7.79,989127,2021-05-11 05:00:00,BLDE
7.8,8.2,7.1,7.32,1042257,2021-05-12 05:00:00,BLDE
7.5,7.6,6.41,6.94,1629623,2021-05-13 05:00:00,BLDE
7.17,7.17,6.66,7.07,980462,2021-05-14 05:00:00,BLDE
6.95,7.9299,6.88,7.5,780336,2021-05-17 05:00:00,BLDE
7.79,9.08,7.79,8.34,2239694,2021-05-18 05:00:00,BLDE
8.24,9.05,8.2196,8.79,932271,2021-05-19 05:00:00,BLDE
8.86,9.08,8.26,8.39,1142772,2021-05-20 05:00:00,BLDE
8.61,8.6599,8.15,8.23,666956,2021-05-21 05:00:00,BLDE
8.34,8.765,8.21,8.4,458522,2021-05-24 05:00:00,BLDE
8.87,8.87,8.42,8.51,542414,2021-05-25 05:00:00,BLDE
8.54,9.07,8.5,8.73,571308,2021-05-26 05:00:00,BLDE
8.95,10.15,8.89,9.69,1155438,2021-05-27 05:00:00,BLDE
9.81,10.09,9.54,9.72,477422,2021-05-28 05:00:00,BLDE
9.9,10.23,9.82,9.96,618172,2021-06-01 05:00:00,BLDE
10.03,10.0528,9.44,9.77,397462,2021-06-02 05:00:00,BLDE
10.1,10.98,10.01,10.98,2070182,2021-06-03 05:00:00,BLDE
10.84,11.0,10.58,10.74,540311,2021-06-04 05:00:00,BLDE
10.82,11.0119,10.4,10.61,693998,2021-06-07 05:00:00,BLDE
10.53,10.79,9.85,10.3,916388,2021-06-08 05:00:00,BLDE
10.3,10.7,9.94,10.23,832046,2021-06-09 05:00:00,BLDE
10.15,10.62,10.121,10.46,542766,2021-06-10 05:00:00,BLDE
10.64,10.84,10.2672,10.79,687265,2021-06-11 05:00:00,BLDE
10.77,10.99,10.13,10.17,1097487,2021-06-14 05:00:00,BLDE
10.21,10.97,10.19,10.9,1080834,2021-06-15 05:00:00,BLDE
10.6622,11.49,10.6622,11.22,1567356,2021-06-16 05:00:00,BLDE
11.42,11.8699,10.96,11.47,2314206,2021-06-17 05:00:00,BLDE
11.4,11.63,11.22,11.31,3477613,2021-06-18 05:00:00,BLDE
11.355,11.465,11.12,11.27,1187279,2021-06-21 05:00:00,BLDE
11.3,11.3195,10.37,10.81,1405440,2021-06-22 05:00:00,BLDE
10.9,10.92,10.35,10.45,954151,2021-06-23 05:00:00,BLDE
10.5,11.15,10.36,11.13,1059912,2021-06-24 05:00:00,BLDE
11.01,11.38,11.01,11.13,499475,2021-06-25 05:00:00,BLDE
11.05,11.13,10.78,11.07,317223,2021-06-28 05:00:00,BLDE
11.09,11.28,10.81,11.23,516465,2021-06-29 05:00:00,BLDE
11.23,11.3,10.455,10.5,560423,2021-06-30 05:00:00,BLDE
10.53,10.73,10.05,10.2,559620,2021-07-01 05:00:00,BLDE
10.3,10.37,9.87,10.12,458178,2021-07-02 05:00:00,BLDE
10.13,10.15,9.63,9.735,536741,2021-07-06 05:00:00,BLDE
9.75,9.84,8.9101,9.39,1445662,2021-07-07 05:00:00,BLDE
9.08,9.31,8.94,9.04,695307,2021-07-08 05:00:00,BLDE
9.15,9.46,9.05,9.45,321827,2021-07-09 05:00:00,BLDE
9.46,9.46,8.9,9.0,787304,2021-07-12 05:00:00,BLDE
9.0,9.045,8.39,8.45,1004909,2021-07-13 05:00:00,BLDE
8.5,8.58,7.6,8.05,1455346,2021-07-14 05:00:00,BLDE
8.0,8.04,7.52,7.61,778511,2021-07-15 05:00:00,BLDE
