open,high,low,close,volume,datetime,symbol
3.33,3.42,3.31,3.36,248051,2020-11-05 06:00:00,MESA
3.38,3.44,3.25,3.42,256337,2020-11-06 06:00:00,MESA
3.8,4.1,3.6,3.78,2033201,2020-11-09 06:00:00,MESA
3.75,4.54,3.73,4.3,2659584,2020-11-10 06:00:00,MESA
4.26,4.35,3.94,4.06,1449867,2020-11-11 06:00:00,MESA
4.0,4.25,3.9463,4.0,1250550,2020-11-12 06:00:00,MESA
4.01,4.4,4.01,4.33,1008054,2020-11-13 06:00:00,MESA
4.53,5.1,4.46,4.74,2287733,2020-11-16 06:00:00,MESA
4.68,5.29,4.67,5.03,965364,2020-11-17 06:00:00,MESA
5.14,5.29,4.86,4.92,1134936,2020-11-18 06:00:00,MESA
4.95,5.0542,4.93,5.01,494440,2020-11-19 06:00:00,MESA
4.95,5.02,4.92,4.98,495397,2020-11-20 06:00:00,MESA
5.11,5.51,4.99,5.48,1520949,2020-11-23 06:00:00,MESA
5.84,6.27,5.8,6.15,2095251,2020-11-24 06:00:00,MESA
6.8532,7.0,6.07,6.24,1982711,2020-11-25 06:00:00,MESA
6.51,6.75,6.27,6.68,1267591,2020-11-27 06:00:00,MESA
6.86,6.94,6.22,6.38,1261781,2020-11-30 06:00:00,MESA
6.7,7.09,6.5905,6.725,2399514,2020-12-01 06:00:00,MESA
6.82,7.16,6.55,7.16,1446180,2020-12-02 06:00:00,MESA
7.53,7.77,7.33,7.63,1944019,2020-12-03 06:00:00,MESA
7.74,7.99,7.56,7.73,1629313,2020-12-04 06:00:00,MESA
7.8612,7.95,7.6076,7.71,1204724,2020-12-07 06:00:00,MESA
7.62,7.72,7.22,7.63,1595201,2020-12-08 06:00:00,MESA
7.55,7.85,7.05,7.23,1901530,2020-12-09 06:00:00,MESA
7.0,7.43,6.98,7.36,1551899,2020-12-10 06:00:00,MESA
7.33,7.4,6.92,7.08,1157140,2020-12-11 06:00:00,MESA
7.25,7.25,6.64,6.75,1072673,2020-12-14 06:00:00,MESA
6.91,7.07,6.67,6.97,812428,2020-12-15 06:00:00,MESA
6.9,7.005,6.8169,6.86,595536,2020-12-16 06:00:00,MESA
6.82,6.94,6.595,6.84,861497,2020-12-17 06:00:00,MESA
6.83,6.8344,6.55,6.565,740623,2020-12-18 06:00:00,MESA
6.35,6.555,6.23,6.47,837249,2020-12-21 06:00:00,MESA
6.5,6.56,6.19,6.2,726100,2020-12-22 06:00:00,MESA
6.25,6.625,6.25,6.4,610795,2020-12-23 06:00:00,MESA
6.49,6.59,6.23,6.29,442557,2020-12-24 06:00:00,MESA
6.45,6.55,6.22,6.23,603234,2020-12-28 06:00:00,MESA
6.29,6.5,6.15,6.18,606233,2020-12-29 06:00:00,MESA
6.18,6.42,6.13,6.4,626487,2020-12-30 06:00:00,MESA
6.41,6.88,6.33,6.69,991359,2020-12-31 06:00:00,MESA
6.78,6.82,6.02,6.32,1181826,2021-01-04 06:00:00,MESA
6.3,6.57,6.3,6.4,751748,2021-01-05 06:00:00,MESA
6.49,6.89,6.4758,6.73,953161,2021-01-06 06:00:00,MESA
6.84,6.94,6.61,6.62,626209,2021-01-07 06:00:00,MESA
6.65,6.7821,6.42,6.55,614441,2021-01-08 06:00:00,MESA
6.4,6.55,6.35,6.42,456458,2021-01-11 06:00:00,MESA
6.51,6.6,6.36,6.47,532489,2021-01-12 06:00:00,MESA
6.44,6.57,6.27,6.54,554380,2021-01-13 06:00:00,MESA
6.61,7.09,6.6,6.79,802570,2021-01-14 06:00:00,MESA
6.73,6.74,6.37,6.54,616010,2021-01-15 06:00:00,MESA
6.72,6.88,6.58,6.82,602706,2021-01-19 06:00:00,MESA
6.85,7.05,6.75,6.9,452981,2021-01-20 06:00:00,MESA
6.83,6.93,6.53,6.68,446863,2021-01-21 06:00:00,MESA
6.59,6.62,6.41,6.61,505159,2021-01-22 06:00:00,MESA
6.56,6.57,6.315,6.48,441557,2021-01-25 06:00:00,MESA
