open,high,low,close,volume,datetime,symbol
140.12,140.15,136.69,137.71,548585,2020-11-05 06:00:00,UTHR
137.71,138.45,135.38,135.88,224097,2020-11-06 06:00:00,UTHR
136.57,138.06,133.81,136.26,546939,2020-11-09 06:00:00,UTHR
136.67,139.79,136.07,139.28,459405,2020-11-10 06:00:00,UTHR
140.05,140.3,137.93,140.15,356513,2020-11-11 06:00:00,UTHR
139.72,141.0,139.36,139.97,470169,2020-11-12 06:00:00,UTHR
141.18,141.7999,140.165,141.48,247298,2020-11-13 06:00:00,UTHR
142.52,144.26,141.45,142.93,335510,2020-11-16 06:00:00,UTHR
142.49,142.49,139.7,141.11,426875,2020-11-17 06:00:00,UTHR
142.14,142.17,137.38,137.48,303889,2020-11-18 06:00:00,UTHR
139.55,139.55,135.275,136.67,284446,2020-11-19 06:00:00,UTHR
136.2,137.99,134.74,136.02,401412,2020-11-20 06:00:00,UTHR
137.01,138.03,135.18,137.77,254466,2020-11-23 06:00:00,UTHR
138.49,138.49,135.4,135.43,198185,2020-11-24 06:00:00,UTHR
135.34,138.0,134.91,135.07,210671,2020-11-25 06:00:00,UTHR
134.6,135.855,134.29,135.54,113254,2020-11-27 06:00:00,UTHR
135.34,136.98,131.96,132.64,547273,2020-11-30 06:00:00,UTHR
132.95,133.965,132.43,132.49,323342,2020-12-01 06:00:00,UTHR
132.09,132.09,130.61,131.28,275638,2020-12-02 06:00:00,UTHR
132.06,132.71,129.46,129.94,365175,2020-12-03 06:00:00,UTHR
130.49,134.125,130.04,133.47,309247,2020-12-04 06:00:00,UTHR
133.44,133.91,129.43,129.98,247264,2020-12-07 06:00:00,UTHR
131.7,135.46,129.64,135.08,541288,2020-12-08 06:00:00,UTHR
135.58,136.8176,132.71,134.65,289068,2020-12-09 06:00:00,UTHR
134.89,138.31,133.32,137.21,224666,2020-12-10 06:00:00,UTHR
137.21,139.25,131.0401,138.7,216006,2020-12-11 06:00:00,UTHR
140.0,146.24,139.58,143.14,382396,2020-12-14 06:00:00,UTHR
144.37,148.47,143.3352,148.21,402894,2020-12-15 06:00:00,UTHR
148.87,149.0,145.72,146.25,425212,2020-12-16 06:00:00,UTHR
146.46,148.8,146.25,148.44,335498,2020-12-17 06:00:00,UTHR
149.07,150.6,145.25,146.85,907256,2020-12-18 06:00:00,UTHR
145.96,146.88,143.35,146.13,251998,2020-12-21 06:00:00,UTHR
146.31,147.2,144.43,146.35,383010,2020-12-22 06:00:00,UTHR
146.47,150.33,145.46,149.36,344063,2020-12-23 06:00:00,UTHR
150.23,151.44,149.52,149.83,116989,2020-12-24 06:00:00,UTHR
148.85,151.44,147.99,150.0,250264,2020-12-28 06:00:00,UTHR
151.0,151.67,147.32,149.54,265750,2020-12-29 06:00:00,UTHR
150.28,151.67,148.58,148.68,226600,2020-12-30 06:00:00,UTHR
149.0,152.82,145.79,151.79,351836,2020-12-31 06:00:00,UTHR
151.79,154.43,150.73,153.94,329320,2021-01-04 06:00:00,UTHR
153.94,157.2,153.67,156.77,355844,2021-01-05 06:00:00,UTHR
156.15,164.04,156.15,163.51,637863,2021-01-06 06:00:00,UTHR
165.07,170.26,164.17,167.05,664862,2021-01-07 06:00:00,UTHR
167.75,168.21,163.76,165.08,442043,2021-01-08 06:00:00,UTHR
166.08,171.17,164.3001,168.03,539653,2021-01-11 06:00:00,UTHR
168.62,169.6,162.58,164.21,283165,2021-01-12 06:00:00,UTHR
163.96,164.377,160.5015,162.11,308478,2021-01-13 06:00:00,UTHR
163.31,168.31,162.37,167.26,366203,2021-01-14 06:00:00,UTHR
165.7,173.72,165.7,172.82,719231,2021-01-15 06:00:00,UTHR
174.23,176.31,170.52,171.61,276574,2021-01-19 06:00:00,UTHR
174.84,176.23,170.25,171.17,345121,2021-01-20 06:00:00,UTHR
170.99,171.185,166.95,167.14,260618,2021-01-21 06:00:00,UTHR
166.73,168.89,164.47,167.71,203480,2021-01-22 06:00:00,UTHR
168.53,169.445,165.0,169.35,153981,2021-01-25 06:00:00,UTHR
170.09,170.09,163.4,164.85,225618,2021-01-26 06:00:00,UTHR
163.81,163.81,153.92,155.79,561119,2021-01-27 06:00:00,UTHR
156.61,165.15,156.61,164.39,338480,2021-01-28 06:00:00,UTHR
165.25,167.26,162.26,163.82,221492,2021-01-29 06:00:00,UTHR
170.08,170.58,164.36,168.22,214672,2021-02-01 06:00:00,UTHR
169.07,171.93,168.81,169.81,263524,2021-02-02 06:00:00,UTHR
170.48,172.355,169.52,169.92,147015,2021-02-03 06:00:00,UTHR
170.46,171.0988,167.09,167.83,158566,2021-02-04 06:00:00,UTHR
169.88,170.51,165.44,169.72,169936,2021-02-05 06:00:00,UTHR
170.07,170.5,168.26,169.3,192297,2021-02-08 06:00:00,UTHR
169.88,170.52,166.04,166.28,201372,2021-02-09 06:00:00,UTHR
167.0,171.77,166.56,168.55,279269,2021-02-10 06:00:00,UTHR
167.39,171.28,166.83,169.53,254666,2021-02-11 06:00:00,UTHR
169.0,169.71,166.55,167.64,159590,2021-02-12 06:00:00,UTHR
171.67,171.74,167.75,169.69,242504,2021-02-16 06:00:00,UTHR
169.72,177.93,169.375,172.75,434731,2021-02-17 06:00:00,UTHR
171.9,171.9,168.23,169.33,231863,2021-02-18 06:00:00,UTHR
169.74,175.95,169.74,174.85,320647,2021-02-19 06:00:00,UTHR
175.09,178.68,173.66,174.31,460954,2021-02-22 06:00:00,UTHR
173.57,174.12,167.965,172.38,263366,2021-02-23 06:00:00,UTHR
169.08,181.14,169.08,173.7,467059,2021-02-24 06:00:00,UTHR
174.38,174.38,165.24,168.8,401533,2021-02-25 06:00:00,UTHR
169.79,170.2607,165.99,167.18,339934,2021-02-26 06:00:00,UTHR
167.2,173.03,166.78,171.27,304977,2021-03-01 06:00:00,UTHR
170.73,173.12,166.25,166.59,184077,2021-03-02 06:00:00,UTHR
164.8,168.985,160.87,163.21,280648,2021-03-03 06:00:00,UTHR
163.91,166.65,159.54,160.34,558201,2021-03-04 06:00:00,UTHR
161.47,164.7711,159.02,164.34,502197,2021-03-05 06:00:00,UTHR
166.44,166.44,159.0,160.09,332473,2021-03-08 06:00:00,UTHR
161.39,164.33,158.55,159.01,505240,2021-03-09 06:00:00,UTHR
160.0,161.34,157.88,159.68,287829,2021-03-10 06:00:00,UTHR
162.08,162.16,158.47,158.82,282276,2021-03-11 06:00:00,UTHR
159.07,159.76,155.71,159.5,319576,2021-03-12 06:00:00,UTHR
159.45,164.31,155.8601,164.1,275625,2021-03-15 05:00:00,UTHR
164.1,167.12,162.32,166.57,338340,2021-03-16 05:00:00,UTHR
165.14,171.4,163.51,171.17,486388,2021-03-17 05:00:00,UTHR
169.27,173.43,167.465,170.35,501088,2021-03-18 05:00:00,UTHR
170.26,172.8675,168.87,170.11,746240,2021-03-19 05:00:00,UTHR
169.13,169.595,166.61,168.36,220392,2021-03-22 05:00:00,UTHR
168.25,169.42,163.24,164.93,279393,2021-03-23 05:00:00,UTHR
165.75,166.6855,162.98,164.18,187368,2021-03-24 05:00:00,UTHR
164.82,168.82,161.48,168.35,370810,2021-03-25 05:00:00,UTHR
168.35,171.44,166.76,171.21,243959,2021-03-26 05:00:00,UTHR
169.77,173.3608,167.895,169.49,307886,2021-03-29 05:00:00,UTHR
170.39,171.36,164.19,165.47,357438,2021-03-30 05:00:00,UTHR
167.4,170.045,165.75,167.27,655837,2021-03-31 05:00:00,UTHR
184.96,200.0,182.2,192.34,1699459,2021-04-01 05:00:00,UTHR
192.45,195.13,191.03,192.75,440134,2021-04-05 05:00:00,UTHR
192.11,197.3,191.0101,191.65,579204,2021-04-06 05:00:00,UTHR
191.67,193.75,188.34,191.1,1019777,2021-04-07 05:00:00,UTHR
194.99,200.93,192.16,200.73,991574,2021-04-08 05:00:00,UTHR
199.85,204.775,198.785,203.36,586056,2021-04-09 05:00:00,UTHR
203.35,203.48,197.98,198.59,324221,2021-04-12 05:00:00,UTHR
199.71,203.08,197.08,199.3,413643,2021-04-13 05:00:00,UTHR
199.42,204.35,198.44,202.78,368609,2021-04-14 05:00:00,UTHR
203.05,203.89,201.02,201.67,255487,2021-04-15 05:00:00,UTHR
203.34,205.52,200.94,203.73,403195,2021-04-16 05:00:00,UTHR
204.95,205.18,201.02,203.84,303623,2021-04-19 05:00:00,UTHR
204.46,208.63,204.46,207.58,229339,2021-04-20 05:00:00,UTHR
208.63,212.15,207.74,211.93,346621,2021-04-21 05:00:00,UTHR
210.31,212.62,206.4824,209.33,194047,2021-04-22 05:00:00,UTHR
210.66,210.66,205.21,207.5,232111,2021-04-23 05:00:00,UTHR
209.05,209.22,205.05,208.11,171611,2021-04-26 05:00:00,UTHR
208.96,208.96,204.211,204.33,263116,2021-04-27 05:00:00,UTHR
204.88,207.42,202.045,205.62,193887,2021-04-28 05:00:00,UTHR
205.25,205.25,201.42,204.24,196303,2021-04-29 05:00:00,UTHR
202.91,204.26,200.57,201.56,273186,2021-04-30 05:00:00,UTHR
203.07,205.8649,200.47,201.79,326317,2021-05-03 05:00:00,UTHR
201.89,202.84,194.03,195.37,349159,2021-05-04 05:00:00,UTHR
195.37,201.65,188.92,198.14,425948,2021-05-05 05:00:00,UTHR
197.79,197.79,189.41,192.07,307848,2021-05-06 05:00:00,UTHR
191.64,196.72,191.06,195.42,170597,2021-05-07 05:00:00,UTHR
193.52,194.861,189.8,189.88,304524,2021-05-10 05:00:00,UTHR
186.24,194.89,185.01,194.3,295407,2021-05-11 05:00:00,UTHR
192.29,198.25,192.0,195.49,370181,2021-05-12 05:00:00,UTHR
196.88,197.87,191.01,193.77,382872,2021-05-13 05:00:00,UTHR
195.39,199.7,194.14,197.87,266408,2021-05-14 05:00:00,UTHR
197.61,199.95,196.65,198.29,241156,2021-05-17 05:00:00,UTHR
197.26,201.0764,195.53,195.62,333338,2021-05-18 05:00:00,UTHR
194.59,196.37,189.74,189.82,305038,2021-05-19 05:00:00,UTHR
190.39,192.43,190.0,191.09,306977,2021-05-20 05:00:00,UTHR
191.74,192.495,188.41,188.72,277726,2021-05-21 05:00:00,UTHR
189.98,191.41,187.81,188.61,267674,2021-05-24 05:00:00,UTHR
189.1,189.39,183.77,185.27,545012,2021-05-25 05:00:00,UTHR
185.39,189.843,182.695,184.57,613361,2021-05-26 05:00:00,UTHR
184.77,186.595,182.01,185.74,364805,2021-05-27 05:00:00,UTHR
185.86,187.44,185.01,185.9,190801,2021-05-28 05:00:00,UTHR
186.44,186.7,177.0,177.82,404824,2021-06-01 05:00:00,UTHR
178.03,179.56,170.5,171.66,840343,2021-06-02 05:00:00,UTHR
171.59,176.37,170.12,175.24,363378,2021-06-03 05:00:00,UTHR
175.08,175.97,171.65,175.95,401404,2021-06-04 05:00:00,UTHR
176.91,179.825,174.71,175.89,381134,2021-06-07 05:00:00,UTHR
175.23,175.48,170.06,170.47,472565,2021-06-08 05:00:00,UTHR
170.23,176.43,170.23,174.75,381269,2021-06-09 05:00:00,UTHR
174.97,181.64,174.97,180.49,322282,2021-06-10 05:00:00,UTHR
181.05,181.35,177.07,179.12,345600,2021-06-11 05:00:00,UTHR
179.42,181.9,179.0901,179.65,335154,2021-06-14 05:00:00,UTHR
179.22,180.0,176.71,178.45,223010,2021-06-15 05:00:00,UTHR
179.53,184.83,178.18,183.44,358820,2021-06-16 05:00:00,UTHR
182.46,184.55,179.9,182.41,215335,2021-06-17 05:00:00,UTHR
181.56,181.92,177.75,178.49,491733,2021-06-18 05:00:00,UTHR
178.75,181.91,177.75,180.2,297028,2021-06-21 05:00:00,UTHR
179.67,181.82,179.21,180.86,212102,2021-06-22 05:00:00,UTHR
180.59,182.55,173.325,174.64,299692,2021-06-23 05:00:00,UTHR
175.44,176.69,173.56,175.75,402477,2021-06-24 05:00:00,UTHR
175.75,181.64,173.76,180.0,608753,2021-06-25 05:00:00,UTHR
181.0,182.145,174.455,177.18,289125,2021-06-28 05:00:00,UTHR
176.01,178.0,175.76,177.0,190890,2021-06-29 05:00:00,UTHR
176.35,179.91,176.35,179.41,289831,2021-06-30 05:00:00,UTHR
179.97,185.51,178.75,184.67,439241,2021-07-01 05:00:00,UTHR
184.25,185.04,183.02,184.33,168769,2021-07-02 05:00:00,UTHR
184.79,186.285,182.6587,185.27,353814,2021-07-06 05:00:00,UTHR
183.96,187.99,180.62,186.98,360896,2021-07-07 05:00:00,UTHR
184.06,186.83,182.76,183.98,227222,2021-07-08 05:00:00,UTHR
185.57,188.63,185.36,187.65,199062,2021-07-09 05:00:00,UTHR
187.29,188.07,185.13,185.78,189320,2021-07-12 05:00:00,UTHR
184.83,187.16,183.32,183.55,175355,2021-07-13 05:00:00,UTHR
188.2,188.2,182.485,183.59,180824,2021-07-14 05:00:00,UTHR
182.78,185.07,180.96,184.19,171659,2021-07-15 05:00:00,UTHR
184.84,186.7,182.935,184.99,229057,2021-07-16 05:00:00,UTHR
183.9,184.94,180.2788,183.32,215277,2021-07-19 05:00:00,UTHR
183.59,187.72,182.835,184.45,272065,2021-07-20 05:00:00,UTHR
185.18,185.88,182.32,182.78,161126,2021-07-21 05:00:00,UTHR
181.76,186.15,180.92,185.79,200458,2021-07-22 05:00:00,UTHR
185.92,187.905,184.24,184.57,184377,2021-07-23 05:00:00,UTHR
184.57,185.705,182.38,183.27,169070,2021-07-26 05:00:00,UTHR
182.58,186.55,180.05,186.34,187695,2021-07-27 05:00:00,UTHR
185.25,186.53,184.215,185.46,168995,2021-07-28 05:00:00,UTHR
186.27,188.64,184.05,184.22,131426,2021-07-29 05:00:00,UTHR
182.9,184.64,181.13,181.93,206178,2021-07-30 05:00:00,UTHR
183.4,183.48,179.4,179.86,386115,2021-08-02 05:00:00,UTHR
179.73,181.205,177.82,180.66,401733,2021-08-03 05:00:00,UTHR
192.5,208.36,192.5,206.09,1597513,2021-08-04 05:00:00,UTHR
207.49,207.49,200.42,205.42,407149,2021-08-05 05:00:00,UTHR
205.2,216.9,203.73,213.33,522408,2021-08-06 05:00:00,UTHR
209.68,212.26,205.75,207.72,859052,2021-08-09 05:00:00,UTHR
208.34,208.34,203.18,204.34,316250,2021-08-10 05:00:00,UTHR
204.68,205.64,198.37,202.21,391828,2021-08-11 05:00:00,UTHR
201.8,203.79,199.495,203.05,200840,2021-08-12 05:00:00,UTHR
203.48,204.71,201.02,202.62,1055341,2021-08-13 05:00:00,UTHR
203.41,203.41,199.02,199.47,186952,2021-08-16 05:00:00,UTHR
