open,high,low,close,volume,datetime,symbol
130.75,130.88,129.96,130.04,32951,2021-01-04 14:30:00,CTXS
129.845,129.9731,129.4,129.44,6164,2021-01-04 14:35:00,CTXS
129.38,129.68,129.12,129.12,22510,2021-01-04 14:40:00,CTXS
129.15,129.36,128.635,129.36,9659,2021-01-04 14:45:00,CTXS
129.27,129.81,129.21,129.79,3506,2021-01-04 14:50:00,CTXS
129.735,129.97,129.57,129.6,5805,2021-01-04 14:55:00,CTXS
129.7,129.73,129.07,129.07,5411,2021-01-04 15:00:00,CTXS
129.17,129.36,128.98,129.1,3447,2021-01-04 15:05:00,CTXS
128.91,129.09,128.645,128.72,7689,2021-01-04 15:10:00,CTXS
128.775,128.94,128.59,128.81,7000,2021-01-04 15:15:00,CTXS
128.77,129.03,128.74,128.915,10236,2021-01-04 15:20:00,CTXS
128.915,128.9858,128.69,128.8005,8511,2021-01-04 15:25:00,CTXS
128.66,128.81,128.31,128.43,5055,2021-01-04 15:30:00,CTXS
128.465,128.71,128.4,128.57,7384,2021-01-04 15:35:00,CTXS
128.54,128.64,128.365,128.365,9656,2021-01-04 15:40:00,CTXS
128.34,128.34,128.06,128.205,5074,2021-01-04 15:45:00,CTXS
128.23,128.38,128.04,128.085,3848,2021-01-04 15:50:00,CTXS
128.085,128.13,127.56,127.56,10648,2021-01-04 15:55:00,CTXS
127.51,127.55,127.06,127.22,16031,2021-01-04 16:00:00,CTXS
127.13,127.2,126.8444,126.99,4742,2021-01-04 16:05:00,CTXS
127.0,127.46,126.8245,127.46,5067,2021-01-04 16:10:00,CTXS
127.38,127.71,127.24,127.56,5729,2021-01-04 16:15:00,CTXS
127.465,127.58,127.12,127.12,2510,2021-01-04 16:20:00,CTXS
127.15,127.28,127.15,127.27,3679,2021-01-04 16:25:00,CTXS
127.34,127.4009,127.06,127.17,9153,2021-01-04 16:30:00,CTXS
127.11,127.27,127.03,127.23,5416,2021-01-04 16:35:00,CTXS
127.2,127.27,127.085,127.25,4223,2021-01-04 16:40:00,CTXS
127.25,127.35,127.1212,127.1212,3907,2021-01-04 16:45:00,CTXS
127.19,127.2495,127.0,127.04,3837,2021-01-04 16:50:00,CTXS
127.005,127.005,126.55,126.57,19352,2021-01-04 16:55:00,CTXS
126.55,126.68,126.3,126.68,11788,2021-01-04 17:00:00,CTXS
126.67,127.09,126.27,126.335,52627,2021-01-04 17:05:00,CTXS
126.33,126.6,126.27,126.59,4135,2021-01-04 17:10:00,CTXS
126.49,127.0,126.46,126.93,5607,2021-01-04 17:15:00,CTXS
127.04,127.15,126.95,127.15,2578,2021-01-04 17:20:00,CTXS
127.134,127.25,127.07,127.07,2395,2021-01-04 17:25:00,CTXS
127.01,127.01,126.83,127.0,1817,2021-01-04 17:30:00,CTXS
127.01,127.02,126.76,126.76,2820,2021-01-04 17:35:00,CTXS
126.88,126.88,126.7,126.765,2146,2021-01-04 17:40:00,CTXS
126.73,126.73,126.56,126.56,2554,2021-01-04 17:45:00,CTXS
126.63,126.86,126.6,126.86,3473,2021-01-04 17:50:00,CTXS
127.03,127.03,126.88,126.955,1800,2021-01-04 17:55:00,CTXS
126.99,127.2,126.94,127.0,5382,2021-01-04 18:00:00,CTXS
126.985,127.06,126.93,127.03,1200,2021-01-04 18:05:00,CTXS
127.07,127.22,127.0,127.21,7379,2021-01-04 18:10:00,CTXS
127.205,127.29,127.205,127.26,4883,2021-01-04 18:15:00,CTXS
127.255,127.41,127.255,127.41,2494,2021-01-04 18:20:00,CTXS
127.4,127.4,127.32,127.36,3188,2021-01-04 18:25:00,CTXS
127.33,127.43,127.31,127.43,3504,2021-01-04 18:30:00,CTXS
127.46,127.97,127.445,127.97,13270,2021-01-04 18:35:00,CTXS
127.95,127.98,127.86,127.95,9098,2021-01-04 18:40:00,CTXS
127.945,128.04,127.9,128.025,9165,2021-01-04 18:45:00,CTXS
128.03,128.03,127.93,128.03,5572,2021-01-04 18:50:00,CTXS
128.035,128.31,128.035,128.31,15146,2021-01-04 18:55:00,CTXS
128.3,128.415,128.295,128.415,7773,2021-01-04 19:00:00,CTXS
128.39,128.42,128.14,128.14,7212,2021-01-04 19:05:00,CTXS
128.125,128.32,128.085,128.28,11115,2021-01-04 19:10:00,CTXS
128.32,128.33,128.17,128.27,7263,2021-01-04 19:15:00,CTXS
