open,high,low,close,volume,datetime,symbol
3.055,3.055,2.995,2.995,1161,2021-01-04 13:00:00,MNMD
3.3,3.3,3.3,3.3,276,2021-01-04 13:55:00,MNMD
3.05,3.05,3.05,3.05,767,2021-01-04 14:05:00,MNMD
3.04,3.04,3.04,3.04,5100,2021-01-04 14:10:00,MNMD
3.1,3.1,3.1,3.1,900,2021-01-04 14:20:00,MNMD
3.1,3.208,3.08,3.093,167688,2021-01-04 14:30:00,MNMD
3.09,3.12,3.09,3.096179,53264,2021-01-04 14:35:00,MNMD
3.09,3.11,3.08,3.08,51757,2021-01-04 14:40:00,MNMD
3.0947,3.11,3.08,3.09,91349,2021-01-04 14:45:00,MNMD
3.09,3.1,3.07,3.085,96098,2021-01-04 14:50:00,MNMD
3.08,3.11,3.073,3.105,47322,2021-01-04 14:55:00,MNMD
3.1,3.11,3.07,3.075,54292,2021-01-04 15:00:00,MNMD
3.08,3.085,3.07,3.08,39333,2021-01-04 15:05:00,MNMD
3.0939,3.0939,3.06,3.065,60110,2021-01-04 15:10:00,MNMD
3.0635,3.08,3.05,3.05,59610,2021-01-04 15:15:00,MNMD
3.06,3.08,3.05,3.075,20856,2021-01-04 15:20:00,MNMD
3.07,3.08,3.07,3.0701,32255,2021-01-04 15:25:00,MNMD
3.08,3.09,3.06,3.06,43840,2021-01-04 15:30:00,MNMD
3.0631,3.07,3.05,3.06,88014,2021-01-04 15:35:00,MNMD
3.055,3.0723,3.05,3.07,28282,2021-01-04 15:40:00,MNMD
3.07,3.07,3.05,3.07,25255,2021-01-04 15:45:00,MNMD
3.06499,3.07,3.04,3.04,90121,2021-01-04 15:50:00,MNMD
3.03,3.05,3.02,3.03,144241,2021-01-04 15:55:00,MNMD
3.025,3.03,3.01,3.01,101139,2021-01-04 16:00:00,MNMD
3.02,3.03,3.0,3.0,85648,2021-01-04 16:05:00,MNMD
3.01,3.0188,3.0,3.005,73897,2021-01-04 16:10:00,MNMD
2.9984,3.01,2.9965,3.0,64496,2021-01-04 16:15:00,MNMD
3.005,3.01,3.0,3.0,38280,2021-01-04 16:20:00,MNMD
3.01,3.01,2.98,2.98,150304,2021-01-04 16:25:00,MNMD
2.99,3.0,2.98,2.985,25084,2021-01-04 16:30:00,MNMD
2.98,3.0,2.98,2.99,52072,2021-01-04 16:35:00,MNMD
2.98,3.0,2.98,2.9816,42505,2021-01-04 16:40:00,MNMD
2.99,3.0,2.99,2.99,16393,2021-01-04 16:45:00,MNMD
3.0,3.0,2.99,2.99,15036,2021-01-04 16:50:00,MNMD
2.99,3.0,2.99,3.0,34257,2021-01-04 16:55:00,MNMD
2.995,3.0,2.98,2.995,19746,2021-01-04 17:00:00,MNMD
2.994,3.0,2.98,2.98,54662,2021-01-04 17:05:00,MNMD
2.985,3.0,2.965,2.9652,36181,2021-01-04 17:10:00,MNMD
2.968309,2.97,2.95,2.957,138381,2021-01-04 17:15:00,MNMD
2.97,2.98,2.948538,2.95,66609,2021-01-04 17:20:00,MNMD
2.95,2.96,2.9,2.9,144230,2021-01-04 17:25:00,MNMD
2.91,2.92,2.9,2.91,59213,2021-01-04 17:30:00,MNMD
2.91,2.9252,2.9,2.9,109730,2021-01-04 17:35:00,MNMD
2.91,2.93,2.9,2.92,48596,2021-01-04 17:40:00,MNMD
2.91,2.92,2.9,2.92,95887,2021-01-04 17:45:00,MNMD
2.91,2.92,2.9,2.9069,57659,2021-01-04 17:50:00,MNMD
2.9,2.92,2.9,2.91,60068,2021-01-04 17:55:00,MNMD
2.91,2.92,2.9,2.91,46569,2021-01-04 18:00:00,MNMD
2.9,2.92,2.9,2.91,39731,2021-01-04 18:05:00,MNMD
2.905,2.9254,2.9,2.9131,24066,2021-01-04 18:10:00,MNMD
2.92,2.92,2.91,2.92,70316,2021-01-04 18:15:00,MNMD
2.92,2.92,2.91,2.91,52716,2021-01-04 18:20:00,MNMD
2.92,2.9251,2.91,2.91113,38043,2021-01-04 18:25:00,MNMD
2.915,2.95,2.91,2.95,42084,2021-01-04 18:30:00,MNMD
2.945,2.95,2.94,2.95,14510,2021-01-04 18:35:00,MNMD
2.96,2.9631,2.92,2.9265,28593,2021-01-04 18:40:00,MNMD
2.935,2.94,2.92,2.94,31216,2021-01-04 18:45:00,MNMD
2.94,2.94,2.92,2.92,10859,2021-01-04 18:50:00,MNMD
2.94,2.94,2.92,2.93,23915,2021-01-04 18:55:00,MNMD
2.933,2.94,2.92,2.92,17831,2021-01-04 19:00:00,MNMD
2.925,2.93,2.92,2.93,26826,2021-01-04 19:05:00,MNMD
2.9295,2.93,2.91,2.91,46438,2021-01-04 19:10:00,MNMD
2.91,2.928,2.9,2.9165,14467,2021-01-04 19:15:00,MNMD
2.9101,2.93,2.91,2.93,31239,2021-01-04 19:20:00,MNMD
2.91,2.93,2.91,2.925,9785,2021-01-04 19:25:00,MNMD
2.93,2.93,2.9101,2.92,14554,2021-01-04 19:30:00,MNMD
2.91,2.921,2.8965,2.91,97142,2021-01-04 19:35:00,MNMD
2.9,2.92,2.9,2.92,63520,2021-01-04 19:40:00,MNMD
2.9163,2.92,2.91,2.91,15350,2021-01-04 19:45:00,MNMD
2.915,2.92,2.91,2.91,15693,2021-01-04 19:50:00,MNMD
2.919,2.93,2.9,2.92,38169,2021-01-04 19:55:00,MNMD
2.926,2.93,2.91,2.9147,20947,2021-01-04 20:00:00,MNMD
2.92,2.92,2.91,2.915,6294,2021-01-04 20:05:00,MNMD
2.92,2.92,2.91,2.92,22854,2021-01-04 20:10:00,MNMD
2.92,2.923,2.91,2.91,17682,2021-01-04 20:15:00,MNMD
2.915,2.92,2.91,2.915,26678,2021-01-04 20:20:00,MNMD
2.915,2.92,2.91,2.92,18211,2021-01-04 20:25:00,MNMD
2.915,2.92,2.91,2.91,36545,2021-01-04 20:30:00,MNMD
2.92,2.94,2.91,2.94,80642,2021-01-04 20:35:00,MNMD
2.93,2.94,2.92,2.93,52000,2021-01-04 20:40:00,MNMD
2.928,2.95,2.928,2.94,27717,2021-01-04 20:45:00,MNMD
2.9336,2.94,2.91,2.93,39428,2021-01-04 20:50:00,MNMD
2.93,2.9365,2.91,2.91,34605,2021-01-04 20:55:00,MNMD
2.92,2.92,2.92,2.92,500,2021-01-04 21:00:00,MNMD
2.91,2.91,2.89,2.89,1102,2021-01-05 13:00:00,MNMD
2.8,2.8,2.8,2.8,1000,2021-01-05 14:15:00,MNMD
2.91,2.91,2.91,2.91,500,2021-01-05 14:20:00,MNMD
2.904,3.0,2.74,2.761,489382,2021-01-05 14:30:00,MNMD
2.79,2.8,2.75,2.77,200358,2021-01-05 14:35:00,MNMD
2.7597,2.83,2.75,2.8282,131659,2021-01-05 14:40:00,MNMD
2.82,2.86,2.807,2.83,69745,2021-01-05 14:45:00,MNMD
2.82,2.835,2.7943,2.8,111072,2021-01-05 14:50:00,MNMD
2.805,2.81,2.77,2.78,137112,2021-01-05 14:55:00,MNMD
2.79,2.8,2.75,2.77,202076,2021-01-05 15:00:00,MNMD
2.77,2.78,2.7478,2.767,239520,2021-01-05 15:05:00,MNMD
2.7652,2.77,2.74,2.75,126905,2021-01-05 15:10:00,MNMD
2.75,2.76,2.74,2.74,95052,2021-01-05 15:15:00,MNMD
2.74,2.77,2.7396,2.7604,100941,2021-01-05 15:20:00,MNMD
2.75,2.78,2.75,2.7652,45546,2021-01-05 15:25:00,MNMD
2.76,2.77,2.75,2.76,51755,2021-01-05 15:30:00,MNMD
2.7505,2.76,2.74,2.75,43373,2021-01-05 15:35:00,MNMD
2.74,2.75,2.7,2.7,164929,2021-01-05 15:40:00,MNMD
2.703,2.7088,2.6468,2.655,254636,2021-01-05 15:45:00,MNMD
2.6569,2.71,2.65,2.71,137079,2021-01-05 15:50:00,MNMD
2.7099,2.7299,2.695,2.7124,89063,2021-01-05 15:55:00,MNMD
2.7169,2.72,2.69,2.7,48820,2021-01-05 16:00:00,MNMD
2.71,2.73,2.7,2.72,76241,2021-01-05 16:05:00,MNMD
2.725,2.74,2.7,2.73,28201,2021-01-05 16:10:00,MNMD
2.725,2.73,2.7,2.71,40677,2021-01-05 16:15:00,MNMD
2.7,2.71,2.69,2.705,25502,2021-01-05 16:20:00,MNMD
2.7,2.72,2.69,2.7,52879,2021-01-05 16:25:00,MNMD
