open,high,low,close,volume,datetime,symbol
10.18,10.3,10.08,10.08,13373,2021-01-04 14:30:00,OSW
10.1,10.235,10.06,10.06,2053,2021-01-04 14:35:00,OSW
10.0991,10.13,10.0,10.0,6450,2021-01-04 14:40:00,OSW
10.0403,10.07,10.03,10.03,2977,2021-01-04 14:45:00,OSW
10.0,10.06,9.98,9.985,9725,2021-01-04 14:50:00,OSW
9.98,10.03,9.95,9.98,2700,2021-01-04 14:55:00,OSW
9.95,10.01,9.95,9.95,1200,2021-01-04 15:00:00,OSW
9.98,9.98,9.8518,9.88,6384,2021-01-04 15:05:00,OSW
9.85,9.9,9.8412,9.8412,5050,2021-01-04 15:10:00,OSW
9.83,9.87,9.81,9.81,4700,2021-01-04 15:15:00,OSW
9.8327,9.89,9.8327,9.89,2880,2021-01-04 15:20:00,OSW
9.83,9.89,9.82,9.877,2700,2021-01-04 15:25:00,OSW
9.82,9.82,9.81,9.81,353,2021-01-04 15:30:00,OSW
9.82,9.82,9.73,9.78,13825,2021-01-04 15:35:00,OSW
9.76,9.7852,9.73,9.77,4900,2021-01-04 15:40:00,OSW
9.75,9.78,9.67,9.67,21269,2021-01-04 15:45:00,OSW
9.66,9.69,9.57,9.57,5026,2021-01-04 15:50:00,OSW
9.63,9.65,9.55,9.6,7250,2021-01-04 15:55:00,OSW
9.61,9.66,9.55,9.65,9155,2021-01-04 16:00:00,OSW
9.59,9.65,9.59,9.63,3857,2021-01-04 16:05:00,OSW
9.6,9.66,9.57,9.66,1531,2021-01-04 16:10:00,OSW
9.66,9.68,9.6158,9.68,2917,2021-01-04 16:15:00,OSW
9.69,9.71,9.66,9.66,1200,2021-01-04 16:20:00,OSW
9.68,9.71,9.65,9.65,1400,2021-01-04 16:25:00,OSW
9.66,9.72,9.65,9.67,1878,2021-01-04 16:30:00,OSW
9.7,9.72,9.68,9.68,1668,2021-01-04 16:40:00,OSW
9.7,9.72,9.57,9.59,4520,2021-01-04 16:45:00,OSW
9.57,9.63,9.5501,9.63,6350,2021-01-04 16:50:00,OSW
9.63,9.65,9.58,9.61,3300,2021-01-04 16:55:00,OSW
9.6,9.63,9.59,9.63,1700,2021-01-04 17:00:00,OSW
9.63,9.63,9.59,9.61,1300,2021-01-04 17:05:00,OSW
9.58,9.59,9.45,9.49,50045,2021-01-04 17:10:00,OSW
9.48,9.52,9.48,9.52,3215,2021-01-04 17:15:00,OSW
9.48,9.52,9.48,9.4827,1241,2021-01-04 17:20:00,OSW
9.5,9.5,9.45,9.46,2873,2021-01-04 17:25:00,OSW
9.45,9.4571,9.41,9.45,6855,2021-01-04 17:30:00,OSW
9.47,9.48,9.42,9.42,2840,2021-01-04 17:35:00,OSW
9.4,9.45,9.385,9.435,12355,2021-01-04 17:40:00,OSW
9.435,9.46,9.4237,9.445,3843,2021-01-04 17:45:00,OSW
9.46,9.56,9.46,9.5441,2300,2021-01-04 17:50:00,OSW
9.5538,9.56,9.5538,9.56,262,2021-01-04 17:55:00,OSW
9.55,9.56,9.52,9.52,1422,2021-01-04 18:00:00,OSW
9.5477,9.5477,9.5477,9.5477,415,2021-01-04 18:05:00,OSW
9.58,9.68,9.55,9.68,4639,2021-01-04 18:10:00,OSW
9.69,9.77,9.69,9.77,2664,2021-01-04 18:15:00,OSW
9.753,9.753,9.7,9.74,2150,2021-01-04 18:20:00,OSW
9.755,9.79,9.74,9.74,2100,2021-01-04 18:25:00,OSW
9.73,9.73,9.69,9.6998,2200,2021-01-04 18:30:00,OSW
9.68,9.68,9.65,9.65,945,2021-01-04 18:35:00,OSW
9.71,9.71,9.71,9.71,200,2021-01-04 18:40:00,OSW
9.7046,9.7046,9.7046,9.7046,300,2021-01-04 18:45:00,OSW
9.69,9.79,9.69,9.735,1764,2021-01-04 18:50:00,OSW
9.745,9.745,9.69,9.69,1200,2021-01-04 18:55:00,OSW
9.69,9.69,9.64,9.65,724,2021-01-04 19:00:00,OSW
9.65,9.65,9.65,9.65,300,2021-01-04 19:05:00,OSW
9.6109,9.6109,9.56,9.585,2000,2021-01-04 19:10:00,OSW
9.57,9.58,9.57,9.58,204,2021-01-04 19:15:00,OSW
9.58,9.58,9.54,9.54,1000,2021-01-04 19:20:00,OSW
9.6099,9.6099,9.565,9.565,600,2021-01-04 19:25:00,OSW
9.54,9.57,9.54,9.54,300,2021-01-04 19:30:00,OSW
9.59,9.59,9.52,9.52,3278,2021-01-04 19:35:00,OSW
9.55,9.55,9.55,9.55,100,2021-01-04 19:40:00,OSW
9.5418,9.55,9.54,9.55,1242,2021-01-04 19:45:00,OSW
9.55,9.56,9.53,9.535,1123,2021-01-04 19:50:00,OSW
9.56,9.615,9.56,9.615,1010,2021-01-04 19:55:00,OSW
9.63,9.65,9.6,9.62,4573,2021-01-04 20:00:00,OSW
9.63,9.64,9.6242,9.6242,2599,2021-01-04 20:05:00,OSW
9.6286,9.64,9.58,9.6,6221,2021-01-04 20:10:00,OSW
9.62,9.62,9.5826,9.62,2100,2021-01-04 20:15:00,OSW
9.62,9.62,9.62,9.62,300,2021-01-04 20:20:00,OSW
9.62,9.73,9.615,9.67,9786,2021-01-04 20:25:00,OSW
9.65,9.65,9.63,9.63,600,2021-01-04 20:30:00,OSW
9.64,9.7,9.64,9.67,2771,2021-01-04 20:35:00,OSW
9.7,9.71,9.66,9.71,3866,2021-01-04 20:40:00,OSW
9.7,9.72,9.66,9.67,5464,2021-01-04 20:45:00,OSW
