open,high,low,close,volume,datetime,symbol
9.33,9.4,9.33,9.4,3419,2021-02-01 14:30:00,APYX
9.2,9.22,9.01,9.01,2444,2021-02-01 14:35:00,APYX
9.02,9.03,9.0,9.0,2415,2021-02-01 14:40:00,APYX
9.0638,9.0638,9.0638,9.0638,200,2021-02-01 14:45:00,APYX
9.01,9.06,9.01,9.0516,900,2021-02-01 14:50:00,APYX
9.06,9.07,9.06,9.07,218,2021-02-01 14:55:00,APYX
9.04,9.04,9.04,9.04,100,2021-02-01 15:00:00,APYX
9.04,9.075,9.03,9.03,1616,2021-02-01 15:05:00,APYX
9.04,9.04,9.04,9.04,288,2021-02-01 15:10:00,APYX
9.1,9.1,9.1,9.1,100,2021-02-01 15:20:00,APYX
9.06,9.06,9.06,9.06,140,2021-02-01 15:30:00,APYX
9.09,9.09,9.09,9.09,100,2021-02-01 15:35:00,APYX
9.1,9.145,9.1,9.1,700,2021-02-01 15:55:00,APYX
9.05,9.05,9.05,9.05,100,2021-02-01 16:05:00,APYX
9.045,9.045,9.045,9.045,100,2021-02-01 16:10:00,APYX
9.09,9.09,9.09,9.09,1119,2021-02-01 16:15:00,APYX
9.095,9.095,9.095,9.095,200,2021-02-01 16:20:00,APYX
9.165,9.165,9.11,9.11,700,2021-02-01 16:25:00,APYX
9.1493,9.1493,9.1493,9.1493,200,2021-02-01 16:55:00,APYX
9.09,9.09,9.0,9.0,4900,2021-02-01 17:05:00,APYX
9.045,9.09,9.045,9.09,200,2021-02-01 17:20:00,APYX
9.01,9.01,9.01,9.01,200,2021-02-01 17:30:00,APYX
9.01,9.01,9.01,9.01,1268,2021-02-01 17:35:00,APYX
9.04,9.04,9.04,9.04,200,2021-02-01 17:40:00,APYX
9.04,9.04,9.04,9.04,100,2021-02-01 17:45:00,APYX
9.045,9.045,9.0,9.0,1495,2021-02-01 17:50:00,APYX
9.055,9.055,9.055,9.055,200,2021-02-01 18:10:00,APYX
9.1,9.1,9.1,9.1,130,2021-02-01 18:20:00,APYX
9.0762,9.17,9.03,9.1,6531,2021-02-01 18:30:00,APYX
9.1,9.1,9.07,9.07,400,2021-02-01 18:35:00,APYX
9.06,9.08,9.06,9.06,400,2021-02-01 18:45:00,APYX
9.04,9.04,9.03,9.03,900,2021-02-01 18:55:00,APYX
