open,high,low,close,volume,datetime,symbol
5.25,5.2682,5.25,5.2682,2830,2021-02-01 14:30:00,CUBA
5.38,5.51,5.38,5.38,2592,2021-02-01 14:40:00,CUBA
5.325,5.3798,5.325,5.325,2000,2021-02-01 15:55:00,CUBA
5.37,5.37,5.32,5.36,11100,2021-02-01 16:30:00,CUBA
5.37,5.3798,5.37,5.3798,2000,2021-02-01 16:55:00,CUBA
5.37,5.38,5.37,5.38,300,2021-02-01 17:25:00,CUBA
5.28,5.47,5.28,5.45,14320,2021-02-01 17:35:00,CUBA
5.44,5.47,5.3,5.3,2080,2021-02-01 17:40:00,CUBA
5.32,5.32,5.32,5.32,300,2021-02-01 17:45:00,CUBA
5.31,5.31,5.31,5.31,200,2021-02-01 17:50:00,CUBA
5.31,5.31,5.31,5.31,400,2021-02-01 17:55:00,CUBA
5.32,5.32,5.32,5.32,100,2021-02-01 18:10:00,CUBA
5.38,5.4,5.38,5.4,600,2021-02-01 18:40:00,CUBA
5.4,5.4,5.39,5.39,4904,2021-02-01 19:25:00,CUBA
5.4,5.41,5.39,5.41,6600,2021-02-01 19:35:00,CUBA
5.35,5.35,5.3409,5.3409,442,2021-02-01 19:40:00,CUBA
5.39,5.39,5.39,5.39,100,2021-02-01 19:50:00,CUBA
5.4,5.4,5.39,5.39,1758,2021-02-01 20:35:00,CUBA
5.4,5.4,5.4,5.4,500,2021-02-01 20:50:00,CUBA
5.38,5.39,5.37,5.37,3401,2021-02-01 20:55:00,CUBA
5.33,5.33,5.33,5.33,1901,2021-02-02 14:30:00,CUBA
5.24,5.35,5.19,5.3262,4270,2021-02-02 14:35:00,CUBA
5.355,5.36,5.35,5.36,460,2021-02-02 14:40:00,CUBA
5.4,5.4,5.4,5.4,100,2021-02-02 14:45:00,CUBA
5.45,5.45,5.45,5.45,200,2021-02-02 15:25:00,CUBA
5.41,5.41,5.41,5.41,200,2021-02-02 15:30:00,CUBA
5.43,5.43,5.43,5.43,200,2021-02-02 15:45:00,CUBA
5.44,5.44,5.44,5.44,300,2021-02-02 16:05:00,CUBA
5.45,5.45,5.45,5.45,500,2021-02-02 16:15:00,CUBA
5.45,5.45,5.45,5.45,500,2021-02-02 16:45:00,CUBA
5.45,5.45,5.45,5.45,400,2021-02-02 17:10:00,CUBA
5.44,5.44,5.44,5.44,300,2021-02-02 17:20:00,CUBA
5.45,5.45,5.45,5.45,915,2021-02-02 17:25:00,CUBA
5.45,5.45,5.45,5.45,200,2021-02-02 17:35:00,CUBA
5.44,5.44,5.44,5.44,300,2021-02-02 17:40:00,CUBA
5.41,5.41,5.41,5.41,1000,2021-02-02 17:45:00,CUBA
5.44,5.44,5.44,5.44,200,2021-02-02 17:55:00,CUBA
5.44,5.44,5.44,5.44,200,2021-02-02 18:00:00,CUBA
5.45,5.45,5.45,5.45,1100,2021-02-02 18:05:00,CUBA
5.45,5.45,5.45,5.45,700,2021-02-02 18:30:00,CUBA
5.42,5.42,5.42,5.42,474,2021-02-02 19:15:00,CUBA
5.45,5.45,5.45,5.45,770,2021-02-02 19:45:00,CUBA
5.435,5.48,5.435,5.48,9247,2021-02-02 20:00:00,CUBA
5.44,5.44,5.43,5.43,1000,2021-02-02 20:25:00,CUBA
5.45,5.46,5.45,5.46,500,2021-02-02 20:30:00,CUBA
5.43,5.43,5.43,5.43,1000,2021-02-02 20:35:00,CUBA
5.46,5.46,5.45,5.45,500,2021-02-02 20:45:00,CUBA
5.45,5.46,5.445,5.45,8400,2021-02-02 20:50:00,CUBA
5.45,5.45,5.44,5.44,7121,2021-02-02 20:55:00,CUBA
5.45,5.45,5.45,5.45,251,2021-02-03 14:30:00,CUBA
5.3732,5.3732,5.3732,5.3732,1500,2021-02-03 14:35:00,CUBA
5.41,5.41,5.4,5.4,400,2021-02-03 14:55:00,CUBA
5.41,5.41,5.4,5.4,300,2021-02-03 15:10:00,CUBA
5.4,5.41,5.4,5.41,6300,2021-02-03 15:55:00,CUBA
5.445,5.445,5.445,5.445,2586,2021-02-03 16:50:00,CUBA
5.4437,5.4437,5.4437,5.4437,100,2021-02-03 17:00:00,CUBA
5.45,5.45,5.45,5.45,200,2021-02-03 17:40:00,CUBA
5.46,5.46,5.46,5.46,2348,2021-02-03 17:50:00,CUBA
5.48,5.48,5.48,5.48,563,2021-02-03 18:25:00,CUBA
5.5,5.5,5.5,5.5,1070,2021-02-03 18:35:00,CUBA
5.53,5.53,5.53,5.53,100,2021-02-03 18:45:00,CUBA
5.5,5.5,5.5,5.5,100,2021-02-03 19:00:00,CUBA
5.52,5.52,5.52,5.52,1200,2021-02-03 19:10:00,CUBA
5.53,5.53,5.52,5.53,700,2021-02-03 19:30:00,CUBA
5.525,5.525,5.525,5.525,200,2021-02-03 19:50:00,CUBA
5.52,5.52,5.52,5.52,800,2021-02-03 20:00:00,CUBA
5.52,5.52,5.52,5.52,1000,2021-02-03 20:25:00,CUBA
5.521,5.521,5.52,5.52,500,2021-02-03 20:30:00,CUBA
5.53,5.53,5.525,5.53,1906,2021-02-03 20:35:00,CUBA
5.53,5.53,5.5299,5.5299,1588,2021-02-03 20:50:00,CUBA
5.53,5.53,5.53,5.53,210,2021-02-03 20:55:00,CUBA
5.52,5.52,5.52,5.52,296,2021-02-04 14:30:00,CUBA
5.45,5.45,5.45,5.45,900,2021-02-04 14:40:00,CUBA
5.51,5.52,5.5018,5.5018,699,2021-02-04 15:15:00,CUBA
5.53,5.5329,5.53,5.5329,3723,2021-02-04 16:50:00,CUBA
5.53,5.59,5.5294,5.5294,1800,2021-02-04 17:45:00,CUBA
5.54,5.54,5.53,5.53,998,2021-02-04 17:55:00,CUBA
5.58,5.59,5.58,5.58,1000,2021-02-04 18:05:00,CUBA
5.545,5.545,5.545,5.545,104,2021-02-04 18:20:00,CUBA
5.59,5.59,5.545,5.545,1000,2021-02-04 18:30:00,CUBA
5.59,5.59,5.5899,5.5899,200,2021-02-04 18:40:00,CUBA
5.5899,5.5899,5.5899,5.5899,1000,2021-02-04 20:05:00,CUBA
5.535,5.535,5.535,5.535,1545,2021-02-04 20:15:00,CUBA
5.56,5.56,5.56,5.56,1440,2021-02-04 20:35:00,CUBA
5.59,5.64,5.56,5.64,800,2021-02-04 20:40:00,CUBA
5.585,5.625,5.585,5.625,600,2021-02-04 20:45:00,CUBA
