open,high,low,close,volume,datetime,symbol
26.99,26.99,26.99,26.99,770,2021-02-01 14:30:00,HWCPZ
26.95,26.95,26.95,26.95,1000,2021-02-01 16:25:00,HWCPZ
27.02,27.048,27.02,27.048,2150,2021-02-01 16:30:00,HWCPZ
26.955,26.955,26.955,26.955,560,2021-02-01 16:45:00,HWCPZ
26.867,26.867,26.867,26.867,2000,2021-02-01 17:10:00,HWCPZ
26.9652,26.9652,26.9652,26.9652,750,2021-02-01 17:15:00,HWCPZ
26.9594,26.9594,26.9594,26.9594,300,2021-02-01 17:25:00,HWCPZ
27.0075,27.0075,27.0075,27.0075,400,2021-02-01 18:00:00,HWCPZ
27.02,27.02,27.02,27.02,200,2021-02-01 18:15:00,HWCPZ
26.9905,26.9905,26.85,26.85,3464,2021-02-01 18:45:00,HWCPZ
26.87,26.87,26.8519,26.8519,3400,2021-02-01 18:50:00,HWCPZ
27.03,27.05,27.01,27.05,7600,2021-02-01 19:00:00,HWCPZ
27.01,27.01,27.0047,27.0047,800,2021-02-01 20:10:00,HWCPZ
26.98,26.98,26.98,26.98,200,2021-02-01 20:35:00,HWCPZ
26.98,26.98,26.96,26.96,438,2021-02-01 20:50:00,HWCPZ
27.05,27.05,27.05,27.05,226,2021-02-02 14:30:00,HWCPZ
26.91,27.04,26.91,26.98,2600,2021-02-02 14:50:00,HWCPZ
27.05,27.05,27.05,27.05,200,2021-02-02 16:05:00,HWCPZ
26.95,26.95,26.95,26.95,1200,2021-02-02 16:10:00,HWCPZ
27.01,27.01,27.01,27.01,200,2021-02-02 16:25:00,HWCPZ
27.0168,27.0168,27.0168,27.0168,724,2021-02-02 16:30:00,HWCPZ
27.01,27.01,27.01,27.01,200,2021-02-02 17:35:00,HWCPZ
27.01,27.01,27.01,27.01,800,2021-02-02 17:40:00,HWCPZ
27.05,27.05,27.0492,27.0492,2880,2021-02-02 18:30:00,HWCPZ
27.05,27.05,27.05,27.05,200,2021-02-02 18:55:00,HWCPZ
27.05,27.05,27.05,27.05,200,2021-02-02 19:25:00,HWCPZ
27.05,27.05,27.05,27.05,600,2021-02-02 19:50:00,HWCPZ
26.995,26.995,26.995,26.995,200,2021-02-02 20:50:00,HWCPZ
27.05,27.05,27.05,27.05,264,2021-02-03 14:30:00,HWCPZ
27.0146,27.0146,27.0146,27.0146,1150,2021-02-03 14:40:00,HWCPZ
27.05,27.05,27.05,27.05,400,2021-02-03 15:20:00,HWCPZ
27.04,27.04,27.04,27.04,400,2021-02-03 16:25:00,HWCPZ
26.985,26.985,26.985,26.985,2500,2021-02-03 16:30:00,HWCPZ
26.985,26.985,26.985,26.985,230,2021-02-03 17:35:00,HWCPZ
