open,high,low,close,volume,datetime,symbol
10.55,10.55,10.55,10.55,553,2021-02-01 14:30:00,IIIIU
10.55,10.55,10.55,10.55,4481,2021-02-01 14:35:00,IIIIU
10.55,10.55,10.55,10.55,150,2021-02-01 14:40:00,IIIIU
10.52,10.52,10.52,10.52,100,2021-02-01 14:55:00,IIIIU
10.53,10.53,10.53,10.53,100,2021-02-01 15:00:00,IIIIU
10.54,10.54,10.54,10.54,200,2021-02-01 15:10:00,IIIIU
10.55,10.55,10.55,10.55,200,2021-02-01 15:15:00,IIIIU
10.55,10.55,10.55,10.55,300,2021-02-01 15:45:00,IIIIU
10.71,10.71,10.71,10.71,100,2021-02-01 16:50:00,IIIIU
10.69,10.69,10.69,10.69,9400,2021-02-01 18:15:00,IIIIU
10.69,10.69,10.69,10.69,32300,2021-02-01 19:10:00,IIIIU
10.7,10.7,10.69,10.69,200,2021-02-01 19:15:00,IIIIU
10.7299,10.7299,10.7299,10.7299,100,2021-02-01 19:50:00,IIIIU
10.72,10.73,10.72,10.73,1231,2021-02-01 19:55:00,IIIIU
10.73,10.75,10.73,10.75,3440,2021-02-01 20:10:00,IIIIU
10.89,10.89,10.89,10.89,100,2021-02-01 20:50:00,IIIIU
10.77,10.77,10.74,10.75,2116,2021-02-01 20:55:00,IIIIU
10.74,10.74,10.74,10.74,2000,2021-02-01 21:00:00,IIIIU
10.75,10.75,10.75,10.75,300,2021-02-02 14:35:00,IIIIU
10.9,10.98,10.9,10.98,1297,2021-02-02 15:55:00,IIIIU
10.99,11.0,10.99,11.0,600,2021-02-02 16:35:00,IIIIU
11.0,11.0,11.0,11.0,300,2021-02-02 17:45:00,IIIIU
10.99,11.0,10.99,11.0,1042,2021-02-02 20:00:00,IIIIU
11.0,11.0,11.0,11.0,400,2021-02-02 20:30:00,IIIIU
10.92,10.92,10.92,10.92,100,2021-02-02 20:55:00,IIIIU
10.98,10.98,10.98,10.98,1000,2021-02-03 15:05:00,IIIIU
10.97,10.97,10.97,10.97,950,2021-02-03 16:15:00,IIIIU
11.0,11.0,11.0,11.0,3721,2021-02-03 16:20:00,IIIIU
11.0,11.0,11.0,11.0,300,2021-02-03 16:25:00,IIIIU
11.0,11.0,10.9999,11.0,7145,2021-02-03 16:50:00,IIIIU
11.0,11.0,11.0,11.0,500,2021-02-03 17:05:00,IIIIU
11.0,11.0,11.0,11.0,500,2021-02-03 17:25:00,IIIIU
11.0,11.0,11.0,11.0,400,2021-02-03 17:30:00,IIIIU
10.98,10.98,10.98,10.98,602,2021-02-03 17:35:00,IIIIU
10.99,10.99,10.99,10.99,490,2021-02-03 17:40:00,IIIIU
10.99,11.0,10.99,11.0,496,2021-02-03 17:50:00,IIIIU
10.9999,10.9999,10.9999,10.9999,100,2021-02-03 18:45:00,IIIIU
11.0,11.0,10.99,11.0,5973,2021-02-03 18:55:00,IIIIU
10.95,10.95,10.944,10.944,1585,2021-02-03 20:15:00,IIIIU
10.938,10.938,10.9373,10.9373,315,2021-02-03 20:20:00,IIIIU
10.95,10.95,10.95,10.95,5786,2021-02-03 20:50:00,IIIIU
10.96,10.96,10.96,10.96,200,2021-02-04 14:40:00,IIIIU
10.9808,10.9808,10.9808,10.9808,100,2021-02-04 15:00:00,IIIIU
11.0,11.0,11.0,11.0,250,2021-02-04 15:15:00,IIIIU
10.99,10.99,10.99,10.99,100,2021-02-04 15:25:00,IIIIU
10.9995,10.9995,10.9995,10.9995,900,2021-02-04 16:00:00,IIIIU
10.97,10.97,10.97,10.97,200,2021-02-04 18:10:00,IIIIU
10.98,10.9899,10.98,10.9899,600,2021-02-04 18:20:00,IIIIU
10.98,10.98,10.98,10.98,400,2021-02-04 18:45:00,IIIIU
10.99,10.99,10.98,10.99,600,2021-02-04 19:00:00,IIIIU
10.98,10.98,10.98,10.98,200,2021-02-04 19:05:00,IIIIU
10.98,10.99,10.98,10.99,2140,2021-02-04 19:15:00,IIIIU
11.0,11.0,11.0,11.0,1060,2021-02-04 19:20:00,IIIIU
11.0,11.0,11.0,11.0,8170,2021-02-04 19:25:00,IIIIU
11.1,11.1,11.1,11.1,3430,2021-02-04 19:35:00,IIIIU
11.125,11.125,11.1,11.1,1200,2021-02-04 20:20:00,IIIIU
11.12,11.13,11.1,11.115,10519,2021-02-04 20:35:00,IIIIU
11.1,11.1,11.0999,11.1,420,2021-02-04 20:50:00,IIIIU
11.095,11.105,11.095,11.105,1970,2021-02-04 20:55:00,IIIIU
11.15,11.15,11.11,11.11,302,2021-02-05 13:40:00,IIIIU
11.15,11.15,11.15,11.15,848,2021-02-05 14:30:00,IIIIU
11.14,11.15,11.14,11.15,9352,2021-02-05 14:40:00,IIIIU
11.175,11.175,11.175,11.175,140,2021-02-05 15:45:00,IIIIU
11.23,11.24,11.23,11.24,386,2021-02-05 16:10:00,IIIIU
11.17,11.17,11.17,11.17,100,2021-02-05 17:05:00,IIIIU
11.17,11.17,11.17,11.17,239,2021-02-05 17:20:00,IIIIU
11.2,11.2,11.19,11.19,1790,2021-02-05 18:05:00,IIIIU
11.18,11.18,11.14,11.14,1531,2021-02-05 18:40:00,IIIIU
11.18,11.18,11.173,11.1799,18200,2021-02-05 18:45:00,IIIIU
11.19,11.24,11.19,11.24,1232,2021-02-05 18:50:00,IIIIU
11.24,11.24,11.24,11.24,100,2021-02-05 18:55:00,IIIIU
11.15,11.15,11.15,11.15,500,2021-02-05 19:15:00,IIIIU
11.205,11.205,11.16,11.16,311,2021-02-05 19:20:00,IIIIU
11.205,11.205,11.205,11.205,157,2021-02-05 19:30:00,IIIIU
11.205,11.205,11.205,11.205,161,2021-02-05 19:40:00,IIIIU
11.16,11.16,11.16,11.16,500,2021-02-05 20:00:00,IIIIU
11.195,11.195,11.195,11.195,100,2021-02-05 20:05:00,IIIIU
11.1501,11.1501,11.1501,11.1501,158,2021-02-05 20:15:00,IIIIU
11.18,11.18,11.18,11.18,138,2021-02-05 20:30:00,IIIIU
11.24,11.24,11.24,11.24,100,2021-02-05 20:50:00,IIIIU
11.225,11.225,11.225,11.225,200,2021-02-05 20:55:00,IIIIU
11.25,11.25,11.24,11.24,991,2021-02-05 22:50:00,IIIIU
11.23,11.24,11.23,11.24,1200,2021-02-06 00:00:00,IIIIU
11.3,11.3,11.3,11.3,2378,2021-02-08 14:30:00,IIIIU
11.24,11.24,11.24,11.24,150,2021-02-08 14:35:00,IIIIU
11.2,11.2,11.2,11.2,200,2021-02-08 14:50:00,IIIIU
11.2,11.2,11.2,11.2,800,2021-02-08 14:55:00,IIIIU
11.17,11.17,11.155,11.17,4600,2021-02-08 15:00:00,IIIIU
11.15,11.15,11.15,11.15,200,2021-02-08 15:05:00,IIIIU
11.2,11.2,11.15,11.15,1543,2021-02-08 15:10:00,IIIIU
