open,high,low,close,volume,datetime,symbol
54.41,54.52,54.41,54.52,2185,2021-02-01 14:30:00,MMSI
54.49,54.58,54.2,54.32,1132,2021-02-01 14:35:00,MMSI
54.38,54.575,54.38,54.39,900,2021-02-01 14:40:00,MMSI
54.39,54.5,54.05,54.05,1702,2021-02-01 14:45:00,MMSI
54.0,54.04,53.5,53.5,1600,2021-02-01 14:50:00,MMSI
53.51,53.75,53.4,53.5,2127,2021-02-01 14:55:00,MMSI
53.69,53.69,53.39,53.67,6175,2021-02-01 15:00:00,MMSI
53.62,53.62,53.14,53.14,2114,2021-02-01 15:05:00,MMSI
53.1466,53.31,53.02,53.14,3660,2021-02-01 15:10:00,MMSI
53.1,53.31,53.06,53.14,1600,2021-02-01 15:15:00,MMSI
53.285,53.555,53.24,53.555,1020,2021-02-01 15:20:00,MMSI
53.47,53.7,53.47,53.6275,5700,2021-02-01 15:25:00,MMSI
53.635,53.8,53.55,53.75,7924,2021-02-01 15:30:00,MMSI
53.81,53.88,53.505,53.505,1800,2021-02-01 15:35:00,MMSI
53.49,53.71,53.49,53.67,3658,2021-02-01 15:40:00,MMSI
53.53,53.55,53.49,53.55,900,2021-02-01 15:45:00,MMSI
53.5,53.51,53.18,53.18,1100,2021-02-01 15:50:00,MMSI
53.12,53.15,53.115,53.12,500,2021-02-01 15:55:00,MMSI
53.05,53.12,53.0,53.06,2050,2021-02-01 16:00:00,MMSI
53.07,53.07,53.0,53.04,1500,2021-02-01 16:05:00,MMSI
52.91,52.96,52.88,52.96,700,2021-02-01 16:10:00,MMSI
52.97,53.0675,52.9,53.03,1587,2021-02-01 16:15:00,MMSI
53.11,53.2084,53.11,53.17,405,2021-02-01 16:20:00,MMSI
53.13,53.13,53.07,53.07,500,2021-02-01 16:25:00,MMSI
53.07,53.07,52.91,52.91,4227,2021-02-01 16:30:00,MMSI
52.89,52.89,52.87,52.88,300,2021-02-01 16:35:00,MMSI
52.94,53.115,52.94,53.115,600,2021-02-01 16:40:00,MMSI
53.105,53.11,53.02,53.02,1400,2021-02-01 16:45:00,MMSI
53.01,53.12,52.8833,52.8833,2900,2021-02-01 16:50:00,MMSI
52.99,53.005,52.96,52.98,1519,2021-02-01 16:55:00,MMSI
53.03,53.04,52.89,52.9,2200,2021-02-01 17:00:00,MMSI
52.96,52.97,52.89,52.93,1200,2021-02-01 17:05:00,MMSI
52.87,53.05,52.85,52.97,3963,2021-02-01 17:10:00,MMSI
52.99,53.08,52.99,53.0,1800,2021-02-01 17:15:00,MMSI
53.0,53.03,52.93,52.995,2600,2021-02-01 17:20:00,MMSI
52.95,52.95,52.85,52.865,1932,2021-02-01 17:25:00,MMSI
52.93,53.08,52.8623,53.08,1700,2021-02-01 17:30:00,MMSI
53.16,53.18,53.08,53.18,1899,2021-02-01 17:35:00,MMSI
53.25,53.56,53.23,53.56,4370,2021-02-01 17:40:00,MMSI
53.63,53.74,53.63,53.74,1700,2021-02-01 17:45:00,MMSI
53.7,53.72,53.7,53.72,600,2021-02-01 17:50:00,MMSI
53.705,53.72,53.58,53.64,2090,2021-02-01 17:55:00,MMSI
53.65,53.74,53.65,53.73,1100,2021-02-01 18:00:00,MMSI
53.72,53.73,53.71,53.71,500,2021-02-01 18:05:00,MMSI
53.76,53.91,53.76,53.9,600,2021-02-01 18:10:00,MMSI
53.88,53.88,53.69,53.69,702,2021-02-01 18:15:00,MMSI
53.65,53.65,53.65,53.65,100,2021-02-01 18:20:00,MMSI
53.65,53.66,53.47,53.53,1167,2021-02-01 18:25:00,MMSI
53.59,53.6,53.575,53.575,400,2021-02-01 18:30:00,MMSI
53.605,53.605,53.48,53.48,600,2021-02-01 18:35:00,MMSI
53.5,53.5,53.41,53.49,1200,2021-02-01 18:40:00,MMSI
53.62,53.63,53.48,53.52,600,2021-02-01 18:45:00,MMSI
53.53,53.58,53.42,53.58,400,2021-02-01 18:50:00,MMSI
53.5,53.5,53.5,53.5,200,2021-02-01 18:55:00,MMSI
53.515,53.52,53.44,53.505,1579,2021-02-01 19:00:00,MMSI
53.48,53.57,53.47,53.525,1000,2021-02-01 19:05:00,MMSI
53.57,53.6,53.55,53.6,1401,2021-02-01 19:10:00,MMSI
53.61,53.79,53.61,53.79,1000,2021-02-01 19:15:00,MMSI
53.74,53.765,53.685,53.685,1000,2021-02-01 19:20:00,MMSI
53.6775,53.8,53.6775,53.8,1500,2021-02-01 19:25:00,MMSI
53.8,53.8,53.75,53.79,931,2021-02-01 19:30:00,MMSI
53.75,53.78,53.73,53.73,555,2021-02-01 19:35:00,MMSI
53.81,53.81,53.8,53.8,500,2021-02-01 19:40:00,MMSI
53.785,53.82,53.785,53.79,800,2021-02-01 19:45:00,MMSI
53.85,53.85,53.76,53.84,1300,2021-02-01 19:50:00,MMSI
53.76,53.77,53.71,53.71,1978,2021-02-01 19:55:00,MMSI
53.765,53.89,53.765,53.885,800,2021-02-01 20:00:00,MMSI
53.86,53.94,53.86,53.94,400,2021-02-01 20:05:00,MMSI
53.97,53.97,53.87,53.87,900,2021-02-01 20:10:00,MMSI
53.88,53.88,53.88,53.88,100,2021-02-01 20:15:00,MMSI
53.92,53.98,53.72,53.72,1510,2021-02-01 20:20:00,MMSI
53.76,53.82,53.76,53.82,1200,2021-02-01 20:25:00,MMSI
53.78,53.78,53.7,53.74,1555,2021-02-01 20:30:00,MMSI
53.76,53.825,53.76,53.81,1274,2021-02-01 20:35:00,MMSI
53.77,53.91,53.7565,53.91,2031,2021-02-01 20:40:00,MMSI
53.9,53.95,53.89,53.915,1195,2021-02-01 20:45:00,MMSI
53.98,54.34,53.87,54.26,9232,2021-02-01 20:50:00,MMSI
54.25,54.33,54.0,54.0,9420,2021-02-01 20:55:00,MMSI
54.16,54.16,54.16,54.16,52945,2021-02-01 21:00:00,MMSI
54.87,55.2,54.74,54.74,2839,2021-02-02 14:30:00,MMSI
55.46,55.62,54.54,54.54,400,2021-02-02 14:35:00,MMSI
55.3,55.43,55.3,55.43,300,2021-02-02 14:40:00,MMSI
55.78,55.78,55.65,55.65,200,2021-02-02 14:45:00,MMSI
55.29,55.77,55.29,55.77,300,2021-02-02 14:50:00,MMSI
55.89,55.9,55.63,55.9,450,2021-02-02 14:55:00,MMSI
55.675,55.675,55.38,55.38,1500,2021-02-02 15:00:00,MMSI
55.38,55.73,55.38,55.63,681,2021-02-02 15:05:00,MMSI
55.535,55.72,55.14,55.14,1900,2021-02-02 15:10:00,MMSI
55.3233,55.34,55.21,55.32,535,2021-02-02 15:15:00,MMSI
55.31,55.68,55.31,55.68,744,2021-02-02 15:20:00,MMSI
55.615,55.73,55.46,55.46,800,2021-02-02 15:25:00,MMSI
55.39,55.39,55.28,55.28,2285,2021-02-02 15:35:00,MMSI
55.15,55.15,55.15,55.15,100,2021-02-02 15:40:00,MMSI
55.2,55.64,55.18,55.64,3186,2021-02-02 15:45:00,MMSI
55.65,55.71,55.59,55.71,2104,2021-02-02 15:50:00,MMSI
55.73,55.75,55.67,55.72,2277,2021-02-02 15:55:00,MMSI
55.69,55.69,55.69,55.69,100,2021-02-02 16:00:00,MMSI
55.72,55.75,55.61,55.75,2836,2021-02-02 16:05:00,MMSI
55.75,55.75,55.7,55.75,2108,2021-02-02 16:10:00,MMSI
55.84,55.84,55.72,55.72,1000,2021-02-02 16:15:00,MMSI
55.87,56.005,55.87,56.0,1700,2021-02-02 16:25:00,MMSI
56.0,56.085,55.93,56.08,2300,2021-02-02 16:30:00,MMSI
56.14,56.17,56.14,56.17,500,2021-02-02 16:35:00,MMSI
56.03,56.21,55.99,56.21,2400,2021-02-02 16:40:00,MMSI
56.09,56.18,56.09,56.18,700,2021-02-02 16:45:00,MMSI
56.1762,56.33,56.14,56.25,1400,2021-02-02 16:55:00,MMSI
56.25,56.4,56.25,56.34,835,2021-02-02 17:00:00,MMSI
56.4,56.4,56.22,56.22,1100,2021-02-02 17:05:00,MMSI
56.19,56.3,56.18,56.3,500,2021-02-02 17:10:00,MMSI
56.24,56.24,56.23,56.23,400,2021-02-02 17:15:00,MMSI
56.1,56.165,56.08,56.09,500,2021-02-02 17:20:00,MMSI
56.13,56.15,56.02,56.08,800,2021-02-02 17:25:00,MMSI
56.085,56.085,56.02,56.08,600,2021-02-02 17:30:00,MMSI
56.11,56.11,56.034,56.034,300,2021-02-02 17:35:00,MMSI
56.0909,56.12,56.06,56.07,1623,2021-02-02 17:40:00,MMSI
56.1,56.1,56.1,56.1,100,2021-02-02 17:45:00,MMSI
56.11,56.18,56.11,56.18,800,2021-02-02 17:50:00,MMSI
56.24,56.3,56.19,56.19,1400,2021-02-02 17:55:00,MMSI
56.23,56.25,56.23,56.25,200,2021-02-02 18:00:00,MMSI
56.35,56.35,56.25,56.25,800,2021-02-02 18:05:00,MMSI
56.19,56.21,56.18,56.19,1000,2021-02-02 18:10:00,MMSI
56.19,56.19,56.15,56.15,900,2021-02-02 18:15:00,MMSI
56.12,56.14,55.85,55.85,2746,2021-02-02 18:20:00,MMSI
55.87,55.89,55.83,55.83,500,2021-02-02 18:25:00,MMSI
55.87,55.88,55.84,55.84,400,2021-02-02 18:30:00,MMSI
55.905,55.93,55.87,55.93,1513,2021-02-02 18:35:00,MMSI
55.8898,55.925,55.8898,55.925,368,2021-02-02 18:40:00,MMSI
56.1,56.1,56.0976,56.0976,200,2021-02-02 18:50:00,MMSI
56.09,56.15,56.09,56.1,700,2021-02-02 18:55:00,MMSI
56.045,56.045,55.95,55.975,1323,2021-02-02 19:00:00,MMSI
55.975,55.975,55.975,55.975,100,2021-02-02 19:05:00,MMSI
56.09,56.14,56.04,56.04,991,2021-02-02 19:10:00,MMSI
56.01,56.03,56.01,56.03,700,2021-02-02 19:15:00,MMSI
56.05,56.05,55.93,55.98,1226,2021-02-02 19:20:00,MMSI
55.96,56.01,55.95,55.985,1163,2021-02-02 19:25:00,MMSI
56.115,56.21,56.07,56.07,1100,2021-02-02 19:30:00,MMSI
56.09,56.09,56.08,56.08,600,2021-02-02 19:35:00,MMSI
56.07,56.07,55.97,56.0,2240,2021-02-02 19:40:00,MMSI
56.02,56.03,56.01,56.02,996,2021-02-02 19:45:00,MMSI
56.005,56.005,56.005,56.005,100,2021-02-02 19:50:00,MMSI
56.02,56.03,55.995,56.03,1045,2021-02-02 19:55:00,MMSI
55.97,56.0,55.96,55.98,500,2021-02-02 20:00:00,MMSI
56.04,56.04,56.04,56.04,200,2021-02-02 20:05:00,MMSI
56.13,56.13,56.01,56.01,800,2021-02-02 20:15:00,MMSI
56.0888,56.09,56.0888,56.09,600,2021-02-02 20:20:00,MMSI
56.06,56.06,56.03,56.05,1100,2021-02-02 20:25:00,MMSI
56.07,56.09,56.07,56.09,200,2021-02-02 20:30:00,MMSI
56.1,56.12,56.07,56.09,1714,2021-02-02 20:35:00,MMSI
56.05,56.05,55.99,55.99,1560,2021-02-02 20:40:00,MMSI
55.99,56.04,55.99,56.005,2900,2021-02-02 20:45:00,MMSI
56.0025,56.12,55.98,56.12,3383,2021-02-02 20:50:00,MMSI
56.12,56.12,56.02,56.07,6635,2021-02-02 20:55:00,MMSI
56.05,56.05,56.05,56.05,30222,2021-02-02 21:00:00,MMSI
55.91,55.91,55.65,55.65,2233,2021-02-03 14:30:00,MMSI
55.28,55.28,55.28,55.28,100,2021-02-03 14:35:00,MMSI
55.63,55.8,55.16,55.16,600,2021-02-03 14:40:00,MMSI
