open,high,low,close,volume,datetime,symbol
63.37,63.37,63.37,63.37,19863,2021-03-01 13:25:00,IDCC
64.6,64.6,64.22,64.22,1563,2021-03-01 14:30:00,IDCC
64.44,64.49,64.43,64.43,1000,2021-03-01 14:35:00,IDCC
64.605,64.605,64.52,64.55,300,2021-03-01 14:40:00,IDCC
64.73,64.88,64.73,64.88,400,2021-03-01 14:45:00,IDCC
64.81,64.81,64.64,64.64,1400,2021-03-01 14:50:00,IDCC
64.72,64.88,64.72,64.88,200,2021-03-01 15:00:00,IDCC
64.89,65.14,64.89,65.1,1504,2021-03-01 15:05:00,IDCC
65.12,65.12,65.075,65.075,200,2021-03-01 15:10:00,IDCC
65.09,65.18,65.01,65.01,2240,2021-03-01 15:15:00,IDCC
65.06,65.11,65.06,65.07,1100,2021-03-01 15:20:00,IDCC
65.07,65.07,64.75,64.78,1512,2021-03-01 15:25:00,IDCC
64.82,65.015,64.82,65.015,905,2021-03-01 15:30:00,IDCC
64.95,65.02,64.86,64.88,3228,2021-03-01 15:35:00,IDCC
64.95,64.985,64.83,64.83,2396,2021-03-01 15:40:00,IDCC
64.82,64.95,64.78,64.95,724,2021-03-01 15:45:00,IDCC
65.045,65.065,65.0,65.0,545,2021-03-01 15:50:00,IDCC
64.97,64.991,64.9,64.991,1160,2021-03-01 15:55:00,IDCC
64.95,64.99,64.95,64.955,549,2021-03-01 16:00:00,IDCC
64.92,64.92,64.85,64.91,1472,2021-03-01 16:05:00,IDCC
64.95,64.97,64.89,64.89,600,2021-03-01 16:10:00,IDCC
64.87,64.87,64.87,64.87,100,2021-03-01 16:20:00,IDCC
64.88,64.88,64.72,64.72,900,2021-03-01 16:25:00,IDCC
64.6,64.78,64.58,64.78,800,2021-03-01 16:30:00,IDCC
64.84,64.95,64.82,64.9,1660,2021-03-01 16:35:00,IDCC
64.95,65.07,64.95,65.01,3173,2021-03-01 16:40:00,IDCC
65.015,65.015,64.79,64.79,2192,2021-03-01 16:45:00,IDCC
64.79,64.95,64.68,64.95,1500,2021-03-01 16:50:00,IDCC
65.0,65.11,64.89,64.89,4701,2021-03-01 16:55:00,IDCC
64.95,65.12,64.94,65.12,725,2021-03-01 17:00:00,IDCC
65.13,65.16,65.13,65.16,400,2021-03-01 17:05:00,IDCC
65.15,65.2025,65.135,65.2025,1508,2021-03-01 17:10:00,IDCC
65.17,65.21,65.17,65.21,200,2021-03-01 17:15:00,IDCC
65.2,65.26,65.2,65.26,1000,2021-03-01 17:20:00,IDCC
65.2326,65.36,65.2326,65.36,763,2021-03-01 17:30:00,IDCC
65.37,65.37,65.34,65.37,1700,2021-03-01 17:35:00,IDCC
65.3305,65.34,65.14,65.18,800,2021-03-01 17:40:00,IDCC
65.24,65.37,65.24,65.35,900,2021-03-01 17:45:00,IDCC
65.35,65.36,65.27,65.27,1231,2021-03-01 17:50:00,IDCC
65.24,65.34,65.205,65.33,1500,2021-03-01 17:55:00,IDCC
65.27,65.28,65.27,65.28,486,2021-03-01 18:00:00,IDCC
65.265,65.265,65.22,65.22,200,2021-03-01 18:05:00,IDCC
65.19,65.21,65.17,65.21,698,2021-03-01 18:10:00,IDCC
65.16,65.16,65.15,65.15,300,2021-03-01 18:15:00,IDCC
65.22,65.375,65.22,65.295,2092,2021-03-01 18:20:00,IDCC
65.3,65.38,65.285,65.285,2065,2021-03-01 18:25:00,IDCC
65.27,65.3,65.27,65.3,1182,2021-03-01 18:30:00,IDCC
65.3,65.33,65.295,65.295,705,2021-03-01 18:35:00,IDCC
65.295,65.34,65.285,65.31,2468,2021-03-01 18:40:00,IDCC
65.3,65.45,65.25,65.45,3024,2021-03-01 18:45:00,IDCC
65.5115,65.56,65.3901,65.3901,1111,2021-03-01 18:50:00,IDCC
65.5,65.55,65.5,65.55,425,2021-03-01 18:55:00,IDCC
65.7,65.705,65.63,65.68,967,2021-03-01 19:00:00,IDCC
65.57,65.64,65.57,65.64,200,2021-03-01 19:05:00,IDCC
65.605,65.605,65.59,65.59,400,2021-03-01 19:15:00,IDCC
65.57,65.65,65.5451,65.65,884,2021-03-01 19:20:00,IDCC
65.7,65.75,65.7,65.75,600,2021-03-01 19:25:00,IDCC
65.75,65.75,65.69,65.69,515,2021-03-01 19:30:00,IDCC
65.7,65.7,65.66,65.66,400,2021-03-01 19:35:00,IDCC
65.66,65.665,65.59,65.59,1500,2021-03-01 19:40:00,IDCC
65.6,65.6,65.5564,65.585,508,2021-03-01 19:45:00,IDCC
65.61,65.625,65.58,65.625,2954,2021-03-01 19:50:00,IDCC
65.625,65.625,65.45,65.49,1580,2021-03-01 19:55:00,IDCC
65.48,65.54,65.48,65.53,700,2021-03-01 20:00:00,IDCC
65.455,65.46,65.45,65.46,300,2021-03-01 20:05:00,IDCC
65.4,65.455,65.4,65.455,400,2021-03-01 20:10:00,IDCC
65.35,65.38,65.31,65.31,1000,2021-03-01 20:15:00,IDCC
65.39,65.51,65.39,65.51,1145,2021-03-01 20:20:00,IDCC
65.53,65.62,65.53,65.54,1100,2021-03-01 20:25:00,IDCC
65.55,65.63,65.55,65.605,840,2021-03-01 20:30:00,IDCC
65.63,65.64,65.6,65.62,2097,2021-03-01 20:35:00,IDCC
65.64,65.74,65.64,65.74,1705,2021-03-01 20:40:00,IDCC
65.74,65.76,65.61,65.61,2800,2021-03-01 20:45:00,IDCC
65.66,65.875,65.64,65.875,2500,2021-03-01 20:50:00,IDCC
65.83,65.87,65.745,65.81,8212,2021-03-01 20:55:00,IDCC
65.86,65.86,65.86,65.86,22255,2021-03-01 21:00:00,IDCC
65.8,65.96,65.52,65.52,1035,2021-03-02 14:30:00,IDCC
65.545,65.545,65.545,65.545,100,2021-03-02 14:35:00,IDCC
65.35,65.5,65.35,65.5,749,2021-03-02 14:40:00,IDCC
65.5,65.5,65.13,65.13,900,2021-03-02 14:45:00,IDCC
65.55,65.55,65.55,65.55,100,2021-03-02 14:50:00,IDCC
65.5297,65.5297,65.2103,65.2103,700,2021-03-02 14:55:00,IDCC
65.24,65.38,65.24,65.38,600,2021-03-02 15:00:00,IDCC
65.31,65.31,65.2001,65.2001,1147,2021-03-02 15:05:00,IDCC
65.28,65.28,65.0,65.09,1500,2021-03-02 15:10:00,IDCC
65.06,65.06,64.88,64.88,1261,2021-03-02 15:25:00,IDCC
64.82,64.89,64.82,64.89,797,2021-03-02 15:30:00,IDCC
65.13,65.13,64.99,64.99,200,2021-03-02 15:35:00,IDCC
64.89,65.07,64.85,65.07,1000,2021-03-02 15:40:00,IDCC
64.94,65.11,64.94,65.08,890,2021-03-02 15:45:00,IDCC
65.12,65.2,65.11,65.2,500,2021-03-02 15:50:00,IDCC
65.21,65.21,65.15,65.15,1200,2021-03-02 15:55:00,IDCC
65.15,65.21,65.03,65.03,1080,2021-03-02 16:00:00,IDCC
65.19,65.24,65.17,65.24,798,2021-03-02 16:10:00,IDCC
65.18,65.18,65.18,65.18,100,2021-03-02 16:15:00,IDCC
65.0,65.07,64.975,65.07,913,2021-03-02 16:25:00,IDCC
64.9,64.91,64.9,64.91,200,2021-03-02 16:30:00,IDCC
64.76,64.81,64.76,64.81,200,2021-03-02 16:35:00,IDCC
64.74,64.74,64.74,64.74,300,2021-03-02 16:40:00,IDCC
64.71,64.8,64.71,64.8,800,2021-03-02 16:45:00,IDCC
64.79,64.79,64.76,64.76,300,2021-03-02 16:50:00,IDCC
64.7,64.74,64.7,64.74,955,2021-03-02 16:55:00,IDCC
64.71,64.71,64.7,64.71,300,2021-03-02 17:00:00,IDCC
64.8,64.95,64.8,64.95,920,2021-03-02 17:05:00,IDCC
64.85,64.85,64.85,64.85,100,2021-03-02 17:15:00,IDCC
64.91,64.96,64.91,64.96,300,2021-03-02 17:20:00,IDCC
64.93,64.93,64.91,64.91,200,2021-03-02 17:25:00,IDCC
64.88,64.89,64.85,64.89,1200,2021-03-02 17:30:00,IDCC
64.95,64.97,64.95,64.97,700,2021-03-02 17:35:00,IDCC
65.09,65.19,65.09,65.19,300,2021-03-02 17:40:00,IDCC
65.18,65.2,65.17,65.17,500,2021-03-02 17:45:00,IDCC
65.09,65.09,65.09,65.09,100,2021-03-02 17:55:00,IDCC
65.1,65.17,65.08,65.17,600,2021-03-02 18:00:00,IDCC
65.11,65.11,65.08,65.08,300,2021-03-02 18:05:00,IDCC
65.01,65.01,65.0,65.0,200,2021-03-02 18:10:00,IDCC
