open,high,low,close,volume,datetime,symbol
7.0,7.0,7.0,7.0,100,2021-03-01 09:00:00,OSS
6.97,7.0,6.97,7.0,797,2021-03-01 09:30:00,OSS
7.0,7.0,7.0,7.0,709,2021-03-01 09:45:00,OSS
7.0,7.0,6.9,6.9,237,2021-03-01 09:50:00,OSS
7.0,7.0,7.0,7.0,300,2021-03-01 09:55:00,OSS
6.87,6.87,6.87,6.87,418,2021-03-01 10:00:00,OSS
6.9,7.1,6.9,6.99,1471,2021-03-01 10:05:00,OSS
6.95,6.95,6.95,6.95,614,2021-03-01 10:10:00,OSS
6.99,7.0,6.99,7.0,449,2021-03-01 10:20:00,OSS
7.0,7.0,6.95,6.95,1545,2021-03-01 10:30:00,OSS
6.95,6.95,6.91,6.94,866,2021-03-01 10:40:00,OSS
6.96,6.96,6.94,6.94,387,2021-03-01 10:50:00,OSS
6.94,6.94,6.94,6.94,971,2021-03-01 11:00:00,OSS
7.03,7.05,7.03,7.05,400,2021-03-01 11:10:00,OSS
7.08,7.08,7.08,7.08,100,2021-03-01 11:15:00,OSS
7.03,7.08,7.03,7.08,1438,2021-03-01 11:25:00,OSS
7.09,7.09,6.99,7.0,1735,2021-03-01 11:30:00,OSS
7.01,7.01,7.0,7.0,200,2021-03-01 11:35:00,OSS
6.95,6.95,6.94,6.94,400,2021-03-01 11:40:00,OSS
6.97,6.97,6.77,6.8,3171,2021-03-01 11:45:00,OSS
6.9,6.9,6.9,6.9,1000,2021-03-01 12:00:00,OSS
6.91,6.91,6.9,6.9,200,2021-03-01 12:05:00,OSS
6.9,6.9,6.9,6.9,300,2021-03-01 12:10:00,OSS
6.84,6.85,6.81,6.81,450,2021-03-01 12:15:00,OSS
6.81,6.93,6.8,6.8,650,2021-03-01 12:20:00,OSS
6.97,6.99,6.97,6.99,777,2021-03-01 12:25:00,OSS
6.82,6.82,6.82,6.82,100,2021-03-01 12:35:00,OSS
6.82,6.86,6.82,6.86,300,2021-03-01 12:40:00,OSS
6.82,6.82,6.82,6.82,554,2021-03-01 12:45:00,OSS
6.83,6.83,6.83,6.83,200,2021-03-01 12:50:00,OSS
6.84,6.9,6.84,6.9,816,2021-03-01 12:55:00,OSS
6.84,6.84,6.84,6.84,179,2021-03-01 13:00:00,OSS
6.85,6.85,6.85,6.85,100,2021-03-01 13:25:00,OSS
6.85,6.85,6.85,6.85,100,2021-03-01 13:30:00,OSS
6.85,6.85,6.85,6.85,200,2021-03-01 13:35:00,OSS
6.85,6.85,6.84,6.85,2950,2021-03-01 13:40:00,OSS
6.85,6.85,6.85,6.85,930,2021-03-01 13:45:00,OSS
6.85,6.85,6.85,6.85,236,2021-03-01 13:50:00,OSS
6.85,6.91,6.85,6.91,500,2021-03-01 14:00:00,OSS
6.86,6.86,6.82,6.82,1107,2021-03-01 14:05:00,OSS
6.82,6.82,6.82,6.82,200,2021-03-01 14:10:00,OSS
6.89,6.89,6.89,6.89,400,2021-03-01 14:15:00,OSS
6.91,6.91,6.91,6.91,300,2021-03-01 14:20:00,OSS
6.82,6.82,6.51,6.64,26156,2021-03-01 14:25:00,OSS
6.55,7.0,6.55,7.0,55312,2021-03-01 14:30:00,OSS
6.98,7.08,6.9,7.01,29268,2021-03-01 14:35:00,OSS
6.99,7.38,6.99,7.331,25109,2021-03-01 14:40:00,OSS
7.35,7.35,7.28,7.29,13421,2021-03-01 14:45:00,OSS
7.28,7.46,7.28,7.43,18223,2021-03-01 14:50:00,OSS
7.43,7.53,7.39,7.4,22767,2021-03-01 14:55:00,OSS
7.39,7.52,7.38,7.52,23880,2021-03-01 15:00:00,OSS
7.51,7.57,7.48,7.525,34323,2021-03-01 15:05:00,OSS
7.49,7.52,7.42,7.47,37173,2021-03-01 15:10:00,OSS
7.46,7.53,7.441,7.5267,11706,2021-03-01 15:15:00,OSS
7.5299,7.7504,7.45,7.74,43760,2021-03-01 15:20:00,OSS
7.76,7.76,7.54,7.675,20190,2021-03-01 15:25:00,OSS
7.71,7.71,7.5,7.5033,22789,2021-03-01 15:30:00,OSS
7.55,7.66,7.52,7.65,7327,2021-03-01 15:35:00,OSS
7.6567,7.67,7.61,7.65,24761,2021-03-01 15:40:00,OSS
7.63,7.64,7.44,7.5059,22869,2021-03-01 15:45:00,OSS
7.4806,7.5,7.41,7.5,4963,2021-03-01 15:50:00,OSS
7.505,7.58,7.505,7.56,6092,2021-03-01 15:55:00,OSS
7.6332,7.64,7.5608,7.5815,3043,2021-03-01 16:00:00,OSS
7.615,7.615,7.58,7.58,2900,2021-03-01 16:05:00,OSS
7.57,7.57,7.52,7.52,5419,2021-03-01 16:10:00,OSS
7.55,7.58,7.5253,7.58,1220,2021-03-01 16:15:00,OSS
7.6,7.74,7.58,7.71,10452,2021-03-01 16:20:00,OSS
7.7483,7.7483,7.68,7.6848,15106,2021-03-01 16:25:00,OSS
7.73,7.85,7.73,7.85,17823,2021-03-01 16:30:00,OSS
7.825,7.91,7.82,7.91,8339,2021-03-01 16:35:00,OSS
7.89,7.93,7.7935,7.924,12329,2021-03-01 16:40:00,OSS
7.93,7.93,7.86,7.9,4226,2021-03-01 16:45:00,OSS
7.8983,8.0,7.87,7.88,13180,2021-03-01 16:50:00,OSS
7.91,8.0,7.88,7.95,9055,2021-03-01 16:55:00,OSS
7.93,7.95,7.87,7.9179,3662,2021-03-01 17:00:00,OSS
7.99,8.0,7.81,7.97,24271,2021-03-01 17:05:00,OSS
7.94,7.98,7.8841,7.98,4025,2021-03-01 17:10:00,OSS
7.97,8.19,7.97,8.0058,28759,2021-03-01 17:15:00,OSS
8.0038,8.1,8.0,8.0792,14452,2021-03-01 17:20:00,OSS
8.044,8.11,8.044,8.1,7650,2021-03-01 17:25:00,OSS
8.15,8.3647,8.1131,8.3647,14440,2021-03-01 17:30:00,OSS
8.37,8.4,8.33,8.3758,21398,2021-03-01 17:35:00,OSS
8.3709,8.5,8.37,8.47,26040,2021-03-01 17:40:00,OSS
8.46,8.7,8.42,8.6,35188,2021-03-01 17:45:00,OSS
8.6041,8.61,8.4101,8.5656,46722,2021-03-01 17:50:00,OSS
8.534,8.57,8.42,8.4473,14679,2021-03-01 17:55:00,OSS
8.4401,8.5098,8.1798,8.29,38251,2021-03-01 18:00:00,OSS
8.29,8.2901,8.21,8.2101,10566,2021-03-01 18:05:00,OSS
8.2226,8.2808,8.17,8.22,6490,2021-03-01 18:10:00,OSS
8.2485,8.27,8.2,8.2,7953,2021-03-01 18:15:00,OSS
8.2,8.3399,8.13,8.2918,15051,2021-03-01 18:20:00,OSS
8.3,8.52,8.3,8.52,7293,2021-03-01 18:25:00,OSS
8.52,8.5343,8.41,8.41,12909,2021-03-01 18:30:00,OSS
8.41,8.5,8.39,8.455,7434,2021-03-01 18:35:00,OSS
8.47,8.5,8.43,8.43,4284,2021-03-01 18:40:00,OSS
8.43,8.51,8.43,8.46,5470,2021-03-01 18:45:00,OSS
8.5,8.59,8.45,8.5892,13908,2021-03-01 18:50:00,OSS
8.59,8.86,8.59,8.8007,55366,2021-03-01 18:55:00,OSS
8.8,8.8,8.67,8.68,14021,2021-03-01 19:00:00,OSS
8.65,8.7,8.62,8.62,17384,2021-03-01 19:05:00,OSS
8.655,8.69,8.62,8.67,6198,2021-03-01 19:10:00,OSS
8.6621,8.6621,8.54,8.58,4286,2021-03-01 19:15:00,OSS
8.54,8.69,8.54,8.67,5577,2021-03-01 19:20:00,OSS
8.64,9.0,8.64,8.938,57368,2021-03-01 19:25:00,OSS
8.9,9.12,8.8,9.08,49679,2021-03-01 19:30:00,OSS
9.0799,9.15,8.9114,8.98,50575,2021-03-01 19:35:00,OSS
8.97,9.0073,8.85,8.89,19841,2021-03-01 19:40:00,OSS
8.8801,8.9,8.67,8.6841,14940,2021-03-01 19:45:00,OSS
8.695,8.82,8.66,8.8031,17977,2021-03-01 19:50:00,OSS
8.8051,8.831,8.59,8.62,36835,2021-03-01 19:55:00,OSS
8.625,8.734,8.6,8.6952,15898,2021-03-01 20:00:00,OSS
8.7001,8.7732,8.6899,8.7,15138,2021-03-01 20:05:00,OSS
8.7157,8.79,8.66,8.79,4367,2021-03-01 20:10:00,OSS
8.745,8.78,8.66,8.68,12822,2021-03-01 20:15:00,OSS
8.7271,8.94,8.71,8.94,45169,2021-03-01 20:20:00,OSS
8.94,9.09,8.9,8.99,41065,2021-03-01 20:25:00,OSS
9.03,9.5,8.97,9.3301,200788,2021-03-01 20:30:00,OSS
9.33,9.4,9.04,9.04,78630,2021-03-01 20:35:00,OSS
9.04,9.38,9.03,9.323,68440,2021-03-01 20:40:00,OSS
9.2701,9.335,8.8,8.89,71025,2021-03-01 20:45:00,OSS
8.95,9.0,8.85,8.92,56758,2021-03-01 20:50:00,OSS
8.9,8.9332,8.78,8.79,90910,2021-03-01 20:55:00,OSS
8.87,8.87,8.61,8.8001,33790,2021-03-01 21:00:00,OSS
8.8,8.92,8.7,8.78,2539,2021-03-01 21:05:00,OSS
8.8,8.8,8.71,8.71,208,2021-03-01 21:10:00,OSS
8.75,8.75,8.67,8.7,1200,2021-03-01 21:15:00,OSS
8.64,8.64,8.64,8.64,400,2021-03-01 21:20:00,OSS
8.65,8.66,8.65,8.66,513,2021-03-01 21:40:00,OSS
8.79,8.79,8.66,8.68,1112,2021-03-01 21:45:00,OSS
8.86,8.86,8.86,8.86,400,2021-03-01 21:55:00,OSS
8.84,8.84,8.84,8.84,1000,2021-03-01 22:10:00,OSS
8.84,8.84,8.84,8.84,100,2021-03-01 22:25:00,OSS
8.84,8.84,8.84,8.84,519,2021-03-01 22:35:00,OSS
8.66,8.66,8.66,8.66,114,2021-03-01 23:50:00,OSS
8.78,8.78,8.78,8.78,345,2021-03-02 00:10:00,OSS
8.99,8.99,8.99,8.99,100,2021-03-02 00:45:00,OSS
8.87,8.87,8.87,8.87,100,2021-03-02 00:55:00,OSS
8.66,8.66,8.5,8.5,200,2021-03-02 09:00:00,OSS
8.4,8.4,8.4,8.4,100,2021-03-02 09:05:00,OSS
8.4,8.4,8.4,8.4,100,2021-03-02 09:10:00,OSS
8.21,8.21,8.21,8.21,148,2021-03-02 09:25:00,OSS
8.6,8.6,8.6,8.6,105,2021-03-02 10:15:00,OSS
8.59,8.6,8.59,8.6,596,2021-03-02 10:40:00,OSS
8.55,8.55,8.55,8.55,100,2021-03-02 10:45:00,OSS
8.6,8.6,8.6,8.6,100,2021-03-02 10:50:00,OSS
8.65,8.65,8.65,8.65,101,2021-03-02 10:55:00,OSS
8.65,8.65,8.65,8.65,113,2021-03-02 11:25:00,OSS
8.84,8.84,8.84,8.84,200,2021-03-02 11:30:00,OSS
8.83,8.83,8.83,8.83,100,2021-03-02 11:45:00,OSS
8.75,8.75,8.75,8.75,100,2021-03-02 11:50:00,OSS
8.75,8.75,8.71,8.71,630,2021-03-02 12:05:00,OSS
8.65,8.65,8.65,8.65,613,2021-03-02 12:10:00,OSS
8.65,8.75,8.65,8.75,400,2021-03-02 12:25:00,OSS
8.75,8.75,8.65,8.65,1000,2021-03-02 12:35:00,OSS
8.64,8.64,8.64,8.64,112,2021-03-02 12:40:00,OSS
8.75,8.75,8.75,8.75,919,2021-03-02 12:45:00,OSS
8.65,8.65,8.65,8.65,200,2021-03-02 12:50:00,OSS
8.65,8.65,8.65,8.65,200,2021-03-02 12:55:00,OSS
8.65,8.65,8.65,8.65,1147,2021-03-02 13:00:00,OSS
8.75,8.75,8.75,8.75,200,2021-03-02 13:05:00,OSS
8.78,8.8,8.78,8.8,600,2021-03-02 13:10:00,OSS
8.86,8.91,8.86,8.88,1326,2021-03-02 13:15:00,OSS
8.8999,8.9,8.88,8.88,1951,2021-03-02 13:20:00,OSS
8.89,8.89,8.89,8.89,113,2021-03-02 13:25:00,OSS
8.67,8.67,8.0,8.14,26870,2021-03-02 13:30:00,OSS
8.1725,8.39,8.13,8.13,4745,2021-03-02 13:35:00,OSS
8.33,8.34,8.25,8.25,1925,2021-03-02 13:40:00,OSS
8.26,8.39,8.0,8.0,19198,2021-03-02 13:45:00,OSS
8.0001,8.11,7.85,7.9,18056,2021-03-02 13:50:00,OSS
7.86,7.86,7.52,7.67,23205,2021-03-02 13:55:00,OSS
7.7,7.7,7.55,7.58,9985,2021-03-02 14:00:00,OSS
7.57,7.6,7.53,7.53,8370,2021-03-02 14:05:00,OSS
7.55,7.55,7.52,7.53,7507,2021-03-02 14:10:00,OSS
7.52,7.53,7.5,7.51,4978,2021-03-02 14:15:00,OSS
7.51,7.74,7.5,7.67,2612,2021-03-02 14:20:00,OSS
7.73,7.75,7.58,7.59,3653,2021-03-02 14:25:00,OSS
7.61,8.3,7.51,7.98,229546,2021-03-02 14:30:00,OSS
7.98,8.09,7.8088,8.01,78093,2021-03-02 14:35:00,OSS
8.03,8.25,8.02,8.1,72842,2021-03-02 14:40:00,OSS
8.11,8.4,8.1,8.245,43070,2021-03-02 14:45:00,OSS
8.23,8.23,7.93,7.98,35589,2021-03-02 14:50:00,OSS
7.98,8.18,7.94,8.18,20556,2021-03-02 14:55:00,OSS
8.17,8.22,8.1,8.15,28031,2021-03-02 15:00:00,OSS
8.17,8.22,8.14,8.22,22660,2021-03-02 15:05:00,OSS
8.2146,8.26,8.1627,8.23,19826,2021-03-02 15:10:00,OSS
8.23,8.24,8.15,8.19,20793,2021-03-02 15:15:00,OSS
8.185,8.25,8.1801,8.23,10123,2021-03-02 15:20:00,OSS
8.25,8.26,8.23,8.23,4142,2021-03-02 15:25:00,OSS
8.23,8.25,8.2,8.23,8909,2021-03-02 15:30:00,OSS
8.26,8.35,8.25,8.3,11900,2021-03-02 15:35:00,OSS
8.3,8.32,8.26,8.32,5410,2021-03-02 15:40:00,OSS
8.3453,8.45,8.315,8.43,22014,2021-03-02 15:45:00,OSS
8.43,8.48,8.43,8.459,10013,2021-03-02 15:50:00,OSS
8.4609,8.63,8.4609,8.62,19616,2021-03-02 15:55:00,OSS
8.62,8.74,8.4801,8.52,44035,2021-03-02 16:00:00,OSS
8.55,8.7,8.53,8.69,75648,2021-03-02 16:05:00,OSS
8.675,8.75,8.64,8.6801,42333,2021-03-02 16:10:00,OSS
8.69,8.75,8.69,8.7401,17877,2021-03-02 16:15:00,OSS
8.74,8.799,8.74,8.75,16718,2021-03-02 16:20:00,OSS
8.79,8.79,8.67,8.67,18725,2021-03-02 16:25:00,OSS
8.64,8.65,8.48,8.52,14344,2021-03-02 16:30:00,OSS
8.52,8.6,8.52,8.5301,5493,2021-03-02 16:35:00,OSS
8.53,8.53,8.46,8.5,22309,2021-03-02 16:40:00,OSS
8.495,8.54,8.47,8.5,11915,2021-03-02 16:45:00,OSS
8.5018,8.52,8.5,8.5,10448,2021-03-02 16:50:00,OSS
8.52,8.52,8.38,8.41,23647,2021-03-02 16:55:00,OSS
8.41,8.41,8.35,8.35,2070,2021-03-02 17:00:00,OSS
8.35,8.37,8.31,8.32,5912,2021-03-02 17:05:00,OSS
8.3109,8.3109,8.2,8.2,12822,2021-03-02 17:10:00,OSS
8.2041,8.34,8.2,8.32,11574,2021-03-02 17:15:00,OSS
8.34,8.48,8.34,8.42,31242,2021-03-02 17:20:00,OSS
8.415,8.48,8.415,8.46,19594,2021-03-02 17:25:00,OSS
8.46,8.49,8.37,8.3738,3370,2021-03-02 17:30:00,OSS
8.37,8.4,8.37,8.4,3780,2021-03-02 17:35:00,OSS
8.4,8.46,8.4,8.43,7741,2021-03-02 17:40:00,OSS
8.46,8.46,8.423,8.423,2805,2021-03-02 17:45:00,OSS
