open,high,low,close,volume,datetime,symbol
65.43,65.77,65.43,65.645,1495,2021-03-01 14:30:00,RICK
65.51,65.51,65.01,65.01,1003,2021-03-01 14:35:00,RICK
65.4,65.4,65.0,65.05,502,2021-03-01 14:40:00,RICK
65.01,65.01,65.01,65.01,100,2021-03-01 14:45:00,RICK
65.2357,65.2357,65.2357,65.2357,100,2021-03-01 14:50:00,RICK
65.41,66.12,65.32,66.12,2361,2021-03-01 14:55:00,RICK
66.98,66.98,66.98,66.98,200,2021-03-01 15:05:00,RICK
66.17,66.17,66.17,66.17,100,2021-03-01 15:10:00,RICK
66.23,66.23,66.23,66.23,100,2021-03-01 15:15:00,RICK
66.2,67.49,66.2,67.45,1900,2021-03-01 15:25:00,RICK
66.99,66.99,66.99,66.99,100,2021-03-01 15:30:00,RICK
67.25,67.25,67.25,67.25,100,2021-03-01 15:35:00,RICK
67.47,68.0,67.4025,68.0,2552,2021-03-01 15:40:00,RICK
67.971,67.971,67.025,67.025,1800,2021-03-01 15:45:00,RICK
67.32,67.62,67.32,67.32,710,2021-03-01 15:55:00,RICK
66.85,66.85,66.85,66.85,100,2021-03-01 16:05:00,RICK
66.95,66.95,66.95,66.95,425,2021-03-01 16:10:00,RICK
66.9984,66.9984,66.9984,66.9984,100,2021-03-01 16:25:00,RICK
66.89,66.89,66.89,66.89,100,2021-03-01 16:35:00,RICK
66.69,66.69,66.5,66.5,647,2021-03-01 16:40:00,RICK
66.9455,66.9455,66.9455,66.9455,100,2021-03-01 16:50:00,RICK
66.93,66.93,66.52,66.9,300,2021-03-01 17:00:00,RICK
66.69,66.69,66.69,66.69,300,2021-03-01 17:05:00,RICK
66.52,66.52,66.52,66.52,100,2021-03-01 17:10:00,RICK
65.52,65.93,65.52,65.88,1800,2021-03-01 17:15:00,RICK
66.17,66.17,65.7901,65.7901,300,2021-03-01 17:20:00,RICK
66.26,66.26,66.26,66.26,280,2021-03-01 17:50:00,RICK
66.235,66.235,65.92,65.93,700,2021-03-01 17:55:00,RICK
65.79,65.79,65.79,65.79,100,2021-03-01 18:00:00,RICK
65.13,65.13,64.73,64.73,300,2021-03-01 18:10:00,RICK
65.38,65.38,65.38,65.38,100,2021-03-01 18:15:00,RICK
64.95,64.95,64.95,64.95,100,2021-03-01 18:20:00,RICK
65.35,65.38,65.1501,65.1501,1505,2021-03-01 18:25:00,RICK
65.92,66.1124,65.92,66.1124,350,2021-03-01 18:30:00,RICK
66.07,66.07,66.07,66.07,100,2021-03-01 18:55:00,RICK
65.75,65.75,65.75,65.75,290,2021-03-01 19:00:00,RICK
65.6001,65.6001,65.6001,65.6001,151,2021-03-01 19:05:00,RICK
66.0799,66.0799,66.0799,66.0799,151,2021-03-01 19:10:00,RICK
65.8379,65.8379,65.8379,65.8379,313,2021-03-01 19:20:00,RICK
65.68,65.68,65.68,65.68,100,2021-03-01 19:25:00,RICK
65.545,65.8,65.545,65.8,324,2021-03-01 19:30:00,RICK
65.66,65.88,65.6,65.88,300,2021-03-01 19:40:00,RICK
65.89,65.89,65.425,65.425,300,2021-03-01 19:45:00,RICK
65.86,65.92,65.86,65.92,400,2021-03-01 19:50:00,RICK
66.085,66.44,65.92,65.92,600,2021-03-01 19:55:00,RICK
65.92,66.015,65.92,66.015,300,2021-03-01 20:00:00,RICK
65.92,65.92,65.92,65.92,600,2021-03-01 20:05:00,RICK
65.92,66.01,65.92,66.01,400,2021-03-01 20:10:00,RICK
66.135,66.86,65.62,66.86,966,2021-03-01 20:15:00,RICK
66.91,67.19,66.19,66.96,1071,2021-03-01 20:20:00,RICK
66.95,67.74,66.84,67.295,5168,2021-03-01 20:25:00,RICK
67.29,67.67,67.255,67.67,1600,2021-03-01 20:30:00,RICK
67.73,68.41,67.44,68.16,1200,2021-03-01 20:35:00,RICK
68.22,69.25,68.14,69.25,1689,2021-03-01 20:40:00,RICK
69.3,69.44,68.26,68.8,5134,2021-03-01 20:45:00,RICK
68.575,68.99,68.31,68.99,3056,2021-03-01 20:50:00,RICK
69.09,69.69,68.9,69.64,6968,2021-03-01 20:55:00,RICK
69.33,69.33,65.05,65.05,8651,2021-03-01 21:00:00,RICK
68.98,68.98,68.98,68.98,300,2021-03-01 22:00:00,RICK
68.72,68.72,65.56,67.9999,2618,2021-03-02 14:30:00,RICK
67.7464,67.7464,67.0,67.0,500,2021-03-02 14:35:00,RICK
66.66,67.38,66.66,67.38,200,2021-03-02 14:40:00,RICK
66.65,66.65,65.81,65.81,952,2021-03-02 14:45:00,RICK
66.26,66.26,66.26,66.26,100,2021-03-02 14:50:00,RICK
66.47,67.03,66.47,67.028,600,2021-03-02 14:55:00,RICK
66.84,66.84,66.84,66.84,100,2021-03-02 15:00:00,RICK
67.14,67.14,67.14,67.14,200,2021-03-02 15:10:00,RICK
66.57,67.09,66.25,66.48,400,2021-03-02 15:25:00,RICK
66.95,67.4,66.95,67.38,700,2021-03-02 15:30:00,RICK
67.22,67.22,67.17,67.17,200,2021-03-02 15:35:00,RICK
66.41,66.43,66.41,66.43,253,2021-03-02 15:45:00,RICK
66.6969,66.6969,66.6969,66.6969,100,2021-03-02 15:50:00,RICK
66.91,66.91,66.91,66.91,100,2021-03-02 15:55:00,RICK
66.84,66.89,66.84,66.89,200,2021-03-02 16:00:00,RICK
66.95,67.4,66.55,66.55,1005,2021-03-02 16:05:00,RICK
66.875,68.25,66.875,68.25,200,2021-03-02 16:10:00,RICK
67.39,67.39,67.39,67.39,132,2021-03-02 16:20:00,RICK
68.1,68.1,68.09,68.09,200,2021-03-02 16:25:00,RICK
67.9999,67.9999,67.9999,67.9999,100,2021-03-02 16:50:00,RICK
67.422,67.422,67.422,67.422,130,2021-03-02 17:15:00,RICK
67.33,67.4,66.86,67.24,1670,2021-03-02 17:45:00,RICK
67.23,67.91,67.23,67.4,1424,2021-03-02 17:50:00,RICK
67.74,67.74,67.74,67.74,100,2021-03-02 17:55:00,RICK
68.06,68.86,68.06,68.61,3862,2021-03-02 18:00:00,RICK
68.67,68.67,68.67,68.67,100,2021-03-02 18:15:00,RICK
68.67,68.67,68.125,68.125,200,2021-03-02 18:20:00,RICK
68.61,68.6499,68.61,68.6499,200,2021-03-02 18:25:00,RICK
68.54,68.69,68.24,68.24,300,2021-03-02 18:30:00,RICK
68.325,68.325,68.25,68.25,400,2021-03-02 18:35:00,RICK
68.5,68.96,68.39,68.95,1552,2021-03-02 18:40:00,RICK
69.0,69.0,69.0,69.0,442,2021-03-02 18:45:00,RICK
69.3,69.3,68.859,68.859,300,2021-03-02 18:50:00,RICK
69.24,69.29,69.24,69.28,300,2021-03-02 18:55:00,RICK
69.3,69.93,69.3,69.55,944,2021-03-02 19:00:00,RICK
69.79,69.86,69.35,69.4,800,2021-03-02 19:05:00,RICK
69.37,69.37,68.51,68.51,835,2021-03-02 19:15:00,RICK
69.26,69.37,69.26,69.37,200,2021-03-02 19:30:00,RICK
69.32,69.79,68.82,69.79,3428,2021-03-02 19:35:00,RICK
69.9,69.9,69.165,69.165,600,2021-03-02 19:40:00,RICK
69.9,69.9,69.6,69.6,300,2021-03-02 19:45:00,RICK
69.93,69.93,69.93,69.93,100,2021-03-02 19:50:00,RICK
69.53,69.86,69.21,69.305,7567,2021-03-02 19:55:00,RICK
69.45,69.45,68.54,68.555,1956,2021-03-02 20:00:00,RICK
68.82,68.82,68.82,68.82,100,2021-03-02 20:05:00,RICK
69.25,69.25,69.0,69.0,300,2021-03-02 20:15:00,RICK
68.76,68.94,68.76,68.83,400,2021-03-02 20:20:00,RICK
68.74,68.87,68.55,68.87,1200,2021-03-02 20:25:00,RICK
68.65,68.67,68.65,68.66,400,2021-03-02 20:30:00,RICK
68.63,68.82,68.08,68.23,2640,2021-03-02 20:35:00,RICK
68.3,68.49,68.3,68.49,300,2021-03-02 20:40:00,RICK
68.26,68.66,68.26,68.66,300,2021-03-02 20:45:00,RICK
68.26,68.49,67.93,68.0,3059,2021-03-02 20:50:00,RICK
68.2,68.235,67.62,67.95,5062,2021-03-02 20:55:00,RICK
67.96,67.96,67.96,67.96,4943,2021-03-02 21:00:00,RICK
69.23,69.29,64.95,69.29,2995,2021-03-03 14:30:00,RICK
69.69,69.95,69.23,69.25,1510,2021-03-03 14:35:00,RICK
69.05,69.05,67.9935,67.9935,1293,2021-03-03 14:40:00,RICK
69.58,69.58,68.87,69.015,1347,2021-03-03 14:45:00,RICK
69.47,69.47,69.47,69.47,100,2021-03-03 14:50:00,RICK
69.46,69.46,68.29,68.29,500,2021-03-03 14:55:00,RICK
68.85,68.85,68.85,68.85,100,2021-03-03 15:00:00,RICK
68.32,68.32,67.54,67.8,1517,2021-03-03 15:05:00,RICK
67.66,67.66,67.23,67.44,700,2021-03-03 15:10:00,RICK
67.2506,67.2506,66.0443,66.0443,305,2021-03-03 15:15:00,RICK
67.11,67.5772,67.11,67.5772,311,2021-03-03 15:20:00,RICK
67.69,69.22,67.33,69.22,400,2021-03-03 15:25:00,RICK
68.7,68.7,68.34,68.34,300,2021-03-03 15:35:00,RICK
68.07,68.98,67.88,68.98,1238,2021-03-03 15:45:00,RICK
69.09,70.0,68.84,70.0,5200,2021-03-03 15:50:00,RICK
70.18,70.74,69.99,70.74,950,2021-03-03 15:55:00,RICK
70.77,70.77,70.58,70.7693,980,2021-03-03 16:00:00,RICK
70.74,71.25,70.36,71.015,1956,2021-03-03 16:05:00,RICK
71.02,71.25,71.01,71.225,1229,2021-03-03 16:10:00,RICK
71.04,71.04,70.79,70.79,800,2021-03-03 16:15:00,RICK
70.625,70.625,70.51,70.51,300,2021-03-03 16:20:00,RICK
70.545,70.7,70.545,70.545,700,2021-03-03 16:25:00,RICK
70.43,70.43,70.4,70.4,400,2021-03-03 16:30:00,RICK
70.23,70.23,70.23,70.23,172,2021-03-03 16:35:00,RICK
70.23,70.23,70.0,70.08,600,2021-03-03 16:40:00,RICK
70.44,70.7,70.44,70.47,1100,2021-03-03 16:55:00,RICK
70.36,70.36,70.36,70.36,130,2021-03-03 17:00:00,RICK
70.4399,70.4399,70.4399,70.4399,100,2021-03-03 17:05:00,RICK
69.81,69.81,69.54,69.54,500,2021-03-03 17:10:00,RICK
69.68,69.68,69.68,69.68,100,2021-03-03 17:15:00,RICK
69.76,69.78,69.76,69.78,200,2021-03-03 17:20:00,RICK
69.78,69.78,69.78,69.78,600,2021-03-03 17:25:00,RICK
70.16,70.27,70.16,70.27,200,2021-03-03 17:30:00,RICK
69.99,70.91,69.99,70.91,500,2021-03-03 17:35:00,RICK
70.39,70.58,70.39,70.58,1100,2021-03-03 17:40:00,RICK
70.69,70.7,70.69,70.7,739,2021-03-03 17:50:00,RICK
70.96,70.96,70.55,70.55,1378,2021-03-03 17:55:00,RICK
70.96,71.18,70.77,71.18,700,2021-03-03 18:05:00,RICK
71.42,71.42,71.41,71.41,200,2021-03-03 18:10:00,RICK
71.45,71.96,71.45,71.5,2040,2021-03-03 18:15:00,RICK
71.5119,72.0,71.5119,71.85,2431,2021-03-03 18:20:00,RICK
73.0,73.0,71.95,72.13,1391,2021-03-03 18:25:00,RICK
72.0,72.0,72.0,72.0,596,2021-03-03 18:30:00,RICK
71.65,72.217,71.65,71.65,4256,2021-03-03 18:35:00,RICK
71.65,72.13,71.61,72.13,300,2021-03-03 18:40:00,RICK
71.88,71.88,71.53,71.53,400,2021-03-03 18:45:00,RICK
70.84,70.85,70.82,70.82,300,2021-03-03 18:50:00,RICK
70.68,70.68,70.25,70.25,200,2021-03-03 18:55:00,RICK
70.6022,70.6022,69.49,69.49,1282,2021-03-03 19:00:00,RICK
69.85,70.56,69.85,70.56,200,2021-03-03 19:10:00,RICK
70.59,70.59,69.87,70.286,500,2021-03-03 19:15:00,RICK
70.56,70.56,68.01,68.2426,16304,2021-03-03 19:20:00,RICK
68.0397,68.48,68.0397,68.16,300,2021-03-03 19:25:00,RICK
68.86,68.91,68.86,68.91,200,2021-03-03 19:30:00,RICK
69.03,69.68,68.61,69.68,500,2021-03-03 19:35:00,RICK
69.71,70.22,69.71,70.22,200,2021-03-03 19:40:00,RICK
70.28,70.91,70.08,70.86,1600,2021-03-03 19:45:00,RICK
70.73,70.73,70.52,70.64,800,2021-03-03 19:50:00,RICK
70.06,70.63,69.92,70.26,2860,2021-03-03 19:55:00,RICK
70.47,70.47,70.19,70.19,300,2021-03-03 20:00:00,RICK
