open,high,low,close,volume,datetime,symbol
29.0,29.0,29.0,29.0,400,2021-03-01 14:40:00,SSPKU
28.77,28.77,28.77,28.77,169,2021-03-01 20:45:00,SSPKU
31.61,31.61,31.61,31.61,100,2021-03-02 14:30:00,SSPKU
28.82,30.0,28.82,30.0,250,2021-03-02 18:05:00,SSPKU
29.5,29.5,29.5,29.5,264,2021-03-03 14:30:00,SSPKU
29.5,29.5,27.73,27.73,370,2021-03-03 15:00:00,SSPKU
26.49,27.59,25.76,25.76,921,2021-03-03 19:40:00,SSPKU
25.37,25.37,25.32,25.32,1687,2021-03-03 19:45:00,SSPKU
25.1,25.1,25.1,25.1,202,2021-03-03 20:15:00,SSPKU
22.54,22.54,22.51,22.51,300,2021-03-04 15:10:00,SSPKU
20.7,20.7,20.7,20.7,200,2021-03-04 15:25:00,SSPKU
20.5557,20.5557,20.5557,20.5557,1000,2021-03-04 15:30:00,SSPKU
22.77,23.0699,22.77,23.0699,250,2021-03-04 15:35:00,SSPKU
22.34,22.34,22.34,22.34,200,2021-03-04 17:10:00,SSPKU
20.83,20.84,20.78,20.84,500,2021-03-04 17:55:00,SSPKU
20.7,20.7,20.7,20.7,100,2021-03-04 18:30:00,SSPKU
20.55,20.55,20.55,20.55,100,2021-03-04 18:40:00,SSPKU
20.0,20.0,20.0,20.0,100,2021-03-04 18:50:00,SSPKU
21.47,21.77,21.4,21.77,700,2021-03-04 19:40:00,SSPKU
21.75,22.72,21.75,22.72,250,2021-03-04 20:40:00,SSPKU
22.5,22.5,22.5,22.5,100,2021-03-05 14:40:00,SSPKU
20.25,20.98,20.01,20.98,300,2021-03-05 15:15:00,SSPKU
20.2,20.22,20.2,20.22,1000,2021-03-05 15:25:00,SSPKU
19.9901,19.9901,19.9901,19.9901,100,2021-03-05 15:30:00,SSPKU
19.5501,19.5501,19.5501,19.5501,150,2021-03-05 15:40:00,SSPKU
20.025,20.025,20.025,20.025,100,2021-03-05 15:45:00,SSPKU
20.5,20.5,20.5,20.5,100,2021-03-05 16:40:00,SSPKU
20.53,20.53,20.53,20.53,500,2021-03-05 16:45:00,SSPKU
20.11,20.11,20.11,20.11,100,2021-03-05 17:05:00,SSPKU
20.09,20.09,20.09,20.09,500,2021-03-05 17:20:00,SSPKU
20.14,20.14,20.14,20.14,246,2021-03-05 17:25:00,SSPKU
21.51,21.51,21.51,21.51,100,2021-03-05 18:35:00,SSPKU
21.44,21.47,21.27,21.2994,1400,2021-03-08 17:45:00,SSPKU
22.0,22.0,22.0,22.0,100,2021-03-09 15:20:00,SSPKU
23.0563,23.0563,23.0563,23.0563,400,2021-03-09 19:40:00,SSPKU
23.3099,23.3099,23.3099,23.3099,240,2021-03-09 19:45:00,SSPKU
23.0557,23.0557,23.0557,23.0557,210,2021-03-09 19:50:00,SSPKU
23.27,23.31,23.27,23.31,200,2021-03-09 20:20:00,SSPKU
22.75,22.75,22.75,22.75,100,2021-03-10 20:25:00,SSPKU
23.0,23.0,23.0,23.0,100,2021-03-12 16:15:00,SSPKU
23.9999,23.9999,23.9999,23.9999,100,2021-03-12 16:25:00,SSPKU
24.09,24.09,23.96,23.96,300,2021-03-12 17:10:00,SSPKU
24.0,24.0,24.0,24.0,100,2021-03-12 17:15:00,SSPKU
24.0,24.0,24.0,24.0,100,2021-03-12 17:50:00,SSPKU
25.0,25.0,25.0,25.0,160,2021-03-12 19:45:00,SSPKU
24.69,24.69,24.6601,24.6601,400,2021-03-15 13:50:00,SSPKU
26.9999,26.9999,26.9999,26.9999,104,2021-03-15 15:50:00,SSPKU
26.0,26.0,26.0,26.0,100,2021-03-15 16:05:00,SSPKU
26.7806,26.7806,26.7806,26.7806,500,2021-03-16 15:25:00,SSPKU
25.06,25.06,25.06,25.06,372,2021-03-16 16:30:00,SSPKU
25.04,25.04,25.01,25.01,353,2021-03-16 16:40:00,SSPKU
24.48,24.48,24.41,24.41,200,2021-03-17 19:10:00,SSPKU
26.89,27.03,26.89,26.9294,300,2021-03-18 15:50:00,SSPKU
26.67,26.67,26.67,26.67,125,2021-03-18 15:55:00,SSPKU
25.68,25.68,25.68,25.68,100,2021-03-18 16:50:00,SSPKU
25.9,25.9,25.9,25.9,100,2021-03-18 17:20:00,SSPKU
24.66,24.66,24.01,24.01,599,2021-03-18 18:50:00,SSPKU
24.74,24.74,24.74,24.74,200,2021-03-18 19:05:00,SSPKU
23.28,23.28,23.25,23.28,500,2021-03-19 14:20:00,SSPKU
25.61,25.61,25.61,25.61,100,2021-03-19 17:10:00,SSPKU
25.0,25.0,25.0,25.0,100,2021-03-19 19:40:00,SSPKU
24.0,24.0,24.0,24.0,200,2021-03-22 15:40:00,SSPKU
