open,high,low,close,volume,datetime,symbol
55.21,55.31,55.125,55.17,25874,2021-03-01 14:30:00,VNQI
55.1913,55.24,55.1301,55.2184,6714,2021-03-01 14:35:00,VNQI
55.24,55.2784,55.22,55.2784,1548,2021-03-01 14:40:00,VNQI
55.3236,55.3242,55.27,55.27,1300,2021-03-01 14:45:00,VNQI
55.2,55.24,55.2,55.24,1152,2021-03-01 14:50:00,VNQI
55.24,55.26,55.22,55.22,3501,2021-03-01 14:55:00,VNQI
55.26,55.29,55.26,55.29,200,2021-03-01 15:00:00,VNQI
55.269,55.29,55.269,55.29,1731,2021-03-01 15:05:00,VNQI
55.28,55.35,55.28,55.31,1827,2021-03-01 15:10:00,VNQI
55.35,55.46,55.35,55.46,2595,2021-03-01 15:15:00,VNQI
55.42,55.465,55.42,55.44,8471,2021-03-01 15:20:00,VNQI
55.44,55.44,55.395,55.395,1070,2021-03-01 15:25:00,VNQI
55.4048,55.41,55.36,55.39,1040,2021-03-01 15:30:00,VNQI
55.43,55.47,55.43,55.47,1600,2021-03-01 15:35:00,VNQI
55.46,55.47,55.46,55.46,6184,2021-03-01 15:40:00,VNQI
55.46,55.465,55.43,55.46,6383,2021-03-01 15:45:00,VNQI
55.4858,55.49,55.46,55.48,7737,2021-03-01 15:50:00,VNQI
55.48,55.545,55.47,55.53,30331,2021-03-01 15:55:00,VNQI
55.5208,55.53,55.51,55.515,27374,2021-03-01 16:00:00,VNQI
55.515,55.57,55.51,55.57,25196,2021-03-01 16:05:00,VNQI
55.5698,55.5698,55.52,55.52,1113,2021-03-01 16:10:00,VNQI
55.545,55.57,55.54,55.57,3638,2021-03-01 16:15:00,VNQI
55.5401,55.5401,55.5401,55.5401,864,2021-03-01 16:20:00,VNQI
55.57,55.57,55.47,55.47,3467,2021-03-01 16:25:00,VNQI
55.5,55.5,55.475,55.475,729,2021-03-01 16:30:00,VNQI
55.48,55.5,55.4652,55.4652,6408,2021-03-01 16:35:00,VNQI
55.47,55.51,55.47,55.51,3750,2021-03-01 16:40:00,VNQI
55.5055,55.51,55.4808,55.51,1770,2021-03-01 16:45:00,VNQI
55.51,55.51,55.49,55.508,944,2021-03-01 16:50:00,VNQI
55.51,55.51,55.4801,55.51,1049,2021-03-01 16:55:00,VNQI
55.491,55.55,55.491,55.55,2727,2021-03-01 17:00:00,VNQI
55.52,55.52,55.52,55.52,200,2021-03-01 17:05:00,VNQI
55.5425,55.5599,55.52,55.55,3874,2021-03-01 17:10:00,VNQI
55.51,55.52,55.49,55.49,953,2021-03-01 17:15:00,VNQI
55.5001,55.5001,55.4677,55.4677,828,2021-03-01 17:20:00,VNQI
55.51,55.54,55.49,55.51,2094,2021-03-01 17:25:00,VNQI
55.52,55.52,55.48,55.4931,4408,2021-03-01 17:30:00,VNQI
55.505,55.52,55.49,55.49,1305,2021-03-01 17:35:00,VNQI
55.505,55.505,55.471,55.5,1250,2021-03-01 17:40:00,VNQI
55.45,55.488,55.45,55.47,409,2021-03-01 17:45:00,VNQI
55.49,55.49,55.45,55.4781,1691,2021-03-01 17:50:00,VNQI
55.44,55.47,55.44,55.44,2108,2021-03-01 17:55:00,VNQI
55.385,55.385,55.38,55.38,432,2021-03-01 18:00:00,VNQI
55.4023,55.4023,55.37,55.37,333,2021-03-01 18:05:00,VNQI
55.34,55.36,55.3278,55.35,3998,2021-03-01 18:10:00,VNQI
55.33,55.38,55.33,55.38,3415,2021-03-01 18:15:00,VNQI
55.385,55.39,55.38,55.381,1076,2021-03-01 18:25:00,VNQI
55.3566,55.395,55.3566,55.395,3928,2021-03-01 18:30:00,VNQI
55.3901,55.4164,55.3901,55.4164,2055,2021-03-01 18:35:00,VNQI
55.42,55.4699,55.42,55.4293,9594,2021-03-01 18:40:00,VNQI
55.42,55.4399,55.41,55.4399,9124,2021-03-01 18:45:00,VNQI
55.4182,55.4257,55.4155,55.425,2314,2021-03-01 18:50:00,VNQI
55.4232,55.4397,55.41,55.425,2927,2021-03-01 18:55:00,VNQI
55.4201,55.46,55.4201,55.46,1482,2021-03-01 19:00:00,VNQI
55.46,55.46,55.435,55.438,1393,2021-03-01 19:05:00,VNQI
55.45,55.45,55.4281,55.4281,3936,2021-03-01 19:10:00,VNQI
55.4329,55.46,55.431,55.448,2126,2021-03-01 19:15:00,VNQI
55.455,55.5,55.455,55.49,1660,2021-03-01 19:20:00,VNQI
55.5,55.52,55.4301,55.47,1914,2021-03-01 19:25:00,VNQI
55.48,55.5,55.47,55.47,2755,2021-03-01 19:30:00,VNQI
55.47,55.47,55.45,55.45,4499,2021-03-01 19:35:00,VNQI
55.46,55.49,55.46,55.49,8889,2021-03-01 19:40:00,VNQI
55.49,55.49,55.46,55.476,5445,2021-03-01 19:45:00,VNQI
55.48,55.51,55.47,55.51,11420,2021-03-01 19:50:00,VNQI
55.55,55.55,55.4857,55.4857,5864,2021-03-01 19:55:00,VNQI
55.48,55.506,55.471,55.471,3487,2021-03-01 20:00:00,VNQI
55.49,55.49,55.46,55.47,1451,2021-03-01 20:05:00,VNQI
55.48,55.5,55.48,55.485,2200,2021-03-01 20:10:00,VNQI
55.51,55.52,55.4768,55.52,3214,2021-03-01 20:15:00,VNQI
55.52,55.54,55.51,55.51,1448,2021-03-01 20:20:00,VNQI
55.51,55.51,55.48,55.505,1088,2021-03-01 20:25:00,VNQI
55.52,55.52,55.4747,55.49,3132,2021-03-01 20:30:00,VNQI
55.47,55.49,55.46,55.46,10880,2021-03-01 20:35:00,VNQI
55.465,55.465,55.43,55.43,4721,2021-03-01 20:40:00,VNQI
55.43,55.48,55.43,55.47,2563,2021-03-01 20:45:00,VNQI
55.45,55.48,55.43,55.47,3868,2021-03-01 20:50:00,VNQI
