open,high,low,close,volume,datetime,symbol
4.76,4.76,4.76,4.76,100,2021-04-01 11:20:00,PROG
4.8,4.8,4.7,4.74,3733,2021-04-01 13:30:00,PROG
4.7636,4.7636,4.72,4.755,400,2021-04-01 13:35:00,PROG
4.76,4.8,4.76,4.8,1900,2021-04-01 13:45:00,PROG
4.76,4.76,4.75,4.76,2000,2021-04-01 13:55:00,PROG
4.81,4.82,4.8,4.8,300,2021-04-01 14:05:00,PROG
4.8172,4.8172,4.8172,4.8172,100,2021-04-01 14:10:00,PROG
4.8176,4.86,4.81,4.86,1860,2021-04-01 14:15:00,PROG
4.86,4.86,4.85,4.85,1387,2021-04-01 14:20:00,PROG
4.82,4.8395,4.82,4.8395,400,2021-04-01 14:25:00,PROG
4.828,4.85,4.81,4.85,900,2021-04-01 14:30:00,PROG
4.83,4.85,4.8277,4.8277,905,2021-04-01 14:35:00,PROG
4.85,4.85,4.85,4.85,100,2021-04-01 14:40:00,PROG
4.84,4.85,4.835,4.835,4883,2021-04-01 14:45:00,PROG
4.83,4.9,4.83,4.9,11094,2021-04-01 14:50:00,PROG
4.87,4.9,4.84,4.9,1172,2021-04-01 14:55:00,PROG
4.866,4.866,4.866,4.866,300,2021-04-01 15:00:00,PROG
4.86,4.875,4.85,4.8644,700,2021-04-01 15:05:00,PROG
4.9,4.9,4.892,4.9,700,2021-04-01 15:20:00,PROG
4.85,4.88,4.82,4.83,2875,2021-04-01 15:25:00,PROG
4.845,4.8757,4.845,4.87,3978,2021-04-01 15:30:00,PROG
4.87,4.87,4.87,4.87,100,2021-04-01 15:35:00,PROG
4.85,4.85,4.85,4.85,100,2021-04-01 15:40:00,PROG
4.87,4.97,4.87,4.96,22839,2021-04-01 15:45:00,PROG
4.9451,4.96,4.94,4.94,3800,2021-04-01 15:50:00,PROG
4.93,4.93,4.93,4.93,100,2021-04-01 16:00:00,PROG
4.925,4.93,4.925,4.93,3870,2021-04-01 16:05:00,PROG
4.92,4.93,4.91,4.93,2700,2021-04-01 16:10:00,PROG
4.92,4.95,4.92,4.95,1587,2021-04-01 16:20:00,PROG
4.93,4.93,4.89,4.9,3039,2021-04-01 16:30:00,PROG
4.902,4.92,4.902,4.92,2013,2021-04-01 16:35:00,PROG
4.929,4.95,4.925,4.95,1395,2021-04-01 16:40:00,PROG
4.92,4.92,4.92,4.92,100,2021-04-01 16:50:00,PROG
4.9202,4.935,4.92,4.93,1980,2021-04-01 16:55:00,PROG
4.92,4.99,4.92,4.99,8791,2021-04-01 17:00:00,PROG
5.0,5.0,4.9635,5.0,2900,2021-04-01 17:05:00,PROG
5.0,5.0,5.0,5.0,1101,2021-04-01 17:10:00,PROG
5.0,5.0,5.0,5.0,200,2021-04-01 17:15:00,PROG
5.0,5.03,4.98,5.03,66889,2021-04-01 17:20:00,PROG
5.05,5.05,5.0113,5.05,2927,2021-04-01 17:25:00,PROG
5.05,5.09,5.0271,5.09,5660,2021-04-01 17:30:00,PROG
5.09,5.09,5.06,5.09,2900,2021-04-01 17:35:00,PROG
5.065,5.07,5.0266,5.07,1769,2021-04-01 17:40:00,PROG
5.03,5.03,5.0,5.02,1627,2021-04-01 17:45:00,PROG
5.01,5.02,4.98,4.985,2250,2021-04-01 17:50:00,PROG
5.0,5.0,4.9601,4.9601,300,2021-04-01 17:55:00,PROG
4.98,4.98,4.98,4.98,300,2021-04-01 18:00:00,PROG
4.985,4.999,4.985,4.999,200,2021-04-01 18:05:00,PROG
4.98,4.98,4.975,4.975,650,2021-04-01 18:10:00,PROG
4.99,4.99,4.975,4.975,340,2021-04-01 18:15:00,PROG
4.99,4.99,4.99,4.99,100,2021-04-01 18:20:00,PROG
4.99,4.99,4.975,4.975,800,2021-04-01 18:25:00,PROG
4.96,4.99,4.96,4.99,200,2021-04-01 18:30:00,PROG
4.96,4.965,4.95,4.96,1435,2021-04-01 18:35:00,PROG
4.931,4.931,4.93,4.93,600,2021-04-01 18:40:00,PROG
4.94,4.94,4.94,4.94,100,2021-04-01 18:45:00,PROG
4.94,4.94,4.92,4.93,2068,2021-04-01 18:50:00,PROG
4.93,4.94,4.93,4.94,300,2021-04-01 18:55:00,PROG
4.94,4.94,4.94,4.94,100,2021-04-01 19:00:00,PROG
4.94,4.95,4.93,4.94,600,2021-04-01 19:05:00,PROG
