open,high,low,close,volume,datetime,symbol
30.57,30.825,30.06,30.09,6811,2021-04-01 13:30:00,YMAB
30.2,30.31,29.82,30.13,4230,2021-04-01 13:35:00,YMAB
30.42,30.62,30.22,30.28,6360,2021-04-01 13:40:00,YMAB
30.49,30.54,30.24,30.24,1204,2021-04-01 13:45:00,YMAB
30.56,30.61,30.38,30.38,600,2021-04-01 13:50:00,YMAB
30.54,30.605,30.46,30.525,945,2021-04-01 13:55:00,YMAB
30.71,30.75,30.62,30.68,700,2021-04-01 14:00:00,YMAB
30.58,30.91,30.58,30.88,2404,2021-04-01 14:05:00,YMAB
30.91,31.19,30.82,31.06,11493,2021-04-01 14:10:00,YMAB
31.13,31.25,31.13,31.18,1832,2021-04-01 14:15:00,YMAB
31.13,31.185,31.13,31.13,1800,2021-04-01 14:20:00,YMAB
31.08,31.08,30.92,30.92,500,2021-04-01 14:25:00,YMAB
30.97,31.02,30.84,31.02,700,2021-04-01 14:30:00,YMAB
31.05,31.05,31.0,31.0,400,2021-04-01 14:35:00,YMAB
30.95,31.0,30.92,30.97,1207,2021-04-01 14:40:00,YMAB
31.03,31.03,30.97,30.97,200,2021-04-01 14:45:00,YMAB
31.01,31.1,30.67,30.75,5058,2021-04-01 14:50:00,YMAB
30.58,30.58,30.35,30.37,2818,2021-04-01 15:00:00,YMAB
30.34,30.36,30.285,30.36,800,2021-04-01 15:05:00,YMAB
30.26,30.26,30.26,30.26,100,2021-04-01 15:10:00,YMAB
30.23,30.24,30.15,30.24,1922,2021-04-01 15:15:00,YMAB
30.3,30.3,30.29,30.29,200,2021-04-01 15:25:00,YMAB
30.32,30.32,30.32,30.32,300,2021-04-01 15:30:00,YMAB
30.22,30.22,30.22,30.22,100,2021-04-01 15:35:00,YMAB
30.15,30.15,30.09,30.09,800,2021-04-01 15:40:00,YMAB
30.13,30.33,30.13,30.33,200,2021-04-01 15:45:00,YMAB
30.34,30.34,30.34,30.34,100,2021-04-01 15:50:00,YMAB
30.13,30.21,30.13,30.21,200,2021-04-01 15:55:00,YMAB
30.12,30.12,30.12,30.12,100,2021-04-01 16:00:00,YMAB
30.02,30.02,30.02,30.02,200,2021-04-01 16:05:00,YMAB
30.01,30.01,30.01,30.01,200,2021-04-01 16:10:00,YMAB
30.06,30.12,30.06,30.1,500,2021-04-01 16:15:00,YMAB
30.19,30.19,30.15,30.15,300,2021-04-01 16:20:00,YMAB
30.23,30.23,30.23,30.23,300,2021-04-01 16:25:00,YMAB
30.3,30.3,30.25,30.25,621,2021-04-01 16:30:00,YMAB
30.2,30.2,30.17,30.17,200,2021-04-01 16:35:00,YMAB
30.26,30.26,30.26,30.26,300,2021-04-01 16:40:00,YMAB
30.22,30.22,30.1,30.18,600,2021-04-01 16:50:00,YMAB
30.04,30.16,30.04,30.16,710,2021-04-01 16:55:00,YMAB
30.23,30.23,30.19,30.19,500,2021-04-01 17:05:00,YMAB
30.225,30.225,30.17,30.21,400,2021-04-01 17:10:00,YMAB
30.3,30.3,30.14,30.14,620,2021-04-01 17:15:00,YMAB
30.15,30.15,30.15,30.15,100,2021-04-01 17:20:00,YMAB
30.1371,30.1371,29.96,29.96,500,2021-04-01 17:25:00,YMAB
29.97,30.14,29.96,30.14,1000,2021-04-01 17:30:00,YMAB
30.21,30.21,30.21,30.21,100,2021-04-01 17:35:00,YMAB
30.18,30.18,30.18,30.18,100,2021-04-01 17:40:00,YMAB
30.13,30.13,30.08,30.08,500,2021-04-01 17:45:00,YMAB
29.97,29.98,29.97,29.98,500,2021-04-01 17:50:00,YMAB
29.9739,30.05,29.9739,30.05,313,2021-04-01 17:55:00,YMAB
30.06,30.06,30.06,30.06,337,2021-04-01 18:05:00,YMAB
30.1,30.13,30.04,30.13,600,2021-04-01 18:10:00,YMAB
30.17,30.2,30.15,30.2,300,2021-04-01 18:15:00,YMAB
30.23,30.23,30.15,30.15,500,2021-04-01 18:20:00,YMAB
30.145,30.15,30.12,30.12,3808,2021-04-01 18:25:00,YMAB
30.13,30.13,30.13,30.13,508,2021-04-01 18:30:00,YMAB
30.13,30.13,30.13,30.13,200,2021-04-01 18:35:00,YMAB
30.15,30.15,30.01,30.01,200,2021-04-01 18:40:00,YMAB
30.05,30.06,30.05,30.06,500,2021-04-01 18:50:00,YMAB
30.03,30.03,30.03,30.03,200,2021-04-01 18:55:00,YMAB
30.0,30.0,29.93,29.99,300,2021-04-01 19:00:00,YMAB
29.95,29.985,29.92,29.955,400,2021-04-01 19:05:00,YMAB
29.96,29.96,29.84,29.84,500,2021-04-01 19:10:00,YMAB
29.83,29.93,29.83,29.92,700,2021-04-01 19:15:00,YMAB
29.975,29.99,29.975,29.99,300,2021-04-01 19:20:00,YMAB
29.93,29.93,29.87,29.895,300,2021-04-01 19:25:00,YMAB
29.955,30.0,29.955,30.0,618,2021-04-01 19:30:00,YMAB
30.06,30.06,29.9801,29.9801,1300,2021-04-01 19:35:00,YMAB
30.02,30.07,30.01,30.04,1128,2021-04-01 19:40:00,YMAB
30.04,30.06,30.0,30.045,600,2021-04-01 19:45:00,YMAB
30.01,30.03,29.97,30.02,1903,2021-04-01 19:50:00,YMAB
30.04,30.29,30.03,30.17,7451,2021-04-01 19:55:00,YMAB
30.28,30.28,30.28,30.28,22217,2021-04-01 20:00:00,YMAB
30.45,31.18,30.33,30.33,2271,2021-04-05 13:30:00,YMAB
30.47,30.5,30.15,30.25,3220,2021-04-05 13:35:00,YMAB
30.37,30.37,29.93,29.93,1725,2021-04-05 13:40:00,YMAB
30.19,30.26,29.94,30.26,1130,2021-04-05 13:45:00,YMAB
30.26,30.39,30.26,30.39,200,2021-04-05 13:50:00,YMAB
30.32,30.43,30.32,30.43,300,2021-04-05 13:55:00,YMAB
30.45,30.45,30.45,30.45,200,2021-04-05 14:00:00,YMAB
30.375,30.69,30.17,30.63,23283,2021-04-05 14:05:00,YMAB
30.545,30.95,30.17,30.71,19330,2021-04-05 14:10:00,YMAB
30.8,30.8,30.575,30.575,6788,2021-04-05 14:15:00,YMAB
30.78,31.11,30.72,30.82,2400,2021-04-05 14:20:00,YMAB
30.88,30.88,30.76,30.76,200,2021-04-05 14:25:00,YMAB
30.78,31.06,30.74,30.77,500,2021-04-05 14:30:00,YMAB
30.66,30.66,30.46,30.46,300,2021-04-05 14:35:00,YMAB
30.43,30.43,30.31,30.31,200,2021-04-05 14:40:00,YMAB
30.32,30.32,30.32,30.32,100,2021-04-05 14:45:00,YMAB
30.24,30.41,30.24,30.24,600,2021-04-05 14:50:00,YMAB
30.55,30.55,30.44,30.44,500,2021-04-05 14:55:00,YMAB
30.1,30.39,30.09,30.09,1225,2021-04-05 15:00:00,YMAB
30.31,30.39,30.3,30.3,1467,2021-04-05 15:10:00,YMAB
30.4,30.4,30.39,30.39,200,2021-04-05 15:20:00,YMAB
30.15,30.36,30.15,30.36,200,2021-04-05 15:25:00,YMAB
